id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43238464,https://bitcointalk.org/index.php?topic=3628588.0,,427,Marketplace (Altcoins),2018-07-31 20:22:15,Pivooooo,Member,350,16,,[ANN][ICO] eHarvestHub - Making Food Affordable & Accessible to All,"It is great that eHarvest helps the small farmers. This will help spread this platform quickly, meaning that as more farmers make money, their neighbors and their neighbors will want to use this system, geometrically spreading the platform.",False
2,msg39642865,https://bitcointalk.org/index.php?topic=3628588.0,,427,Marketplace (Altcoins),2018-06-08 11:56:35,moviav,Newbie,3,0,,[ANN][ICO] eHarvestHub - Making Food Affordable & Accessible to All,this progect very interesting,False
3,msg39646910,https://bitcointalk.org/index.php?topic=3628588.0,,427,Marketplace (Altcoins),2018-06-08 13:00:43,Ree_2018,Newbie,61,0,,[ANN][ICO] eHarvestHub - Making Food Affordable & Accessible to All,Very good,False
4,msg39647480,https://bitcointalk.org/index.php?topic=3628588.0,,427,Marketplace (Altcoins),2018-06-08 13:09:24,kaplei1,Newbie,2,0,,[ANN][ICO] eHarvestHub - Making Food Affordable & Accessible to All,зaмeчaтeльнo,False
5,msg39650885,https://bitcointalk.org/index.php?topic=3628588.0,,427,Marketplace (Altcoins),2018-06-08 13:58:52,Viacheslav76,Newbie,14,0,,[ANN][ICO] eHarvestHub - Making Food Affordable & Accessible to All,I wish the team a great future!,False
6,msg39902548,https://bitcointalk.org/index.php?topic=3628588.0,,427,Marketplace (Altcoins),2018-06-11 18:38:19,teoaja,Jr. Member,137,4,,[ANN][ICO] eHarvestHub - Making Food Affordable & Accessible to All,"EHarvestHub is gaining a huge awareness on social media. The campaigns has been incredible. This shows it has a community who is passionate about this project, and they are committed to see it come to light. To the teams, more strength to your elbow.",False
7,msg39961080,https://bitcointalk.org/index.php?topic=3628588.0,,427,Marketplace (Altcoins),2018-06-12 14:51:23,Crypto11021,Newbie,107,0,,[ANN][ICO] eHarvestHub - Making Food Affordable & Accessible to All,"Am really glad to come  across this project, this is a project that one shouldn't miss I really love the idea of the project is very cool with very efficient team and investors are trooping in, thanks Devs will not miss this project for anything is sure going to be massive.",False
8,msg40215709,https://bitcointalk.org/index.php?topic=3628588.0,,427,Marketplace (Altcoins),2018-06-16 06:37:29,kolionovo,Sr. Member,606,262,,[ANN][ICO] eHarvestHub - Making Food Affordable & Accessible to All,"good luck, colleagues",False
9,msg40321550,https://bitcointalk.org/index.php?topic=3628588.0,,427,Marketplace (Altcoins),2018-06-17 17:27:01,philgavr,Sr. Member,490,250,,[ANN][ICO] eHarvestHub - Making Food Affordable & Accessible to All,are bounty campaign is over?,False
10,msg40338770,https://bitcointalk.org/index.php?topic=3628588.0,,427,Marketplace (Altcoins),2018-06-17 21:43:43,GoGone,Member,532,10,,[ANN][ICO] eHarvestHub - Making Food Affordable & Accessible to All,Are you also doing something against the waste of food? Worldwide thousands of kg of good food are wasted every day.,False
11,msg40370482,https://bitcointalk.org/index.php?topic=3628588.0,msg40321550,427,Marketplace (Altcoins),2018-06-18 10:59:54,Cryptoland,Full Member,217,100,,[ANN][ICO] eHarvestHub - Making Food Affordable & Accessible to All,   This is still running through https://bountyhive.io/join/eHarvestHub,False
12,msg40370892,https://bitcointalk.org/index.php?topic=3628588.0,msg40338770,427,Marketplace (Altcoins),2018-06-18 11:06:40,Cryptoland,Full Member,217,100,,[ANN][ICO] eHarvestHub - Making Food Affordable & Accessible to All,    This is a great point and eHarvestHub will be a very good solution to reducing the amount of food waste as the produce will be shipped fresher and faster to the store without siting in storage.,False
