id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg47874494,https://bitcointalk.org/index.php?topic=3224252.0,,2746,Announcements (Altcoins),2018-11-13 20:16:29,mamoto,Member,415,10,,[ANN][ICO] - VLUX: Fuelling Peer 2 Peer Energy with AI and Blockchain,"Progress + Public Sale Update  We’ve been hard at work progressing our peer-to-peer energy trading technology having implemented it within a London community and conducted the UK’s first trade of energy on the blockchain earlier this year. While we continue to test and refine our trades and machine learning algorithms, we will soon be launching phase two in which one of the largest utilities in the UK will be joining us in the sandbox to trial what energy bills will look like in the new era of P2P — this will be a huge milestone and we can’t wait to share our progress with you!  https://medium.com/@VLUX/progress-public-sale-update-3a513ebe8ac7",False
2,msg47903150,https://bitcointalk.org/index.php?topic=3224252.0,,2746,Announcements (Altcoins),2018-11-14 18:59:03,mamoto,Member,415,10,,[ANN][ICO] - VLUX: Fuelling Peer 2 Peer Energy with AI and Blockchain,"Verv’s energy consumption data live on Energy Web Foundation’s test network  As many of you may already know, Verv is an affiliate of the Energy Web Foundation (EWF), a global nonprofit organization focused on accelerating blockchain technology across the energy sector. EWF is building the foundational blockchain technology — the digital DNA — on which the ecosystem can build, test, and run their applications.  With multiple live trials underway for our peer-to-peer (P2P) energy trading platform, we couldn’t be more driven to bring a new and improved energy landscape to fruition. Partnering with EWF is a reflection of our ongoing commitment to combine efforts with relevant parties and organisations to maximise the growth and scalability of the VLUX trading network and therefore the utility of our token.  https://medium.com/@VLUX/vervs-energy-consumption-data-live-on-energy-web-foundation-s-test-network-c865eabc6fc1",False
3,msg47959438,https://bitcointalk.org/index.php?topic=3224252.0,,2746,Announcements (Altcoins),2018-11-16 14:42:27,mamoto,Member,415,10,,[ANN][ICO] - VLUX: Fuelling Peer 2 Peer Energy with AI and Blockchain,"We have some exciting news to announce! The UK's largest energy supplier British Gas  will be joining our community energy trial in Hackney as they explore new and better ways to deliver energy to their customers. This is huge recognition of our work and with support from them, as well as UK regulator Ofgem, we couldn't be happier with our progress! Find out more about the next phase of our trial here!   https://medium.com/@VLUX/centrica-joins-the-verv-community-energy-blockchain-trial-169354aeae0a",False
4,msg48164156,https://bitcointalk.org/index.php?topic=3224252.0,,2746,Announcements (Altcoins),2018-11-23 16:53:47,mamoto,Member,415,10,,[ANN][ICO] - VLUX: Fuelling Peer 2 Peer Energy with AI and Blockchain,"Verv Wins Digital Energy Innovation Award!  https://medium.com/@VLUX/verv-wins-digital-energy-innovation-award-94c2eb236577  We are delighted to announce that Verv has been selected as the winner of the Digital Energy Innovation Award 2018! The award was presented at the Digital Energy Innovation Forum in Munich last week and was hosted by Munich Network Fraunhofer-Gesellschaft and Fraunhofer Allianz Energie. 43 startups from 13 different countries had applied for the Digital Energy Innovation Award.  At the event, the 10 best startups nominated by a highly experienced jury with expertise in the digital energy ecosystem had the chance to present their innovations with pitches live on stage in front of the audience.  The Digital Energy Innovation Forum focussed on the topic of deriving value from energy data and using it as a means to transform the energy sector which aligns perfectly with what we’re trying to do using our IoT hub and VLUX Token. Aside from winning €5000 in prize money, we were happy to be offered the opportunity to network with established companies and key players in the digital energy space.",False
5,msg49139181,https://bitcointalk.org/index.php?topic=3224252.0,,2746,Announcements (Altcoins),2019-01-09 16:27:55,VLUX,Newbie,111,0,,[ANN][ICO] - VLUX: Fuelling Peer 2 Peer Energy with AI and Blockchain,We have just released a new blog post about our partnership with data sharing ecosystem Ocean Protocol! Interested in how Verv unlocks rich energy data from the home and will empower consumers to benefit financially from it? Check it out https://blog.oceanprotocol.com/get-rewarded-putting-household-energy-data-to-good-use-63c7ce7ac3b0,False
6,msg49414851,https://bitcointalk.org/index.php?topic=3224252.0,,2746,Announcements (Altcoins),2019-01-25 11:05:37,VLUX,Newbie,111,0,,[ANN][ICO] - VLUX: Fuelling Peer 2 Peer Energy with AI and Blockchain,  Excited to announce that our lead blockchain developer has written a blog post about Ephemeral Blockchains as a means to tackle data bloating on the blockchain - let us know what you think! https://medium.com/@VLUX/ephemeral-%C2%B5blockchains-the-mayflies-tackling-data-storage-limitations-on-the-blockchain-f38bfdad51b,False
7,msg49942059,https://bitcointalk.org/index.php?topic=3224252.0,,2746,Announcements (Altcoins),2019-02-27 10:31:21,VLUX,Newbie,111,0,,[ANN][ICO] - VLUX: Fuelling Peer 2 Peer Energy with AI and Blockchain,Do you need automated tests for your code?   Our brilliant blockchain developer Vikash explains just how beneficial they can be in our latest blog post now published on Hacker Noon! https://hackernoon.com/four-reasons-you-need-automated-tests-for-your-code-3fd4f6f4e720 ,False
8,msg50544550,https://bitcointalk.org/index.php?topic=3224252.0,,2746,Announcements (Altcoins),2019-04-10 15:11:02,VLUX,Newbie,111,0,,[ANN][ICO] - VLUX: Fuelling Peer 2 Peer Energy with AI and Blockchain,🙌🙌🙌We're really pleased to announce that environmental fund Earthworm Group has backed our smart hub and blockchain based renewable energy trading platform to help us fight climate change and bring down energy bills! This is a huge testament to our technology and we can’t wait to accelerate our traction in international markets. Other amazing investors are included in our funding round of 🔥 £6.5m 🔥 - check out our blog post to find out more! 🙌🙌🙌🙌 https://[Suspicious link removed]/2G9Bh7I,False
9,msg44614990,https://bitcointalk.org/index.php?topic=3224252.0,msg44478937,2746,Announcements (Altcoins),2018-08-24 16:15:07,arhibalt,Full Member,425,101,,[ANN][ICO] - VLUX: Fuelling Peer 2 Peer Energy with AI and Blockchain,"   When the project really looks interesting, promising and has a good team that knows what and how to do, then of course you want to support such a project. I hope that you will not fail this trust to you and will please us with your good results. Good luck to you.",False
10,msg44768905,https://bitcointalk.org/index.php?topic=3224252.0,,2746,Announcements (Altcoins),2018-08-27 12:48:27,arhibalt,Full Member,425,101,,[ANN][ICO] - VLUX: Fuelling Peer 2 Peer Energy with AI and Blockchain,We are really excited to announce that Verv has become an @energywebx (EWF) affiliate! Read more about the partnership & how we’re looking to maximise the growth & scalability of the VLUX trading network & therefore the utility of our token here: https://medium.com/@VLUX/verv-becomes-energy-web-foundation-affiliate-as-we-join-forces-to-pioneer-the-transition-towards-a-e32247e299eb Verv becomes Energy Web Foundation Affiliate as we join forces to pioneer the transition towards a new energy landscape,False
