id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg28341475,https://bitcointalk.org/index.php?topic=2151094.0,msg26937224,19681,Announcements (Altcoins),2018-01-17 16:31:24,rizkyalhabsy,Full Member,394,100,,[SCAM]⚠️[ANN][ICO]REGA Risk Sharing Platform: Reinventing Insurance ⚠️[SCAM]⚠️,"   yeah, I also do not see ico still running or not. I do not see softcap and dearest in receipt",False
2,msg28342484,https://bitcointalk.org/index.php?topic=2151094.0,,19681,Announcements (Altcoins),2018-01-17 16:47:36,ayasemoon789,Full Member,133,100,,[SCAM]⚠️[ANN][ICO]REGA Risk Sharing Platform: Reinventing Insurance ⚠️[SCAM]⚠️,"Professional people do professional things, but I hope the author can focus on marketing, so that more people recognize your project",False
3,msg29019809,https://bitcointalk.org/index.php?topic=2151094.0,,19681,Announcements (Altcoins),2018-01-27 08:34:39,RoadToBTC,Sr. Member,364,250,,[SCAM]⚠️[ANN][ICO]REGA Risk Sharing Platform: Reinventing Insurance ⚠️[SCAM]⚠️,"ICO is over? how the acquisition of ICO, I see for a long time no update information about this project, I also see in the old bounty thread no updates.",False
4,msg29385209,https://bitcointalk.org/index.php?topic=2151094.0,,19681,Announcements (Altcoins),2018-02-01 13:43:20,pantek talacuik,Full Member,477,100,,[SCAM]⚠️[ANN][ICO]REGA Risk Sharing Platform: Reinventing Insurance ⚠️[SCAM]⚠️,"the project is not clear how it ends. when everyone starts asking questions with the continuation of this project, dev and team can not answer. they can only be silent. hopefully we can quickly find the information and answers.",False
5,msg29521878,https://bitcointalk.org/index.php?topic=2151094.0,,19681,Announcements (Altcoins),2018-02-03 13:09:57,BadgerregdaB,Full Member,243,110,,[SCAM]⚠️[ANN][ICO]REGA Risk Sharing Platform: Reinventing Insurance ⚠️[SCAM]⚠️,"what happened to this project, saw the team's performance very well but there is no clear information about ICO. hopefully the team immediately provide updates and answer issues that have spread",False
6,msg29999802,https://bitcointalk.org/index.php?topic=2151094.0,,19681,Announcements (Altcoins),2018-02-10 14:37:11,qumeijia,Jr. Member,166,1,,[SCAM]⚠️[ANN][ICO]REGA Risk Sharing Platform: Reinventing Insurance ⚠️[SCAM]⚠️,the last information was if it reached the soft cap until December 2017 the distribution will be given. but it is the opposite. this project cannot be said as successful project since there is no any information whether the soft cap is reached.,False
7,msg30463800,https://bitcointalk.org/index.php?topic=2151094.0,,19681,Announcements (Altcoins),2018-02-17 09:31:25,Lexs163,Full Member,448,103,,[SCAM]⚠️[ANN][ICO]REGA Risk Sharing Platform: Reinventing Insurance ⚠️[SCAM]⚠️,"The development team is waiting for spreadsheets for payments, but I do not see that they were filled, @Sylon when you do this?",False
8,msg31184871,https://bitcointalk.org/index.php?topic=2151094.0,msg30463800,19681,Announcements (Altcoins),2018-02-27 13:25:47,AcidSun,Legendary,1232,1003,,[SCAM]⚠️[ANN][ICO]REGA Risk Sharing Platform: Reinventing Insurance ⚠️[SCAM]⚠️,   Sylon will not be able to tell anything about payments. You can ask a question in the Telegram channel: https://t.me/RRSOfficialChat,False
9,msg31301913,https://bitcointalk.org/index.php?topic=2151094.0,,19681,Announcements (Altcoins),2018-03-01 02:04:55,tukagero,Full Member,672,103,,[SCAM]⚠️[ANN][ICO]REGA Risk Sharing Platform: Reinventing Insurance ⚠️[SCAM]⚠️,"I ask sylon about the project and he gave me this answer  ""There will be no distribution. REGA project manager named ""Sergei"" is a scammer. Don't trust him.  Most of initial members that contacted me a few months ago to work on this project left the project, because the project idea is amazing but is runned by a SCAMMER.""  We are waiting for nothing.",False
10,msg31435145,https://bitcointalk.org/index.php?topic=2151094.0,msg31301913,19681,Announcements (Altcoins),2018-03-02 19:10:00,Lexs163,Full Member,448,103,,[SCAM]⚠️[ANN][ICO]REGA Risk Sharing Platform: Reinventing Insurance ⚠️[SCAM]⚠️,"     If this is true, then why Sylon himself will not say this, because not only we are wondering what happened to the project. ",False
