id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43003890,https://bitcointalk.org/index.php?topic=3168733.0,,842,Announcements (Altcoins),2018-07-28 04:15:16,Suke_Teki,Member,518,10,,[ANN][ICO] WHEN Token ICO and product launch (Dilbert creator is co-founder),can you tell me how much fund has been collected so far? and has softcap been achieved? because I have not found the funding progress and time of ICO left in your site,False
2,msg43793156,https://bitcointalk.org/index.php?topic=3168733.0,,842,Announcements (Altcoins),2018-08-09 20:43:50,chon0783,Copper Member,140,0,,[ANN][ICO] WHEN Token ICO and product launch (Dilbert creator is co-founder),Product - MVP seems good. Easy to use interface. Good experience in core team and advisers. Good luck to the project team implementing.,False
3,msg39501160,https://bitcointalk.org/index.php?topic=3168733.0,,842,Announcements (Altcoins),2018-06-06 12:19:57,Hucama,Newbie,163,0,,[ANN][ICO] WHEN Token ICO and product launch (Dilbert creator is co-founder),"WhenHub is based in Silicon Valley, one of the centers of innovation on the planet. I like both television series and the fact that WhenHUb is based there.",False
4,msg39501360,https://bitcointalk.org/index.php?topic=3168733.0,,842,Announcements (Altcoins),2018-06-06 12:23:02,Captain_Killer,Member,211,10,,[ANN][ICO] WHEN Token ICO and product launch (Dilbert creator is co-founder),The WhenHub project is in possession of significant intellectual property and the patent is pending for the WhenHub Interface Network (WIN),False
5,msg39501609,https://bitcointalk.org/index.php?topic=3168733.0,,842,Announcements (Altcoins),2018-06-06 12:26:33,mitalo,Member,222,10,,[ANN][ICO] WHEN Token ICO and product launch (Dilbert creator is co-founder),"I personally think that together this unique set of properties will address the under-utilization problem of independent workers by seamlessly addressing discovery, availability, trust, interaction and payment",False
6,msg39501784,https://bitcointalk.org/index.php?topic=3168733.0,,842,Announcements (Altcoins),2018-06-06 12:29:03,Pie_Man,Newbie,154,0,,[ANN][ICO] WHEN Token ICO and product launch (Dilbert creator is co-founder),WhenHub is operated solely out of the US and they takes their legal responsibilities very seriously,False
7,msg39501949,https://bitcointalk.org/index.php?topic=3168733.0,,842,Announcements (Altcoins),2018-06-06 12:31:23,gastlator,Member,219,10,,[ANN][ICO] WHEN Token ICO and product launch (Dilbert creator is co-founder),"I was in shock when I realized that WhenHub is represented by DLA Piper, one of the finest law firms in the world",False
8,msg39502213,https://bitcointalk.org/index.php?topic=3168733.0,,842,Announcements (Altcoins),2018-06-06 12:35:22,GEOmile,Member,215,10,,[ANN][ICO] WHEN Token ICO and product launch (Dilbert creator is co-founder),I realized that they give us 100 Whentoken for free if you download their app,False
9,msg39502321,https://bitcointalk.org/index.php?topic=3168733.0,,842,Announcements (Altcoins),2018-06-06 12:36:57,ticulves,Member,190,10,,[ANN][ICO] WHEN Token ICO and product launch (Dilbert creator is co-founder),there is one problem --- it is the fact that not all the features are available in the beta release,False
10,msg39502448,https://bitcointalk.org/index.php?topic=3168733.0,,842,Announcements (Altcoins),2018-06-06 12:39:07,Gozragore,Member,185,10,,[ANN][ICO] WHEN Token ICO and product launch (Dilbert creator is co-founder),All you need to do is download the app and then you get 100 tokens for free,False
11,msg39502600,https://bitcointalk.org/index.php?topic=3168733.0,,842,Announcements (Altcoins),2018-06-06 12:41:24,macolde,Member,212,10,,[ANN][ICO] WHEN Token ICO and product launch (Dilbert creator is co-founder),"I know that the team is carefully testing everything at WhenHub, so they have already deployed the smart contracts in support of their product",False
