id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43755098,https://bitcointalk.org/index.php?topic=2245216.0,,1187,Announcements (Altcoins),2018-08-09 08:34:55,katya777,Newbie,14,0,,[ANN][preICO] TombCare-Intenational project for graves care service organization,"Good afternoon. More information you can find in our social networks For example, we recommend that you read the interview with CEO or other materials in our facebook https://medium.com/tombcare/mining-on-cemetery-the-tomb-care-project-will-shift-memorial-services-to-blockchain-ca26edabed81 https://www.facebook.com/TombCare/",False
2,msg43755782,https://bitcointalk.org/index.php?topic=2245216.0,msg41573115,1187,Announcements (Altcoins),2018-08-09 08:48:32,katya777,Newbie,14,0,,[ANN][preICO] TombCare-Intenational project for graves care service organization,   Thank you for pleasant words and trust. More information about how you can earn a look in the video presentation https://www.youtube.com/watch?v=B45gSqwFVEc&t=2s,False
3,msg43757017,https://bitcointalk.org/index.php?topic=2245216.0,msg41573714,1187,Announcements (Altcoins),2018-08-09 09:12:25,katya777,Newbie,14,0,,[ANN][preICO] TombCare-Intenational project for graves care service organization,"   Good afternoon. A few days we will release a special program ""of mining in the cemetery,"" later will be presented a program for managers. about all news and interesting facts without exception, you can read in us on the page https://www.facebook.com/TombCare/  https://www.youtube.com/watch?v=B45gSqwFVEc&t=2s",False
4,msg44561970,https://bitcointalk.org/index.php?topic=2245216.0,,1187,Announcements (Altcoins),2018-08-23 15:00:04,katya777,Newbie,14,0,,[ANN][preICO] TombCare-Intenational project for graves care service organization,"Everyone can start earning today with the help of “mining on cemetery”! For this was developed the TombTrack application.  You need to make only a few steps: 🖤download the application for Android https://play.google.com/store/apps/details… 🖤register in the application as a miner 🖤fill out the form with your email, name and coordinates of the cemetery that you would like to digitize https://docs.google.com/…/136Qei3MlelfyPtO4DL3TaXe8EIY…/edit 🖤we entered into the database cemetery that you want to digitize and send you email with confirmation of registration The App for iOS will be presented soon 😌  “Mining on cemetery” means that user with the help of smartphone and TombTrack app go to the burial places, and take a photo. The data about the location and the person who entered the information is placed in blockchain. When some services for one of this places are ordered — the person receives income.  The funds from each order in TombCare will be distributed according to the scheme:  — 5% go to the TombTrack Miner who inventory the burial sites; — 5% are sent to pay for the capacity to store a single database; — 5% are sent to the TokenCare. Fund; — 5% will be used to provide the Tombcare team.  https://www.youtube.com/watch?v=B45gSqwFVEc  World’s market of ritual services has volume more than $200 000 000 000. So with the release of the TombCare project to new markets and increase in orders of its services, the demand and cost of the token will grow up.  Seize the chance to become a part of Tomb Care System today!",False
5,msg44599537,https://bitcointalk.org/index.php?topic=2245216.0,,1187,Announcements (Altcoins),2018-08-24 10:15:23,Findicoico,Newbie,126,0,,[ANN][preICO] TombCare-Intenational project for graves care service organization,"Hi everyone! Just added this incredible ICO to my website   https://findico.io/ico/tombcare   Findico.io is an online informational platform that claims to offer ICO ratings from top investors and experts. Using the information on the website, you can “invest smarter” and pick the best ICOs. In addition to rating ICOs, Findico offers ICO consulting services and we can help companies with all stages of their ICO.",False
6,msg44924505,https://bitcointalk.org/index.php?topic=2245216.0,msg44599537,1187,Announcements (Altcoins),2018-08-30 14:07:45,katya777,Newbie,14,0,,[ANN][preICO] TombCare-Intenational project for graves care service organization,   Good afternoon! thank you for your trust. great video =),False
7,msg22680749,https://bitcointalk.org/index.php?topic=2245216.0,,1187,Announcements (Altcoins),2017-10-07 15:35:22,pro100j,Hero Member,980,505,,[ANN][preICO] TombCare-Intenational project for graves care service organization,"PУCCКOЯЗЫЧHAЯ BETКA | SITE | FACEBOOK | TWITTER | SLACK | TELEGRAM  WhitePaper                           Pre-ICO:  Beginning:  October 25, 2017 at 14:00  UTC End: November 25, 2017 at 00:00  UTC   PУCCКOЯЗЫЧHAЯ BETКA | SITE | FACEBOOK | TWITTER | SLACK | TELEGRAM    Our Application in Google Play Our Application in AppStore   I am not admin of this project. All questions you could ask to admin",False
8,msg22690567,https://bitcointalk.org/index.php?topic=2245216.0,,1187,Announcements (Altcoins),2017-10-07 20:15:43,Yarkov,Newbie,49,0,,[ANN][preICO] TombCare-Intenational project for graves care service organization,like,False
9,msg22752239,https://bitcointalk.org/index.php?topic=2245216.0,,1187,Announcements (Altcoins),2017-10-09 09:00:50,babitsynal,Newbie,1,0,,[ANN][preICO] TombCare-Intenational project for graves care service organization,Very interesting project. good luck,False
10,msg22815757,https://bitcointalk.org/index.php?topic=2245216.0,msg22752239,1187,Announcements (Altcoins),2017-10-10 15:56:44,Yarkov,Newbie,49,0,,[ANN][preICO] TombCare-Intenational project for graves care service organization,"   Thank you, with your support, it's all going to work out",False
