id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg46939682,https://bitcointalk.org/index.php?topic=4974691.0,,630,Announcements (Altcoins),2018-10-16 08:30:15,aggress0r,Full Member,770,100,,[ANN][ICO]🚀🚀 CAPVERTO : BANKING FOR THE FUTURE! 🚀🚀,Capverto is now listed on IcoSparks where received 5 stars and golden ribbon! Congrats! http://icosparks.com/listing/capverto/,False
2,msg46977860,https://bitcointalk.org/index.php?topic=4974691.0,msg44860768,630,Announcements (Altcoins),2018-10-17 10:29:24,grcnn,Member,448,11,,[ANN][ICO]🚀🚀 CAPVERTO : BANKING FOR THE FUTURE! 🚀🚀,     ,False
3,msg47115521,https://bitcointalk.org/index.php?topic=4974691.0,,630,Announcements (Altcoins),2018-10-21 12:49:48,aggress0r,Full Member,770,100,,[ANN][ICO]🚀🚀 CAPVERTO : BANKING FOR THE FUTURE! 🚀🚀,Great job! thanks for making a translation to Turkish language and making corresponding topic on your Local board. Big ups!,False
4,msg47250454,https://bitcointalk.org/index.php?topic=4974691.0,,630,Announcements (Altcoins),2018-10-25 11:16:00,aggress0r,Full Member,770,100,,[ANN][ICO]🚀🚀 CAPVERTO : BANKING FOR THE FUTURE! 🚀🚀,Capverto has been added to ICOtracker source!   https://icotracker.net/project/capverto,False
5,msg47394599,https://bitcointalk.org/index.php?topic=4974691.0,,630,Announcements (Altcoins),2018-10-29 14:48:51,aggress0r,Full Member,770,100,,[ANN][ICO]🚀🚀 CAPVERTO : BANKING FOR THE FUTURE! 🚀🚀,Hello community. You can check fresh article about Capverto on Cryptocentral! http://cryptocentral.info/topic/3619/capverto-exchange,False
6,msg47427774,https://bitcointalk.org/index.php?topic=4974691.0,,630,Announcements (Altcoins),2018-10-30 15:50:34,egetrorx,Full Member,658,108,,[ANN][ICO]🚀🚀 CAPVERTO : BANKING FOR THE FUTURE! 🚀🚀,"Capverto, Featuring Unique Banking Solutions Based on the Blockchain Technology https://icoshrimp.com/capverto-featuring-unique-banking-solutions-based-on-the-blockchain-technology/",False
7,msg47733907,https://bitcointalk.org/index.php?topic=4974691.0,,630,Announcements (Altcoins),2018-11-09 11:59:07,aggress0r,Full Member,770,100,,[ANN][ICO]🚀🚀 CAPVERTO : BANKING FOR THE FUTURE! 🚀🚀,CAPVERTO -A PLATFORM THAT BRIDGE’S D GAP BETWEEN CRYPTOCURRENCY AND MONEY - check a new article by Cryptocoinpravda   https://cryptocoinpravda.com/capverto-a-platform-that-bridge-s-d-gap-between-cryptocurrency-and-money.html,False
8,msg45859936,https://bitcointalk.org/index.php?topic=4974691.0,,630,Announcements (Altcoins),2018-09-18 08:03:45,Baggong,Member,247,10,,[ANN][ICO]🚀🚀 CAPVERTO : BANKING FOR THE FUTURE! 🚀🚀,"Banking is a good prospect in the future, everyone certainly hopes and is very dependent on banking so I am sure that this project will be accepted by users, and I will continue to follow here to invest with a little money.",False
9,msg45861504,https://bitcointalk.org/index.php?topic=4974691.0,,630,Announcements (Altcoins),2018-09-18 08:49:50,marufnang,Sr. Member,728,250,,[ANN][ICO]🚀🚀 CAPVERTO : BANKING FOR THE FUTURE! 🚀🚀,Crypto banking with the availability of debit card can be a good choice. By having that debit card we could easily using our coins to pay any transaction that are accepting CAPVERTO.,False
10,msg46069296,https://bitcointalk.org/index.php?topic=4974691.0,,630,Announcements (Altcoins),2018-09-23 14:07:48,folajoseph,Newbie,255,0,,[ANN][ICO]🚀🚀 CAPVERTO : BANKING FOR THE FUTURE! 🚀🚀,"For me, The crypto insurance is the best feature you guys have. Me Likey!",False
