id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg50016002,https://bitcointalk.org/index.php?topic=4548871.0,msg44619437,19227,Announcements (Altcoins),2019-03-04 12:46:42,OZmaster,Sr. Member,732,251,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,   What do you think of when talking about a multi-faceted crypto exchange? What does it have that others don't have?,False
2,msg42730872,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-23 12:50:05,Nanabint,Newbie,30,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"The digital-to-fiat and digital-to-digital exchange among traders gives this project an edge. Reading through the 7 point advantages of cointradebase, its really a project to watchout for",False
3,msg42768719,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-24 05:58:05,Winedjr,Newbie,233,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,I cna see that this exchange has the integrity and the will to be at par with the big names in the crypto industry.,False
4,msg42835987,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-25 08:47:18,sbenwal834,Newbie,24,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Absolutely amazing project with huge perspectives. So, we all can get maximum benefit from this project.",False
5,msg42961665,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-27 10:06:10,Moey212,Newbie,51,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Great concept, platform and issues brought by this project. Strong experienced management and high securely profitable",False
6,msg42986690,https://bitcointalk.org/index.php?topic=4548871.0,msg42986296,19227,Announcements (Altcoins),2018-07-27 18:17:32,cryptoQueez,Newbie,9,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"   What if there is no volume? If there are no trades, owners cannot make make. If they don't make money, they stop working on the project",False
7,msg42986806,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-27 18:20:13,Redbit1979,Newbie,39,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,the platform should advertise. make some contest or promotional to invite traders to their platform,False
8,msg42986932,https://bitcointalk.org/index.php?topic=4548871.0,msg42986690,19227,Announcements (Altcoins),2018-07-27 18:23:16,Redbit1979,Newbie,39,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,   the platform should advertise. make some contest or promotional to invite traders to their platform,False
9,msg43113694,https://bitcointalk.org/index.php?topic=4548871.0,msg40968483,19227,Announcements (Altcoins),2018-07-29 20:10:43,Adenilto,Newbie,96,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange, ,False
10,msg43114458,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-29 20:24:48,ftarzan999,Newbie,6,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,A great program with great future expectations!  Adjoin folks!,False
