id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg42708369,https://bitcointalk.org/index.php?topic=3235453.0,,1133,Announcements (Altcoins),2018-07-23 04:54:38,ruli stylon,Full Member,674,100,,[ANN][EST][ICO] 🔥 Ethereum Slot Machine - the first slots mobile game on ETH 🔥,I have been holding EST tokens in my wallet for a long time. What about the exchange for EST tokens? Is there a token release EST on the market?,False
2,msg50715461,https://bitcointalk.org/index.php?topic=3235453.0,,1133,Announcements (Altcoins),2019-04-22 03:33:23,WiND33,Full Member,378,107,,[ANN][EST][ICO] 🔥 Ethereum Slot Machine - the first slots mobile game on ETH 🔥,What news about this project?,False
3,msg40125119,https://bitcointalk.org/index.php?topic=3235453.0,msg40103827,1133,Announcements (Altcoins),2018-06-14 18:54:06,therhslv,Sr. Member,952,264,,[ANN][EST][ICO] 🔥 Ethereum Slot Machine - the first slots mobile game on ETH 🔥,"   How many they collected ? So whats the point to send out tokens for bounty if they fail to collect the money ? As i see i can find it on ehterdelta , but looks like somebody added it for quick sell bounty tokens Would be really nice if team continue work on this project . I like the part about dividents for token holders . Kinda sad if they leave this project",False
4,msg40172578,https://bitcointalk.org/index.php?topic=3235453.0,,1133,Announcements (Altcoins),2018-06-15 13:22:04,cjrst8,Full Member,392,101,,[ANN][EST][ICO] 🔥 Ethereum Slot Machine - the first slots mobile game on ETH 🔥,"smart idea, but because it is an app in the app store, how can you ensure that the people using the app are above the legal age limit for gambling in their respective countries?",False
5,msg40189299,https://bitcointalk.org/index.php?topic=3235453.0,msg40172578,1133,Announcements (Altcoins),2018-06-15 17:47:50,therhslv,Sr. Member,952,264,,[ANN][EST][ICO] 🔥 Ethereum Slot Machine - the first slots mobile game on ETH 🔥,   I think in app store you just put Tick that you confirm you are 18+ of age . Anyway kids can register everywhere where they want if they use fake date of birth lol . Lets say at Primedice everyone can create account and play .,False
6,msg40211898,https://bitcointalk.org/index.php?topic=3235453.0,msg40189299,1133,Announcements (Altcoins),2018-06-16 04:21:20,moicha,Sr. Member,868,252,,[ANN][EST][ICO] 🔥 Ethereum Slot Machine - the first slots mobile game on ETH 🔥,"  To ensure that children do not play in the casino, you need to do verification of KYC! But this does not bet the company! I think so!",False
7,msg40278287,https://bitcointalk.org/index.php?topic=3235453.0,,1133,Announcements (Altcoins),2018-06-17 06:44:32,PavelRostov,Full Member,600,108,,[ANN][EST][ICO] 🔥 Ethereum Slot Machine - the first slots mobile game on ETH 🔥,"The project manager stopped answering questions in this topic? As far as I remember, the developers have assembled soft cap and have the opportunity to develop this project in the future. But I would like to hear information from the official representatives of the project.",False
8,msg40409950,https://bitcointalk.org/index.php?topic=3235453.0,msg40278287,1133,Announcements (Altcoins),2018-06-18 22:08:42,kalstarzz,Full Member,756,100,,[ANN][EST][ICO] 🔥 Ethereum Slot Machine - the first slots mobile game on ETH 🔥,"  it looks like the manager is having a bit of a problem, these days I can not see everything he wrote on this forum, whatever happened?",False
9,msg40479017,https://bitcointalk.org/index.php?topic=3235453.0,,1133,Announcements (Altcoins),2018-06-19 20:56:23,lipochka_s,Sr. Member,476,252,,[ANN][EST][ICO] 🔥 Ethereum Slot Machine - the first slots mobile game on ETH 🔥,"I think that the manager has many more projects, and he does not look at this topic because of the end of ISO. Someone from the team can lead the thread, but there are no interested persons here.",False
10,msg40539047,https://bitcointalk.org/index.php?topic=3235453.0,,1133,Announcements (Altcoins),2018-06-20 18:09:14,therhslv,Sr. Member,952,264,,[ANN][EST][ICO] 🔥 Ethereum Slot Machine - the first slots mobile game on ETH 🔥,"Would be really nice if Bounty Manager could reply if he have some info from devs , i know bounty is distributed and that managers job is done . Anyone know any info ? Kinda sad if it will turnout as scam",False
