id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45409533,https://bitcointalk.org/index.php?topic=2536933.0,msg38764462,833,Announcements (Altcoins),2018-09-09 01:54:20,kalunomics,Full Member,588,103,,[ANN][ICO] Etherecash P2P lending platform,  And now the scam of a coin is doing +300% in 24hours luring more unsuspecting members of the public to put in yet another money. I feel there should be a way to mark confirmed scam coins as scam so new people don't fall for it over again.,False
2,msg45427779,https://bitcointalk.org/index.php?topic=2536933.0,,833,Announcements (Altcoins),2018-09-09 10:47:12,jan cok,Member,285,10,,[ANN][ICO] Etherecash P2P lending platform,"It really makes me angry, I hope that a project like this can't escape and be immediately cleaned up because it makes a lot of anxiety and danger, it's really dirty and despicable.",False
3,msg45743613,https://bitcointalk.org/index.php?topic=2536933.0,msg45427779,833,Announcements (Altcoins),2018-09-15 21:09:38,CryptoScotland,Member,94,10,,[ANN][ICO] Etherecash P2P lending platform,   This scam of a token is finished for good.  It scammed over £100K from events in Glasgow.  The two ladies Indian Girls running it driving about in Porsche's etc basically ripped the living S**** out of people.  Wanted me to invest knew it was a scam.  Albeit I did buy 1 BTC off the lady because she wanted to cash out.  Scamming coin it's dead!,False
4,msg45755365,https://bitcointalk.org/index.php?topic=2536933.0,,833,Announcements (Altcoins),2018-09-16 05:57:56,kemancok,Member,252,10,,[ANN][ICO] Etherecash P2P lending platform,"a project that is very unfortunate, I like this concept, helpless if everything is just a scam, very disturbing, hopefully it will be overcome and not repeated again, very disappointed.",False
5,msg49090355,https://bitcointalk.org/index.php?topic=2536933.0,msg45755365,833,Announcements (Altcoins),2019-01-06 23:16:44,CryptoScotland,Member,94,10,,[ANN][ICO] Etherecash P2P lending platform,   This was the biggest Scam of 2017 & 2018 - I know friends and many people lost everything.  They were going to Glasgow and doing Seminars and begging people to invest.  Should be ashamed of yourself won't mention there names but idiots did not know anything about Crypto!,False
6,msg25875349,https://bitcointalk.org/index.php?topic=2536933.0,,833,Announcements (Altcoins),2017-12-06 20:37:04,rbelkin,Newbie,39,0,,[ANN][ICO] Etherecash P2P lending platform,"https://i.imgur.com/BCi24Vg.jpg  Website | White paper | Facebook | Twitter | Youtube | Telegram | Blog  Etherecash    Etherecash is a peer to peer lending platform connecting crypto and Fiat currencies in a unique way. With Etherecash   you can transfer money worldwide with ease. Etherecash provides its own crypto debit card to shop online or in-stores and also convert crypto into fiat currency in no time with ATM's all over the world.  Etherecash can significantly improve transparency, security and reliability using Smart Contract technology which is lawyer backed, to provide peer to peer loans backed by crypto.  https://i.imgur.com/C7QLPpJ.png https://i.imgur.com/jYo2ApM.png https://i.imgur.com/GfyDqGa.png https://i.imgur.com/Tp9UW7d.png  Etherecash is unique as it is the first of its kind to offer Lawyer Backed Smart Contracts which ensure the borrower and lender are legally secure. The second biggest advantage is that we facilitate loans against cryptos, giving you access to funds without needing to liquidate your cryptos. This helps you to maximise the potential of your assets. The Etherecash Crypto Debit Card is revolutionizing the way we spend, by giving you multiple options to spend your cryptos online, in stores and for ATM withdrawals in local currency.  https://i.imgur.com/9X31B7k.png   Supply of Tokens: 360,000,000  Supply of ICO Tokens: 144,000,000  Etherecash Tokens can be purchased with BTC or ETH. *Distribution of Etherecash tokens will happen once ICO has ended. The tokens may be issued to you in an ERC20 Ethereum compatible wallet.  https://i.imgur.com/lwEh33i.png  Meet our team  https://i.imgur.com/XHOif2i.png https://i.imgur.com/cybYke6.png  Website | White paper | Facebook | Twitter | Youtube | Telegram | Blog",False
7,msg25875593,https://bitcointalk.org/index.php?topic=2536933.0,,833,Announcements (Altcoins),2017-12-06 20:42:32,mcfom,Legendary,1260,1001,,[ANN][ICO] Etherecash P2P lending platform,This name sounds like BCash in first impression I thought that is fork of ETH like that. Is that ICO already live and more than 44k people contributed into that project these figures are correct?,False
8,msg25876325,https://bitcointalk.org/index.php?topic=2536933.0,msg25875593,833,Announcements (Altcoins),2017-12-06 20:58:39,rbelkin,Newbie,39,0,,[ANN][ICO] Etherecash P2P lending platform,"   It is not an ETH fork. Etherecash is an independent project. Yes, ICO main stage is LIVE for three weeks already, and just two weeks left. 44k of unique contributors participated, $25 mln raised during this time. That would be a pleasure to see new investors on our side",False
9,msg26267644,https://bitcointalk.org/index.php?topic=2536933.0,,833,Announcements (Altcoins),2017-12-13 17:53:52,Vladdirescu87,Sr. Member,966,264,,[ANN][ICO] Etherecash P2P lending platform,"Disruptive Startup, Etherecash, Concludes ICO Ahead Of Schedule, Over 30 Million USD raised, 45000 Registrations  Etherecash is one step closer to actualizing its vision of bridging the financial divide between the banked and the unbanked with the successful conclusion of its ICO ahead of schedule. The ICO is now scheduled to finish on 12th Dec 6:29 PM (GMT) after four impressive bonus rounds that outperformed expectations.  With over $30 million raised and 45000 registered participants, Etherecash can now set its sight on eliminating traditional borders, intermediaries and prejudices in the way money is lent, spent, and sent.  “We’re going forward with bringing the future of banking to the masses and think the world should know just how proud we are” the team behind the platform announced.  Read more: https://coinidol.com/disruptive-startup-etherecash-concludes-ico-ahead-of-schedule/",False
10,msg30596895,https://bitcointalk.org/index.php?topic=2536933.0,,833,Announcements (Altcoins),2018-02-19 08:32:38,okane818,Legendary,1176,1000,,[ANN][ICO] Etherecash P2P lending platform,"Etherecash, can be exchange in HitBTC, “To bridge the gap between those with access to finance and those without, eliminating borders, intermediaries and prejudices.”  Good: Etherecash (ECH) $0.891881 USD (3.14%) 0.00008285 BTC (0.66%) 0.00095142 ETH (2.25%)  Best regards,  Okane Satoshi XRPConnect",False
