id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg28896222,https://bitcointalk.org/index.php?topic=2194462.0,msg25883585,2987,Announcements (Altcoins),2018-01-25 13:30:54,TentallyMooN,Member,392,10,,[ANN][ICO][ZEUS] ⚡️ ZEUS - First EcoMining ⚡️,"     I've been following this project for a very long time, I think I've already read all the articles and publications about it! Very interesting project for my opinion",False
2,msg28897010,https://bitcointalk.org/index.php?topic=2194462.0,,2987,Announcements (Altcoins),2018-01-25 13:41:00,kimjenglot,Member,364,10,,[ANN][ICO][ZEUS] ⚡️ ZEUS - First EcoMining ⚡️,does this campaign seem to be over ? and will be listing market where this zeuz token ?,False
3,msg28897024,https://bitcointalk.org/index.php?topic=2194462.0,,2987,Announcements (Altcoins),2018-01-25 13:41:09,dspencer,Member,126,10,,[ANN][ICO][ZEUS] ⚡️ ZEUS - First EcoMining ⚡️,"A very big undertaking. There are vast amounts of garbage collected worldwide. Though I wish you luck, you'll need a little more than that to turn the tide!",False
4,msg28918660,https://bitcointalk.org/index.php?topic=2194462.0,,2987,Announcements (Altcoins),2018-01-25 18:57:30,birkomester,Full Member,336,100,,[ANN][ICO][ZEUS] ⚡️ ZEUS - First EcoMining ⚡️,"Dear Community!  We have to inform You that Hard Cap was not raised during the ICO.  We’ve analyzed and revealed some shortcomings in our work on the ICO project. The major flow of money was in fiat from large investors, this is because our advertising company was not massive enough and aimed on communications with major investors, presentations and road shows, and also because of not correctly chosen strategy on the functions and economy of the token, which was not clear and attractive for private investors. We decided to fix all the shortcomings. On March, 1 we are going to present an updated roadmap where you will see short-term scheme of token use.  Till that time we’ll continue to work under the previous roadmap: - complete the design documentation of the plant; - purchase, place and after a few months, without waiting for the plant construction, start mining power and realising of contract for hashrate sale and rent on attractive terms for which you can pay ZET with discount; - get credit funds of customary investors in the Project.  We plan the output of the Project on the second round of ICO with a work product (hashrate sell and rent of mining facilities) and a clear position as for the token use and its benefits. It will be more transparent for the investor and give more confidence when buying the token. Also the roadmap will contain plan and time of the token release on cryptocurrency exchanges.  Release roadmap scheduled on March 1, 2018, you’ll be informed by e-mail and in social networks.",False
5,msg29207206,https://bitcointalk.org/index.php?topic=2194462.0,,2987,Announcements (Altcoins),2018-01-30 03:13:57,junder,Hero Member,611,500,,[ANN][ICO][ZEUS] ⚡️ ZEUS - First EcoMining ⚡️,"ICO has ended, I joined in the social bounty when it will be distributed? thanks in advance.",False
6,msg29207319,https://bitcointalk.org/index.php?topic=2194462.0,,2987,Announcements (Altcoins),2018-01-30 03:17:29,GoldZeus,Newbie,75,0,,[ANN][ICO][ZEUS] ⚡️ ZEUS - First EcoMining ⚡️,"Hey, this coin is called like my name ",False
7,msg29362742,https://bitcointalk.org/index.php?topic=2194462.0,,2987,Announcements (Altcoins),2018-02-01 07:19:42,junder,Hero Member,611,500,,[ANN][ICO][ZEUS] ⚡️ ZEUS - First EcoMining ⚡️,Why no team of zeus is update on this thread I see ICO has ended and no confirmed by the team or the dev. this project is dead?,False
8,msg29849085,https://bitcointalk.org/index.php?topic=2194462.0,,2987,Announcements (Altcoins),2018-02-08 10:22:25,di_bit,Newbie,2,0,,[ANN][ICO][ZEUS] ⚡️ ZEUS - First EcoMining ⚡️,"The idea sounds really promising, good luck with implementing it! By the way, at the beginning of the ICO project, I work for, we used bitmedia.io to make our platform known, maybe it would be useful for you too:)",False
9,msg32895424,https://bitcointalk.org/index.php?topic=2194462.0,,2987,Announcements (Altcoins),2018-03-22 10:32:05,Palakka,Hero Member,900,1000,,[ANN][ICO][ZEUS] ⚡️ ZEUS - First EcoMining ⚡️,The website is down. It seems dead and the admin is not paid yet for all bounty.   ,False
10,msg33966700,https://bitcointalk.org/index.php?topic=2194462.0,msg29849085,2987,Announcements (Altcoins),2018-04-05 04:52:33,junder,Hero Member,611,500,,[ANN][ICO][ZEUS] ⚡️ ZEUS - First EcoMining ⚡️,"   sounds really promising? you are wrong dude, this project is already dead the website is down and telegram is already remove. It's better to read and find of this project.",False
11,msg25633264,https://bitcointalk.org/index.php?topic=2194462.0,,2987,Announcements (Altcoins),2017-12-02 22:47:15,silvestar,Legendary,1134,1002,,[ANN][ICO][ZEUS] ⚡️ ZEUS - First EcoMining ⚡️,"There is a statement phrase over there. Should we understand that Smiley will provide support? If it is like that, this project, which is important for humanity, will be successful. For mining, the project must be successful. I guess smiley miners aim to bring electricity to free and legalize crypt money with government. I think it is successful.",False
12,msg25690721,https://bitcointalk.org/index.php?topic=2194462.0,,2987,Announcements (Altcoins),2017-12-03 22:00:39,nelson4lov,Sr. Member,840,250,,[ANN][ICO][ZEUS] ⚡️ ZEUS - First EcoMining ⚡️,"The first Zeus #ASIC Bitcoin Miners are Here!    Prior to the launch of Zeus Token sale on 15th December 2017 , The Zeus team has taken a step forward to reconfirm their commitment towards building the first waste processing plant project by acquiring 100 units of AntMiner D3 Miners!  Want to Learn More about the Zeus Project and its upcoming ICO? Read: https://bitcoinexchangeguide.com/zeus-token-ico/",False
