id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg50326803,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2019-03-26 17:44:26,cryptomaxsun,Hero Member,1288,577,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,Is there any news about the project? At what stage is it now?,False
2,msg50327586,https://bitcointalk.org/index.php?topic=2981605.0,msg50326803,27394,Announcements (Altcoins),2019-03-26 18:56:46,aga0685,Member,187,46,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,"  I'm worried about this project, last activity of  lapo-Lab, the user that opened this thread was in October 24, 2018...  i hope that still all alive and with news as soon as possible... but i don't know.... Bye!",False
3,msg50577043,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2019-04-12 18:49:02,Deepiefface10,Member,128,10,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,Is this coin still useful? I have a lot more.,False
4,msg50578046,https://bitcointalk.org/index.php?topic=2981605.0,msg50577043,27394,Announcements (Altcoins),2019-04-12 20:16:31,aga0685,Member,187,46,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,  Good question..... pool is working... but the announce in this forum are few... the lapo community in telegram is big.... but... i don't know.....,False
5,msg48570461,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2018-12-10 05:47:34,grendel25,Legendary,1456,1024,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,"Lapo GPU pool has opened.  But be careful, it still seems to have some maintenance from time to time.  I would advise mining only if you have a system for monitoring and changing to a backup coin to mine.  But... I think this is really good news and wanted to share this with you  https://pool.lapo.io  You'll need to download the modded miner from the site above.  Do your own virus tests.  I ran 3 tests and it did not indicate any viruses.  All seems legit and the Lapo team is good in my opinion. ",False
6,msg48758299,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2018-12-19 11:23:58,Mr.Spider703,Jr. Member,392,4,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,"why on first page this write algo Lyra2z, on pool write Lyra2Zz? on github only old version wallet",False
7,msg48763494,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2018-12-19 16:08:20,Dextroboy,Full Member,644,101,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,"hopefully in Q2 2019 LAX can enter the market, according to their road map and the LAPO beta Card will also be released, this is very interesting to look forward to, but unfortunately at the moment I don't see LAX in the coinmarketcap",False
8,msg48764568,https://bitcointalk.org/index.php?topic=2981605.0,msg48763494,27394,Announcements (Altcoins),2018-12-19 17:02:11,lembang,Hero Member,994,501,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,"  I am also surprised by the final project even though the target achieved is very difficult to be listed on the market, whether you have to be patient how else to wait for it all and hopefully next year there will be changes from each project especially LAX can meet its target in the coming year because I'm sure many people are waiting for it",False
9,msg48987199,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2018-12-31 17:42:00,PrinceShake,Member,140,10,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,"For the purpose of this project it is surely one of the most interesting among those I have seen during this year. Of course, stablecoins could already be a good answer, but an autonomous algorithm seems to be a good alternative.",False
10,msg49007538,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2019-01-02 09:56:14,CryptoMaster84,Newbie,6,10,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,"As you know starting from December 2018 LAPO has 2 mining pools, therefore here they are:  Official LAPO GPU Mining Pool  http://pool.lapo.io  Details: no mining fee, only NVIDIA GPU mining  --------------  CustomSpeedPool  http://pool.customspeed.nl   Details:  - mining fee 2.5% - NVIDIA GPU mining - Linux optimized cpuminer available for cpu mining (built by the pool dev) - Windows optimized CPU miner (built by the pool dev) - soon Linux AMD GPU miner for RX and VEGA (built by the pool dev)",False
11,msg49088320,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2019-01-06 20:45:15,princessjenyz,Full Member,546,100,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,"LAPO aims to provide state-of-the-art financial tools for crypto-payments, exchanges and more financial services. This project.composed of strong team with good MVP. The created Wallet is pretty good. As i read the Whitepaper, the contents are very detailed. But this project need to put some more financial and marketing information.",False
12,msg49099119,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2019-01-07 12:59:48,3sobaki,Newbie,31,0,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,blochain is daun,False
13,msg49099214,https://bitcointalk.org/index.php?topic=2981605.0,msg48764568,27394,Announcements (Altcoins),2019-01-07 13:06:36,Kopetunto,Member,252,10,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,"  more than 100 million LAX seems to have been sold, meaning that they have reached the softcap, now LAX has distributed 1 billion more tokens this is very good",False
14,msg49101221,https://bitcointalk.org/index.php?topic=2981605.0,msg49099214,27394,Announcements (Altcoins),2019-01-07 14:58:34,Untomabur,Member,238,10,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,"  This is good news, of course, because they have reached the softcap, and I think that all of them are inseparable from their hard work and I hope that everything can run smoothly",False
15,msg49110980,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2019-01-08 06:18:25,netmark,Newbie,6,0,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,"Pools not working, blockchain stopped. What's going on?",False
16,msg49114370,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2019-01-08 10:38:12,endemion,Newbie,52,0,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,Already all fixed! The network is stable and safety.,False
17,msg49345425,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2019-01-21 09:22:23,MChain,Jr. Member,55,1,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,Is this token traded on any exchange? Thanks!,False
18,msg49376663,https://bitcointalk.org/index.php?topic=2981605.0,msg49345425,27394,Announcements (Altcoins),2019-01-23 05:48:10,blandin33,Newbie,92,0,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,  No,False
19,msg49419957,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2019-01-25 17:12:36,preda,Sr. Member,588,250,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,thre is some otc buyer?,False
20,msg49629848,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2019-02-07 16:38:48,ldcomp,Member,133,10,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,is there new news? ,False
21,msg49640737,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2019-02-08 11:17:12,onecryptoguy,Newbie,56,0,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,Wow! I'm shocked. People are actualy paying 0.035 $ /1 LAX?! You can buy hashpower on miningrigrentals and pay lower than 0.0005 $ / 1 LAX.  LOOOL,False
22,msg49640887,https://bitcointalk.org/index.php?topic=2981605.0,msg49629848,27394,Announcements (Altcoins),2019-02-08 11:29:09,generous,Hero Member,924,500,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,  I myself also don't know about whether there is new news or not because I don't keep up with it and it's better to just ask in the telegram group maybe there will be responded quickly,False
23,msg50133495,https://bitcointalk.org/index.php?topic=2981605.0,,27394,Announcements (Altcoins),2019-03-12 17:25:55,Agro465,Member,152,10,,🇨🇭🚀[ANN] [ICO] LAPO - DECENTRALIZED FINANCE REINVENTED. Whitelist Bonus!,Hello. I'm new to mining. can someone explain to me how I can bring the program over cmd to work? would be really great. Thank you,False
