id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg49948246,https://bitcointalk.org/index.php?topic=5005070.0,,21026,Announcements (Altcoins),2019-02-27 18:22:57,oleganpetro,Full Member,728,100,,[ANN] CRYPTONITY - The Crypto Community Exchange,It looks like you can not expect large stock exchanges. The exchange are absolutely dead and there are no updates.Not even sure that the token will rise in price,False
2,msg49970904,https://bitcointalk.org/index.php?topic=5005070.0,msg49701587,21026,Announcements (Altcoins),2019-03-01 08:42:07,Cryptonity_Exchange,Newbie,83,0,,[ANN] CRYPTONITY - The Crypto Community Exchange,"   Thank you, we will share new WP and Roadmap asap. Yes there is 100.000.000 Tokens ;  Team tokens : https://etherscan.io/address/0xbfa6fc7703eb18dbcc0b6df857a316785d01eef4  Redistribution tokens program : https://etherscan.io/address/0xfbeeef8331359adde06d5ff35c2109c4b3ee4f5f  You are correct sir, only bounty airdrop and token from our sales are in circulation. We will update our website and announcement center soon please stay tuned for the good news",False
3,msg49970920,https://bitcointalk.org/index.php?topic=5005070.0,msg49705744,21026,Announcements (Altcoins),2019-03-01 08:43:44,Cryptonity_Exchange,Newbie,83,0,,[ANN] CRYPTONITY - The Crypto Community Exchange,"   Thank you very much for your support sir, please wait for the good news",False
4,msg50013620,https://bitcointalk.org/index.php?topic=5005070.0,msg49948246,21026,Announcements (Altcoins),2019-03-04 09:07:51,Cryptonity_Exchange,Newbie,83,0,,[ANN] CRYPTONITY - The Crypto Community Exchange,"   We are already listed on a top exchange (Latoken) instead of criticizing do you have any constructive words?  The future will tell, thank you for your support anyway it helps us a lot",False
5,msg50046635,https://bitcointalk.org/index.php?topic=5005070.0,,21026,Announcements (Altcoins),2019-03-06 15:52:06,BIG2017,Newbie,59,0,,[ANN] CRYPTONITY - The Crypto Community Exchange,"My problem already get fixed by Mourad CTO of cryptonity, so this project is not a scam a few days ago there was a misunderstanding, all of my withdrawall already in to my wallet Withdrawall complete proof: http://prntscr.com/mu4r5i  Thanks CRYPTONITY(XNY) i hope your project becomes very successful",False
6,msg50047724,https://bitcointalk.org/index.php?topic=5005070.0,msg50013620,21026,Announcements (Altcoins),2019-03-06 17:11:09,oleganpetro,Full Member,728,100,,[ANN] CRYPTONITY - The Crypto Community Exchange,"  Where are your weekly updates? You’re not doing anything to support your token, which now costs almost zero. It’s really worthless if you don’t take important steps in updating the platform right now.",False
7,msg50047872,https://bitcointalk.org/index.php?topic=5005070.0,msg50047724,21026,Announcements (Altcoins),2019-03-06 17:23:00,TheLoser,Member,462,10,,[ANN] CRYPTONITY - The Crypto Community Exchange,"  I think that the team is working on listing the token on major exchanges . Now the entire cryptocurrency market is in flat, so it is not surprising that the token does not show growth.",False
8,msg50057034,https://bitcointalk.org/index.php?topic=5005070.0,msg50047724,21026,Announcements (Altcoins),2019-03-07 10:05:16,Cryptonity_Exchange,Newbie,83,0,,[ANN] CRYPTONITY - The Crypto Community Exchange,"  It takes time we can not do everything in a day and I think you are smart enough to understand it, we are recruiting so let us have the time to prepare our plans, a new roadmap will be available very quickly",False
9,msg50057049,https://bitcointalk.org/index.php?topic=5005070.0,msg50047872,21026,Announcements (Altcoins),2019-03-07 10:06:32,Cryptonity_Exchange,Newbie,83,0,,[ANN] CRYPTONITY - The Crypto Community Exchange,"   Yes we have a lot of ongoing development and discussions with major exchanges, thank you for support",False
10,msg50252572,https://bitcointalk.org/index.php?topic=5005070.0,,21026,Announcements (Altcoins),2019-03-21 08:42:01,abakr,Sr. Member,938,253,,[ANN] CRYPTONITY - The Crypto Community Exchange,"How to make a swap  Hello all, quick update: Everything will start begin of April, now we are working on our public API and listing process, everything will be ready in a few weeks, at this time we will conduct also trading competition and events on the website, listing of new projects, tokens, coins, Public Api for bots and Market Making  As our community dumped XNY we ""may"" create a new token on the EOS, Stellar, Waves plateform or our own Masternode and POS coin! Every holder of XNY will be able to swap old token to the new token/coin  We will write an announcement and you will be able to vote for the future of the project, we will rebrand as well our logo, after the swap distribution will be locked until we have big volumes and good prices, we are here to serve you thank you for your support follow our social media!",False
11,msg50272510,https://bitcointalk.org/index.php?topic=5005070.0,msg50252572,21026,Announcements (Altcoins),2019-03-22 18:29:00,Caladonian,Hero Member,1302,540,,[ANN] CRYPTONITY - The Crypto Community Exchange,"  Something good to read after that huge dumped the exchange that this coin was listed, re branding and thinking of other possible ways to workout with investors trust and continuations of this platform to succeed, there's still a lots of time while the bear still dominating, if the team are thinking about future success, better to keep working and keep the community posted.",False
