id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg51249708,https://bitcointalk.org/index.php?topic=3199556.0,msg51249264,113116,Announcements (Altcoins),2019-05-28 10:17:21,surrender10101,Newbie,17,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,"  I know the cases when that ""locked"" tokens became unlocked much earlier then planned.. Thus I would like to see the address where team's tokens are being stored",False
2,msg51251271,https://bitcointalk.org/index.php?topic=3199556.0,msg51249708,113116,Announcements (Altcoins),2019-05-28 12:27:11,zafrodik,Newbie,19,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  By the way yes. Team has to be very transparent with its community,False
3,msg51252147,https://bitcointalk.org/index.php?topic=3199556.0,,113116,Announcements (Altcoins),2019-05-28 13:37:17,CurdicMan,Newbie,17,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,Market is very bullish now. Team has to do whatever it takes to be listed on exchanges ASAP,False
4,msg51553514,https://bitcointalk.org/index.php?topic=3199556.0,msg51252147,113116,Announcements (Altcoins),2019-06-21 21:22:58,datguyian,Sr. Member,756,251,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,"  Very bullish may be a bit too optimistic, but I agree it is definitely looking quite good. Let's see how far we can go this time.",False
5,msg51169176,https://bitcointalk.org/index.php?topic=3199556.0,msg51081221,113116,Announcements (Altcoins),2019-05-22 14:08:15,rippar,Full Member,602,105,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Sure I understand it. But is also cool. Whet clinics will you reach?,False
6,msg51190562,https://bitcointalk.org/index.php?topic=3199556.0,,113116,Announcements (Altcoins),2019-05-24 01:32:14,Daffadile,Hero Member,1120,500,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,"Who the hell actually belives this is real?? Self moderated topic hmmm.... Watch this post will be removed by the OP watch. So who sees it read please.  Medico health is obviously a scam I dont know why so many people post here I guess they dont like their money, there so many good projects to support omg people.  Their website is made with an ico package herre is an example https://www.icoclone.com/ notice their website looks the same since its using a template. The linked in profiles are fake. Fake reviews too.  They didn't pay their bounty last year that was 12 months ago....  They were on bounty.x0 and didnt pay bounty there either.  You welcome to be an indiot and invest but they have been around over a year and still nothing so good luck selling coins with no value. EVen if they hit the market they will be dumped by the team. Rather gamble at a casino instead.",False
7,msg51194193,https://bitcointalk.org/index.php?topic=3199556.0,,113116,Announcements (Altcoins),2019-05-24 09:12:04,chumbaka,Newbie,17,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,There were so many ICOs that dropped in price hard right after the listing. Any guarantees that won't happen here?,False
8,msg51194913,https://bitcointalk.org/index.php?topic=3199556.0,msg51169176,113116,Announcements (Altcoins),2019-05-24 10:18:02,sannarivas,Newbie,20,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Whet? Medicohealth is about treating people not animals,False
9,msg51195663,https://bitcointalk.org/index.php?topic=3199556.0,msg51194193,113116,Announcements (Altcoins),2019-05-24 11:29:24,Forsmagor,Jr. Member,234,1,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  The business model is the answer. Despite team can not guarantee the profit here. They do all the best for the project's success. Thus for the price growth,False
10,msg51196538,https://bitcointalk.org/index.php?topic=3199556.0,msg51195663,113116,Announcements (Altcoins),2019-05-24 12:50:04,massonnito_jj,Newbie,112,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Not always good progress in developments means good price. I have ensured this multiple times with different altcoins,False
11,msg51202389,https://bitcointalk.org/index.php?topic=3199556.0,msg51196538,113116,Announcements (Altcoins),2019-05-24 20:53:46,Zheastabed,Newbie,115,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  In short term - probably. But in long run good tech always means good price,False
12,msg51207902,https://bitcointalk.org/index.php?topic=3199556.0,,113116,Announcements (Altcoins),2019-05-25 09:04:10,Xabi_my_alonso,Newbie,23,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,"There were so many ""health caring"" projects already. Why do you think this Medicohealth will be much better then those which already exist?",False
13,msg51208779,https://bitcointalk.org/index.php?topic=3199556.0,msg51207902,113116,Announcements (Altcoins),2019-05-25 10:27:11,surrender10101,Newbie,17,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  This project has zero competitors in blockchain space. That's why it is so attractive investment,False
14,msg51209762,https://bitcointalk.org/index.php?topic=3199556.0,,113116,Announcements (Altcoins),2019-05-25 12:11:57,CurdicMan,Newbie,17,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,What exactly will it be possible to do with that MVP you gonna release? One more: will it be in test net or mainet?,False
15,msg51210019,https://bitcointalk.org/index.php?topic=3199556.0,msg51209762,113116,Announcements (Altcoins),2019-05-25 12:32:35,zafrodik,Newbie,19,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  MVPs are usually deployed on testnets to ensure their integrity for QA purposes.,False
16,msg51210527,https://bitcointalk.org/index.php?topic=3199556.0,msg51210019,113116,Announcements (Altcoins),2019-05-25 13:19:42,ikardi07,Newbie,14,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  As usual yes but still there are projects that make it in mainet. So I'm also curious where exactly they gonna deploy it?,False
17,msg51215559,https://bitcointalk.org/index.php?topic=3199556.0,,113116,Announcements (Altcoins),2019-05-25 21:24:19,Machine Funk,Member,126,10,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,When will you pay bounty?,False
18,msg51220680,https://bitcointalk.org/index.php?topic=3199556.0,msg51210527,113116,Announcements (Altcoins),2019-05-26 08:34:29,sannarivas,Newbie,20,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  All MVP are being deployed in test net first. All the apos deployed in mainet are not MVP but it us alpha or beta versions,False
19,msg51221235,https://bitcointalk.org/index.php?topic=3199556.0,msg51220680,113116,Announcements (Altcoins),2019-05-26 09:32:21,chumbaka,Newbie,17,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Better to know not on testnet/mainet MVP gonna be released but when is it gonna happen?,False
20,msg51221719,https://bitcointalk.org/index.php?topic=3199556.0,msg51221235,113116,Announcements (Altcoins),2019-05-26 10:21:31,Zheastabed,Newbie,115,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,"  Till the end of June. CEO posted that in telegram chat. So, looking forward",False
21,msg51222790,https://bitcointalk.org/index.php?topic=3199556.0,msg51221719,113116,Announcements (Altcoins),2019-05-26 11:54:26,massonnito_jj,Newbie,112,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Hope to see listing on exchanges and cmc till the end of June as well,False
22,msg51223235,https://bitcointalk.org/index.php?topic=3199556.0,msg51222790,113116,Announcements (Altcoins),2019-05-26 12:33:32,Forsmagor,Jr. Member,234,1,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Cmc lists tokens only after the listing on any exchange and once trading volume exceeds 100k usd. So.. I think we will have to wait a lot ,False
23,msg51248847,https://bitcointalk.org/index.php?topic=3199556.0,,113116,Announcements (Altcoins),2019-05-28 09:00:30,Xabi_my_alonso,Newbie,23,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,After the trading start team's tokens will be still locked?,False
24,msg51249264,https://bitcointalk.org/index.php?topic=3199556.0,msg51248847,113116,Announcements (Altcoins),2019-05-28 09:38:44,sannarivas,Newbie,20,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Of course. They are locked for a year. No way to unlock and dump,False
25,msg51121775,https://bitcointalk.org/index.php?topic=3199556.0,msg51120759,113116,Announcements (Altcoins),2019-05-19 11:06:06,massonnito_jj,Newbie,112,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  We even don't know which side medicohealth belongs,False
26,msg51122928,https://bitcointalk.org/index.php?topic=3199556.0,msg51121775,113116,Announcements (Altcoins),2019-05-19 12:38:03,Xabi_my_alonso,Newbie,23,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Hope it belongs to both sides  I expect team to follow the roadmap and implement all the planned milestones till the end of this year,False
27,msg51123082,https://bitcointalk.org/index.php?topic=3199556.0,msg51122928,113116,Announcements (Altcoins),2019-05-19 12:50:00,Forsmagor,Jr. Member,234,1,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  All the roadmap till the end of the year?? It is impossible,False
28,msg51124277,https://bitcointalk.org/index.php?topic=3199556.0,msg51123082,113116,Announcements (Altcoins),2019-05-19 14:10:43,Xabi_my_alonso,Newbie,23,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Not the roadmap but that milestones that are settled for 2019.,False
29,msg51135549,https://bitcointalk.org/index.php?topic=3199556.0,,113116,Announcements (Altcoins),2019-05-20 09:19:01,surrender10101,Newbie,17,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,So much time gone and still no updates about listing. When is that gonna finally happen?,False
30,msg51136316,https://bitcointalk.org/index.php?topic=3199556.0,msg51135549,113116,Announcements (Altcoins),2019-05-20 10:28:21,chumbaka,Newbie,17,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  I have a feeling we will get the IEO on one of the top exchanges soon Thats why team does not announce anything about listing,False
31,msg51137081,https://bitcointalk.org/index.php?topic=3199556.0,msg51136316,113116,Announcements (Altcoins),2019-05-20 11:40:14,CurdicMan,Newbie,17,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  That won't be really good decision from the team  one more month to wait before the listing,False
32,msg51138296,https://bitcointalk.org/index.php?topic=3199556.0,msg51137081,113116,Announcements (Altcoins),2019-05-20 13:15:48,zafrodik,Newbie,19,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Why not? I think otherwise. It will be the guaranteed listing on one of the top exchange! I'm ready to wait a month more for this reason,False
33,msg51139116,https://bitcointalk.org/index.php?topic=3199556.0,msg51138296,113116,Announcements (Altcoins),2019-05-20 14:13:12,ikardi07,Newbie,14,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Same to me. IEO is big trend now and it is a foolishness to ignore,False
34,msg51148073,https://bitcointalk.org/index.php?topic=3199556.0,msg51139116,113116,Announcements (Altcoins),2019-05-21 06:14:02,Zheastabed,Newbie,115,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  It is still a trend on top exchanges like binance or huobi. The rest platforms don't provide any significant marketing support,False
35,msg51150678,https://bitcointalk.org/index.php?topic=3199556.0,msg51148073,113116,Announcements (Altcoins),2019-05-21 10:10:37,sannarivas,Newbie,20,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Conducting IEOs is not about marketing boost. It is about providing listing on top exchanges and making market making,False
36,msg51151208,https://bitcointalk.org/index.php?topic=3199556.0,,113116,Announcements (Altcoins),2019-05-21 10:59:27,Forsmagor,Jr. Member,234,1,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,Will the release of final version of the app be featured in blockfolio signals?,False
37,msg51151990,https://bitcointalk.org/index.php?topic=3199556.0,msg51151208,113116,Announcements (Altcoins),2019-05-21 12:03:45,opskin_man,Copper Member,131,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  I doubt about that. Token has firstly to be included into blockfolio dapp and only then signals about token can appear there,False
38,msg51152586,https://bitcointalk.org/index.php?topic=3199556.0,msg51151990,113116,Announcements (Altcoins),2019-05-21 12:50:07,Xabi_my_alonso,Newbie,23,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,"  We need any updates about how the listing process is ongoing. Not exactly on exchanges but coinmarketcap, coingecko etc",False
39,msg51164403,https://bitcointalk.org/index.php?topic=3199556.0,,113116,Announcements (Altcoins),2019-05-22 07:52:36,massonnito_jj,Newbie,112,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,Why I can not find a lead developer on your website? Who is that guy? Wanna check his experience,False
40,msg51165129,https://bitcointalk.org/index.php?topic=3199556.0,msg51164403,113116,Announcements (Altcoins),2019-05-22 08:57:00,Xabi_my_alonso,Newbie,23,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  I guess the best way how to ensure if that guy is experienced enough is downloading the app and checking,False
41,msg51166345,https://bitcointalk.org/index.php?topic=3199556.0,,113116,Announcements (Altcoins),2019-05-22 10:38:33,surrender10101,Newbie,17,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,I read team participated the Bold conference in Venice a month ago. How did it go? Any report from the event?,False
42,msg51167104,https://bitcointalk.org/index.php?topic=3199556.0,msg51166345,113116,Announcements (Altcoins),2019-05-22 11:44:45,Zheastabed,Newbie,115,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Project has won the award of the best ICO project of the year. So it went very well for sure,False
43,msg51167256,https://bitcointalk.org/index.php?topic=3199556.0,,113116,Announcements (Altcoins),2019-05-22 11:56:09,javanation01,Newbie,4,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,"The MedicoHealth.io blog post (https://krown.io/story/why-is-blockchain-implementation-in-healthcare-so-important) has been submitted to Krown! Upvote your link, before it gets buried!!",False
44,msg51168065,https://bitcointalk.org/index.php?topic=3199556.0,msg51167256,113116,Announcements (Altcoins),2019-05-22 12:52:19,zafrodik,Newbie,19,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  Did the team submitted that article or you did that by your own?,False
45,msg50878633,https://bitcointalk.org/index.php?topic=3199556.0,msg50877811,113116,Announcements (Altcoins),2019-05-03 11:20:17,zafrodik,Newbie,19,0,,[ANN] [MHP] Medicohealth.io | Building bridges to better health |,  I don't think team will postpone listing of Medicohealth for so long time. No one needs it,False
