id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg30216819,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-02-13 15:50:48,OpenProductDb,Newbie,12,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"OpenProductDb   Global full-featured open database of goods. Designed for the cryptocurrency era.    Website | Whitepaper page  | Whitepaper PDF Twitter | Telegram channel | Telegram chat Bounty thread    Features  Open data Product descriptions use structured data with the latest standards in.  Product descriptions is available on CC-BY license terms Product descriptions is available in JSON-LD format, Schema.org For product categorization (taxonomy), the latest version of the GPC standard is used   Global The service is initially created in multilingual, in order to best meet the needs of people from every place of our planet.  An early version of the service will be available in 2 languages At the start of the first public version of the service, it will be available in 5 languages Regularly increasing the number of languages supported to penetrate new markets is one of our growth strategies   Profitability The project receives revenue from commercial placements -- purchase offers on the product page.  The minimum placement price is initially defined as the equivalent of 1 USD per item per month Offers are shown in order of decrease in the price of their placement On the product page, the offers matching the user's location are displayed Payment of tokens of the project is stimulated by discounts When paying with usual (fiat) money, part of the revenue is spent on buying tokens, which ensures the price of the token increases   Payments to authors The author of the product description receives up to 10% of the revenue from commercial placements for this product.  The percentage of income to the author depends on the quality of the product description The quality of the product description can only be estimated by the owners of the tokens Payments to authors are carried out in project tokens, from a special pool   Price increase for the token We do our best to provide a natural process of increasing the price of the token  Using a token for payments to authors, gives an opportunity to increase the volume of trades in the token A part of the income received in the form of ordinary (fiat) money is spent on buying out tokens, which guarantees the growth of the price of the token The use of the token for voting and payment to the holders of the token also guarantee the growth of the price of the token Immediately after the launch of the first public version of the service, the token is displayed on the exchanges   Payments to investors Last but not least. We do not just issue a token, which you can earn on sale, we promise regular payments to the holders of the tokens.  The size and regularity of payments is determined by voting of the holders of the tokens First payments to tokens holders begin one year after the start of ICO Payments to the holders of the tokens are made on the personal wallet in ETH    Token  Information  Type: Ethereum-based Name: OPDB Price: 1 ETH = 1000 OPDB Amount: 50,000,000 OPDB Soft cap: 1,000,000 OPDB Hard cap: 27,500,000 OPDB  Distribution  Pre-ICO: 5% ICO: 50% Founders: 25% Reserve for authors: 10% Consultants: 5% Bounty program: 5%     Website | Whitepaper page  | Whitepaper PDF Bounty thread    Thank you for reading!  Please check more updates on:  Website: https://OpenProductDb.com  Twitter: https://twitter.com/openproductdb  Telegram channel: https://t.me/openproductdb  Contact us:  Telegram english chat: https://t.me/openproductdb_en  Telegram russian chat: https://t.me/openproductdb_ru  Mail: contact@OpenProductDb.com  UPDATES:  Bounty started  Pre-ICO started  Smart contract sources published at GitHub",False
2,msg30229841,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-02-13 19:19:21,SeveralQ,Member,182,11,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"Hi everyone! Just added Openproductdb ICO to my website https://concourseq.io/Q/Openproductdb. ConcourseQ is a collaborative due diligence community that researches and reviews ICOs. Anyone with an account can submit information to your page, so we are reaching out to this community to get you all involved in the discussion. Thanks! PS: If you have any questions about filling in the info, feel free to ask us in our discord group: https://discord.gg/j8RBAwB",False
3,msg30252358,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-02-14 06:03:35,nevemore,Newbie,1,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,What is the meaning of the project? How does it work in simple words? Not clear,False
4,msg30253278,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-02-14 06:27:58,tippytoes,Sr. Member,896,257,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,Can you provide the profile links of your team members? And where can we see your working prototype?,False
5,msg30253707,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-02-14 06:39:38,HAMEN,Newbie,2,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,Hello. I have a question. When will the bounty program be launched and what are the terms?,False
6,msg30256329,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-02-14 07:41:49,Safney,Newbie,1,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"When the site is up and running, how will the distribution process to the token holders work?",False
7,msg30259365,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-02-14 08:43:09,Fox85,Newbie,2,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,You’re stating the original version of the website will be available in English and Russian. When are you planning to add the rest of languages?,False
8,msg30261300,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-02-14 09:19:13,Fox85,Newbie,2,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,And can I start preparing full descriptions of goods?,False
9,msg30271630,https://bitcointalk.org/index.php?topic=2941446.0,msg30253278,338,Announcements (Altcoins),2018-02-14 12:23:09,OpenProductDb,Newbie,12,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"   Thank you for your interest.  We just updated our site and added links to the profiles of most team members. The other profiles links will be added in the near future.  The prototype will be available next week, before the start of the pre-ICO.",False
10,msg30278369,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-02-14 14:12:46,MrDarkElf,Member,294,10,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"Where is detailed information about project founders? - I see only name and photos. It is unbeliveable that you want to start pre-sale in 5 days, but I have not find any publications about your project in the web. Moreover I think that 11 pages WhitePaper it not serious.",False
11,msg30402091,https://bitcointalk.org/index.php?topic=2941446.0,msg30278369,338,Announcements (Altcoins),2018-02-16 11:03:10,OpenProductDb,Newbie,12,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"   First of all, thank you for your comment and sorry for not responding immediately. Your comment led to a rather difficult but, hopefully, productive discussion within our team.  Concerning the date of pre-ICO. Despite the complexity of this solution, we decided to postpone the start of the pre-ICO on 26 February.  Regarding the 11 page whitepaper. In the near future, we will complete and publish an updated and more detailed document.  Now about the lack of links to the founders' profiles. The problem is that our founders are representatives of the real sector of the economy, who simply did not use social networks. Initially, we decided not to create new profile pages for them, that this will be regarded as negative. We still believe this is the right decision, but in the near future we will add information on the founders on our website.",False
12,msg30403721,https://bitcointalk.org/index.php?topic=2941446.0,msg30252358,338,Announcements (Altcoins),2018-02-16 11:30:02,OpenProductDb,Newbie,12,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"   Imagine an analogue of wikipedia, but for the goods.  Anyone can post information about the goods. The owners of the token can vote on this information, determining the quality of the descriptions (from 0 to 10). The best description is published, and its author receives a portion of the revenue for the product in the form of tokens.  Information on the goods will be presented in the form of structured data, almost immediately ready for use, including for SEO. The information on the goods will be available free of charge under the license CC-BY, i.e. any (including commercial) use of this information will be allowed, provided that a link to its source is published.  On the product description page, proposals for buying it can be placed. These offers are paid by the sellers, and the price of the initial placement is the equivalent of 1 USD for one product per month. The offers are displayed based on the user's location, and in order of decreasing the placement price. Thus, natural leveling of prices is achieved depending on demand, and limiting the location avoids artificial competition.  The authors of the descriptions receive up to 10% (depends on description quality) of the income received from the offerings for the goods.  Holders of the token receive regular payments on income, after 12 months from the beginning of the ICO. The percentage and regularity of payments is determined by an open vote of the holders of the token before the first payment.",False
13,msg32350470,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-03-15 08:05:01,Alphatm,Newbie,3,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"The idea of the project is quite interesting, but it all depends on how it will be implemented. Do you have any previous successful projects?",False
14,msg32358934,https://bitcointalk.org/index.php?topic=2941446.0,msg32350470,338,Announcements (Altcoins),2018-03-15 10:22:50,OpenProductDb,Newbie,12,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"    The last successful project of our team is ImFAST.com Unfortunately, at the moment, it is focused on the Russian-speaking audience, so I will briefly describe what it is.  ImFAST.com is a board of free ads, combined with the ability to create online stores for companies. All basic functionality is provided free of charge, and advanced functions are provided on a fee basis. For example, for online stores there is a paid opportunity to use the designer of the store's website.",False
15,msg32370952,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-03-15 13:31:23,freemam,Newbie,4,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,Are there any materials with a simple and understandable assessment of the revenue side of the project?,False
16,msg32377174,https://bitcointalk.org/index.php?topic=2941446.0,msg32370952,338,Announcements (Altcoins),2018-03-15 14:54:23,OpenProductDb,Newbie,12,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"   First of all, look at the article From the point of view of money If after reading there are some questions - ask, we will try to answer.",False
17,msg32446932,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-03-16 13:30:20,HAMEN,Newbie,2,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"Good day , how to buy tokens which purses suit transaction , thank you .",False
18,msg32456397,https://bitcointalk.org/index.php?topic=2941446.0,msg32446932,338,Announcements (Altcoins),2018-03-16 15:44:16,OpenProductDb,Newbie,12,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"   If I understand correctly, do you want to learn how to buy tokens?  Follow these steps:  1. If you do not already have an ERC20 wallet, create a wallet and add funds to it to purchase the tokens.    1.1. Create ERC20 wallet.   We recommend https://www.myetherwallet.com/   NOTE: Dont forget to save: password, keystore file, private key, mnemonic phrase    1.2. Transfor funds to your new wallet.   NOTE: Dont forget, minimal ammount is 0.1 ETH. In addition, there is a transaction fee, so we recommend a minimum payment amount of 0.15 ETH  2. Register on https://OpenProductDb.com/ On profile page press ""Setup wallet"" and enter your private ERC20 wallet address.  3. Send funds (ETH) from your ERC20 wallet to address, specified in ""Buy tokens"" section on profile page. NOTE: Dont forget, minimal ammount is 0.1 ETH. In addition, there is a transaction fee, so we recommend a minimum payment amount of 0.15 ETH NOTE: Please specify in the ""gas limit"" the value of at least 200,000",False
19,msg32764159,https://bitcointalk.org/index.php?topic=2941446.0,,338,Announcements (Altcoins),2018-03-20 15:51:28,SShikakAA,Newbie,112,0,,[ANN][PRE-ICO][ICO] OpenProductDb: Global full-featured open database of goods.,"Hi all! I've just found SWOT analysis of this project in the net. Does it seem realistic, how do you think? http://swot.digrate.com/report/981c88b1-f2b9-414a-b881-4ba1b15678a6",False
