id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg21816693,https://bitcointalk.org/index.php?topic=2175629.0,,1582,Announcements (Altcoins),2017-09-14 06:17:03,hash.guide,Newbie,10,0,,[ANN][ICO] BioPayCoin - Solving the Identity Issues on Blockchain," PLEASE READ EVERYTHING ON HOW TO PARTICIPATE, BEFORE SENDING ANY ETH    Website has been updated a little more, apologies for the delays, but this is why I set up the ICO so long and why I set the beginning so high of an amount. If you are going to participate, I suggest you VERIFY contract address before sending any ETH to make sure you have the right one, check here AND website to be sure.    *DO NOT SEND ETH TO BIO TOKEN ADDRESS, NEEDS TO BE CROWDSALE CONTRACT ADDRESS  The ICO will run until December 31, 2017 11:59PM Eastern United States time.  Information on BPC and the BIO Token Sale  Name: BioPayCoin Symbol: BIO Decimals: 18 BIO Token Address: 0x25432dD810730331498C22FBf6b98432E7ef3E66 Minimum Buy in: 50 BIO Tokens  BIO Token Sale Total Cap: 50,000,000 BIO  BIO Reserved Tokens:  750,000 BIO  250,000 for bounties;  500,000 for current devs to hold plus futures;  5,000 for previous contributors;   Phase one: 10/10/2017-11/01/2017::5000BIO/1ETH  Phase two: 11/01/2017-11/20/2017::4000BIO/1ETH  Phase three: 11/20/2017-12/10/2017::3000BIO/1ETH  Phase four: 12/10/2017-12/20/2017::2000BIO/1ETH  Phase five: 12/20/2017-12/31/2017::1000BIO/1ETH   Participating in the BIO Token Sale  BIO Crowdsale Address: 0x9875FE006D796A1A7533596ebF778B575aC01ED0  Method ID for tx without Oracles.org ICO Wizard: 0xa6f2ae3a    *This Method ID is VERY important, if you are not using the ICO Wizard. If you do not have this chunk of data with your transaction, it WILL fail.  What will the funds be used for?    The funds accrued from BIO Token Sale will go towards expanding BPC team by bringing in more experienced developers, marketing/PR, legal, ect. There is also 750,000 BIO Tokens reserved to dev account, 250,000 will be for bounties and remaining 500,000 will be distributed to developers on the team, to hold. Excess bounty/marketing needs will come from ETH earned during ICO.  What are the Minimum goals?  BPC does not have any set, minimum goals at the moment. This project is moving forward, even in case of unsuccessful ICO (minimal participants), a successful ICO will just mean the process will move along allot quicker. In case of unsuccessful ICO and main network takes an extended amount of time to release, any participants who entered the ICO will be compensated for the contributions.  BioPayCoin Links  https://facebook.com/biopay.coin.1  https://facebook.com/BIOICO  We do not post all our test code on github for multiple reasons. https://github.com/biopaycoin  https://twitter.com/biopaycoin  Email: HashGuide@biopaycoin.com  If you would like to join our #slack channel, please send an email for the invite.  Future Goals  There are many reasons we are NOT going to share all our details with everybody at this moment. Big reason is mainly because we don't need other developers quickly throwing some program together with the ideas for themselves. Another one is also because we do not know the extreme possibilities that can be opened up with a successful ICO and we hope people can be patient with us because great things do not happen overnight.  How are the funds handled?  The BIO token sale is being run on Oracles.org ICO Wizard. The smart-contract set up with the wizard locks down the multi-sig wallet after 5 contributors. BIO Token Distribution also comes to a halt until the end of the ICO, on December 31, 2017. This insures the money won't be spent and BIO tokens won't be traded until ICO has completed and we have released a BIO wallet.",False
2,msg21816803,https://bitcointalk.org/index.php?topic=2175629.0,,1582,Announcements (Altcoins),2017-09-14 06:20:48,m_nief,Sr. Member,420,250,,[ANN][ICO] BioPayCoin - Solving the Identity Issues on Blockchain,"waiting for more information, especially for the tokensale. how the system and how about the bonuses on presale.",False
3,msg21882867,https://bitcointalk.org/index.php?topic=2175629.0,,1582,Announcements (Altcoins),2017-09-16 02:12:10,hash.guide,Newbie,10,0,,[ANN][ICO] BioPayCoin - Solving the Identity Issues on Blockchain,"ICO Instructions, project & bonus info at the bottom.  http://biopaycoin.com/pdf/ICOInstructions.pdf",False
4,msg22017303,https://bitcointalk.org/index.php?topic=2175629.0,,1582,Announcements (Altcoins),2017-09-20 00:43:09,Shiekin,Member,176,10,,[ANN][ICO] BioPayCoin - Solving the Identity Issues on Blockchain,"every project has an aiming , but this project looks good, I hope this one will be great to make a better profit in the near future",False
5,msg22021828,https://bitcointalk.org/index.php?topic=2175629.0,,1582,Announcements (Altcoins),2017-09-20 05:09:21,Russlenat,Hero Member,1134,574,,[ANN][ICO] BioPayCoin - Solving the Identity Issues on Blockchain,Any bounty for BioPayCoin?,False
6,msg22579031,https://bitcointalk.org/index.php?topic=2175629.0,,1582,Announcements (Altcoins),2017-10-05 04:00:07,jiya jaena,Member,169,10,,[ANN][ICO] BioPayCoin - Solving the Identity Issues on Blockchain,"the information isn't enough sir, waiting for more information. i hope you can update this thread with the details info.",False
7,msg24112820,https://bitcointalk.org/index.php?topic=2175629.0,,1582,Announcements (Altcoins),2017-11-06 09:47:26,hash.guide,Newbie,10,0,,[ANN][ICO] BioPayCoin - Solving the Identity Issues on Blockchain," PLEASE READ EVERYTHING ON HOW TO PARTICIPATE, BEFORE SENDING ANY ETH    Website has been updated a little more, apologies for the delays, but this is why I set up the ICO so long and why I set the beginning so high of an amount. If you are going to participate, I suggest you VERIFY contract address before sending any ETH to make sure you have the right one, check here AND website to be sure.    *DO NOT SEND ETH TO BIO TOKEN ADDRESS, NEEDS TO BE CROWDSALE CONTRACT ADDRESS  The ICO will run until December 31, 2017 11:59PM Eastern United States time.  Information on BPC and the BIO Token Sale  Name: BioPayCoin Symbol: BIO Decimals: 18 BIO Token Address: 0x25432dD810730331498C22FBf6b98432E7ef3E66 Minimum Buy in: 50 BIO Tokens  BIO Token Sale Total Cap: 50,000,000 BIO  BIO Reserved Tokens:  750,000 BIO  250,000 for bounties;  500,000 for current devs to hold plus futures;  5,000 for previous contributors;   Phase one: 10/10/2017-11/01/2017::5000BIO/1ETH  Phase two: 11/01/2017-11/20/2017::4000BIO/1ETH  Phase three: 11/20/2017-12/10/2017::3000BIO/1ETH  Phase four: 12/10/2017-12/20/2017::2000BIO/1ETH  Phase five: 12/20/2017-12/31/2017::1000BIO/1ETH   Participating in the BIO Token Sale  BIO Crowdsale Address: 0x9875FE006D796A1A7533596ebF778B575aC01ED0  Method ID for tx without Oracles.org ICO Wizard: 0xa6f2ae3a    *This Method ID is VERY important, if you are not using the ICO Wizard. If you do not have this chunk of data with your transaction, it WILL fail.  What will the funds be used for?    The funds accrued from BIO Token Sale will go towards expanding BPC team by bringing in more experienced developers, marketing/PR, legal, ect. There is also 750,000 BIO Tokens reserved to dev account, 250,000 will be for bounties and remaining 500,000 will be distributed to developers on the team, to hold. Excess bounty/marketing needs will come from ETH earned during ICO.  What are the Minimum goals?  BPC does not have any set, minimum goals at the moment. This project is moving forward, even in case of unsuccessful ICO (minimal participants), a successful ICO will just mean the process will move along allot quicker. In case of unsuccessful ICO and main network takes an extended amount of time to release, any participants who entered the ICO will be compensated for the contributions.  BioPayCoin Links  https://facebook.com/biopay.coin.1  https://facebook.com/BIOICO  We do not post all our test code on github for multiple reasons. https://github.com/biopaycoin  https://twitter.com/biopaycoin  Email: HashGuide@biopaycoin.com  If you would like to join our #slack channel, please send an email for the invite.  Future Goals  There are many reasons we are NOT going to share all our details with everybody at this moment. Big reason is mainly because we don't need other developers quickly throwing some program together with the ideas for themselves. Another one is also because we do not know the extreme possibilities that can be opened up with a successful ICO and we hope people can be patient with us because great things do not happen overnight.  How are the funds handled?  The BIO token sale is being run on Oracles.org ICO Wizard. The smart-contract set up with the wizard locks down the multi-sig wallet after 5 contributors. BIO Token Distribution also comes to a halt until the end of the ICO, on December 31, 2017. This insures the money won't be spent and BIO tokens won't be traded until ICO has completed and we have released a BIO wallet.",False
8,msg24144613,https://bitcointalk.org/index.php?topic=2175629.0,,1582,Announcements (Altcoins),2017-11-06 21:47:14,hash.guide,Newbie,10,0,,[ANN][ICO] BioPayCoin - Solving the Identity Issues on Blockchain,more information added on biopaycoin.com,False
9,msg24990700,https://bitcointalk.org/index.php?topic=2175629.0,,1582,Announcements (Altcoins),2017-11-22 01:59:50,hash.guide,Newbie,10,0,,[ANN][ICO] BioPayCoin - Solving the Identity Issues on Blockchain,"Amount of BIO per ETH has been changed, now 3000BIO/1ETH and reducing again December 10.   The available amount of BIO during ICO has been reduced to 5,000,000 BIO plus the reserved amount for bounties, devs and previous contributors from last contract. At the current rate, the token sale will bring in 1,666.66 ETH and at the current price is $604,133.33 if sold out before the next price increase. This cap is a more realistic amount for such an unknown and small team and just hope some people are willing to take that chance for a long-term small investment. The lower amount of available BIO also opens up the supply and demand market when our first product on the Ethereum Network is put to use and I can assure you that it will. Please, take that chance, just because we don't have tens of thousands of dollars saved up and put towards our sale, doesn't mean we don't have potential.  I understand that our website is not very appealing, not enough information and no actual whitepaper, but that is because we do not know which way to go with this right now. If we want to deliver our promised product, it wouldn't be finished for a while due to testing a new system to make sure it would be secure enough to handle actual payments without needing your phone or card with you. Our focus has moved to a much simpler project to begin and earn a community with a live product, we will be releasing full details and possibly a first release, before the end of the year.  The new project will solve many issues that will soon arise with the new businesses coming to blockchain like insurance companies, medical businesses, governance situations, taxables and federally adopted payment systems by providing additional identity mechanisms through smart-contract technology and able to verify identities on the Ethereum network and any BRIDGED private networks associated with the EVM.  I have left my personal facebook page and email on the ""Contact"" page at biopaycoin.com in case anyone is interested, but scared to invest. With the help of many people contributing micro amounts can help bring a team together and speed up development because I won't lie, we need the extra developers. Everyone investing in BioPayCoin will know exactly who made the website and posted here on BTC and I can promise that, given the chance for once in MY life, I know I can do great things. Even if the main idea does not get released for an entire year, I KNOW our work in progress will be a big hit. It will come in a Dapp form, allowing anybody on the Ethereum network or private networks BRIDGED through Parity to use. I will do whatever is necessary to make a successful business providing many open source projects for the community, we just need that chance to assemble a team for many reasons.  Every day I look through the upcoming ICO's and I am amazed. The creativity/insanity from some of these projects, sometimes having NO NEED for a token, nevermind 200 million dollars with their main product already launched. Don't get me wrong, there are tons of good ones out there, but the ratio is very small, I know that given the chance and in time, BioPayCoin could be a great underdog. My point is, even the ICO's that have no need for an ERC20 token can earn almost 20k contributors and tens of millions of dollars, mainly because they put together a nice looking website and paid tens of thousands of dollars to advertise. So why can't we do it? Well we didn't have that opportunity, I just discovered Bitcoin 8 months ago and introduced my partner to it, shortly after and with me having a large family to take care and provide for, there's not much to invest with.  So far there has only been 6 contributors, one of which participated in the original not-so-smart-contract I had posted who will be receiving double for early participation and if ends up being in top 100, will receive an additional 100% of the original investment. BIO's initial price was 1000BIO/1ETH and was raised to 5000BIO/1ETH with the new manageable contract. Every ~3 weeks the amount of BIO per ETH dropped 1000 and is currently at 3000BIO/1ETH which means basically 200% bonus right now, still, for ~18 more days.  Head over to BioPayCoin.com now to check out the Token Sale or invest right on the ""Invest"" page using MetaMask Wallet. If you do not have Metamask, you can use any other ERC20 Compliant Wallet that you control the private key of. Instructions on how to invest using ""MyEtherWallet"" ""Parity"" and ""Metamask without ICO Wizard"" can be found on the ""How To"" page on BioPayCoin website.  BIO Crowdsale Address: 0x9875FE006D796A1A7533596ebF778B575aC01ED0  REQUIRED MethodID to Send with ANY transaction without ICO Wizard: 0xa6f2ae3a",False
10,msg24991397,https://bitcointalk.org/index.php?topic=2175629.0,,1582,Announcements (Altcoins),2017-11-22 02:25:59,hash.guide,Newbie,10,0,,[ANN][ICO] BioPayCoin - Solving the Identity Issues on Blockchain,"Also, the Bounty Tokens will not be released until the ICO is over December 31, but if anyone would want to do some work now for BIO or ETH later, you are more then welcome to message me and work with us.",False
