id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg52240900,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-08-23 08:30:16,CoinCasso Official,Newbie,29,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,"We are very, very open recently. A few days ago, we revealed the Exchange View for CoinCasso 2.0 and today we present the Wallets View! You like it?  https://coincassogroup.com/wp-content/uploads/2019/08/wallets-view-coincasso-bitcoin-exchange.jpg",False
2,msg52385979,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-09-07 11:42:20,CoinCasso Official,Newbie,29,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,We present the official CoinCasso 2.0 Dashboard View  https://coincassogroup.com/wp-content/uploads/2019/09/coincasso-bitcoin-exchange-dashboard-view.jpg,False
3,msg52415506,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-09-10 13:58:47,CoinCasso Official,Newbie,29,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,Finally!!!!!!! The big news is coming!! SEPTEMBER 12TH is the start date of beta tests for CoinCasso 2.0‼️‼️ We are ready and so excited!!!!!  https://coincassogroup.com/wp-content/uploads/2019/09/beta-tests-bitcoin-trading-platform-coincasso-exchange.jpg,False
4,msg49118770,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-01-08 14:59:35,CoinCasso Official,Newbie,29,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,"CoinCasso Exchange is a hybrid solution that combines the advantages of centralized and decentralized exchanges. As the first on the market, we have introduced a system of sharing profit with active members. The product is ready in beta version.  The shareholders of our exchange are the owners of our CCX tokens, which are based on the decentralized Ethereum blockchain (ERC-20). The CoinCasso project is a holistic and democratic solution created for the community. One of the ways to implement this idea is rewarding users for their actions and developing the industry. In this situation, we have decentralized and democratized management of a quick centralized exchange. Bitcoin mining works in approximately the same way - users are rewarded for maintaining the network.  CoinCasso.com - It is a partially centralized exchange, where the users have the decentralized, democratized impact on operations.  CoinCasso gives users democratic opportunities to add their coins and personal tokens. It helps with promoting both personal and corporate tokens. What’s more, CoinCasso is more than just an exchange, it is a multi-layer product. The profit which we share with active users will come from the following parts of the project: ■ CoinCasso Exchange 2.0, ■ CoinCasso Pay Wallet App, ■ Quick exchange, ■ Payment gateway, ■ A network of ATMs, ■ PoS - payment terminal.   Core features of CoinCasso Exchange 2.0: ● A powerful number of transactions per second with the possibility of increasing this amount in times of overload ● Trade margin ● 9 Types of order in a trading ● Optimised UI/UX ● Trusted ICO/STO Provider ● Profits and bonuses for CCX holders ● Currency FIAT, Corporate/Personal tokens supported ● 24/7 Users Support ● High-Security Level  Quick buy and sell This service will give the opportunity to express the exchange of FIAT and digital currencies. Next, it will be connected to our proprietary API, which will also facilitate the exchange and processing of transactions with merchants and our ATM network. It will be also the most friendly exchange environment for beginners.  Fee Structure  Low transactional percentages for our users will allow for a large number of transactions. Standard commissions for each transaction amount to 0.25%. - Taker fee: 0,25% - Maker fee: 0,25%  CCX-POWER holders and partners will exempt from trading fees up to 50%  FIAT Currency  We will accept PLN, USD, EUR, GBP but in the future, we plan to add even more FIAT currencies. The project is fully licensed, which gives us a lot more possibilities in the field of FIAT currency exchange. The ability to exchange all tokens on FIAT with just one click.  Payment Gateway  Fully compatible with API, it will change virtually every website, including this built on WordPress, to the possibility of making payments in cryptocurrencies. Our development plan has the scope of creating our own payment gateway as well as plug-ins for the most popular and extensive merchant systems such as WOOCOMMERCE, PRESTASHOP, SHOPIFY or OPENCART.  Acceptable tokens  The platform enables and supports the conduct of Trusted ICO. We help companies wanting to bring tokens into the world with sales. CoinCasso guarantees ICO control of the company, obtaining tokens and reviewing smart contracts to meet ICO conditions. After a successful campaign, the tokens go to the exchange for bidding. All new coin lists outside the initial ones require additional evaluation. CCX holders will have the right to vote and decide which of the planned tokens they want. Coins of an entirely new project or less known in global markets will be added on demand in the first place in pairs to CCX. If you or your project is based or a token or coin and you have a problem placing it on the market, this is another reason why you should get a CCX.  Affiliates - partners  The promotion costs are very high, which is why we have created an affiliate program for our verified users who, by recommending our platform, will be able to benefit from participation in profits generated by registered members. By this feature, we will be able to gain even more customers faster and expand the society, finally grow volume and we will generate higher profits for the whole company.  Contact We welcome you also on our Social Media: - Facebook - Instagram - Twitter - Youtube - Telegram - Medium  The revolution in blockchain industry has just begun... ~Team CoinCasso Group",False
5,msg49140804,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-01-09 18:01:25,bigmaster23,Full Member,518,106,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,Your post is off topic please try to find out exact section which is appropriate for your post. Posting it here will not be any helpful for you it will be just time wasting and will make the forum as spamming.,False
6,msg49150974,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-01-10 08:46:45,CoinCasso Official,Newbie,29,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,"No, is not  This is correct section, and this thread isn't our, so we asked an admin about close it: https://bitcointalk.org/index.php?topic=5053992.msg49118900#msg49118900",False
7,msg49374813,https://bitcointalk.org/index.php?topic=5094658.0,msg49150974,448,Marketplace,2019-01-23 01:54:29,bigmaster23,Full Member,518,106,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,"  Admin usually do not close, you have to close I mean lock the thread which you can see bottom of the post. And locking that would be good for you.",False
8,msg49397103,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-01-24 10:04:53,CoinCasso Official,Newbie,29,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,"the thing is that we did not open it. Someone wrote on our behalf, so we don't have access to close it https://bitcointalk.org/index.php?topic=5053992.msg49118900#msg49118900",False
9,msg49397363,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-01-24 10:25:12,CoinCasso Official,Newbie,29,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,"#The Davos Conference CoinCasso delegation is treading on the new ground! We attended the Caspian Week during the World Economic Forum! It brings over 80 government officials and innovators from 20 countries! They focus on implementing innovations and new technologies to the Caspian Region.  We also established new contacts that will help us spread blockchains and cryptocurrencies in Europe and around the world.🌎 “From the early morning, we have been working for one purpose: in order for CoinCasso to reach the global market”, said Luke Ozimski. We are also getting ready for our presentation 🔜24.01.2019!  CoinCasso team attended the meeting in the luxurious Grandhotel Belvédère. It was hosted by Infosys, a leading Indian IT company. Global companies, world leaders, technology avant-garde - all of them meeting, discussing and planning a better world.  Behind us is another meeting during the Davos Conference Week! Professor Mark Mueller-Eberstein, who is a world-renowned business leader, best-selling author, and university lecturer, talked to us about bounty programs. We plan to introduce a reward system for running a marketing campaign for our project. What’s more? Soon, we will be presenting ourselves! Stay tuned! Check our community https://www.facebook.com/coincasso/ And our latest video from #WEF on Youtube https://youtu.be/wLdL8OXEA-U  This week we also presented our team. Check out on Youtube!",False
10,msg49819373,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-02-19 13:20:11,CoinCasso Official,Newbie,29,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,"Public registration on CoinCasso Exchange 1.0 has become a fact!📈🔥 From today, anyone can set up an account on CoinCasso.com. Have a nice trade! 👉https://coincasso.com  https://scontent-waw1-1.xx.fbcdn.net/v/t1.0-9/52885546_1998545093780142_9089266832702963712_o.png?_nc_cat=106&_nc_ht=scontent-waw1-1.xx&oh=4ba73c0f67c4edc891416a141a593b4c&oe=5CF537B1",False
11,msg49923518,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-02-26 06:14:57,Expert24,Newbie,44,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,"Hello CoinCasso team! Congratulate you with listing to Cryptolaboratory's ICO/STO list! Your rate is 68.54 of 100. On the page of your project you may see all the information. Also you may get widget here.  Comment us, look us and follow us.",False
12,msg50313042,https://bitcointalk.org/index.php?topic=5094658.0,msg49923518,448,Marketplace,2019-03-25 17:54:51,bigmaster23,Full Member,518,106,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,  So your rating is only 68% Do you think it is good? How good it is. First make quality of your site then try to promote.,False
13,msg50752462,https://bitcointalk.org/index.php?topic=5094658.0,msg49923518,448,Marketplace,2019-04-24 12:58:45,CoinCasso Official,Newbie,29,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,"  Hi! Thanks for listing our ICO!  https://coincassogroup.com/wp-content/uploads/2019/04/new-layout-coincasso-exchange.png  Even we are currently in the other part of the world (actually on Blockchain Life Forum 2019 in Singapore), we don't stop improving our project! 💪🌎 Finally, we have implemented a totally new layout at CoinCasso Exchange! 👩‍🎨👨‍🎨🎨 We hope you like it",False
14,msg51080451,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-05-16 14:39:20,Kupiplove84,Newbie,1,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,CoinCasso Exchange   verry good,False
15,msg51092761,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-05-17 11:08:18,Nurzama03389727,Newbie,4,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,"Hello CoinCasso team! Congratulate you with listing to Cryptolaboratory's ICO/STO list! Your rate is 68.54 of 100. On the page of your project you may see all the information. Also you may get widget here.  Comment us, look us and follow us. So your rating is only 68% Do you think it is good? How good it is.",False
16,msg51216390,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-05-25 22:59:17,CoinCasso Official,Newbie,29,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,"Thanks, but you should give us a link on your platform. It will be more transparent for everyone",False
17,msg51218338,https://bitcointalk.org/index.php?topic=5094658.0,msg49923518,448,Marketplace,2019-05-26 03:56:30,joniboini,Hero Member,700,1109,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,"  Quote from: Nurzama03389727 on May 17, 2019, 11:08:18 AM   A miscoordination?  Please no more ""low listing, paid us to increase your rating"".",False
18,msg51668225,https://bitcointalk.org/index.php?topic=5094658.0,,448,Marketplace,2019-07-01 08:43:33,CoinCasso Official,Newbie,29,0,,CoinCasso - Next Generation Cryptocurrency Exchange Platform,https://coincassogroup.com/wp-content/uploads/2019/07/cover.png  Ladies & Gentlemen! 📣 We have a huge pleasure to announce that our CCWallet Mobile App is officially available on App Store and Google Play!🏆🥇Click the link below and download our fully decentralised cryptocurrency wallet! 🤳💎 Website:  https://ccwalletapp.com,False
