id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg25026011,https://bitcointalk.org/index.php?topic=2443728.0,,693,Announcements (Altcoins),2017-11-22 15:31:05,Tactic,Full Member,462,105,,📢[ANN] TAKE PROFIT 📈 WORLD'S BEST TRADING IDEA!!! 📈,,True
2,msg25026542,https://bitcointalk.org/index.php?topic=2443728.0,,693,Announcements (Altcoins),2017-11-22 15:40:33,Tactic,Full Member,462,105,,📢[ANN] TAKE PROFIT 📈 WORLD'S BEST TRADING IDEA!!! 📈,BOUNTY THREAD - https://bitcointalk.org/index.php?topic=2443768.msg25026496#msg25026496,True
3,msg25027142,https://bitcointalk.org/index.php?topic=2443728.0,,693,Announcements (Altcoins),2017-11-22 15:51:36,franss,Sr. Member,448,250,,📢[ANN] TAKE PROFIT 📈 WORLD'S BEST TRADING IDEA!!! 📈,"What does the ""Take Profit"" team do to attract more investors",True
4,msg25030907,https://bitcointalk.org/index.php?topic=2443728.0,,693,Announcements (Altcoins),2017-11-22 17:02:41,saif.shaikha,Member,112,10,,📢[ANN] TAKE PROFIT 📈 WORLD'S BEST TRADING IDEA!!! 📈,In what way the tokens are going to be used on the Take Profit platform? Will the API exposed by trade profit for signals be charged or they will be available free of cost to anyone willing to use those api for reading and sending signals on Take Profit.,True
5,msg25031960,https://bitcointalk.org/index.php?topic=2443728.0,,693,Announcements (Altcoins),2017-11-22 17:23:46,herma,Full Member,182,100,,📢[ANN] TAKE PROFIT 📈 WORLD'S BEST TRADING IDEA!!! 📈,Hi dev. I can link join slack and discord,True
6,msg25035814,https://bitcointalk.org/index.php?topic=2443728.0,,693,Announcements (Altcoins),2017-11-22 18:42:16,Wednesdaycat,Full Member,178,100,,📢[ANN] TAKE PROFIT 📈 WORLD'S BEST TRADING IDEA!!! 📈,"nice concept, but before everything can you tell us what you already have? beta product? thanks",True
7,msg25036083,https://bitcointalk.org/index.php?topic=2443728.0,,693,Announcements (Altcoins),2017-11-22 18:48:12,Tane,Full Member,308,100,,📢[ANN] TAKE PROFIT 📈 WORLD'S BEST TRADING IDEA!!! 📈,I will get acquainted in detail and possibly take part in the campaign bounty.,True
8,msg25208915,https://bitcointalk.org/index.php?topic=2443728.0,,693,Announcements (Altcoins),2017-11-25 18:24:46,Nyur,Member,266,10,,📢[ANN] TAKE PROFIT 📈 WORLD'S BEST TRADING IDEA!!! 📈,Little information is provided about the project. It is necessary to interest potential investors.,True
9,msg26033633,https://bitcointalk.org/index.php?topic=2443728.0,,693,Announcements (Altcoins),2017-12-09 15:13:33,Armando,Hero Member,826,500,,📢[ANN] TAKE PROFIT 📈 WORLD'S BEST TRADING IDEA!!! 📈,"Interesting idea.    But I didn't get how the platform can be scam-free, i.e. say how can I check the reliability of signal provider?",True
10,msg29898802,https://bitcointalk.org/index.php?topic=2443728.0,,693,Announcements (Altcoins),2018-02-09 02:44:16,monsterikan,Newbie,12,0,,📢[ANN] TAKE PROFIT 📈 WORLD'S BEST TRADING IDEA!!! 📈,"I saw this in Bitcoinist. Looks good. But , still don't know when is the ICO starts. Is it 21st Feb or its already sold out",True
11,msg29898958,https://bitcointalk.org/index.php?topic=2443728.0,msg29898802,693,Announcements (Altcoins),2018-02-09 02:49:18,ArthCoin,Full Member,485,105,,📢[ANN] TAKE PROFIT 📈 WORLD'S BEST TRADING IDEA!!! 📈,"  Very little attention to your branch , apparently the project is poorly developed , more effort should be paid to promotion and advertising . Perhaps this is due to the strong fall of the cryptocurrency? or are there other reasons?",True
12,msg30402328,https://bitcointalk.org/index.php?topic=2443728.0,,693,Announcements (Altcoins),2018-02-16 11:07:04,S3cco,Hero Member,1659,528,,📢[ANN] TAKE PROFIT 📈 WORLD'S BEST TRADING IDEA!!! 📈,"Bitcoin Garden: TakeProfit Allows Cryptocurrency Trading Experts to Earn Money on its Platform https://bitcoingarden.org/takeprofit-allows-cryptocurrency-trading-experts-earn-money-platform/  An Ethereum-based startup called TakeProfit plans to give cryptocurrency investors a new and more reliable source of trading signals.  The platform is designed as an alternative to the often questionable social-media channels, which many investors and traders currently rely on for signals.  “What is really important for a regular investor is that he can take a look at any trader’s performance,” TakeProfit founder Ivan Tumanov said. “He sees full history of signals given and profits received; based on that he can start a free trial.”  Tumanov noticed a need for sources of reliable information about altcoin trading that are accessible to regular people while running a Telegram channel for traders called Cryptoconsulting. He discovered that educational, informational and other resources for cryptocurrency traders were few and far between....",True
