id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg41000191,https://bitcointalk.org/index.php?topic=3821952.0,msg40998428,28342,Announcements (Altcoins),2018-06-27 09:25:10,artyom908,Newbie,4,0,,[ANN][FDC - Token Sale] Fondo Trading Platform - The World's first SEICO.,   Yes. they have. We want a cryptocurrency trading platform with big volume.,False
2,msg41001142,https://bitcointalk.org/index.php?topic=3821952.0,,28342,Announcements (Altcoins),2018-06-27 09:41:37,arina904,Newbie,6,0,,[ANN][FDC - Token Sale] Fondo Trading Platform - The World's first SEICO.,We need a trading floor with many outstanding features. Hope you can do that.,False
3,msg41002426,https://bitcointalk.org/index.php?topic=3821952.0,msg41000191,28342,Announcements (Altcoins),2018-06-27 10:04:04,egorzc72,Newbie,3,0,,[ANN][FDC - Token Sale] Fondo Trading Platform - The World's first SEICO.,"    Coinbene: $1,5B in yesterday.   ",False
4,msg41133089,https://bitcointalk.org/index.php?topic=3821952.0,,28342,Announcements (Altcoins),2018-06-29 08:16:00,Krish Naverma,Newbie,21,0,,[ANN][FDC - Token Sale] Fondo Trading Platform - The World's first SEICO.,"[Airdrop] Fondo Coin (FDC), an Exchange-based Token like Binance is ICO now. FDC is the world's first SE-ICO for lost traders. Opportunity to multiply your money 10 times. Register now to get 30 FDC Airdrop (12$). Only for first 2000 initial accounts. https://fondo.network/auth/register?referral=ZWLBuZPo",False
5,msg41410077,https://bitcointalk.org/index.php?topic=3821952.0,,28342,Announcements (Altcoins),2018-07-03 08:40:47,Naes,Full Member,280,100,,[ANN][FDC - Token Sale] Fondo Trading Platform - The World's first SEICO.,This project is great. I like this project because every team member and  management is very active. they are always helpful for us. The team sees the problem in the crypto currency market and see the way to solve it. This project certainly will successful. Do you plan to use KYC procedure at your ICO or it will be fully anonymised?,False
6,msg41477653,https://bitcointalk.org/index.php?topic=3821952.0,,28342,Announcements (Altcoins),2018-07-04 06:54:42,ChristopherHolan,Newbie,51,0,,[ANN][FDC - Token Sale] Fondo Trading Platform - The World's first SEICO.,Do you have the Airdrop program? I have seen at: https://bitcointalk.org/index.php?topic=4558228.msg41060876#msg41060876,False
7,msg41482650,https://bitcointalk.org/index.php?topic=3821952.0,msg41479718,28342,Announcements (Altcoins),2018-07-04 08:24:15,Tech Finder,Newbie,26,0,,[ANN][FDC - Token Sale] Fondo Trading Platform - The World's first SEICO.,   How do to recevied FDC bounthy from Airdrop?,False
8,msg41483800,https://bitcointalk.org/index.php?topic=3821952.0,msg41482650,28342,Announcements (Altcoins),2018-07-04 08:43:37,Nakro,Newbie,24,0,,[ANN][FDC - Token Sale] Fondo Trading Platform - The World's first SEICO.,"   How to receive Airdrop bounty: Airdrop program only for first 2000 initial accounts and will start at 8 am UTC on June 29, 2018.  Step 1: Visit https://fondo.network and sign up for an account. Step 2: On the Airdrop Content menu, copy and share the social content in it in your native language (Facebook, Twitter, Youtube, Kakao, Weibo, etc). We have multilingual support on the website or you can rewrite it on your own idea. Step 3: Paste the social media link that you introduced about Fondo Coin in the space below the article shared. For example: https: // facebook / groups / 1234. We will check and verify. Step 4: Join Telegram and follow Twitter of Fondo Network.",False
9,msg41487887,https://bitcointalk.org/index.php?topic=3821952.0,msg41483800,28342,Announcements (Altcoins),2018-07-04 09:52:51,Tech Finder,Newbie,26,0,,[ANN][FDC - Token Sale] Fondo Trading Platform - The World's first SEICO.,   Yes. How long is FDC display on wallet? . Thank you so much.,False
10,msg41489859,https://bitcointalk.org/index.php?topic=3821952.0,msg41487887,28342,Announcements (Altcoins),2018-07-04 10:25:52,Yujin Tan,Newbie,26,0,,[ANN][FDC - Token Sale] Fondo Trading Platform - The World's first SEICO.,"   When after, you do all step. FDC is on Balance wallet.",False
