id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg19119823,https://bitcointalk.org/index.php?topic=1924115.0,msg19089701,1930,Announcements (Altcoins),2017-05-21 05:23:43,jawatulen,Full Member,398,100,,ZenGold ICO announcement,"   30,000,000 will be owned by the team,, are you serious about this ? but ,, thats very great idea,, and i hope i'm is one of the team from this project,, so i can sing when investor cry,,",False
2,msg19119946,https://bitcointalk.org/index.php?topic=1924115.0,,1930,Announcements (Altcoins),2017-05-21 05:37:51,lausam,Full Member,126,100,,ZenGold ICO announcement,"30,000,000 will be owned by the team??if ok i get project from bounty..any indonesian linguage",False
3,msg19136771,https://bitcointalk.org/index.php?topic=1924115.0,,1930,Announcements (Altcoins),2017-05-22 08:11:36,Koloulinger,Sr. Member,443,250,,ZenGold ICO announcement,"not open bounty dev signature campaign, facebook campaign and twitter campaign if you need indonesian translation i want reservce",False
4,msg19238899,https://bitcointalk.org/index.php?topic=1924115.0,msg19119823,1930,Announcements (Altcoins),2017-05-28 11:06:48,ryanben,Full Member,266,114,,ZenGold ICO announcement,"   lol, you are so funny. I also think like you, if that happens the price of it will depend on the dev. When that happens dump and pump in their way",False
5,msg27817449,https://bitcointalk.org/index.php?topic=1924115.0,,1930,Announcements (Altcoins),2018-01-10 04:48:49,vuongmz,Newbie,3,0,,ZenGold ICO announcement,I would like to announce the first application on top of the Metaverse Blockchain called ZenGold.,False
6,msg32472135,https://bitcointalk.org/index.php?topic=1924115.0,,1930,Announcements (Altcoins),2018-03-16 19:50:39,Thule,Sr. Member,770,275,,ZenGold ICO announcement,Zengold International telegram group https://t.me/joinchat/GiwvlBC1A5PEo-U-6KlehQ,False
7,msg38434842,https://bitcointalk.org/index.php?topic=1924115.0,,1930,Announcements (Altcoins),2018-05-24 19:22:27,kivancefe,Newbie,32,0,,ZenGold ICO announcement,Join the Zengold official community.  Telegram: https://t.me/zengold_group,False
8,msg49470449,https://bitcointalk.org/index.php?topic=1924115.0,,1930,Announcements (Altcoins),2019-01-28 16:39:13,Thule,Sr. Member,770,275,,ZenGold ICO announcement,ERIC GU ON SCAM BOARD  https://bitcointalk.org/index.php?topic=5103331.msg49470382#msg49470382,False
9,msg19089548,https://bitcointalk.org/index.php?topic=1924115.0,,1930,Announcements (Altcoins),2017-05-19 03:47:26,ZenGold,Newbie,8,0,,ZenGold ICO announcement,"ZenGold, a project developed on Metaverse Blockchain, announces its ICO campaign on Friday, May 26, 2017 3:00 PM (GMT+8)!  The ICO will last for 15 days. The closing date is Friday, June 9, 2017 3:00 PM (GMT+8). The total number of 63.000.000 ZGC tokens will be distributed within the campaign.  BTC, ETH, ETC and ETP will be accepted during ICO campaign. The “Early bird” bonuses (up to 20%) will be announced by ZenGold for those contributing at the early stages of ICO.  Those interested can invest via three different channels:    http://zengold.org/ (accepting payments in BTC, ETP and ETH).    www.ico365.com (accepting payments in BTC and ETH).    www.btc9.com/Ico (accepting payments in BTC).   For the further information and whitepaper, please visit ZenGold official webpage: http://zengold.org/",False
10,msg19089586,https://bitcointalk.org/index.php?topic=1924115.0,,1930,Announcements (Altcoins),2017-05-19 03:52:32,ashmodeus,Hero Member,1162,503,,ZenGold ICO announcement,detail coin ZenGold ICO http://zengold.org/ico.html ,False
