id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg22496800,https://bitcointalk.org/index.php?topic=2152262.0,msg22487921,4273,Announcements (Altcoins),2017-10-03 05:53:56,dsertov,Newbie,42,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,  Hey the token address is: 0x3a53999E9d66C6Fd95D6Eb3F1Be6114E91a3ed94 . Thanks,False
2,msg22502737,https://bitcointalk.org/index.php?topic=2152262.0,msg22496800,4273,Announcements (Altcoins),2017-10-03 09:08:04,kickboxer,Member,92,10,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,   Thank you.  Can't see the tokens in my MEW. Are the tokens sent or do we need to wait to get until the end of the ice?,False
3,msg22503092,https://bitcointalk.org/index.php?topic=2152262.0,msg22502737,4273,Announcements (Altcoins),2017-10-03 09:19:12,dsertov,Newbie,42,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"  Hey, the tokens are disseminated after the end of the ICO. Further information regarding that will be announced. Thanks",False
4,msg22505380,https://bitcointalk.org/index.php?topic=2152262.0,msg22503092,4273,Announcements (Altcoins),2017-10-03 10:30:23,kickboxer,Member,92,10,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,   Thank you for your prompt response,False
5,msg22557847,https://bitcointalk.org/index.php?topic=2152262.0,,4273,Announcements (Altcoins),2017-10-04 15:04:45,CryptoBlockBits,Full Member,350,100,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"Been waiting on a sell order, which just went through, i then put my new found ETH into a fav ICO running, no clues except it starts with Rh and ends in ea",False
6,msg22571066,https://bitcointalk.org/index.php?topic=2152262.0,,4273,Announcements (Altcoins),2017-10-04 21:28:57,dsertov,Newbie,42,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,Hey! All contributions are currently suspended pending an announcement. Thank you.,False
7,msg22588610,https://bitcointalk.org/index.php?topic=2152262.0,,4273,Announcements (Altcoins),2017-10-05 09:25:27,CryptoBlockBits,Full Member,350,100,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"No worries Detelin, hopefully its a 'good' type of announcement, will be waiting in anticipation.",False
8,msg22623972,https://bitcointalk.org/index.php?topic=2152262.0,,4273,Announcements (Altcoins),2017-10-06 05:47:19,Arivstd,Newbie,2,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,I will waiting and look the new update the project..  Suucess for the project.. ,False
9,msg22627848,https://bitcointalk.org/index.php?topic=2152262.0,,4273,Announcements (Altcoins),2017-10-06 07:50:39,dsertov,Newbie,42,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,We are happy to announce that the Rhea project and all of its assets will be acquired by an investment fund! The purpose of the acquisition is to create a better version of our current concept through more funding and experience. Rhea will be re-branded and promoted through a new campaign. This is great news for our team and all believers in our idea as it will become a better developed and maintained project. As soon as negotiations are finalized we will start the refund process to all our backers. A separate announcement will be made on Bitcointalk regarding our Bounty Campaign. A big thanks to everyone that participated and please send an email to ico@rheatoken.io if you require any clarification. Thank you!,False
10,msg22639549,https://bitcointalk.org/index.php?topic=2152262.0,msg22627848,4273,Announcements (Altcoins),2017-10-06 13:21:59,NewbieMiner17,Newbie,46,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,   So if I get this straight now we won't be getting any tokens or anything related to the ICO we will only be receiving the ETH we invested back?,False
11,msg22639727,https://bitcointalk.org/index.php?topic=2152262.0,,4273,Announcements (Altcoins),2017-10-06 13:25:59,kissaNN,Full Member,422,101,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,I think the project will become very profitable soon!,False
12,msg22669405,https://bitcointalk.org/index.php?topic=2152262.0,,4273,Announcements (Altcoins),2017-10-07 08:01:53,dsertov,Newbie,42,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"As of 07.10.2017, the Rhea founding team will be moving off the project as part of the agreement with the acquirer, who wishes to maintain his anonymity before the new ICO is launched. As part of the agreement here will be no further association between the the founding team and the Rhea token project. The re-branding process requires the removal of Rhea's social media, communications and forum threads. Next week contributors will need to fill out a form on the website in order to begin the refund process. It will be handled by the support and development team. A big thanks to all supporters and look forward to Rhea 2.0!",False
13,msg22700905,https://bitcointalk.org/index.php?topic=2152262.0,,4273,Announcements (Altcoins),2017-10-08 02:02:58,CryptoBlockBits,Full Member,350,100,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"Hi Detelin, i hope you and the team will oversee the refunds. Handing this process over to a unnamed entity is a scary thought. Please advise.",False
14,msg22750371,https://bitcointalk.org/index.php?topic=2152262.0,msg22700905,4273,Announcements (Altcoins),2017-10-09 08:08:05,NewbieMiner17,Newbie,46,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"   Don't like how ""Blaze"" they are being about the refund and the fact that a ""form"" will be made available on the website sometime this week... Surely it should be as simple as X amount received from Y address therefore return X amount back to Y address.",False
15,msg22219162,https://bitcointalk.org/index.php?topic=2152262.0,msg22213814,4273,Announcements (Altcoins),2017-09-25 21:04:42,dsertov,Newbie,42,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"  Hey, thanks for the question. You can review the WhitePaper here: Whitepaper. Rhea token enables investors to hedge their cryptocurrency portfolios and invest in the market without holding any individual currency. Cryptocurrencies such as BTC and ETH have tremendous potential for growth, but are fully exposed to sharp price drops. Investing through our market capitalization index - Crypto20 offers a more stable alternative. Options trading will give the opportunity to profit from these sharp moves and to protect portfolios against market corrections. Additionally our dividend incentive scheme will be reward investors on a quarterly basis, based on the revenue of the platform. You can find out more here: Rhea Token.  Do not hesitate to reach out if you have any further questions. Thank you.",False
16,msg22270207,https://bitcointalk.org/index.php?topic=2152262.0,msg22213814,4273,Announcements (Altcoins),2017-09-27 08:08:57,CryptoBlockBits,Full Member,350,100,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"   Hey Sonara,  The best unique selling proposition (IMO) of the Rhea project is the quarterly dividends paid to holders. I have yet to see this in any of the other crypto equity index tokens (thus far). This has me very excited on the potential of this project.",False
17,msg22309528,https://bitcointalk.org/index.php?topic=2152262.0,,4273,Announcements (Altcoins),2017-09-28 08:08:26,n3rd,Newbie,25,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,Is this is any way not a copy of Combicoin?  (besides that Combicoin is top30)  https://triaconta.com,False
18,msg22309709,https://bitcointalk.org/index.php?topic=2152262.0,,4273,Announcements (Altcoins),2017-09-28 08:14:34,Lugano,Newbie,15,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,could u show me the public code please？,False
19,msg22310175,https://bitcointalk.org/index.php?topic=2152262.0,msg22309528,4273,Announcements (Altcoins),2017-09-28 08:29:20,dsertov,Newbie,42,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"     Hey, thanks for the question. Rhea enables investors to hedge their own risk or come up with their own investment strategy by trading options contracts on our platform over their defined period. Through Rhea's market capitalization index - the Crypo20 - entering and exiting options contracts will be made very easy and it will allow participants to implement their own view on the cryptocurrency market. The option contracts will be very customizable, making them ideal for periods of volatility or high uncertainty. Rhea will be the tool that investors will use to trade with and not just to represent a stake in the company - as in Combicoin. Rhea token holders define their own payoff and exposure and don't simply share the same profit as all other investors do (as in Combicoin). Please let us know if you have any other questions.",False
20,msg22310290,https://bitcointalk.org/index.php?topic=2152262.0,msg22309709,4273,Announcements (Altcoins),2017-09-28 08:32:24,dsertov,Newbie,42,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"  Hey, you can check our Github here. Thanks",False
21,msg22310543,https://bitcointalk.org/index.php?topic=2152262.0,msg21610309,4273,Announcements (Altcoins),2017-09-28 08:41:10,Lugano,Newbie,15,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"  buddy ，could u please explain theconception of ""unique cryptotrading platform"", i have seen a lot of ico use this conception",False
22,msg22311907,https://bitcointalk.org/index.php?topic=2152262.0,,4273,Announcements (Altcoins),2017-09-28 09:27:03,alicea,Hero Member,938,501,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,What percentage of the total profit will be given out to the token holders? Can you tell me approximately a month when you will send out the first dividends?  TY,False
23,msg22313967,https://bitcointalk.org/index.php?topic=2152262.0,msg22311907,4273,Announcements (Altcoins),2017-09-28 10:33:38,dsertov,Newbie,42,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"  Hi, thanks for the question. Token holders will receive quarterly dividends after the platform is operational. Dividends will range from 20% to 40% of revenue, depending on the success of the ICO. You can find a more detailed explanation of the dividend distribution system in our WhitePaper. Token dissemination will be completed until 30 Nov and the platform will be operational in March at the latest. As we have already started building the interface and options algorithm this will probably be sooner. The first dividend is expected to be sent out in June at the latest. Don't hesitate to ask us any other questions if you would like further clarification. Thanks",False
24,msg22344795,https://bitcointalk.org/index.php?topic=2152262.0,msg22310175,4273,Announcements (Altcoins),2017-09-29 04:42:59,CryptoBlockBits,Full Member,350,100,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,"   Hey Guys,  Rhea is a crypto index of the top 20 for the trading of Options. The dividend model is structured off the fees placed in trading these Options.  Combi is a fundcoin invested in the top 30 cryptocurrencies. The dividend model from Combi is based off their sister token TRIA which collects funds from the buy and sell orders above or below the asset basket value.  Both are great project IMO. i've done a write-up on both the Rhea and Combi offerings, this should help explain the difference between both projects in greater detail:  Rhea: https://medium.com/@jorgophotography/move-over-nasdaq-the-rhea-crypto20-index-is-here-6375125ae7c1 Combi: https://medium.com/@jorgophotography/crypto-basket-coin-with-dividends-combicoin-tria-token-9b05689ae4a5  Thanks",False
25,msg22354107,https://bitcointalk.org/index.php?topic=2152262.0,,4273,Announcements (Altcoins),2017-09-29 10:16:54,dsertov,Newbie,42,0,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,Hey guys you can join our new Telegram group for more updates  ,False
26,msg22382704,https://bitcointalk.org/index.php?topic=2152262.0,msg22354107,4273,Announcements (Altcoins),2017-09-30 04:22:21,BellamyBlack,Full Member,672,100,,[ANN] [ICO] Rhea - a unique cryptotrading platform!,  With pleasure to join,False
