id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg34689006,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-04-14 14:40:54,sawsaw987jig,Newbie,98,0,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,"how about bounty campaign. If you start it, I can join telegram, twitter and signature. Let me know.Thanks a lot.",False
2,msg32311619,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-14 17:27:45,adenium,Newbie,12,0,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,"ICO will start on 30th March at 10 AM. Adenium.io | Whitepaper Facebook | Telegram    Discover Adenium   Adenium is a cryptocurrency built on the Ethereum Blockchain. It's based in Geneva (Switzerland) and has no central authority.  Adenium is the cryptocurrency for ecology, trust and long term efficiency. We provide features tailored to your needs. We contribute to Ecology through our partnerships and use Ethereum technology to ensure a low cost of energy.  Once you own ADE tokens, you will access lots of Adenium features such as investment plans, Staking, affiliate program, ecological contracts, Local Exchange, External Exchange and more!    Our Roadmap   November 2017 Project creation Business plan Recruitment  December 2017 Trading Bot testing Setting up ecological partnerships  January & February 2018 Website creation Selection of the best server to run the ICO Security tests ADE tokens creation Deployment on Ethereum blockchain  March 30th, 2018 ICO starts  April 18th, 2018 ICO ends  April 19th, 2018 Setting up Adenium Support Call Center New bulk marketing campaigns  April 22th, 2018 Introducing Local Exchange  April 29th, 2018 Introducing Investment plans and Staking  May 2018 Introducing external Exchanges (Coin Exchange, EtherDelta), Listing Coin Market cap  June 15th, 2018 Ecological contracts begin Updating user database in order to send ecological contracts by email  July 2018 Adenium web app (iOS & Android compatible)    Our features   Investment plans Staking Affiliate program Support Call Center Local Exchange External Exchange Ecological contracts Adenium web app  All our features are detailed in our whitepaper. Feel free to give us your feedback and suggestions! Our Staff would be more than happy to answer any of your questions. Thank you for your consideration,   ICO will start on 30th March at 10 AM. Adenium.io | Whitepaper Facebook | Telegram",False
3,msg32312135,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-14 17:34:49,Cenil,Jr. Member,280,1,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,"waiting for announcement the project Adenium, by providing features tailored to your needs and we use Etherum tecnology to ensure low energy costs. very interesting.",False
4,msg32313712,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-14 17:56:32,adenium,Newbie,12,0,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,"Thank you Cenil, if you have any questions feel free to ask!",False
5,msg32329937,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-14 22:47:36,adenium,Newbie,12,0,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,Thank you for your interest! If you have any suggestions we'd be happy to hear them out! Also you can ask us any questions you have about the project.,False
6,msg32349004,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-15 07:39:33,adenium,Newbie,12,0,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,Thanks! the development team is discussing it at the moment,False
7,msg32532538,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-17 16:50:25,Erumo,Newbie,35,0,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,Is it going to be any bounty campains for this project?,False
8,msg32548761,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-17 21:48:14,Miiike,Legendary,1428,1042,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,"You'll start an ICO with an announcement and white papers being publicly announced only 15 days before the day? Either you're really confident that you can gain attention within two weeks to have a successful ICO, or you'll have a long long long ICO.  I'll suggest you to move your date.",False
9,msg32550518,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-17 22:27:28,Hakamoto,Full Member,266,100,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,"the project looks rather interesting, but why the road map is painted only until July. this is very little time. you will have time to realize all your plans in these terms?",False
10,msg32617573,https://bitcointalk.org/index.php?topic=3124531.0,msg32548761,668,Announcements (Altcoins),2018-03-18 19:04:09,adenium,Newbie,12,0,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,"   Hello,  Thank you for your comment, indeed we planned 15 days of advertising campaigns on various websites which reference ICO and social pages, but we will also give meetings in universities and gather about 10,000 people this week, so we are very confident for the future about our project and about our roadmap we will go step by step and keep our commitments. InJuly we will announce the continuation of our fabulous project to bring a novelty in terms of investment platform.  Adenium Team.",False
11,msg32626165,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-18 21:26:15,dzkrb1966,Full Member,602,110,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,"You wrote that you have a fairytale project. But, fairy tales come with a good and a bad ending. There are terrible, but there are good, for children, and there are also for adults. Which end is your fairy tale?",False
12,msg32629633,https://bitcointalk.org/index.php?topic=3124531.0,msg32626165,668,Announcements (Altcoins),2018-03-18 22:37:15,adenium,Newbie,12,0,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,"   Hello,  Refer to the white paper you will understand that our project is realistic and concrete, which are the important ingredients and necessary to have even more stability and allow a better longevity to Adenium.  The goal is to make Adenium useful and usable in the world, starting with the ecology that is largely within our reach thanks to our different successes in this field.  Adenium Team.",False
13,msg32650285,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-19 07:50:03,Icoinfo.space,Newbie,10,0,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,I have added a review on my website for Adenium  https://icoinfo.space/index.php/2018/03/19/adenium/,False
14,msg32657299,https://bitcointalk.org/index.php?topic=3124531.0,msg32650285,668,Announcements (Altcoins),2018-03-19 09:41:24,adenium,Newbie,12,0,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,"   Hello,  Thanks for adding on your website it's cool .  Adenium Team.",False
15,msg32657626,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-19 09:45:58,RCB100%,Newbie,126,0,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,"the project looks rather interesting, you will have time to realize all your plans in these terms? Airdrop or bounty program? Reserve translation Vietnamese?",False
16,msg32658314,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-19 09:56:46,ryjin1007,Sr. Member,476,250,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,hi is this project planning to open for bounty campaign?,False
17,msg32659904,https://bitcointalk.org/index.php?topic=3124531.0,,668,Announcements (Altcoins),2018-03-19 10:20:14,adenium,Newbie,12,0,,[ANN][ICO][ADE] 🔥 Adenium 🔥 Start: 30th March at 10am,"Thank you guys for your interest!  Our development team is discussing it at the moment. We will get back to you ASAP to tell you if we're introducing bounty campaigns or not.  We already have an affiliate program in place to reward our current and new members.  We encourage you to send us ideas and suggestions to help make Adenium more exciting! If more people ask for it we will add it for sure!  If you have further questions we'll be glad to answer it!  Best,  Your Adenium Team",False
