id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg48153330,https://bitcointalk.org/index.php?topic=3512743.0,msg47996604,10273,Announcements (Altcoins),2018-11-23 09:31:22,crypto mania,Member,434,92,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"   I see that there are a few different pieces of information on social media channels. Lately, they announced that distribution will be continued and they will do whatever is possible to go straight forward with the roadmap and development but I think we all know that this is the end and only a time game like I said before weeks ago.  I am very disappointed with such an outcome because this ICO looks legit and I checked them before joining the bounty. Still you can do your best and in the end, don't get paid. I lost my bounty tokens which can be seen as hours of work to promote this scam.",False
2,msg48827067,https://bitcointalk.org/index.php?topic=3512743.0,,10273,Announcements (Altcoins),2018-12-22 20:40:14,wwzsocki,Hero Member,1050,901,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,Any news about Payera? Where is the team? Why nobody update here?  Is finally officially listed on any exchange? Is this token contract open for trading? Bounty paid in full?  If anybody can answer please share.,False
3,msg49072011,https://bitcointalk.org/index.php?topic=3512743.0,msg48827067,10273,Announcements (Altcoins),2019-01-06 02:39:40,wwzsocki,Hero Member,1050,901,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"    No answer to my post from a few weeks and there are no team members active in the Telegram channel.  Despite bounty distribution in the last weeks, I think we can assume that Payera is a failed project.  There is still hope but smaller every day that the team will show up with new announcements.",False
4,msg49072179,https://bitcointalk.org/index.php?topic=3512743.0,msg49072011,10273,Announcements (Altcoins),2019-01-06 02:56:40,aidit45@gmail.com,Sr. Member,882,251,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"  Same with me I have not seen anything about this platform, No updates and no discussion about the development. How the are manage this project so less information.",False
5,msg49072563,https://bitcointalk.org/index.php?topic=3512743.0,msg49072179,10273,Announcements (Altcoins),2019-01-06 03:37:24,Untomabur,Member,238,10,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"  It is better for us to be kind enough to think of the team, maybe the team is busy so that until now there has been no update but after all it depends on you and I hope that in the near future there will be an update",False
6,msg51463160,https://bitcointalk.org/index.php?topic=3512743.0,msg49072563,10273,Announcements (Altcoins),2019-06-14 09:18:46,crypto mania,Member,434,92,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"   Six months passed from your post. Still, you hope for an update? Or maybe think that this is not a scam only they are busy?  The team is busy with our money, this is what they are doing now. Looking at this thread and laugh from stupid investors.  Fuck all these scammers. Karma is a bitch and you will get your punishment sooner or later Payera scam team.",False
7,msg46828745,https://bitcointalk.org/index.php?topic=3512743.0,msg46755066,10273,Announcements (Altcoins),2018-10-13 10:52:12,crypto mania,Member,434,92,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"   Just look my post above and you will have the answer. The Payera team announced lately on their Facebook official page that they found some very challenging problems and will be back to us when problems are resolved.  Which is disappointing, strange and dangerous because all scams begin like this.",False
8,msg46982460,https://bitcointalk.org/index.php?topic=3512743.0,,10273,Announcements (Altcoins),2018-10-17 13:04:31,crypto mania,Member,434,92,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"Here is an exact announcement from Payera team posted in official Telegram channel:  ""we are very sorry that we was offline in the last weeks. We had interned and with our listing strategy a few issues. Nothing was ready to work out. That's the reason why we stopped the distribution and paused the tokens global. We have to fix these problems first before we could reach out to you with new Information. We would like to make it clear that this is not a scam, but errors that have happened! We can understand when we have disappointed people who believe so much in the product, we can only repeat it, payera came to stay! We will do everything in our power, to bring this project forward! We really hope that we can continue to count on your support! We promise you, we will be back for you very soon, but there are still things to clarify in the background before we can drive up. ""  Sorry to say Payera but all scams begin like this. Believe me, I know what I am talking about, last year I was scammed a few times. Especially with bounty payments. This announcement not only worries me because of the message but how is this written. I can clearly see that this announcement is written by a person which is not a native English speaker and is written poorly despite English isn't my first language too. When you announce something so important to a 60K group of English speaking investors would be nice to hire a writer for 5$ on fiver to do this job correctly because you are a company with a lot of our funds now. Just not professional and bad, scammy looking. This is how I see this situation not mention that there is actually no exact reason provided. One thing we know now is that you have a major problem which causes a stop to everything we expected to happen. which is bad.",False
9,msg47018331,https://bitcointalk.org/index.php?topic=3512743.0,msg46982460,10273,Announcements (Altcoins),2018-10-18 13:42:07,khroma,Full Member,420,100,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"   You are right to feel the way you do, because it is too careless of the team in the first place to let things like this happen. Taking a look at the price on IDEX is quite suspicious, and the price it is being traded is a far cry from actual ICO price. Hoping this is resolved and a proper listing is done in a good exchange",False
10,msg47044318,https://bitcointalk.org/index.php?topic=3512743.0,msg47018331,10273,Announcements (Altcoins),2018-10-19 09:16:17,crypto mania,Member,434,92,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"   This is strange because there are no new posts in this thread, no discussion on what happened and what will be next. Normally after such an announcement shitstorm happens especially when the bounty is not paid and the project is just after ICO. This is the critic moment of each ICO because is the time for exit scam. We will see what will happen with Payera. This will be clear in a few weeks. As for now, all signs tell me that this is the beginning of the end.",False
11,msg47056245,https://bitcointalk.org/index.php?topic=3512743.0,msg47044318,10273,Announcements (Altcoins),2018-10-19 16:05:51,khroma,Full Member,420,100,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"   As much as I don't want this to be the beginning of the end because this is a project I once believed so much in expecially when they were campaigning about the iPhone X giveaway, it caught my attention because I haven't seen any Cryptoproject run such big giveaway. The coming weeks would speak the clearer picture of things",False
12,msg47057598,https://bitcointalk.org/index.php?topic=3512743.0,,10273,Announcements (Altcoins),2018-10-19 16:49:29,dewanaga,Copper Member,504,251,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"   that is part of Payera's marketing strategy, and finally PAYERA has closed sales, does this mean they have been successful ? how much money did they get during the TGE period?",False
13,msg47063783,https://bitcointalk.org/index.php?topic=3512743.0,msg47057598,10273,Announcements (Altcoins),2018-10-19 20:36:06,crypto mania,Member,434,92,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"   Enough for exit scam  .  This is no FUD. I will call this project a scam until the latest problems are resolved and all promises delivered. Which is: listings, distribution of bounty payouts, working contract. This is just a minimum which should be already delivered with no problems at all.  If there are such big problems with the contract at the start what can we await further? this is just clear that the team is not strong enough. This is just impossible to be able to run the company for 1 million (soft cap) or 30 (hard cap).  I accepted explanation about different approach and reduction of volumes and the smaller team but still, such a big difference looks scammy.",False
14,msg47125780,https://bitcointalk.org/index.php?topic=3512743.0,msg47063783,10273,Announcements (Altcoins),2018-10-21 17:01:51,Alltimer,Member,336,31,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"  Well, I can only comment on the bounty payouts. I received my order today token late and others got theirs early enough. From their explanations on telegram, we should exercise a little patience for the above problems stated to be resolved by the team.",False
15,msg47304221,https://bitcointalk.org/index.php?topic=3512743.0,msg47125780,10273,Announcements (Altcoins),2018-10-26 21:33:42,crypto mania,Member,434,92,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,   Two weeks passed from my last post here and from what I see the situation has not changed. There are still no announcements or updates from the team on social media channels.  I was able to give Payera team a chance to explain this situation so I thought extra time will be the best solution but after 20 days there is no new information from them.  Almost all exit scam looks like this. I was scammed a few times like this. Now they will begin with contract changes and maybe swap for another Payera2 token because of problems with the contract. This is all time game to gather even more money.  Payera this is not what we all expected. Shame on you Payera team!!!,False
16,msg47397800,https://bitcointalk.org/index.php?topic=3512743.0,msg47304221,10273,Announcements (Altcoins),2018-10-29 16:22:34,Scholles,Full Member,420,100,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"   It is a pity that things are turning out this way not like I expected. I believed team, and anticipated transparency but going this long without tangible update, now something smells fishy",False
17,msg47397884,https://bitcointalk.org/index.php?topic=3512743.0,msg47063783,10273,Announcements (Altcoins),2018-10-29 16:25:21,Scholles,Full Member,420,100,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"   Also for the fact that, they haven't been able to list in a reasonable exchange after gathering enough funds during presale and ICO is a big shame and therefore scam",False
18,msg47464910,https://bitcointalk.org/index.php?topic=3512743.0,msg47397884,10273,Announcements (Altcoins),2018-10-31 19:11:03,crypto mania,Member,434,92,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,   Time is running days and weeks pass with no info from Payera team. All social media channels are dead and there is no one admin left in the official Telegram group. This is a mess and we are scammed for sure.,False
19,msg47498547,https://bitcointalk.org/index.php?topic=3512743.0,msg47464910,10273,Announcements (Altcoins),2018-11-01 19:59:50,Scholles,Full Member,420,100,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"   I probably didn't notice or pay attention that the team left the telegram group, if they did, then that's a real red flag of how people are scammed.",False
20,msg47532700,https://bitcointalk.org/index.php?topic=3512743.0,msg47498547,10273,Announcements (Altcoins),2018-11-02 23:21:40,crypto mania,Member,434,92,,[ANN][ICO][PERA] PAYERA - NEW ERA OF THE CRYPTO WORLD,"   There is a hired manager but he stopped to answer frequently only post one or two times each day this same information that Payera is not a scam and will continue when all issues are resolved. No word what for issues they have, how big is the team now, what with the roadmap and so on.  From my experience, we have to abandon ship but how? They still not distributed all tokens.",False
