id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg20365579,https://bitcointalk.org/index.php?topic=2006926.0,,11442,Announcements (Altcoins),2017-07-25 06:57:50,laurynasc111,Member,60,10,,[ANN] [ICO] TribeToken - A Decentralized Charity Platform - ICO July 24,We are currently working on improving the platform. Feel free to chat with us if you have any questions,False
2,msg20367343,https://bitcointalk.org/index.php?topic=2006926.0,,11442,Announcements (Altcoins),2017-07-25 08:37:06,steamon,Sr. Member,399,251,,[ANN] [ICO] TribeToken - A Decentralized Charity Platform - ICO July 24,"We have updated our slack API someone tried to do an attack on our slack through it just when the ICO started. We disabled that attack straight away and noticed that sign ups were not working after it. So we needed to change the API completely. He could not post any false addresses. Now you can sign up again under: http://slack.tribetoken.org/ The old slack address still works and redirects to the new one.  For the concept demo, we are gonna open up user registrations this week where users can create their own charity projects. This way people can test out and get a feeling of how the charity platform will work and as before the smart contract at this stages will not require actual tokens for you to test it.",False
3,msg20371046,https://bitcointalk.org/index.php?topic=2006926.0,,11442,Announcements (Altcoins),2017-07-25 11:45:18,silvestar,Legendary,1134,1002,,[ANN] [ICO] TribeToken - A Decentralized Charity Platform - ICO July 24,"No ico was organized for charity, i suppose. There was Unicefcoin in the past. They used to say that they are supported by Unicef. I recalled it. I have been thinking will there be pump / dump as it is for charity nowadays.",False
4,msg20371232,https://bitcointalk.org/index.php?topic=2006926.0,msg20358750,11442,Announcements (Altcoins),2017-07-25 11:55:25,Astvile,Sr. Member,952,264,,[ANN] [ICO] TribeToken - A Decentralized Charity Platform - ICO July 24,"  I think yes that is clear that that is their soft cap or their minimum investment to spread and upgrade and build their platform as one of the member of board said,the team will clearly provide all update soon and we will see their improvement and movement from time to time",False
5,msg20375908,https://bitcointalk.org/index.php?topic=2006926.0,,11442,Announcements (Altcoins),2017-07-25 15:24:12,ManagerVirta,Hero Member,1106,538,,[ANN] [ICO] TribeToken - A Decentralized Charity Platform - ICO July 24,"It's strange that investors avoid this project. In fact, a very worthy idea.",False
6,msg20376128,https://bitcointalk.org/index.php?topic=2006926.0,msg20375908,11442,Announcements (Altcoins),2017-07-25 15:33:34,JohnUser,Hero Member,938,708,,[ANN] [ICO] TribeToken - A Decentralized Charity Platform - ICO July 24,"   It's not so strange, all what they want is hype, people talking about benefice... Charity doesn't have this point.  It would be fun if without a month 2 or 3 big investors would get in, so every one wanted to get is TribeTokens.  I didn't give money cause I don't have but I did translation and whitepaper for free, I hope my karma will be better :)",False
7,msg20376897,https://bitcointalk.org/index.php?topic=2006926.0,msg20371046,11442,Announcements (Altcoins),2017-07-25 16:03:20,steamon,Sr. Member,399,251,,[ANN] [ICO] TribeToken - A Decentralized Charity Platform - ICO July 24,"   Yea it's true that's why I thought this idea. I was thinking like no charity token with a platform? That has never been done before so I wanted to be the first and create a great platform for charity. Investors seem to think otherwise??  Quote from: ManagerVirta on July 25, 2017, 03:24:12 PM It's strange that investors avoid this project. In fact, a very worthy idea.  Quote from: JohnUser on July 25, 2017, 03:33:34 PM Quote from: ManagerVirta on July 25, 2017, 03:24:12 PM It's strange that investors avoid this project. In fact, a very worthy idea.  It's not so strange, all what they want is hype, people talking about benefice... Charity doesn't have this point.  It would be fun if without a month 2 or 3 big investors would get in, so every one wanted to get is TribeTokens.  I didn't give money cause I don't have but I did translation and whitepaper for free, I hope my karma will be better  To give an answer on both. I have really no idea why it was ignored so heavily on the first day. It seems investors only care about buzz projects or projects that want to make it easier to make smart contracts while it's already not that hard to create them anyway if you are a programmer.  A token for charity like this has not been done before simple as that. I have talked to a lot of people that really like this idea even some people wanted to advertise for me for free. So we hope the ICO picks up the pace in the next few days.  We worked out this idea for 3 months. Meanwhile more and more icos are coming out and its harder to be unique. A charity token is unique. A token that wants to make it easier to make smart contracts or reinventing the financial structure 10 times is not unique those already exist in the dozens now.  Stop being greedy and start thinking about how this token can help the world about charity. We can help everyone everywhere in undeveloped countries. Be generous for ones.  The good thing is this project only need a few major investors to get it going so we still have hope that some people will invest into it.",False
8,msg20377919,https://bitcointalk.org/index.php?topic=2006926.0,msg20376897,11442,Announcements (Altcoins),2017-07-25 16:47:00,ManagerVirta,Hero Member,1106,538,,[ANN] [ICO] TribeToken - A Decentralized Charity Platform - ICO July 24,"   I believe in you and your idea! Against the background of other projects, you look pretty decent. I will recommend you to all my friends. People just are blind and do not see real prospects.",False
9,msg20383796,https://bitcointalk.org/index.php?topic=2006926.0,msg20377919,11442,Announcements (Altcoins),2017-07-25 22:08:20,steamon,Sr. Member,399,251,,[ANN] [ICO] TribeToken - A Decentralized Charity Platform - ICO July 24,    Thanks for believing in us. Time will learn where this project will go. 500 ETH is not much at all if 500 people participate with 1 ETH we are funded already. Spread this ICO to your cryptocurrency friends and we promise to create this into a cool charity platform.,False
10,msg20386156,https://bitcointalk.org/index.php?topic=2006926.0,,11442,Announcements (Altcoins),2017-07-26 01:09:29,wolfgang56,Full Member,249,100,,[ANN] [ICO] TribeToken - A Decentralized Charity Platform - ICO July 24,Despite of being young you already wanted to help other people by doing this and giving money to the charity. That was a great idea that you're not only helping yourself but helping the others to. I hope many investors will invest here because I can't see anything wrong within.,False
