id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg48375676,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-12-01 17:25:49,Ettahhafdalal,Newbie,21,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,If i sent 1 eth how much i ll get,False
2,msg48379589,https://bitcointalk.org/index.php?topic=3671573.0,msg48375676,3092,Announcements (Altcoins),2018-12-01 21:14:14,suhadi88,Full Member,560,100,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,"  it of course depends on the relative value of the ETH, but you could calculate that the price of 1 coin Parkres the same as $0.5",False
3,msg48405035,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-12-02 20:50:02,TheCryotpTip,Newbie,27,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,Can I the soft cap and hard cap information for this project?,False
4,msg48430321,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-12-03 23:25:58,mwcointrend,Newbie,28,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,Airdrop campaign had a very good response. Phase 1 will conclude at 12000 registrations. Phase 1 of Airdrop - 12000 participants reached almost in 48 hours. Thanks for all your support !!,False
5,msg48430348,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-12-03 23:28:22,mwcointrend,Newbie,28,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,the project like great and does not require an intricate algorithm. but much depends on who you will collaborate with. now it is the main and priority task. im understand correctly that you will give a 70% bonus?,False
6,msg48354287,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 17:55:45,kianurives,Newbie,2,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,n1ce proect,False
7,msg48354396,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 18:01:48,CaveCanem100,Newbie,56,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,"I really ;ike this project, also great marketing.",False
8,msg48354440,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 18:03:51,davidsina,Newbie,18,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,its interesting project,False
9,msg48354506,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 18:07:09,Irsad000,Newbie,75,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,park it very interesting projet i hope it will be succes but how is price of park,False
10,msg48354803,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 18:24:02,Ribak1992,Sr. Member,644,252,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,the project like great and does not require an intricate algorithm. but much depends on who you will collaborate with. now it is the main and priority task. im understand correctly that you will give a 70% bonus? or is it a typing error?,False
11,msg48355720,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 19:09:13,waitinglist,Newbie,336,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,very good project and good luck in the future,False
12,msg48356278,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 19:36:12,Luvr1000,Member,504,10,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,"I will be happy to use this application, because it saves my time, many people need such applications. I hope that this project will be successful, I am glad that I took part",False
13,msg48357232,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 20:22:51,magicoarab,Newbie,3,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,it is very nice project,False
14,msg48357325,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 20:28:18,Loma4379,Newbie,7,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,Great job with alright future,False
15,msg48358164,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 21:20:15,Yormanccs,Newbie,5,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,hello good project ,False
16,msg48358236,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 21:24:27,abbassayed,Newbie,5,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,It is really a great project behind which a wonderful team wish this project progress in the near future and reach this currency to high horizons amid the science of trading..,False
17,msg48358857,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 22:03:31,AndiHon,Newbie,31,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,"Airdrops and bounty will allow you to develop your project. Although I have already seen several similar projects, I think that this project is quite well thought out. You park quickly, pay comfortably, lower fuel consumption and comfort. This is important in a big city overloaded cars.",False
18,msg48358988,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-11-30 22:13:55,abdul2018,Newbie,7,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,It's quite attractive for the readers to join here because of interesting concept of this project. I'm sure many will support this because this is really nice. And it seems that this will going to be a success,False
19,msg48360703,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-12-01 00:35:39,sefregthtyhy,Newbie,1,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,"great project, responds to a problem we encounter every day in big cities. I highly recommend it! Life is precious, why waste time finding a parking spot. PARKRES is here to help…",False
20,msg48360836,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-12-01 00:54:37,fethi444,Newbie,3,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,"great project, responds to a problem we encounter every day in big cities. I highly recommend it!",False
21,msg48360869,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-12-01 00:59:23,nurul655,Newbie,3,0,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,great & helpfull project,False
22,msg48361099,https://bitcointalk.org/index.php?topic=3671573.0,,3092,Announcements (Altcoins),2018-12-01 01:31:47,luksbit,Sr. Member,1036,250,,[ANN][ICO]PARKRES - Parking Reinvented - Parking over Blockchain,Can this solution be used for any location? Should reservations be paid with Parker tokens or can it also be paid with fiat currency?,False
