id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg27828125,https://bitcointalk.org/index.php?topic=2429216.0,msg27117706,2783,Announcements (Altcoins),2018-01-10 09:12:19,Patrix_1,Member,271,10,,UNOLABO PRE-ICO,"  OK, THANKS",True
2,msg27065722,https://bitcointalk.org/index.php?topic=2429216.0,msg27064749,2783,Announcements (Altcoins),2017-12-27 21:56:16,Kat_76,Newbie,41,0,,UNOLABO PRE-ICO,"   Ok, thanks!",True
3,msg27108475,https://bitcointalk.org/index.php?topic=2429216.0,,2783,Announcements (Altcoins),2017-12-28 16:16:00,Patrix_1,Member,271,10,,UNOLABO PRE-ICO,Hi!  Where can I find your advisory board or partners??,True
4,msg27117527,https://bitcointalk.org/index.php?topic=2429216.0,msg27065722,2783,Announcements (Altcoins),2017-12-28 19:20:48,Unolabo,Member,84,10,,UNOLABO PRE-ICO,   You're welcome! Feel free to contact us!,True
5,msg27117706,https://bitcointalk.org/index.php?topic=2429216.0,msg27108475,2783,Announcements (Altcoins),2017-12-28 19:24:54,Unolabo,Member,84,10,,UNOLABO PRE-ICO,   Hi! All our team members & advisors are listed here,True
6,msg27118096,https://bitcointalk.org/index.php?topic=2429216.0,,2783,Announcements (Altcoins),2017-12-28 19:33:33,unya,Newbie,60,0,,UNOLABO PRE-ICO,What is Bitfin Capital?,True
7,msg27118267,https://bitcointalk.org/index.php?topic=2429216.0,msg27118096,2783,Announcements (Altcoins),2017-12-28 19:37:13,Unolabo,Member,84,10,,UNOLABO PRE-ICO,"   BitFin Capital is a hedge fund focused on the intersection of the emerging crypto assets and blockchain ecosystem and traditional economy. If interested, please visit their website",True
8,msg27118367,https://bitcointalk.org/index.php?topic=2429216.0,,2783,Announcements (Altcoins),2017-12-28 19:39:37,marchonj,Newbie,38,0,,UNOLABO PRE-ICO,There are soooo many projects. Why do you consider Unolabo to be a unique one?,True
9,msg27118620,https://bitcointalk.org/index.php?topic=2429216.0,msg27118367,2783,Announcements (Altcoins),2017-12-28 19:44:59,Unolabo,Member,84,10,,UNOLABO PRE-ICO,"   Hello! Unolabo offers a fin tech solution that, through a smart contract, ensures the execution of transactions between users, the arbitration of disputes, and automatically generates deductions of the each deal income on a user-customized plan of pension savings, life and medical insurance.",True
10,msg27166967,https://bitcointalk.org/index.php?topic=2429216.0,,2783,Announcements (Altcoins),2017-12-29 17:12:21,Natalie111,Jr. Member,56,1,,UNOLABO PRE-ICO,when does unolabo's ico start?,True
11,msg27170419,https://bitcointalk.org/index.php?topic=2429216.0,msg27166967,2783,Announcements (Altcoins),2017-12-29 18:30:51,Unolabo,Member,84,10,,UNOLABO PRE-ICO,"   Hello! The projected date of ICO is January, 31. We'll let you know if something changes.",True
12,msg27170657,https://bitcointalk.org/index.php?topic=2429216.0,msg27170419,2783,Announcements (Altcoins),2017-12-29 18:36:32,Natalie111,Jr. Member,56,1,,UNOLABO PRE-ICO,  Thanks for the answer!,True
13,msg27170796,https://bitcointalk.org/index.php?topic=2429216.0,msg27170657,2783,Announcements (Altcoins),2017-12-29 18:39:41,Unolabo,Member,84,10,,UNOLABO PRE-ICO,   You're welcome! We're here to help you:),True
14,msg27173455,https://bitcointalk.org/index.php?topic=2429216.0,,2783,Announcements (Altcoins),2017-12-29 19:43:29,Kat_76,Newbie,41,0,,UNOLABO PRE-ICO,How does the platform interacts with credit companies?,True
15,msg27215620,https://bitcointalk.org/index.php?topic=2429216.0,msg27173455,2783,Announcements (Altcoins),2017-12-30 16:37:54,Arty_R,Newbie,20,0,,UNOLABO PRE-ICO,"  Hello and thank you for your question!  The platform will give you the ability to receive and issue loans within the platform itself. Private  or institutional creditors can join the platform by clicking on the same invite button on our website.  Smart  contracts  make  the  issuance  of  loans  as  secure  as  possible,  since  they  fix  all  the necessary  information  in  the  locker,  while  preserving  the  confidentiality  of  personal  data.  The system can be accessed by traditional banks, leasing companies and private individuals, as well as other blockchain startups which will give our platform more flexibility and the ability to be open to all partners.",True
16,msg27219318,https://bitcointalk.org/index.php?topic=2429216.0,msg27118620,2783,Announcements (Altcoins),2017-12-30 18:00:56,marchonj,Newbie,38,0,,UNOLABO PRE-ICO,   Hmm i get it - thanx for the answer,True
17,msg27220223,https://bitcointalk.org/index.php?topic=2429216.0,msg27118267,2783,Announcements (Altcoins),2017-12-30 18:22:14,unya,Newbie,60,0,,UNOLABO PRE-ICO,"    Got it, thanks. And thanks for the link",True
18,msg27226211,https://bitcointalk.org/index.php?topic=2429216.0,msg27219318,2783,Announcements (Altcoins),2017-12-30 20:53:31,Unolabo,Member,84,10,,UNOLABO PRE-ICO,   You're welcome!:),True
19,msg27226330,https://bitcointalk.org/index.php?topic=2429216.0,msg27220223,2783,Announcements (Altcoins),2017-12-30 20:56:36,Unolabo,Member,84,10,,UNOLABO PRE-ICO,   That's fine. You're welcome!,True
20,msg27226471,https://bitcointalk.org/index.php?topic=2429216.0,,2783,Announcements (Altcoins),2017-12-30 20:59:59,Unolabo,Member,84,10,,UNOLABO PRE-ICO,"Guys, please check out the last post of 2017 in our blog on Steemit!  Happy New Year, everyone!  Stay tuned to be the first to know all the info about Unolabo in 2018!",True
21,msg27368988,https://bitcointalk.org/index.php?topic=2429216.0,msg27226471,2783,Announcements (Altcoins),2018-01-02 21:25:09,l3ocky,Sr. Member,490,250,,UNOLABO PRE-ICO,   This is good news about the preliminary agreement with the venture capital fund BitFin Capital. We are waiting for the good news in 2018!,True
22,msg26881523,https://bitcointalk.org/index.php?topic=2429216.0,msg26847248,2783,Announcements (Altcoins),2017-12-24 12:36:06,Arty_R,Newbie,20,0,,UNOLABO PRE-ICO,"   Merry christmas or whatever else, and happy upcoming new year!",True
23,msg26895808,https://bitcointalk.org/index.php?topic=2429216.0,msg26876996,2783,Announcements (Altcoins),2017-12-24 17:37:43,Unolabo,Member,84,10,,UNOLABO PRE-ICO,   Haha! It's a pity!,True
24,msg26895860,https://bitcointalk.org/index.php?topic=2429216.0,msg26881523,2783,Announcements (Altcoins),2017-12-24 17:39:01,Unolabo,Member,84,10,,UNOLABO PRE-ICO,   Thanks! We wish you Happy Holidays!,True
25,msg26896515,https://bitcointalk.org/index.php?topic=2429216.0,,2783,Announcements (Altcoins),2017-12-24 17:52:41,Unolabo,Member,84,10,,UNOLABO PRE-ICO,"2017 is coming to an end, that means time for winter holidays.  Despite the fact that we continue working even while everyone rests, it's time to congratulate all those who are interested in the Skillmarket project or just by chance stumble upon our page.  We congratulate you on the holidays and wish you health, financial well-being and strength of mind for new even more outstanding victories!   Please check out this link to see the full text of our greeting!",True
26,msg26897585,https://bitcointalk.org/index.php?topic=2429216.0,msg26896515,2783,Announcements (Altcoins),2017-12-24 18:16:36,Natalie111,Jr. Member,56,1,,UNOLABO PRE-ICO,   Thank you! Wish you a Merry Christmas and Happy Holidays! Good luck to the project,True
27,msg26897610,https://bitcointalk.org/index.php?topic=2429216.0,msg26897585,2783,Announcements (Altcoins),2017-12-24 18:17:05,Unolabo,Member,84,10,,UNOLABO PRE-ICO,   Thank you!,True
28,msg26947300,https://bitcointalk.org/index.php?topic=2429216.0,,2783,Announcements (Altcoins),2017-12-25 18:29:41,Unolabo,Member,84,10,,UNOLABO PRE-ICO,"We inform our community about the important news: a preliminary agreement has been reached between the Unolabo LTD company (Hong Kong) and the venture capital fund BitFin Capital (California, USA) on the participation of the fund in the Skillmarket project development.  More information here  Please let us know what you think!",True
29,msg26947772,https://bitcointalk.org/index.php?topic=2429216.0,msg26947300,2783,Announcements (Altcoins),2017-12-25 18:41:27,unya,Newbie,60,0,,UNOLABO PRE-ICO,   Such good news! Congrats! Why did you choose BitFinCapital as the fund to partner with?,True
30,msg26948956,https://bitcointalk.org/index.php?topic=2429216.0,msg26947772,2783,Announcements (Altcoins),2017-12-25 19:11:25,Unolabo,Member,84,10,,UNOLABO PRE-ICO,"   BitFin Capital is guided by the following principles:  1. Move fast, but be carefull. 2. Never lose humility in the face of success. 3. Have fun and make money for our families, partners and customers.  And our team shares these views. We consider it very important to be on the same wavelength with partners:)",True
31,msg26949101,https://bitcointalk.org/index.php?topic=2429216.0,msg26896515,2783,Announcements (Altcoins),2017-12-25 19:14:53,Kat_76,Newbie,41,0,,UNOLABO PRE-ICO,"   Thanks, guys! Happy Holidays!",True
