id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg30108804,https://bitcointalk.org/index.php?topic=2931334.0,,433,Announcements (Altcoins),2018-02-12 02:35:20,Voco Coin,Copper Member,28,0,,[ANN] [VOCO] VOCO Coin | Ground Breaking Chat Solution on the Blockchain,Voco Coin | Ground Breaking Chat Solution on the Blockchain   WHITEPAPER | FACEBOOK | TELEGRAM | TWITTER     Read about our project in our white paper: LINK      ANNOUNCEMENT:  Voco Networks and ClearCoin Announce New Alliance That Will Change The Landscape of Consumers & Businesses Digital eCommerce Ecosystem Forever   Press Releases:  Link: DigitalJournal.com Link: GetNews.info Link: FOX8Live.com    Do you have any questions? Leave a post below and join our Telegram so our team can help you!   WHITEPAPER | FACEBOOK | TELEGRAM | TWITTER,False
2,msg30109975,https://bitcointalk.org/index.php?topic=2931334.0,,433,Announcements (Altcoins),2018-02-12 03:24:24,GoodZilla,Newbie,32,0,,[ANN] [VOCO] VOCO Coin | Ground Breaking Chat Solution on the Blockchain,New and different project. Looks great! I'm in =),False
3,msg30110320,https://bitcointalk.org/index.php?topic=2931334.0,msg30109975,433,Announcements (Altcoins),2018-02-12 03:37:31,Voco Coin,Copper Member,28,0,,[ANN] [VOCO] VOCO Coin | Ground Breaking Chat Solution on the Blockchain,"   thanks, great to hear!   we will be updating this regularly so stay tuned and join our telegram.  https://t.me/vocoChat",False
4,msg30157825,https://bitcointalk.org/index.php?topic=2931334.0,,433,Announcements (Altcoins),2018-02-12 18:43:47,crypdogar,Newbie,3,0,,[ANN] [VOCO] VOCO Coin | Ground Breaking Chat Solution on the Blockchain,sounds really interesting  will be following ,False
5,msg30165525,https://bitcointalk.org/index.php?topic=2931334.0,,433,Announcements (Altcoins),2018-02-12 21:06:36,crypdogar,Newbie,3,0,,[ANN] [VOCO] VOCO Coin | Ground Breaking Chat Solution on the Blockchain,is there a website or anything other than the whitepaper?,False
6,msg30166529,https://bitcointalk.org/index.php?topic=2931334.0,msg30157825,433,Announcements (Altcoins),2018-02-12 21:27:26,Voco Coin,Copper Member,28,0,,[ANN] [VOCO] VOCO Coin | Ground Breaking Chat Solution on the Blockchain,"   Quote from: crypdogar on February 12, 2018, 09:06:36 PM is there a website or anything other than the whitepaper?   hey! thank you!  Welcome to the Voco Community!  We're working on our ICO Website and it will be ready in a few days. We will keep you updated in this forum and on our Telegram and Facebook so make sure you join us there! ",False
7,msg30237913,https://bitcointalk.org/index.php?topic=2931334.0,,433,Announcements (Altcoins),2018-02-13 21:56:14,Voco Coin,Copper Member,28,0,,[ANN] [VOCO] VOCO Coin | Ground Breaking Chat Solution on the Blockchain,"How does VOCO help Businesses and Consumers?   These are the benefits of the VOCO Chat Ecosystem:    Advertisers and Vendors:  More businesses, of all sizes will have access to referral marketing and loyalty programs. Businesses will have the ability to micro-target the consumers in order to up-sell and cross sell. Businesses will be able to enhance customer engagement. No monthly fee, simply pay for the tokens and set the specific details.   Consumers:  Consumers will receive relevant promotions. Consumers will earn and share Voco Coins with friends and family, as they own the crypto-points they’ve received in their secure, private wallet. Voco loyalty coins will be more accessible and transferable much more than any traditional rewards points.     Any Questions? Join our Telegram Chat and follow us on Facebook for regular Updates!   WHITEPAPER | FACEBOOK | TELEGRAM",False
8,msg30300659,https://bitcointalk.org/index.php?topic=2931334.0,,433,Announcements (Altcoins),2018-02-14 20:33:24,Voco Coin,Copper Member,28,0,,[ANN] [VOCO] VOCO Coin | Ground Breaking Chat Solution on the Blockchain,"Some more Information on Voco?  VOCO web-app is like Telegram but for businesses: A persistent one-click chat that disrupts the $600B Ads-Referral market by empowering on-the-fly blockchain based,referrals and loyalty programs.   Parties can reach out and chat via friends, referrals, ads, phone calls, website, Facebook, Google Ads, Email or pick up where they left off, from seconds to weeks ago.  Voco’s one click technology requires no sign in, login, or install. Voco utilizes blockchain technology to seamlessly attract, authenticate and reward customers.",False
9,msg30539566,https://bitcointalk.org/index.php?topic=2931334.0,,433,Announcements (Altcoins),2018-02-18 12:27:03,Voco Coin,Copper Member,28,0,,[ANN] [VOCO] VOCO Coin | Ground Breaking Chat Solution on the Blockchain,"We are proud to announce the well-known Cryptocurrencies Advisor KEREN NEW has joined our VOCO Networks ADVISORY BOARD, to co-guide on the road to our up-coming ICO. You can read about KEREN NEW on her Linkedin Page and in the following:   Ms. Keren New is a well known expert in Blockchain technology and cryptocurrencies investments. She is interviewed by various presses, magazines and appears on various TV stations in Asia, on Singapore Straits times, Channel News Asia, News on 5, Channel U 财经追击. She wrote the book “New Assets - Ride on the Cryptocurrency Wave!: Step by Step Guide to build The Fastest Growing Assets”. She believes blockchain will eventually bring a huge paradigm shift to many verticals.",False
10,msg42093908,https://bitcointalk.org/index.php?topic=2931334.0,,433,Announcements (Altcoins),2018-07-13 12:19:21,UDFreeman,Newbie,147,0,,[ANN] [VOCO] VOCO Coin | Ground Breaking Chat Solution on the Blockchain,VOCO chat (voconet.io) can boost businesses’ sales and help grow their bottom line and customer base...  How do investors achieve this through VOCO?,False
