id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg26754780,https://bitcointalk.org/index.php?topic=2629209.0,,324,Announcements (Altcoins),2017-12-22 01:37:29,ICOcountdown.com,Hero Member,896,500,,[ANN] COINHEALTH.IO,"                 The first health-focused platform that rewards you with Coinhealth tokens each time you engage in activities that promotes health and wellness.  ❖ Lifetime Accessible Retirement Kinetic (L.A.R.K) Account  Powered by blockchain technology that will revolutionize the way you save and access funds for healthcare related expenses.   ❖Safe and Efficient Access to Medical Records  We’re bringing YOU back in the center of everything. By using blockchain technology, doctors and care providers can now work in one decentralized, shared ledger that update patient’s medical records, accessible to all authorized parties, anywhere in the world in just minutes. So your doctor in Dallas, TX can send and retrieve valuable information from your chiropractor in Tokyo, Japan in just a few clicks on their phone.   ❖Biometrics Wearables and Mobile Platform  By syncing your Smart Wearable Devices to our CoinHealth Apps, users will be rewarded with Coinhealth tokens through physical exertion and maintaining a healthy lifestyle. So each time you sweat, you are earning tokens deposited straight to you L.A.R.K. account.      Do not send ETH from an exchange wallet. Make sure you have access to your private key. Not all wallet types support ERC20 tokens.        You can view all the team members at our website https://coinhealth.io              ",False
2,msg26755871,https://bitcointalk.org/index.php?topic=2629209.0,,324,Announcements (Altcoins),2017-12-22 02:21:54,denisaardelean,Member,322,10,,[ANN] COINHEALTH.IO,"Hello DEV. Your coin is not really eye-catching, it lacks a lot of information, such as whitepaper, roadmap, team dev, programs bounty, twitter, facebook, ...",False
3,msg26755907,https://bitcointalk.org/index.php?topic=2629209.0,,324,Announcements (Altcoins),2017-12-22 02:23:26,harriette,Member,173,11,,[ANN] COINHEALTH.IO,"You can focus on your article, very little information, this is a coin ICO or Lending or POS",False
4,msg26756558,https://bitcointalk.org/index.php?topic=2629209.0,,324,Announcements (Altcoins),2017-12-22 02:50:09,mr.t352,Member,228,10,,[ANN] COINHEALTH.IO,"Actually your thread is so sparse, looks tedious. Just have only some website links. How can convince everyone to support your project?",False
5,msg26756568,https://bitcointalk.org/index.php?topic=2629209.0,,324,Announcements (Altcoins),2017-12-22 02:50:42,tperkara,Full Member,196,100,,[ANN] COINHEALTH.IO,"just this the contents of the thread you created, maybe you need to give more detail explanation again in this ANN. because I have not understood at all with the ICO project that you will develop",False
6,msg26762486,https://bitcointalk.org/index.php?topic=2629209.0,,324,Announcements (Altcoins),2017-12-22 06:10:54,herma,Full Member,182,100,,[ANN] COINHEALTH.IO,"Hi dev , I do not see the bonus program, airdrop. Do you want to implement it in the future?",False
7,msg28599991,https://bitcointalk.org/index.php?topic=2629209.0,,324,Announcements (Altcoins),2018-01-21 10:10:24,Alan97417,Newbie,103,0,,[ANN] COINHEALTH.IO,Hi team  Do you need french translation for your whitepaper ? If yes I'm ready to work for you. PM if interested.  Best regards,False
8,msg34695087,https://bitcointalk.org/index.php?topic=2629209.0,,324,Announcements (Altcoins),2018-04-14 16:15:16,SMS303,Newbie,22,0,,[ANN] COINHEALTH.IO,"Any signs of life in this project? It seems this project is not evolving as aspected.... Asking critic questions about a transfer of 875k CH tokens which were dumped in february far below market price (around 0.0006 Waves per token), led to a block in the Telegram group...  Transaction of the 875k CH tokens: https://wavesdesk.com/tx/8BiS55kasUrHn7F3oXJSPQXbS5oZb6jvQcpv3mWxVMWL  Github last commit 4 dec 2017: https://github.com/CoinHealth/CoinHealth That is over 5 months..... What is progress so far?",False
9,msg34794584,https://bitcointalk.org/index.php?topic=2629209.0,,324,Announcements (Altcoins),2018-04-15 22:04:29,SMS303,Newbie,22,0,,[ANN] COINHEALTH.IO,Can someone from the team answer or explain the current status?,False
10,msg34795384,https://bitcointalk.org/index.php?topic=2629209.0,msg34795303,324,Announcements (Altcoins),2018-04-15 22:25:15,SMS303,Newbie,22,0,,[ANN] COINHEALTH.IO,  Airdrop? When? What is your relation with the project?,False
11,msg34795708,https://bitcointalk.org/index.php?topic=2629209.0,msg34695087,324,Announcements (Altcoins),2018-04-15 22:32:53,Miiike,Legendary,1414,1042,,[ANN] COINHEALTH.IO,"   They're already tradable (and already dumped, it seems based on your post)? But on their site that I've just checked, their crowdsale is still on progress.",False
