id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg42832119,https://bitcointalk.org/index.php?topic=2117627.0,,1071,Announcements (Altcoins),2018-07-25 07:28:13,elitecstrike,Full Member,560,101,,[ANN][BOT] Bodhi - Developing China's Prediction Market for the World,"Successful ending-Bodhi Asia Tour Meetup Bangkok Station Activity Review  Yesterday, Bodhi Asia Tour Meetup Bangkok station was successfully held. Bodhi led Qbao Network, INK and EnergoLabs to share with the blockchain enthusiasts in Bangkok. At the meetup, Deric Walintukan, Chief Technology Officer of Bodhi prediction Market, gave a special speech and shared with the event guests to introduce Bodhi’s prediction market project, current project development trends, and future development plans. https://medium.com/bodhi-prediction-market/successful-ending-bodhi-asia-tour-meetup-bangkok-station-activity-review-d44446a59e81",False
2,msg43872051,https://bitcointalk.org/index.php?topic=2117627.0,,1071,Announcements (Altcoins),2018-08-11 09:23:58,NightDream,Full Member,644,103,,[ANN][BOT] Bodhi - Developing China's Prediction Market for the World,"Bodhi Development Update: Aug 10, 2018 https://medium.com/bodhi-prediction-market/bodhi-development-update-aug-10-2018-5219e3390e36  Qrypto 1.0.0 Beta released! Bodhi Dapp Light Client",False
3,msg44298648,https://bitcointalk.org/index.php?topic=2117627.0,,1071,Announcements (Altcoins),2018-08-18 16:09:26,four199,Member,294,10,,[ANN][BOT] Bodhi - Developing China's Prediction Market for the World,"Hello, is there a way to get in touch with the CEO/Admin/Staff? Its regarding a marketing enquiry",False
4,msg44304008,https://bitcointalk.org/index.php?topic=2117627.0,,1071,Announcements (Altcoins),2018-08-18 18:02:09,Silasa,Newbie,160,0,,[ANN][BOT] Bodhi - Developing China's Prediction Market for the World,"Can you tell us some main features of Bodhi,things that will set you apart from competition,some stuff that will give you an advantage?",False
5,msg44304336,https://bitcointalk.org/index.php?topic=2117627.0,,1071,Announcements (Altcoins),2018-08-18 18:09:22,shakawaski,Newbie,67,0,,[ANN][BOT] Bodhi - Developing China's Prediction Market for the World,"Great project idea, looking forward to the ICO.  Also, would like to hear something from the official team regarding KYC process.  Thanks!",False
6,msg44363157,https://bitcointalk.org/index.php?topic=2117627.0,,1071,Announcements (Altcoins),2018-08-19 17:11:12,Rangnara,Newbie,56,0,,[ANN][BOT] Bodhi - Developing China's Prediction Market for the World,I hope this project will success in their future because we are all believe and supporting this project.,False
7,msg44363432,https://bitcointalk.org/index.php?topic=2117627.0,,1071,Announcements (Altcoins),2018-08-19 17:16:01,PoweredBy SMF,Full Member,350,100,,[ANN][BOT] Bodhi - Developing China's Prediction Market for the World,"I love Bodhi because as a blockchain-based decentralized forecasting market, information becomes valuable and influential to society through predictive information. Hope to realize that everyone is the vision of the prophet.",False
8,msg44363553,https://bitcointalk.org/index.php?topic=2117627.0,,1071,Announcements (Altcoins),2018-08-19 17:18:13,zoose,Full Member,162,100,,[ANN][BOT] Bodhi - Developing China's Prediction Market for the World,Looks like a promising project. Is your project similar to Augur? Blockchain-based decentralized forecasting market sounds like it could be used to place bets on which way the market will move? It would make for an interesting feature if it was made available. Somewhat similar to a futures market but for blockchain.,False
9,msg44363776,https://bitcointalk.org/index.php?topic=2117627.0,,1071,Announcements (Altcoins),2018-08-19 17:22:12,kamar25,Jr. Member,164,1,,[ANN][BOT] Bodhi - Developing China's Prediction Market for the World,"I was also very surprised, because you were very confident even though your newbie opened an ICO sale, how would anyone believe it all",False
10,msg45208878,https://bitcointalk.org/index.php?topic=2117627.0,,1071,Announcements (Altcoins),2018-09-05 02:55:23,zapauctions,Newbie,8,0,,[ANN][BOT] Bodhi - Developing China's Prediction Market for the World,"Through research, I learned that Bodhi market forecast will be built on top of blockchain Qtum. Qtum infrastructure combined with Ethereum Bitcoin Core Virtual Machine to provide stability, modularity, and interoperability for dApps built on its platform. Meanwhile, bring a mechanism Bodhi Oracle can replace to make our platform efficiency and self-governance. With a project so why not join us and spread more widely?",False
11,msg45378063,https://bitcointalk.org/index.php?topic=2117627.0,,1071,Announcements (Altcoins),2018-09-08 11:23:49,brother3,Hero Member,980,500,,[ANN][BOT] Bodhi - Developing China's Prediction Market for the World,What can Bodhi do as a prediction market symbolizes “freedom”? https://medium.com/@bodhitoken/what-can-bodhi-do-as-a-prediction-market-symbolizes-freedom-958d05a87a9b,False
12,msg45759845,https://bitcointalk.org/index.php?topic=2117627.0,,1071,Announcements (Altcoins),2018-09-16 07:42:49,Kutaxi,Newbie,167,0,,[ANN][BOT] Bodhi - Developing China's Prediction Market for the World,"Very promising project.  A new exchanger with many useful features.  This is an important project, especially now when many leading exchanges experience difficulties in registering new users. The project will play a very important role in the cryptocurrency world!",False
