id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45833131,https://bitcointalk.org/index.php?topic=5030970.0,,173,Announcements (Altcoins),2018-09-17 15:10:15,REBGLOICO,Copper Member,10,0,,Closed, ,False
2,msg45833438,https://bitcointalk.org/index.php?topic=5030970.0,,173,Announcements (Altcoins),2018-09-17 15:18:01,Colorblind,Member,378,31,,Closed,"You realize that what you promote violates basic laws of physics, do you?",False
3,msg45833746,https://bitcointalk.org/index.php?topic=5030970.0,msg45833438,173,Announcements (Altcoins),2018-09-17 15:25:29,REBGLOICO,Copper Member,10,0,,Closed,"   Hi!  Thanks for your feedback! Currently we are getting the test lap report from Singapore. So we will place the report on our site soon!  In the meantime, feel free to take a look at our lap report from Japan on the reducing of High frequency of electric devices! https://rebglo.io/wp-content/uploads/Rebglo-HFEWA-Report.pdf",False
4,msg45833864,https://bitcointalk.org/index.php?topic=5030970.0,,173,Announcements (Altcoins),2018-09-17 15:28:11,101nowby,Copper Member,336,17,,Closed,This is very similar to deception. You have evidence of this technology. Have you patented this invention? Who and when was able to realize this I have a lot of questions,False
5,msg45834159,https://bitcointalk.org/index.php?topic=5030970.0,msg45833864,173,Announcements (Altcoins),2018-09-17 15:35:18,REBGLOICO,Copper Member,10,0,,Closed,"   Yes Hettarer has actually been soft launch or in trial mode late last year. And we are looking to patent this invention, which is the brainchild of Tokyo-based entrepreneur Makoto Murakoshi. He is one of our advisor and we are bringing this product to penetrate South East Asia market.  You have take a look at this article:  https://www.businesswire.com/news/home/20180726006062/en/Rebglo-Introduces-Japan-made-Adhesive-Paper-Patch-Extends",False
6,msg45850064,https://bitcointalk.org/index.php?topic=5030970.0,,173,Announcements (Altcoins),2018-09-18 00:30:10,101nowby,Copper Member,336,17,,Closed," Wow, this is quite another matter! Now we are closer to the future, the one that we have always dreamed of.",False
7,msg45853364,https://bitcointalk.org/index.php?topic=5030970.0,msg45850064,173,Announcements (Altcoins),2018-09-18 04:04:27,REBGLOICO,Copper Member,10,0,,Closed,   Yes you are right! So do support us !    Minimum contribution = 0.5 ETH  Buy now and ENJOY 40% PROMOTION! Till 30th September!: https://rebglo.io/kyc-application/,False
8,msg45899357,https://bitcointalk.org/index.php?topic=5030970.0,,173,Announcements (Altcoins),2018-09-19 09:48:37,REBGLOICO,Copper Member,10,0,,Closed,,False
9,msg46043706,https://bitcointalk.org/index.php?topic=5030970.0,,173,Announcements (Altcoins),2018-09-22 23:24:53,ali115112,Jr. Member,294,2,,Closed,is airdrop going yet or not ?,False
10,msg46043857,https://bitcointalk.org/index.php?topic=5030970.0,,173,Announcements (Altcoins),2018-09-22 23:32:21,cabbage55,Member,181,10,,Closed,I really liked your project. Already wanna to participate in airprop or just buy tokens. Thanks for the development.,False
11,msg46095030,https://bitcointalk.org/index.php?topic=5030970.0,msg46043706,173,Announcements (Altcoins),2018-09-24 03:02:24,REBGLOICO,Copper Member,10,0,,Closed,   The Airdrop/Bounty campaign is still ongoing! Don't miss the chance!!!,False
12,msg46095150,https://bitcointalk.org/index.php?topic=5030970.0,msg46043857,173,Announcements (Altcoins),2018-09-24 03:10:30,REBGLOICO,Copper Member,10,0,,Closed,    Cool! Hope to hear from you soon!,False
13,msg46099660,https://bitcointalk.org/index.php?topic=5030970.0,,173,Announcements (Altcoins),2018-09-24 06:57:26,merridaa,Jr. Member,238,1,,Closed,"it can be said that this is a very brave and innovative step, a project that can make something new, I think a thing that is difficult to achieve but can be the latest breakthrough, this could fail, but you will never fail until you stop trying, so good luck",False
14,msg46136889,https://bitcointalk.org/index.php?topic=5030970.0,msg46099660,173,Announcements (Altcoins),2018-09-25 06:20:12,REBGLOICO,Copper Member,10,0,,Closed,   Thanks for your encouraging words! Yes we are building up a big project that can improve the world! Stay tuned with our development closely! ,False
15,msg46218491,https://bitcointalk.org/index.php?topic=5030970.0,,173,Announcements (Altcoins),2018-09-27 08:00:24,REBGLOICO,Copper Member,10,0,,Closed,Last few days to enjoy the airdrop! Join now!,False
16,msg46220649,https://bitcointalk.org/index.php?topic=5030970.0,,173,Announcements (Altcoins),2018-09-27 09:00:04,REBGLOICO,Copper Member,10,0,,Closed,we have received many feedbacks on whether Hettarer really reduce the high frequency of any electrical devices......  Take a look at the video below for our simple demonstration ,False
