id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43195355,https://bitcointalk.org/index.php?topic=3248955.0,msg43138865,3369,Announcements (Altcoins),2018-07-31 06:51:54,frenkelebre,Jr. Member,392,2,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   You can try to go to their Telegram group which there are many active members there at really helps you when it comes asking questions about the project.,False
2,msg43196101,https://bitcointalk.org/index.php?topic=3248955.0,msg43140728,3369,Announcements (Altcoins),2018-07-31 07:06:31,yuisefb8,Newbie,196,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   Eterbank really have a great performance. This tells that the project deserved to be success and many people are looking forward to have the product to be released in the real world.,False
3,msg43196910,https://bitcointalk.org/index.php?topic=3248955.0,msg43196101,3369,Announcements (Altcoins),2018-07-31 07:23:11,hexline11,Newbie,61,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   I was expecting that Eterbank will really go for the success since they are very successful in the past months. I don't know what is the main status of Eterbank but I hope they will continue providing us some update.,False
4,msg43197952,https://bitcointalk.org/index.php?topic=3248955.0,msg43195355,3369,Announcements (Altcoins),2018-07-31 07:42:50,ainajane11,Newbie,58,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   I have already joined their Telegam group and thank you for the answer mate. I was amazed that many members really are helping each.,False
5,msg43199105,https://bitcointalk.org/index.php?topic=3248955.0,msg43197952,3369,Announcements (Altcoins),2018-07-31 08:02:06,recsoninlight,Jr. Member,162,1,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  Great to hear it for you mate. Eterbank members really appreciate the work of the team which in a way that they help the team assisting when it comes on updating some news.,False
6,msg43405008,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-08-03 15:16:02,mooccowmoo,Full Member,396,100,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"As soon as the ICO is officially over, you will be able to trade / sell your EPAY tokens on various exchangers, subscribe to our mailing list on the homepage to receive such updates. is trade/sall in waves platform?",False
7,msg43577136,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-08-06 09:23:30,dumbtool45,Sr. Member,448,252,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"Even though it's way too soon to make bold claims, I feel like EterBank is going to be this be-all-end-all project within its niche. Do quote me on this although if you think otherwise, let's discuss together",False
8,msg43578490,https://bitcointalk.org/index.php?topic=3248955.0,msg43070025,3369,Announcements (Altcoins),2018-08-06 09:48:41,BlackMoon25,Newbie,107,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"   1% fee for a transaction, I don't think it's cheap, especially with some big transaction or with the retailers who do many transactions per day. Make it cheaper if you want to cooperate with more retailers",False
9,msg43578845,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-08-06 09:55:48,DoraDoraDora,Newbie,28,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,Hi! Any bounty here? Thanks for reply in advance.,False
10,msg42963982,https://bitcointalk.org/index.php?topic=3248955.0,msg42962827,3369,Announcements (Altcoins),2018-07-27 10:52:00,ainajane11,Newbie,58,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"  If you are worry that some costumers use FIAT then deal with it in a normal way, that's easy. Ether POS only receive cryptocurrency.",False
11,msg42965496,https://bitcointalk.org/index.php?topic=3248955.0,msg42963982,3369,Announcements (Altcoins),2018-07-27 11:23:02,recsoninlight,Jr. Member,162,1,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  The project interface is really great which they provide an easy way to transact with the consumers. This will serve a great idea of the team that will be their asset.,False
12,msg42999323,https://bitcointalk.org/index.php?topic=3248955.0,msg42961092,3369,Announcements (Altcoins),2018-07-28 00:58:29,recsoninlight,Jr. Member,162,1,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   It is a great thing that Eterbank comes up with this idea which it is more convenient to consumers to buy goods without carrying cash and it is more advantage since the transaction is fast.,False
13,msg42999679,https://bitcointalk.org/index.php?topic=3248955.0,msg42999323,3369,Announcements (Altcoins),2018-07-28 01:16:24,yuisefb8,Newbie,196,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  Eterbank really deserve what they have achieve today which gain more attraction to more people. I hope it will continue and will be a good asset to the project.,False
14,msg42999994,https://bitcointalk.org/index.php?topic=3248955.0,msg42999552,3369,Announcements (Altcoins),2018-07-28 01:34:25,frenkelebre,Jr. Member,392,2,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  Their plan really works accurate in their flow chart. Eterbank for sure will gain a massive support and will become a successful retail service using cryptocurrency.,False
15,msg43000915,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-07-28 02:21:05,hexline11,Newbie,61,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,Do you have any update about Eterbank? I have joined your Telegram group for fast reply but it doesn't entertain me which no updates or news that is given to me.,False
