id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg26595923,https://bitcointalk.org/index.php?topic=2589946.0,,296,Announcements (Altcoins),2017-12-19 10:24:39,JackARCCY,Newbie,42,0,,"[ANN] ARC Reserve Currency - fully regulated, asset-backed StableCoin - ICO LIVE",Announcement from invezz: http://invezz.com/news/crypto/28716-upcoming-ico-channel-island-ico-targets-five-mil  Announcement from institutional asset managers: https://www.institutionalassetmanager.co.uk/2017/12/18/259426/carey-olsen-and-jtc-advise-arc-fiduciary-jerseys-first-ico,False
2,msg26603178,https://bitcointalk.org/index.php?topic=2589946.0,,296,Announcements (Altcoins),2017-12-19 12:50:42,tendy263,Member,352,10,,"[ANN] ARC Reserve Currency - fully regulated, asset-backed StableCoin - ICO LIVE","Sounds like a realy solid project, im looking forward to it",False
3,msg26607888,https://bitcointalk.org/index.php?topic=2589946.0,msg26603178,296,Announcements (Altcoins),2017-12-19 14:12:10,JackARCCY,Newbie,42,0,,"[ANN] ARC Reserve Currency - fully regulated, asset-backed StableCoin - ICO LIVE",   Thank you very much for your support. The ICO is now live head over to www.arccy.org to find out more ,False
4,msg26714067,https://bitcointalk.org/index.php?topic=2589946.0,,296,Announcements (Altcoins),2017-12-21 10:19:08,JackARCCY,Newbie,42,0,,"[ANN] ARC Reserve Currency - fully regulated, asset-backed StableCoin - ICO LIVE",https://international-adviser.com/offshore-centres-battle-bitcoins/,False
5,msg27985718,https://bitcointalk.org/index.php?topic=2589946.0,,296,Announcements (Altcoins),2018-01-12 14:39:16,JackARCCY,Newbie,42,0,,"[ANN] ARC Reserve Currency - fully regulated, asset-backed StableCoin - ICO LIVE",Dr Garrick Hileman - co-founder of ARC Reserve Currency cited in the Telegraph discussing whether Bitcoin or any other cryptocurrency can work as money  - http://www.telegraph.co.uk/investing/news/can-bitcoin-cryptocurrency-actually-work-money/,False
6,msg43206723,https://bitcointalk.org/index.php?topic=2589946.0,,296,Announcements (Altcoins),2018-07-31 10:24:18,Charlie.fletcher(AAA),Newbie,8,0,,"[ANN] ARC Reserve Currency - fully regulated, asset-backed StableCoin - ICO LIVE","UPDATE for ARC reserve currency- We are now branded as AAA reserve currency (www.AAAreserve.com) due to ticker conflicts. See below.  Nomenclature AAA Reserve Currency - the branding for the cryptocurrency  AAA - the ticker for the cryptocurrency  AAA coin - the short version for the cryptocurrency  $AAA - another short version for the cryptocurrency  Arc Coin and Arc Reserve Currency - the legal reference for AAA Reserve Currency as defined in the Information Memorandum and associated documents  As an update for the project we have now finished our alpha phase of price discovery and despite relatively big fiat currency fluctuations the coin has performed well: Its 3x more stable than USD (https://medium.com/arc-blog/aaa-reserve-is-3x-more-stable-than-usd-5264ecaa4ea9)  We are now in the process of aggressively marketing our 'stable coin' within the crypto space and are currently in communication with several  exchanges in regard to a potential listing. AAA reserve can add value to exchanges by serving as an effective fiat-to-crypto bridge. This enables: •   more trading activity on exchanges (as clients remain in crypto rather than trade back into fiat) •   on-boarding more clients (including newcomers looking for an easy entry point from fiat to crypto); and •   reduced administration and operations for the exchange (less fiat bank accounts and fiat pairs). Furthermore, since AAA reserve is backed by a number of fiat currencies not just pegged to 1 as the case for most other stable coins this gives us an unparalleled advantage at accepting a large number of currencies and effective fiat trading between them and cryptocurrencies on exchanges.  We are also talking to a number of ICOs who are planning to use AAA reserve as a medium for their ICO. This enables them to accept fiat as well as cryptocurrencies without the need for bank accounts (https://medium.com/arc-blog/how-to-accept-fiat-subscriptions-for-your-ico-9dcf97fef25d) this should increase there ICO revenue.  AAA can be used either via white label or directly through sending AAA and in doing so we also offer to conduct KYC/AML on their behalf to comply with regulatory requirements.  The team is also expanding so look forward to seeing a lot more activity from us in the crypto space.  Any questions contact the team at hello@aaareserve.com",False
7,msg43842780,https://bitcointalk.org/index.php?topic=2589946.0,,296,Announcements (Altcoins),2018-08-10 17:46:23,ZellaAnders,Member,221,10,,"[ANN] ARC Reserve Currency - fully regulated, asset-backed StableCoin - ICO LIVE","Incorporating the average inflation rate? That's something I haven't seen before when it comes to crypto projects. You know what, that alone is able to convince me that your coin is worth it. The social implications side of it is straight-up vital to me.",False
8,msg44055597,https://bitcointalk.org/index.php?topic=2589946.0,,296,Announcements (Altcoins),2018-08-14 08:36:05,kickstarter,Full Member,420,105,,"[ANN] ARC Reserve Currency - fully regulated, asset-backed StableCoin - ICO LIVE","Incorporating the average inflation rate? That's something I haven't seen before when it comes to crypto projects. You know what, that alone is able to convince me that your coin is worth it. The social implications side of it is straight-up vital to me.",False
9,msg44066258,https://bitcointalk.org/index.php?topic=2589946.0,msg43842780,296,Announcements (Altcoins),2018-08-14 12:03:45,Charlie.fletcher(AAA),Newbie,8,0,,"[ANN] ARC Reserve Currency - fully regulated, asset-backed StableCoin - ICO LIVE","   Hi ZellaAnders, AAA reserve does indeed incorporate inflation, by using the average inflation rate over the last 10 years of the G10 countries and manipulating the returns of fixed income assets backing the coin (plus a premium) we are able to nullify inflation.  Thanks for your support!",False
10,msg44070144,https://bitcointalk.org/index.php?topic=2589946.0,msg44055597,296,Announcements (Altcoins),2018-08-14 13:16:12,Charlie.fletcher(AAA),Newbie,8,0,,"[ANN] ARC Reserve Currency - fully regulated, asset-backed StableCoin - ICO LIVE","   Hi Kickstarter, AAA reserve does indeed incorporate inflation, by using the average inflation rate over the last 10 years of the G10 countries and manipulating the returns of fixed income assets backing the coin (plus a premium) we are able to nullify inflation.  Thanks for your support!",False
