id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg48931365,https://bitcointalk.org/index.php?topic=4573692.0,msg48924535,23178,Announcements (Altcoins),2018-12-28 14:15:46,Kopetunto,Member,252,10,,[ANN][ICO]:THE ALIVE CASINO WORLD'S FIRST VIRTUAL REALITY GAMBLING EXPERIENCE.,"  Alive is already in LAToken, why do you look worried, it's good they are there, you can buy it there, and the team always updates on Twitter",False
2,msg48992731,https://bitcointalk.org/index.php?topic=4573692.0,,23178,Announcements (Altcoins),2019-01-01 10:07:24,Cent21,Hero Member,1176,527,,[ANN][ICO]:THE ALIVE CASINO WORLD'S FIRST VIRTUAL REALITY GAMBLING EXPERIENCE.,Are the tokens sale and the bounty campaign ended as expected?  Someone from the Alive Casino team could make this clear?  Thanks,False
3,msg48992842,https://bitcointalk.org/index.php?topic=4573692.0,,23178,Announcements (Altcoins),2019-01-01 10:18:20,NrX,Sr. Member,770,254,,[ANN][ICO]:THE ALIVE CASINO WORLD'S FIRST VIRTUAL REALITY GAMBLING EXPERIENCE.,This is actually one of the rounds with 12% bonus in which they got this 63% of the hard cap set for it. There are two visible bonus rounds with 10% and 8% are coming one after other. Each of those rounds has own hard cap and period of selling. I tried to find out final dates but didn't succeed. This crowdfunding is running for few months but they are getting investment in each round.,False
4,msg48996754,https://bitcointalk.org/index.php?topic=4573692.0,msg48992842,23178,Announcements (Altcoins),2019-01-01 15:45:38,Cent21,Hero Member,1176,527,,[ANN][ICO]:THE ALIVE CASINO WORLD'S FIRST VIRTUAL REALITY GAMBLING EXPERIENCE.,"   Thanks for your answer, but i've asked before on this topic when the ico was going to end, and alivecasino user answered me that it was running till december.  It's on page 2, but here is the quote: Quote from: alivecasino on July 26, 2018, 03:27:08 PM Quote from: Cent21 on July 25, 2018, 03:24:40 PM  I've see on the website that your ico sale will start in about 12 days, but i couldn't find the ending date so i'm asking here:  How long will the ico last?  Thanks till dec, and mate you can ask anything in our live chat as well. thank you for your support.  I'm not sure what's going on here, but this bounty campaign is too long. I hope someone could make things a little more clear.",False
5,msg49001848,https://bitcointalk.org/index.php?topic=4573692.0,msg48996754,23178,Announcements (Altcoins),2019-01-01 23:14:38,UstadSoleh,Member,448,10,,[ANN][ICO]:THE ALIVE CASINO WORLD'S FIRST VIRTUAL REALITY GAMBLING EXPERIENCE.,"  It seems that the news obtained here is confusing, and where did the team why there is a definite explanation here? Are they busy, or indeed there has been no update, we look forward to the explanation soon.",False
6,msg49114103,https://bitcointalk.org/index.php?topic=4573692.0,,23178,Announcements (Altcoins),2019-01-08 10:20:46,abonarea,Legendary,1526,1003,,[ANN][ICO]:THE ALIVE CASINO WORLD'S FIRST VIRTUAL REALITY GAMBLING EXPERIENCE.,Everything they have to complete in this ongoing quarter like Pre-Sale which has two more stages. After this launch of full alivecasino platform and the  initial coin offering (ICO). There are less three months and response of all previous stages were more than I expected to be honest. If the project is delivered it is indeed very good and interesting everything.,False
7,msg49642921,https://bitcointalk.org/index.php?topic=4573692.0,msg49114103,23178,Announcements (Altcoins),2019-02-08 13:51:29,cryptobits3,Full Member,658,100,,[ANN][ICO]:THE ALIVE CASINO WORLD'S FIRST VIRTUAL REALITY GAMBLING EXPERIENCE.,  I would like to believe in a good result of this project) team good luck in the development,False
8,msg49800367,https://bitcointalk.org/index.php?topic=4573692.0,,23178,Announcements (Altcoins),2019-02-18 10:02:36,nugrama,Full Member,560,100,,[ANN][ICO]:THE ALIVE CASINO WORLD'S FIRST VIRTUAL REALITY GAMBLING EXPERIENCE.,"when ICO will start here with a great team, I'm sure everything will run smoothly and achieve targeted results. The hard work of the team will surely give satisfactory results.",False
9,msg50124986,https://bitcointalk.org/index.php?topic=4573692.0,,23178,Announcements (Altcoins),2019-03-12 05:20:19,Pamadar,Legendary,1386,1014,,[ANN][ICO]:THE ALIVE CASINO WORLD'S FIRST VIRTUAL REALITY GAMBLING EXPERIENCE.,"Is there any updates coming from the team regarding to this project? are we still on the track following the road map? as we are almost done with Q1, can the admin team provide some details?",False
10,msg50278767,https://bitcointalk.org/index.php?topic=4573692.0,,23178,Announcements (Altcoins),2019-03-23 08:53:54,Cent21,Hero Member,1176,527,,[ANN][ICO]:THE ALIVE CASINO WORLD'S FIRST VIRTUAL REALITY GAMBLING EXPERIENCE.,I'm unable to login to alivecasino website. Probably i forgot the password. I tried the password reset function but i don't receive the reset email.  Is there another metod to reset the password? Someone from alivecasino team could help me?  Thanks,False
