id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44778651,https://bitcointalk.org/index.php?topic=2842376.0,,18811,Announcements (Altcoins),2018-08-27 15:49:34,cryon888,Newbie,63,0,,[ANN][ICO] ICONIC - An ICOs ecosystem built through Decentralized Assurance," I love this project and I just want to advise you, you should be more promoting this project, big community can make this project so big too.",False
2,msg44778908,https://bitcointalk.org/index.php?topic=2842376.0,,18811,Announcements (Altcoins),2018-08-27 15:53:55,ChristinaFish,Newbie,33,0,,[ANN][ICO] ICONIC - An ICOs ecosystem built through Decentralized Assurance,please tell me if there are exact figures of fees? can I find out how many tokens are already sold? why cannot I find your road map? Where is it located? Give the link to me please,False
3,msg44813095,https://bitcointalk.org/index.php?topic=2842376.0,msg44778651,18811,Announcements (Altcoins),2018-08-28 09:16:34,Fivestar4everMVP,Sr. Member,868,255,,[ANN][ICO] ICONIC - An ICOs ecosystem built through Decentralized Assurance,"  I totally agree with you mate, sometimes, big community can make a project super successful than one can ever imagine, I just hope the team can listen and follow this advice, it will no doubt help the project in so many ways",False
4,msg45594366,https://bitcointalk.org/index.php?topic=2842376.0,,18811,Announcements (Altcoins),2018-09-12 18:02:26,kabit9,Full Member,700,112,,[ANN][ICO] ICONIC - An ICOs ecosystem built through Decentralized Assurance,"seems to be left in the dust and abandoned.   no news from devs/team, just ICO and the vanishing act....",False
5,msg45594653,https://bitcointalk.org/index.php?topic=2842376.0,,18811,Announcements (Altcoins),2018-09-12 18:10:33,rebecca-pratt,Newbie,20,0,,[ANN][ICO] ICONIC - An ICOs ecosystem built through Decentralized Assurance,"The business team is working on their best work for the plan, they want to improve the project and so that the growing updates can be made to everyone. i think they are busy now busy with ico",False
6,msg45602036,https://bitcointalk.org/index.php?topic=2842376.0,msg45594366,18811,Announcements (Altcoins),2018-09-12 21:57:09,Fivestar4everMVP,Sr. Member,868,255,,[ANN][ICO] ICONIC - An ICOs ecosystem built through Decentralized Assurance,"  well, according to some recent comments, reply, post on their telegram group, I believe the project is not abandoned, they are probably working on the betterment of the project and hopefully, we will hear news from the team soon",False
7,msg45662202,https://bitcointalk.org/index.php?topic=2842376.0,,18811,Announcements (Altcoins),2018-09-14 06:23:56,kabit9,Full Member,700,112,,[ANN][ICO] ICONIC - An ICOs ecosystem built through Decentralized Assurance,what about exchange listings? This is not traded anywhere yet and it has been months since the launch of the token?  Not a good sign that there is not much communication from the team.,False
8,msg46704070,https://bitcointalk.org/index.php?topic=2842376.0,msg45662202,18811,Announcements (Altcoins),2018-10-10 01:12:34,eprocent,Sr. Member,812,255,,[ANN][ICO] ICONIC - An ICOs ecosystem built through Decentralized Assurance,"   Hello. I just tried to sent out the ICONIC tokens from my ETH addrress, but smart contract not permit this. What happen? Is about the tokens received for bounty support. Thanks. Good luck.",False
9,msg46958647,https://bitcointalk.org/index.php?topic=2842376.0,msg46704070,18811,Announcements (Altcoins),2018-10-16 18:36:31,Jukukalotorol4ud4,Newbie,49,0,,[ANN][ICO] ICONIC - An ICOs ecosystem built through Decentralized Assurance,   Please try now  Has all been released from locking but unfortunately the token is useless for now  the market is not moving at all during the 6-month waiting period and even relying only on Forkdelta as the only market,False
10,msg48176344,https://bitcointalk.org/index.php?topic=2842376.0,,18811,Announcements (Altcoins),2018-11-24 05:51:05,xsantana,Full Member,682,101,,[ANN][ICO] ICONIC - An ICOs ecosystem built through Decentralized Assurance,"I saw that the project was finished very long, what about the exchange, where he would do the list. I saw it on the road map which is scheduled to last month. whether this project is running unsuccessfully.",False
