id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg38374704,https://bitcointalk.org/index.php?topic=4212406.0,,139,Announcements (Altcoins),2018-05-24 08:57:42,AllSpark,Newbie,6,0,,"[ANN][Pre-ICO]AllSpark Generate real value by Creating, Sharing and Engaging",((( ALLSPARK WEBSITE )))  JOIN OUR TELEGRAM GROUP  http://www.allsparkchain.com/images/allspark_1.png    Read Whitepaper    JOIN OUR PRE-SALE .23th APRIL 2018.       ICO PLAN       ((( ALLSPARK WEBSITE ))),False
2,msg42824692,https://bitcointalk.org/index.php?topic=4212406.0,,139,Announcements (Altcoins),2018-07-25 03:58:07,AllSpark,Newbie,6,0,,"[ANN][Pre-ICO]AllSpark Generate real value by Creating, Sharing and Engaging",Still not sure what AllSpark's platform is capable of? Watch this brief explainer video to learn more: https://www.youtube.com/watch?v=iuI9U9p7k_I&t=2s,False
3,msg42824890,https://bitcointalk.org/index.php?topic=4212406.0,,139,Announcements (Altcoins),2018-07-25 04:05:48,AllSpark,Newbie,6,0,,"[ANN][Pre-ICO]AllSpark Generate real value by Creating, Sharing and Engaging","This article published on the AllSpark Medium blog highlights many of the distinctions between AllSpark compared to Steem. Additionally, the article posits some ideas about the future of content sharing on the blockchain.  https://medium.com/allspark-foundation/the-future-of-blockchain-content-applications-in-the-post-steem-age-365921e63eb9",False
4,msg42825331,https://bitcointalk.org/index.php?topic=4212406.0,,139,Announcements (Altcoins),2018-07-25 04:19:39,AllSpark,Newbie,6,0,,"[ANN][Pre-ICO]AllSpark Generate real value by Creating, Sharing and Engaging","In this article originally posted to the AllSpark Medium blog, the importance of blockchain for memes is discussed, and an argument supporting the need for blockchain platforms like AllSpark is made: https://medium.com/allspark-foundation/how-i-became-a-meme-and-why-memes-need-blockchain-e4e522783c78",False
5,msg42828997,https://bitcointalk.org/index.php?topic=4212406.0,,139,Announcements (Altcoins),2018-07-25 06:12:55,AllSpark,Newbie,6,0,,"[ANN][Pre-ICO]AllSpark Generate real value by Creating, Sharing and Engaging",This article originally published to the AllSpark Medium blog goes into detail about the digital marketing landscape (particularly regarding influencer marketing) and the potential for a blockchain platform like AllSpark to provide solutions: https://medium.com/allspark-foundation/why-influencer-marketing-sucks-and-how-to-fix-it-2b130d5cb6a2,False
6,msg42883511,https://bitcointalk.org/index.php?topic=4212406.0,,139,Announcements (Altcoins),2018-07-26 02:57:49,AllSpark,Newbie,6,0,,"[ANN][Pre-ICO]AllSpark Generate real value by Creating, Sharing and Engaging","This evening, July 26th, in Shanghai, AllSpark's team will be giving a talk to cryptocurrency and blockchain professionals and investors.  The event takes place at WeWork on Yunnan Road, in Shanghai's Huangpu District.  If you'd like to attend, the event is free. Registration starts at 6pm and event begins at 6:30pm.  We look forward to see you all there!  Click here for details: https://twitter.com/Allsparkchain/status/1022311838866800640",False
7,msg42967749,https://bitcointalk.org/index.php?topic=4212406.0,,139,Announcements (Altcoins),2018-07-27 12:12:23,Feetshot,Member,308,24,,"[ANN][Pre-ICO]AllSpark Generate real value by Creating, Sharing and Engaging","Investors want to protect themselves maximally, it's absolutley normal thing. but this is real life and we are on the cryptomarket now who has high risk by default (at least now). So we are all here at a great risk",False
8,msg43339448,https://bitcointalk.org/index.php?topic=4212406.0,,139,Announcements (Altcoins),2018-08-02 13:54:50,alffredo,Newbie,95,0,,"[ANN][Pre-ICO]AllSpark Generate real value by Creating, Sharing and Engaging","only this time there is a very good project, I think there will be many people who will join this project because it is seen from the vision and mission that is very good, great success for this project going forward.",False
9,msg44123734,https://bitcointalk.org/index.php?topic=4212406.0,,139,Announcements (Altcoins),2018-08-15 12:45:03,vydinhtran,Newbie,143,0,,"[ANN][Pre-ICO]AllSpark Generate real value by Creating, Sharing and Engaging","Excited to see IAM on exchanges soon. And looking forward to a future for safer Token Sales, with Bridge Protocol! Keep up the good work, Team!",False
10,msg46634551,https://bitcointalk.org/index.php?topic=4212406.0,,139,Announcements (Altcoins),2018-10-08 01:41:27,xi_vii,Newbie,56,0,,"[ANN][Pre-ICO]AllSpark Generate real value by Creating, Sharing and Engaging",AllSpark (ASK) is already rated by Cryptolaboratory. All facts are here. Don't miss it!,False
11,msg46645359,https://bitcointalk.org/index.php?topic=4212406.0,,139,Announcements (Altcoins),2018-10-08 10:38:33,guzman,Newbie,84,0,,"[ANN][Pre-ICO]AllSpark Generate real value by Creating, Sharing and Engaging","Hello team,  Best listing offer in exchanger like Binance.  WE DECIDE TO LIST 100 COIN/TOKEN FREE OF CHARGES All user can recommend us best coin/TOKEN for listing. If you are interested you can pm me or send email to: support@tradekainos.com.  Feature .  1. Support high concurrency  2. Ten million transaction per second.  3. Sign up with mobile and email.  4. Trader level :VIP Level-1 to VIP Level-6 (no trade fees for VIP Level-6)  5. Free market making option.",False
