id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg46642125,https://bitcointalk.org/index.php?topic=4457972.0,,3216,Announcements (Altcoins),2018-10-08 08:39:27,guzman,Newbie,84,0,,ME Token - The Social Commerce Revolution,"Hello ME Token team,  Best listing offer in exchanger like Binance.  WE DECIDE TO LIST 100 COIN/TOKEN FREE OF CHARGES All user can recommend us best coin/TOKEN for listing. If you are interested you can pm me or send email to: support@tradekainos.com.  Feature .  1. Support high concurrency  2. Ten million transaction per second.  3. Sign up with mobile and email.  4. Trader level :VIP Level-1 to VIP Level-6 (no trade fees for VIP Level-6)  5. Free market making option.",True
2,msg44882218,https://bitcointalk.org/index.php?topic=4457972.0,msg44845636,3216,Announcements (Altcoins),2018-08-29 19:02:46,Me_Token,Newbie,98,0,,ME Token - The Social Commerce Revolution,  Thanks for the support of the project! we are glad that you are interested in our project!,True
3,msg44882241,https://bitcointalk.org/index.php?topic=4457972.0,msg44881325,3216,Announcements (Altcoins),2018-08-29 19:03:15,Me_Token,Newbie,98,0,,ME Token - The Social Commerce Revolution,  Thank you for your positive evaluation of our work!,True
4,msg44888018,https://bitcointalk.org/index.php?topic=4457972.0,,3216,Announcements (Altcoins),2018-08-29 21:30:09,SmartBounty,Copper Member,196,0,,ME Token - The Social Commerce Revolution,"Having experience with digital marketing, I personally think this concept is amazing. Cutting out the middleman in the online advertising world has proven to work over and over again.",True
5,msg44918696,https://bitcointalk.org/index.php?topic=4457972.0,,3216,Announcements (Altcoins),2018-08-30 12:21:13,Me_Token,Newbie,98,0,,ME Token - The Social Commerce Revolution,☝️ Me Token is a global project aimed at changing the very operating principle of social commerce that is comprised of many elements.  The first among these elements is the Style.me platform – a social commerce platform in the fashion industry operating similarly to Instagram.  The main difference of the Style.me platform compared to any other popular social media is the competitive array of features it has to offer.  One of them is the virtual dressing room technology that allows users to try on things online before buying and even make the purchase right on the spot without leaving the virtual dressing room. The platform also features a specially developed stimulus system for brands and influencers that rewards them for creating and publishing quality content. Platform users also receive rewards in Me tokens for choosing targeted ads.  For more information on the operating principle of the Style.me platform make sure to visit the website at https://www.style.me/.  http://www.metoken.net  https://s7.wampi.ru/2018/08/30/3008.md.jpg,True
6,msg44918719,https://bitcointalk.org/index.php?topic=4457972.0,msg44888018,3216,Announcements (Altcoins),2018-08-30 12:21:39,Me_Token,Newbie,98,0,,ME Token - The Social Commerce Revolution,  Thanks for the support of the project! we are glad that you are interested in our project!,True
7,msg44938246,https://bitcointalk.org/index.php?topic=4457972.0,,3216,Announcements (Altcoins),2018-08-30 18:27:01,ibiznes,Copper Member,98,0,,ME Token - The Social Commerce Revolution,"An interesting and promising project that meets the modern trends of the market, when advertising in social networks becomes more interesting and profitable than traditional advertising.",True
8,msg44947577,https://bitcointalk.org/index.php?topic=4457972.0,,3216,Announcements (Altcoins),2018-08-30 22:29:42,feykbernard,Newbie,154,0,,ME Token - The Social Commerce Revolution,"The community's demand for fashion is effectively addressed by the ME Token platform. The relationship between brands, consumers, and especially when users make ads in exchange for reward cards will become more and more practical. This is a true meaning in real life. Therefore, if the project can concretize the solution to the user then the project will be supported more strongly.",True
9,msg45011675,https://bitcointalk.org/index.php?topic=4457972.0,,3216,Announcements (Altcoins),2018-09-01 07:27:45,Me_Token,Newbie,98,0,,ME Token - The Social Commerce Revolution,"💎 The Style.me platform not only unites brands, influencer and consumers within one ecosystem, it serves as a stimulus for more effective cooperation by rewarding them for their actions!  🔹 How does it work in practice?  Imagine for a moment that you are an influencer and you have some new clothes that you would like to show your followers. You publish your new look, thus creating content while making sure that the pictures are of high quality and the description you add is comprehensive and relevant. Users see your content and can like it and share with other users.  🔸 Who will receive the Style.me platform’s rewards in this scenario, influencer, brand or users?  Everyone! Influencer will receive the reward in Me tokens for creating and publishing interesting content. Users will receive tokens for their attention to the content and sharing it with other users. Brands get the reward of satisfying their clients and key influencers.  For more information on how the Style.me platform works, please visit our website at https://www.style.me/!  http://www.metoken.net  https://s7.wampi.ru/2018/09/01/3108.md.jpg",True
10,msg45033451,https://bitcointalk.org/index.php?topic=4457972.0,,3216,Announcements (Altcoins),2018-09-01 15:55:43,Cryptocotrader,Copper Member,126,0,,ME Token - The Social Commerce Revolution,I think that it can be safe as a product because the application called style.me already exists.,True
11,msg45067760,https://bitcointalk.org/index.php?topic=4457972.0,,3216,Announcements (Altcoins),2018-09-02 10:05:45,cryptovigi,Hero Member,546,529,,ME Token - The Social Commerce Revolution,This project looks very promissing cant wait the ICO result.... It could be huugee....,True
12,msg45099461,https://bitcointalk.org/index.php?topic=4457972.0,,3216,Announcements (Altcoins),2018-09-02 19:29:16,SMCrypto,Copper Member,52,0,,ME Token - The Social Commerce Revolution,"There are already many block chain services already for influencers, but I think that this project is sufficiently differentiated. I think that it is a very unique project.",True
13,msg45105582,https://bitcointalk.org/index.php?topic=4457972.0,msg45099461,3216,Announcements (Altcoins),2018-09-02 21:50:59,cryptovigi,Hero Member,546,529,,ME Token - The Social Commerce Revolution,   agree!,True
14,msg45202685,https://bitcointalk.org/index.php?topic=4457972.0,,3216,Announcements (Altcoins),2018-09-04 21:15:48,chon0783,Copper Member,140,0,,ME Token - The Social Commerce Revolution,MVP is very nice. This will be part of future technology. Especially clothes had aspect that it was hard to buy on the Internet due to size and other problems. Style.me will be able to break through that problem.,True
15,msg45211103,https://bitcointalk.org/index.php?topic=4457972.0,,3216,Announcements (Altcoins),2018-09-05 04:40:41,Me_Token,Newbie,98,0,,ME Token - The Social Commerce Revolution,"Dear subscribers!  ☝️ We have an important message for you!  ❗️Considering the state of the cryptocurrency market today we have decided to pause the Me Token project at this time. It was not a simple decision, but we believe it is what’s right for both the project and all of its investors! For the time being we will continue improving our product as we have received great feedback and today we have even more understanding of how to make the product better than ever. We would like to come back with a vengeance after the situation on the market is normalized!  We still feel strongly about the potential of this project and what we have accomplished since its inception. We remain committed to the opportunity and will revisit the timing as the market improves. In the meantime Style.me will continue to expand its business within the fashion industry.  Thank you for your involvement and working with us up to this point.  We are also grateful to all Bounty and Airdrop program participants and would like to let you know that you will receive your tokens, albeit a little bit later - when our Crowdsale will be completed.  http://www.metoken.net  https://s7.wampi.ru/2018/09/05/3-01.md.jpg",True
16,msg45228691,https://bitcointalk.org/index.php?topic=4457972.0,msg45211103,3216,Announcements (Altcoins),2018-09-05 12:36:49,daniel08,Full Member,602,100,,ME Token - The Social Commerce Revolution,    What will happen now to the bounty and the stakes that we earn in the bounty campaign that we participated?,True
17,msg45249755,https://bitcointalk.org/index.php?topic=4457972.0,,3216,Announcements (Altcoins),2018-09-05 20:25:00,SmartBounty,Copper Member,196,0,,ME Token - The Social Commerce Revolution,"By giving appropriate consideration to influencers, I think that many influencers will use this platform. Good luck guys.",True
