id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg47906492,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-11-14 21:15:06,Pixmartz,Sr. Member,518,251,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,"Hello Community       #Seratio wallet now ready for both #iOS & #Android users, enabling #Cryptocurrencies with #Values building an Internet of Value #Blockchain for #Good world @bisgit_iov | Download from #Appstore https://itunes.apple.com/bt/app/seratio/id1440031216 … | #GooglePlay https://play.google.com/store/apps/details?id=com.iroid.seratio  #goodistrending   - Whatsapp: https://chat.whatsapp.com/61VNFynvf3VLJ5fFDKq0SF - Telegram: https://t.me/joinchat/ECIJnw1q-Ivywj2vYFe3tw - Wechat: QR code below  #SERATIO #goodistrending",False
2,msg48978000,https://bitcointalk.org/index.php?topic=2136674.0,msg47906492,13248,Announcements (Altcoins),2018-12-31 02:30:30,u_chiha,Member,378,10,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,"  I am happy to see Seratio Wallet launched, but what about SER tokens? so far I haven't seen SER tokens listed on CMC, do the teams not want a good exchange for their tokens?",False
3,msg43588770,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-08-06 13:09:18,wiss19,Sr. Member,714,250,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,very pleasant project seen from the side the team is always active and provides information on the progress of this project I think they can be an inspiration for another project,False
4,msg43682079,https://bitcointalk.org/index.php?topic=2136674.0,msg43588770,13248,Announcements (Altcoins),2018-08-08 01:47:56,Pixmartz,Sr. Member,518,251,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,  Thank you friend. We strive to be the best,False
5,msg43682254,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-08-08 01:56:18,Pixmartz,Sr. Member,518,251,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,"Hello Community        We are delighted to announce the launch of our pioneering #openaccess journal @FrontBlockchain led by Chief Editors @olingataeed of @theCCEG and Dr Christopher Clack of @UCL Now open for article submissions on themes across the #blockchain discipline http://fron.tiers.in/go/6uFkuD   FRONTIERS IN #BLOCKCHAIN #journal launched today in collaboration with Centre for Citizenship, Enterprise and Governance think tank http://fron.tiers.in/go/6uFkuD  Chief Editors are Prof @OlingaTaeed Director @theCCEG & Dr Chris Clack founder Thomson Reuters lab @UCL #goodistrending   - Whatsapp: https://chat.whatsapp.com/61VNFynvf3VLJ5fFDKq0SF - Telegram: https://t.me/joinchat/ECIJnw1q-Ivywj2vYFe3tw - Wechat: QR code below  #SERATIO #goodistrending",False
6,msg43825801,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-08-10 12:12:03,Pixmartz,Sr. Member,518,251,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,"Hello Community       Enabling #transparency in all aspects of our lives, the #Seratio Ecosystem is aided by #AI to assess the complex analytical #data available and to steer #consumers, becoming their online friend and guide throughout their lives http://www.ccegblockchain.com/2018/08/06/transparency-of-values-in-a-de-centralised-world/ #goodistrending   - Whatsapp: https://chat.whatsapp.com/61VNFynvf3VLJ5fFDKq0SF - Telegram: https://t.me/joinchat/ECIJnw1q-Ivywj2vYFe3tw - Wechat: QR code below  #SERATIO #goodistrending",False
7,msg44007386,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-08-13 11:51:40,Pixmartz,Sr. Member,518,251,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,Hello Community       Team of 5 @rothbadi @MaryamTaghiyeva  @dani_kase  @olingataeed experts from http://www.ccegblockchain.com  and #Tencent invited to #HongKong as VIP guests of http://www.stkcoin.vip  to advise on their #blockchain #retail solution #goodistrending   - Whatsapp: https://chat.whatsapp.com/61VNFynvf3VLJ5fFDKq0SF - Telegram: https://t.me/joinchat/ECIJnw1q-Ivywj2vYFe3tw - Wechat: QR code below  #SERATIO #goodistrending,False
8,msg44052755,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-08-14 07:37:21,Pixmartz,Sr. Member,518,251,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,"Hello Community       #FriendsUnited After 2 years of comparisons, the latest “whale @OlingaTaeed (founder of #Seratio) with @ChandlerGuo (#China's biggest #Bitcoin holder)” [LinkedIn 02.03.2018] the only commonality is we remain good friends and overweight! Picture #HongKong 12.8.2018 #goodistrending   - Whatsapp: https://chat.whatsapp.com/61VNFynvf3VLJ5fFDKq0SF - Telegram: https://t.me/joinchat/ECIJnw1q-Ivywj2vYFe3tw - Wechat: QR code below  #SERATIO #goodistrending",False
9,msg44052926,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-08-14 07:41:21,leminh80,Newbie,15,0,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,Thanks for letting me know more about your project. This is a very potential project in the future,False
10,msg44175814,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-08-16 10:47:51,Pixmartz,Sr. Member,518,251,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,Hello Community       Invitation to submit to @FrontBlockchain #journal on #BLOCKCHAIN #ECOSPHERE  https://bit.ly/2KWdpEO  Welcome #multidisciplinary submissions examining intersections between #DLT #DAO #AI #Provenance #Exchanges #SmartContract  etc Abstract deadline 6 Oct 2018 #goodistrending   - Whatsapp: https://chat.whatsapp.com/61VNFynvf3VLJ5fFDKq0SF - Telegram: https://t.me/joinchat/ECIJnw1q-Ivywj2vYFe3tw - Wechat: QR code below  #SERATIO #goodistrending,False
11,msg45318543,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-09-07 06:39:36,Pixmartz,Sr. Member,518,251,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,Hello Community   Member Websites     [ANN][PRE-SALE]TIMETRAVELER TRADING - Automated Crypto Trading Platform https://bitcointalk.org/index.php?topic=4589030       [ANN][PRE-SALE]WOMEN'S COIN® - BUILDING A BETTER WORLD https://bitcointalk.org/index.php?topic=4572713       [ANN][PRE-SALE]STUDENT COIN - MAKE YOUR IMPACT WITH STUDENT COIN https://bitcointalk.org/index.php?topic=4572660      - Whatsapp: https://chat.whatsapp.com/61VNFynvf3VLJ5fFDKq0SF - Telegram: https://t.me/joinchat/ECIJnw1q-Ivywj2vYFe3tw - Wechat: QR code below  #SERATIO #goodistrending,False
12,msg45318713,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-09-07 06:43:58,nbika,Newbie,28,0,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,"I am not trying to advertise or promote it, just giving my opinion. dev are very professional, also if you read whitepaper coin has real porpoise (real life usage) it should be long term project.",False
13,msg45318731,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-09-07 06:44:23,doge_shit666,Member,350,10,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,"SERATIO is an electronic currency whose indicators are used to support the government's main legislation that will build trust with the community. But this is an electronic currency of the United Kingdom. So when SERATIO develops into other countries, the legal issue will be difficult?",False
14,msg45430329,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-09-09 11:40:55,Pixmartz,Sr. Member,518,251,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,"Hello Community     “The Visiting Professorship in Blockchain is the first of its kind in the world which frankly is remarkable given the rapidly burgeoning sector of #DLT, #Tokenisation and #Cryptocurrencies. We are on the hunt for academic partners to satisfy the big global demand” #goodistrending  Cryptocurrency expert appointed as world’s first Professor of Blockchain http://ow.ly/SOc730lJ7wv     - Whatsapp: https://chat.whatsapp.com/61VNFynvf3VLJ5fFDKq0SF - Telegram: https://t.me/joinchat/ECIJnw1q-Ivywj2vYFe3tw - Wechat: QR code below  #SERATIO #goodistrending",False
15,msg45430467,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-09-09 11:43:47,Unedreiconf,Newbie,28,0,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,"I think all the question that I have, they've already been answered by the devs. I think it's very nice when the devs are this responsive and thorough. Good work, I'm now interested in your business!",False
16,msg45527274,https://bitcointalk.org/index.php?topic=2136674.0,,13248,Announcements (Altcoins),2018-09-11 10:13:56,Pixmartz,Sr. Member,518,251,,[ANN][ICO] | SERATIO | Cryptocurrencies with Values,Hello Community      #CCEG launches institutional partnerships - Frontiers in #Blockchain journal | #Brand transparency using #Seratio EcoSphere | education training with #Informa Plc | #Professor at Birmingham City University | Top #ModernSlavery Influencer | https://bit.ly/2CBrRTJ  #goodistrending   - Whatsapp: https://chat.whatsapp.com/61VNFynvf3VLJ5fFDKq0SF - Telegram: https://t.me/joinchat/ECIJnw1q-Ivywj2vYFe3tw - Wechat: QR code below  #SERATIO #goodistrending,False
