id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg50446316,https://bitcointalk.org/index.php?topic=2910975.0,msg49424721,21882,Announcements (Altcoins),2019-04-03 19:39:39,voteformeg,Legendary,1596,1005,,🔴🔴[ICO]🔴🔴 MonsterBit - Ready project,  it is a strange thing that people still taking part in the bountycampaign,False
2,msg52397717,https://bitcointalk.org/index.php?topic=2910975.0,,21882,Announcements (Altcoins),2019-09-08 17:13:52,voteformeg,Legendary,1596,1005,,🔴🔴[ICO]🔴🔴 MonsterBit - Ready project,"why do the announcements about monsterbit stopped on bitcointalk? , i saw that there is still a telegram channel where they are active with monsterbit , to bad that the most is written in russian and not in english",False
3,msg44142267,https://bitcointalk.org/index.php?topic=2910975.0,msg44106065,21882,Announcements (Altcoins),2018-08-15 18:49:59,olgamir,Member,476,10,,🔴🔴[ICO]🔴🔴 MonsterBit - Ready project,"    The game is amazing, great animation and drawing monsters.  Already now you can cross and buy monsters.  Prices are now very cheap. Look how cool they are https://monsterbit.io/marketplace    I really wait when there will be real battles of monsters.",False
4,msg45016170,https://bitcointalk.org/index.php?topic=2910975.0,,21882,Announcements (Altcoins),2018-09-01 09:25:51,MonsterBit,Newbie,172,0,,🔴🔴[ICO]🔴🔴 MonsterBit - Ready project,https://monsterbit.io/marketplace,False
5,msg45419030,https://bitcointalk.org/index.php?topic=2910975.0,msg45016170,21882,Announcements (Altcoins),2018-09-09 07:39:42,voteformeg,Legendary,1596,1005,,🔴🔴[ICO]🔴🔴 MonsterBit - Ready project,"  isn't it yet the time that we already can buy ""system monsters"" , with our tokens that we already have , or are we just in the last face of the ico and we have to wait a little longer , ANN is a little unclear for me now",False
6,msg45884326,https://bitcointalk.org/index.php?topic=2910975.0,,21882,Announcements (Altcoins),2018-09-18 18:52:08,MonsterBit,Newbie,172,0,,🔴🔴[ICO]🔴🔴 MonsterBit - Ready project,"Updated on 09/18/2018 - Running gen0 - New artworks + funky Fancy (special) monsters appear randomly if available  the monster has a number of specific attributes. We made small tips.  For example, a monster with swords already has 1 attribute, which will help to turn it into a niju.  - Lottery gen0 (novelty) - https://monsterbit.io/Lottery You can win a monster in Lotorey. The minimum bet is 0.01 ETH Who has the most rate, he and more chance of winning. After the expiration of the winner's time you can see on the page ""Past lotteries"" https://monsterbit.io/Lottery/History",False
7,msg46219456,https://bitcointalk.org/index.php?topic=2910975.0,,21882,Announcements (Altcoins),2018-09-27 08:25:30,freemind1,Legendary,1526,1014,,🔴🔴[ICO]🔴🔴 MonsterBit - Ready project,It is possible to know the current fundraising of the ICO? On the website does not seem to be updated for weeks. Thanks!,False
8,msg46628201,https://bitcointalk.org/index.php?topic=2910975.0,,21882,Announcements (Altcoins),2018-10-07 20:13:39,MonsterBit,Newbie,172,0,,🔴🔴[ICO]🔴🔴 MonsterBit - Ready project,https://monsterbit.io/Lottery,False
9,msg46636428,https://bitcointalk.org/index.php?topic=2910975.0,,21882,Announcements (Altcoins),2018-10-08 04:12:53,rafzalan,Full Member,714,105,,🔴🔴[ICO]🔴🔴 MonsterBit - Ready project,"I interested in this project from the first day of its ico. Really like icons and graphics they made, also game play look interesting. Has the project officially released? I want to buy a few ethereum monsters for my daughter hope she likes them.",False
10,msg46636627,https://bitcointalk.org/index.php?topic=2910975.0,,21882,Announcements (Altcoins),2018-10-08 04:25:52,rafzalan,Full Member,714,105,,🔴🔴[ICO]🔴🔴 MonsterBit - Ready project,"For a game it is important to be affordable, gas fees should be as low as possible. We had bad experience with CryptoKitties, what is the best solution?",False
