id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45272714,https://bitcointalk.org/index.php?topic=4980884.0,msg45237703,579,Marketplace,2018-09-06 09:31:29,1to2Game,Newbie,76,0,,HELP!!! ))) We need your opinion,"    Currently, it is required to use Ethereum Wallet provider to bypass our site, because major part of the functionality will not be available without it. It allows us to recognize a user and display their balance, statistics and give them an opportunity to make bets and interact with the website. Ethereum Wallet provider in this case acts like a bridge between user and Ethereum blockchain, website just helps to address requests to specified smart contracts. Honestly, you can use any Ethereum Wallet provider, e.g. Metamask, Parity, Mist, etc. In the future we plan to open a limited functionality for users who do not have Ethereum Wallet, however they could only watch global statistics and how other people play with each other. To make a bet they have to use any Ethereum Wallet provider.",False
2,msg45367741,https://bitcointalk.org/index.php?topic=4980884.0,msg45122615,579,Marketplace,2018-09-08 06:49:00,1to2Game,Newbie,76,0,,HELP!!! ))) We need your opinion,   Now the game interface can be seen without a login in Metamask https://bets.1to2.pro,False
3,msg45820369,https://bitcointalk.org/index.php?topic=4980884.0,,579,Marketplace,2018-09-17 09:56:02,1to2Game,Newbie,76,0,,HELP!!! ))) We need your opinion,"Hello everyone! Our bad! Not posting detailed instruction on how to get in game. We as developers know it by heart now so it skipped our minds completely in all the hubbub of lately. Just tried it on my friend and he ragequit in 3 minutes. Sorry guys. I put a quick instruction how to get in game for you.  1. Basically you need MetaMask plugin installed in your browser, easiest way is to just go to their site https://metamask.io and it will auto-detect your browser and offer correct version. all you need is press install and follow instructions (scroll down agreements and press ""Yes"", memorise (write down) code phrase. etc...)  then goes the following... Looks like a wall of text))) but it's all quite simple really.  To see the whole demo process of the game and play on virtual Eth, You will need: • In the Metmask Plugin, select the ""ROPSTEN TEST NETWORK"" mode (Ropsten Network is completely similar to the real Ethereum network, but with artificial Eth). • Click the "" BUY "" button (buy), • in the next window, click ""ROPSTEN TEST FAUCET"". • A new ""METAMASK ETHER FAUCET"" window will open in the browser where you can request a test Eth by clicking the green ""request 1 ether from faucet"" button in the ""FAUCET"" column, one click sends a request for 1 Eth, the transaction takes 15 to 45 seconds. We recommend to request 5-7 Eth for a comfortable game. • In some cases when the transaction is not displayed correctly we recommend to refresh the browser window by pressing F5. • After receiving the test Eth you will be able to make virtual bets using the Ropsten network, for this, with the active Metamask plugin go to the website of our game https://bets.1to2.pro • Click on the icon with your avatar in the upper right corner. • In the window that opens, in the line DEPOSIT, specify the required value of the replenished wallet, with the value of Eth. there should be no more than the amount you have in MetaMask. For a comfortable game, we recommend leaving 0.1-0.5 Eth in the wallet as transactions are paid from the main wallet, at 0 balance transactions will be rejected by the Ethereum network automatically. • Click the SUBMIT button and confirm the transaction. • Wait for Eth to transfer to your game account (the waiting time is the time of the transaction and is usually between 15 and 45 seconds). • After the funds are credited to your game balance, all the ""bet"" buttons on the tables are automatically unlocked. • After clicking “BET” Metamask notification window will appear, it contains all the info about transaction and the cost of the transaction which will be charged from your main test wallet, click the green button ""submit"" confirming your agreement. • Bets on other tables are automatically blocked until the end of the transaction, to avoid disorientation of the player in the gameplay. • After the transaction, you will be put at the table reflecting the current state of the players. If the draw has not yet passed, you can click the ""exit to the lobby"" where you can bet on any other table • If you missed the draw and won in it, you can see the replay by clicking on your avatar in the upper right corner, you will find yourself in your account where you can see a list of all the games you have won, by clicking on it you can see the replay.  I hope it helps, and if anything still amiss don't forget to write, we NEED! your feedback, as we are in the process of streamlining our game, coz as developers we love it, and so we need critical opinion from independent users.  english version of all the above is here https://1to2.pro/index.php/en/gameplay  Also updating 1-st post with this.",False
4,msg46640875,https://bitcointalk.org/index.php?topic=4980884.0,,579,Marketplace,2018-10-08 07:56:16,slaman29,Sr. Member,966,287,,HELP!!! ))) We need your opinion,"My opinion: I am a simple guy with simple betting prowess. I like dice because it is easy to understand, and we all like sportsbetting because it's quite straightforward once you know the rules of the game and understand the different odds. In fact, I know a lot of people who bet on sports because they know or like a team to win, and don't care for other lines where they must understand the game at a deeper level. Arguably you can even bet on lines without understanding the game. Like offsides or cards in football, or even goal kicks.  My point is, I'm having a hard time understanding how this all works. Gameplay section helps but maybe a 1-minute video works better.",False
5,msg46645209,https://bitcointalk.org/index.php?topic=4980884.0,msg46638971,579,Marketplace,2018-10-08 10:33:26,1to2Game,Newbie,76,0,,HELP!!! ))) We need your opinion,   Could you please attach our logo to the page? Thanks in advance.,False
6,msg46645281,https://bitcointalk.org/index.php?topic=4980884.0,msg46640875,579,Marketplace,2018-10-08 10:36:07,1to2Game,Newbie,76,0,,HELP!!! ))) We need your opinion,"   Pretty good idea, btw thank you for it. Do you want to know more about algorithms behind the game or anything in particular?",False
7,msg46691420,https://bitcointalk.org/index.php?topic=4980884.0,,579,Marketplace,2018-10-09 16:06:17,Stewen N,Newbie,28,0,,HELP!!! ))) We need your opinion,"I looked at the project. I even could play. It is interesting game. 2 hours played. I even won 2.5 eth. It is a pity that this is only a beta version. I am definitely with you. At 20.10, put a reminder.",False
8,msg46704171,https://bitcointalk.org/index.php?topic=4980884.0,msg46691420,579,Marketplace,2018-10-10 01:21:13,1to2Game,Newbie,76,0,,HELP!!! ))) We need your opinion,"   Thank you Stewen for your words, your support and encouragement is very important for us.",False
9,msg46713723,https://bitcointalk.org/index.php?topic=4980884.0,msg46645281,579,Marketplace,2018-10-10 09:05:04,slaman29,Sr. Member,966,287,,HELP!!! ))) We need your opinion,"   You're welcome, I know everybody should take things seriously for themselves and get into the details, but we all do, believe me. After we get hooked. When I first played dice, even I was confused to be honest, I didn't understand how house edge worked, or even how payout correlated with win chance. But dice was so simple to start with x2 at almost 50/50 chance, and from there, as I loved it and played it more, I learned more.  So for something more complex, the 1-min video would be so useful to hook people.  Algorithms, yes, of course. Serious gamblers on Bitcoin/crypto want to know provably fair, and how it works. Usually sites post seeds or hash or whatever and then the player still has to figure out how to use the formula to check.",False
10,msg46742259,https://bitcointalk.org/index.php?topic=4980884.0,msg44975644,579,Marketplace,2018-10-11 01:24:45,Sukut,Full Member,392,101,,HELP!!! ))) We need your opinion,   1 to 2. Easy money scheme. Crypto people like it so why not,False
11,msg46749015,https://bitcointalk.org/index.php?topic=4980884.0,msg46713723,579,Marketplace,2018-10-11 07:30:56,1to2Game,Newbie,76,0,,HELP!!! ))) We need your opinion,"    I think in simplicity we have outdid even dice, the idea behind the project is that the game should be as simple as possible, contain minimum math to ponder on, and more pure luck, hence the Random Number Generator (RNG).  Quick example on how it works - if you feel 50/50  Let's take ""1/2 Table""  - Number of players   2 players - Bet per player   0,05Eth. - Bank total   0,1Eth.  The order of the draw: There’s only one spin at the table for a total of - 0,09Eth. - Each player is issued with the number 0 or 1 (in order of connection, the probability of winning does not change) - Number is drawn by random number generator (0/1). - The winner is the player - whose number coincides with the number of the drawing. - Thus, the probability of taking away 0,09Eth for any player - 50% probability of losing - 50%. - Chance of a player to win - 50%.  If you feel more cautious there are always x/x tables for example 4/4  - Number of players 4 players - Bet per player 0,32Eth - Bank total 1,28Eth  The order of the draw: There’s four spins at the table for 0,288Eth each. (4 times rinse and repeat steps 1-3)  1. Each player is issued the number 0,1,2 or 3 for the drawing. (on order of connection, the probability of winning does not change) 2. Number is drawn by random number generator (0/1/2/3). 3. The winner is the player - whose number coincides with the number of the drawing. 4. The probability of winning in this case, equals  68.36%, the gain ranges from 0,288Eth to 1.152Eth. 5. The calculation of probability: the probability that in each drawing the player did not win 3/4 * 3/4 * 3/4 * 3/4 * 100% = 31.64%. The probability of winning (1-3 / 4 * 3/4 * 3/4 * 3/4) * 100% = 68.36%. 6. Total: Chance to win for a player - 68.36%.  The results of the lottery and its distribution: - Players winnings   1,152Eth - Jackpot Fund   0,0256Eth - Fund for attracting new players   0,0256Eth - Investments recovery fund   0,0128Eth - Dividends for investors   0,0384Eth - Project developers   0,0256Eth  EXAMPLE: 4 draws - 0,288Eth  The first draw the number of the first player - 0 the number of second player - 1 the number of the third player - 2 the number of the fourth player - 3 Number of the first drawing: 1 RESULTS: The second player has 0,288Eth. The other players 0Eth.  SECOND DRAW the number of the first player - 0 the number of second player - 1 the number of the third player - 2 the number of the fourth player - 3 Number of second drawing: 3 RESULTS: The fourth player received 0,288Eth. The other players 0Eth.  THIRD DRAWING The number of the first player - 0, the number of second player - 1, the number of the third player - 2 the number of the fourth player - 3 Number of the third drawing: 1 RESULTS: The second player has 0,288Eth. The other players 0Eth  FOURTH DRAWING The number of the first player - 0, the number of second player - 1, the number of the third player - 2 the number of the fourth player - 3 The number of the fourth drawing: 2 RESULTS: The third player got 0,288Eth. The other players 0Eth.  TOTAL FOR THE GAME: The first player has received 0 Eth. The second player has received 0,576 Eth. The third player has received 0,288Eth. The fourth player received 0,288Eth.   About “provably fair” we think we did what we think is best to prove it - we removed “House” from the table completely, we – developers, earn only 2% from each table no matter who wins, and last, but not the least, don’t have The Server or any hardware in the game, to remove any suspicion that game is tinkered with somehow after audit at GitHub. Well this post (in short) is already mile long and atm I struggle how to squeeze it into short video, while idea is awesome, and you gave me quite a creative challenge )))  There are also questions about “Why not games of skill” to put in it. If you interested btw, I can expand on it too.",False
12,msg46751543,https://bitcointalk.org/index.php?topic=4980884.0,,579,Marketplace,2018-10-11 08:57:25,naidray,Legendary,1232,1029,,HELP!!! ))) We need your opinion,"I think drawing new gamblers on a different type of game will always be hard. I think getting people to accept your new game when there are games that has been around for years and people got accustomed to is always difficult.  Dice for example has been around for years and one of the reasons why crypto people keep gambling there all the time, sportsbetting has been around way before crypto was around, I think people actually gambled on which gladiator would win, so I think that's at least 2000 year old gambling. Hence, when you put up a new game you need to be patient and wait for people to come, the feedback will be the wagered amount.",False
13,msg46751944,https://bitcointalk.org/index.php?topic=4980884.0,msg46751543,579,Marketplace,2018-10-11 09:11:52,1to2Game,Newbie,76,0,,HELP!!! ))) We need your opinion,"   I was not referring to ""Dice"" as a platform, but dice - like the game, mentioning that our rules are more simple than ""throwing dice"".  I don't think gambling market is about snatching players from one another, they usually flow themselves when they bored or done with this or that game room (like i do myself for example), so we hope to get our player and keep him as long as we can.",False
14,msg46752036,https://bitcointalk.org/index.php?topic=4980884.0,msg46751543,579,Marketplace,2018-10-11 09:15:14,kurian,Full Member,602,100,,HELP!!! ))) We need your opinion,"   If the game is very interesting and easy to understand then, it won't be that difficult to attract players. With some promotional giveaways or competitions on social medias could be helpful. But big players would be hesitant to jump in first. As you said it will take time to get more players as they gradually build up the reputation.",False
15,msg46753694,https://bitcointalk.org/index.php?topic=4980884.0,,579,Marketplace,2018-10-11 10:07:59,1to2Game,Newbie,76,0,,HELP!!! ))) We need your opinion,"Good time of the day to everyone! We open a “Sign-up” for 1st stage of token sale of our project with a 60% discount of the base price, the price of the token at this stage will be 0.05 Eth, the minimum purchase amount is 10 tokens. You can sign up by writing a letter with the Subject - “OTTP Sale” to e-mail tokensale@1to2.pro At the start of sales you will receive an email with detailed instructions. By that stage version 1.1 will be ready and open for public audit at GitHub.",False
16,msg46968633,https://bitcointalk.org/index.php?topic=4980884.0,,579,Marketplace,2018-10-17 04:03:42,1to2Game,Newbie,76,0,,HELP!!! ))) We need your opinion,"Due to Ropsten-Constantinople trouble https://www.coindesk.com/ethereums-constantinople-upgrade-stalls-on-testnet/ we experience a delay from 10-15 seconds to 40-60 seconds per transacrion time in our Beta game, we created a mirror in Rinkeby test network. No problems noted in Main Ethereum network and project goes as planned.",False
