id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg22199382,https://bitcointalk.org/index.php?topic=2205707.0,,804,Announcements (Altcoins),2017-09-25 09:51:42,TensorBox,Newbie,9,0,,[ANN] [ICO] TensorBox - Invest In Market-Neutral Trading Strategies,"TensorBox Initial Token Offering Details (Oct 2nd, 2017)  Who we are and what we do We are a group of “quants” with an academic background in Numerical Methods, Computational Mathematics, Game Theory and hands-on experience in High-Frequency Trading and Machine Learning. Our interest was in exploring opportunities in cryptocurrency markets, with the goal of exploiting various market inefficiencies to generate steady absolute returns (not correlated with market movements) with low volatility or simply put, steady profit without major drawdowns. We have already developed and tested a set of automated trading algorithms and have run them on the real exchanges. We have a fast and reliable infrastructure to execute our algorithms. Our current returns are over 25% per month.  More information can be found on our website: http://www.TensorBox.com (in Japanese: http://www.TensorBox.com/jp ; in Korean: http://www.TensorBox.com/kr)  Our Edge: -Combination of statistical arbitrage strategies and market-making strategies with extremely low holding periods that deliver absolute returns not affected by market direction -Our cutting-edge geographically distributed IT infrastructure for monitoring market anomalies and shifts in statistical patterns with microsecond delays -Lightning-fast order execution -Proprietary risk management models and optimal capital allocation are at the core of our trading methodology -Quantitative alpha models that generate trading signals based on statistical machine-learning and numerical optimization methods -Order execution models based on optimal stochastic control and reinforcement learning  Examples of our trading strategies Description of our trading system  Details of ITO-1 Crowdfunding starts: Oct 02nd 2017 Crowdfunding ends: Oct 16th, 2017 or until the maximum cap is reached Maximum cap: $0.5 mln Minimum cap: $0.2 mln Currency accepted: ETH and BTC Token price: 1 TBX = 1 USD Bonuses: Early Bird Promotion: during the first 24hrs tokens will be sold at 20% discount to our subscribers (only first 100 k tokens). Pre-registration is required. See below. There will be no other bonuses or bounties Token distribution process: tokens will be distributed after the end of crowdfunding, a number of tokens received by crowdfunding participant will be calculated by the following formula: Number of Tokens = “contribution in ETH” * “ETH to USD exchange rate” * (1 + “bonuses”), where “ETH to USD exchange” is the exchange rate on Bitfinex at the end of crowdfunding. Same formula applies for BTC No more tokens will be issued after that point. If the minimum cap is not reached, all the contributions will be refunded.  The collected sum will be used for: further project development ($100k or 20% if the Max Cap is reached) forming a trading pool (up to $400k or 80% of collected funds is the Max Cap is reached).  Each TBX token holder has rights to: -his share of trading profit: every month 20% management fee will be taken from the net profit (using the high watermark principle); 50% of the trading profit will be distributed to token holders in ETH; 30% remain undistributed to grow the trading pool (to gain compounding interest in future) -withdraw any amount up to his total share of the trading pool by sending us TBX tokens once a month after 6 months from the end of ITO-1. -receive 30% of profit earned by Tensor Box (from 20% management fee) as monthly coupon payments, until the total sum covers $150k ($100k taken for the further project development + $50k premium)  The token value will be updated weekly, based on our trading performance:  -total US$ amount of funds in the trading pool will be published weekly; -total number of issued tokens remains constant; -value of 1 token= (total US$ amount of funds in the trading pool)/(total number of tokens issued)  In 1Q 2018 we are planning to run ITO-2: new tokens will be issued under the new terms: Tensor Box is collecting 2% of the initial deposit as a management fee + 30% of net profit as a performance fee.  Early Bird Token Pre-Sale To participate in this promotion you need to fill in a web form: /forms/o1VjWQRQ2d4uAr3V2]https://[Suspicious link removed]/forms/o1VjWQRQ2d4uAr3V2 (also posted on our Facebook page). You will need to enter the amount of ETH or BTC (or both) you’re willing to invest on Oct 2nd, 2017 and your email. That amount will be reserved for you for 24 hours, starting at 3 am UTC Oct 2nd, 2017 and you will have to send that amount during that time to our wallet (will be announced later) to qualify for 20% extra tokens. Tokens will be distributed after Oct 16h 2017.  Our team: Georgy Bulygin, MSc in Applied Mathematics and Physics. Specializing in Numerical Methods and Computational Mathematics, he has been working for 6 years at the Moscow Institute of Physics and Technology. Then he got fascinated with the world of HFT (High-Frequency Trading) and joined a boutique firm as a quant developer. As a founder of TensorBox, he’s responsible for the core trading strategies.  Vadim Kuchinskiy, MSc in Applied Mathematics and Physics at MIPT, M.Sc. in Economics at NES. Investor in FinTech, ex-director & FX-trader at ING London  Dmitry Shalagin, MSc in Applied Mathematics and Physics at MIPT, M.Sc. in Economics. Specializing in investments and management of high-technology startups. He has been working in management consulting for 4 years. Then he was responsible for due diligence at “Skolkovo” Foundation and closed 40+ deals with overall financing of $80 million. Later, he became a partner at “Phystech Ventures” — early-stage venture capital firm. During the last 3 years, he has been carrying out arbitrage deals with fiat-currencies, ROI — 70%+ per year. Nowadays, Dmitry is co-founder & investor in e-commerce, insurance and fintech industries. As a co-founder of TensorBox, he’s involved in business development and fundraising processes.  Rinat Yaminov, PhD in Applied Mathematics and Physics. Specializing in Game Theory and Computational Mathematics. More than 10 years of experience at Dorodnicyn Computing Centre of the Russian Academy of Science. He developed an automated trading system for a boutique fund in the USA. He worked in an investment department, was responsible for the risk and strategic analysis of projects, he managed a total portfolio of more than $3 billion. As a co-founder of TensorBox, he’s responsible for the risk and portfolio management part of the strategy.  www.TensorBox.com | Facebook | Medium | Telegram | Twitter",False
2,msg22199549,https://bitcointalk.org/index.php?topic=2205707.0,,804,Announcements (Altcoins),2017-09-25 09:57:22,Dedewahyu,Full Member,406,100,,[ANN] [ICO] TensorBox - Invest In Market-Neutral Trading Strategies,"I think this project is AMAZING sir, but you need to spread to the world, you still need translation and moderation at local board, feel free to ask me   Reserve Indonesian translation and moderation...",False
3,msg22200915,https://bitcointalk.org/index.php?topic=2205707.0,,804,Announcements (Altcoins),2017-09-25 10:45:42,CryptoBlockBits,Full Member,350,100,,[ANN] [ICO] TensorBox - Invest In Market-Neutral Trading Strategies,"Interesting project, the kind of coins i follow closely. The website looks like it was made by algorithmic mathematicians, a visual update will help the fundraising cause. Also adding team profile pictures and LinkedIn URLs will help build trust and ICO conversions",False
4,msg22202674,https://bitcointalk.org/index.php?topic=2205707.0,,804,Announcements (Altcoins),2017-09-25 11:44:59,ZODIAQ,Newbie,55,0,,[ANN] [ICO] TensorBox - Invest In Market-Neutral Trading Strategies,Where can I find your WP and your team LinkedIn account?,False
5,msg22218513,https://bitcointalk.org/index.php?topic=2205707.0,,804,Announcements (Altcoins),2017-09-25 20:38:59,TensorBox,Newbie,9,0,,[ANN] [ICO] TensorBox - Invest In Market-Neutral Trading Strategies,"Thanks for the interest!  Fair point regarding the website It's being updated and soon you'll see the new verion..with our photos. As for LinkedIn, it's actually banned in Russia (because they store personal data outside Russia or something like that). And while it's still possible to use it via VPN, it's not popular here at all. Me (George) and Rinat had LinkedIn accounts many years ago while it was still available but we're not using it at all. Vadim had his entire career in London, working for various Investment Banks (Royal Bank of Scotland and ING) as a trader so he's the only one who actually uses it - https://www.linkedin.com/in/vadim-kuchinskiy-8178164/ and here's Dmitry's profile - https://www.linkedin.com/in/dmitryshalagin/  As for WP, it will be released shortly, as mentioned on our website. But you can find details on what we do in our blog on Medium: https://medium.com/tensorbox. I'll publish more ""technical"" (or rather ""mathematical"") article about our trading algorithms tomorrow. Feel free to suggest ideas for the upcoming articles!  And if you have any questions, I'll gladly answer them here.",False
6,msg22219001,https://bitcointalk.org/index.php?topic=2205707.0,,804,Announcements (Altcoins),2017-09-25 20:57:34,antonyshaji,Newbie,13,0,,[ANN] [ICO] TensorBox - Invest In Market-Neutral Trading Strategies,"Hi, I can help you in translation all the language pairs. We are ten years experienced translation company. Kindly send your document to contacts@asimolinguistics.com",False
7,msg22294473,https://bitcointalk.org/index.php?topic=2205707.0,,804,Announcements (Altcoins),2017-09-27 20:34:58,TensorBox,Newbie,9,0,,[ANN] [ICO] TensorBox - Invest In Market-Neutral Trading Strategies,"We have released our Whitepaper!  You can download it here: http://www.tensorbox.com/TensorBox%20WP%20v0.9.pdf  So far we have requests for a total of 204.5 ETH and 0.29 BTC for the Early Bird promotion, or ~62.5% of the total amount.  Approximately 125 ETH can still be pre-reserved with 20% discount for the ITO starting next Monday, Oct 2nd, 2017!  Secure your spot here: /forms/o1VjWQRQ2d4uAr3V2]https://[Suspicious link removed]/forms/o1VjWQRQ2d4uAr3V2  Find details about the ITO and Early Bird promotion in our whitepaper (link above) or @Medium: https://medium.com/tensorbox/tensorbox-initial-token-offering-details-oct-2nd-2017-ce391140d86e",False
8,msg22434175,https://bitcointalk.org/index.php?topic=2205707.0,,804,Announcements (Altcoins),2017-10-01 14:09:46,carny88,Newbie,99,0,,[ANN] [ICO] TensorBox - Invest In Market-Neutral Trading Strategies,You are writing in your whitepaper:     Do you have any further information about this?,False
9,msg22446253,https://bitcointalk.org/index.php?topic=2205707.0,,804,Announcements (Altcoins),2017-10-01 20:37:31,bctinuse,Newbie,2,0,,[ANN] [ICO] TensorBox - Invest In Market-Neutral Trading Strategies,"Really interesting project. But I do have some questions.  In your white paper you write:   Could you elaborate more on the empirical evidence? Is it available online? Is your own research?  Crypto markets should get more efficient as they mature, do you think your expected returns will get lower as the markets get more efficient? Do you think there will be a point in the future where there are insufficient market inefficiencies for your trading strategy?",False
10,msg22472122,https://bitcointalk.org/index.php?topic=2205707.0,msg22446253,804,Announcements (Altcoins),2017-10-02 14:08:38,TensorBox,Newbie,9,0,,[ANN] [ICO] TensorBox - Invest In Market-Neutral Trading Strategies,"   Yes we do monitor market data closely. On our main page we posted 2 very good examples: cross-exchange spreads and bid-ask spread on one exchange.  Quote Crypto markets should get more efficient as they mature, do you think your expected returns will get lower as the markets get more efficient? Do you think there will be a point in the future where there are insufficient market inefficiencies for your trading strategy?  Our trading results in narrowing spread, for example. So yes, we do expect that markets get more mature and returns won't be that enormous. Still even in the most mature and liquid markets inefficiencies exist, thats why quant funds like Renaissance Technologies show something like 30%+ returns net of fees managing $50+bln portfolios. Of course they are the best of the best, but also competition on traditional markets is much tougher. Arbitrage opportunities exist even on the most liquid and mature markets, it is possible to arbitrage EUR-USD but margins are tiny and opportunities exist only fractions of a second.",False
