id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg23818476,https://bitcointalk.org/index.php?topic=906293.0,,2498,Off-topic,2017-10-31 13:20:17,thadbedbogie,Newbie,5,0,,New coin - Fapcoin - new/innovative,I initially thought it was serious ...,False
2,msg26628562,https://bitcointalk.org/index.php?topic=906293.0,,2498,Off-topic,2017-12-19 22:16:25,AnchovySpliff,Newbie,8,0,,New coin - Fapcoin - new/innovative,Well I bought some fapcoin on CoinEx.  Price is starting to get reasonable.  Is this the right thread?,False
3,msg26667156,https://bitcointalk.org/index.php?topic=906293.0,,2498,Off-topic,2017-12-20 14:24:36,snplx,Newbie,19,0,,New coin - Fapcoin - new/innovative,"I like your idea, my friend.  No software wallets. The hardest forks yet. Let's hit moon, and slap it a little",False
4,msg26671349,https://bitcointalk.org/index.php?topic=906293.0,,2498,Off-topic,2017-12-20 15:33:47,GhostKiller,Newbie,4,0,,New coin - Fapcoin - new/innovative,"It's grear, but are you later. Me too",False
5,msg28586606,https://bitcointalk.org/index.php?topic=906293.0,,2498,Off-topic,2018-01-21 04:59:32,Mynameischair,Member,196,10,,New coin - Fapcoin - new/innovative,"If everyone was as childish as me, this thread will have hundreds of pages instead of two. am definitely not going to buy this shit but it made for a really good laugh",False
6,msg32387280,https://bitcointalk.org/index.php?topic=906293.0,,2498,Off-topic,2018-03-15 17:16:40,mindrust,Legendary,1568,1575,,New coin - Fapcoin - new/innovative,"If only I bought a fap coin whenever I fapped... I would still be poor.  I thought I found the perfect name for my shitcoin project. Instead I found this. Not new, not innovative. Dead.",False
7,msg43618566,https://bitcointalk.org/index.php?topic=906293.0,,2498,Off-topic,2018-08-07 00:12:43,pozmu,Hero Member,742,504,,New coin - Fapcoin - new/innovative,"Damn, it's h(f)appening again. Dreams become reality. With Vice Industry Token (VIT) paying you for watching porn videos your joke idea materializes. They're going to work with main tube sites like Pornhub, so there is much content to fap to ",False
8,msg45643759,https://bitcointalk.org/index.php?topic=906293.0,,2498,Off-topic,2018-09-13 18:29:02,SanderMan,Newbie,14,0,,New coin - Fapcoin - new/innovative,cheers cheers hurray)) Finally the porn industry is growing!  so I believe that this is the progress of the sphere,False
9,msg45648174,https://bitcointalk.org/index.php?topic=906293.0,,2498,Off-topic,2018-09-13 20:11:27,Stopir070,Newbie,14,0,,New coin - Fapcoin - new/innovative,I will definitely use this coin!,False
10,msg46323148,https://bitcointalk.org/index.php?topic=906293.0,msg46220765,2498,Off-topic,2018-09-29 21:28:45,pozmu,Hero Member,742,504,,New coin - Fapcoin - new/innovative,"   There is POW - the work is watching porn. Validation is another issue, first we would have to define what's ""watching"". Having video playing in foregound? - this is easy to verify. Actually sitting in front of the computer and fapping, sorry, watching? - well, that's more complicated but still doable, there may be random moments when button appears and you have to click it or you may have to answer questions about content you watched - I used to take part in ""pay 2 watch ads"" and I had to watch movie trailers and then answer questions about them.",False
