id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44025758,https://bitcointalk.org/index.php?topic=4887022.0,,781,Marketplace (Altcoins),2018-08-13 17:18:06,TheTOKapp,Newbie,2,0,,🎁🎁 TheTOKApp: Bounty Campaign 🎁🎁,"https://i.imgur.com/tKIBKxw.jpg  TOK BOUNTY CAMPAIGN (DETAILS)  Everyone must SIGN UP on http://thetokapp.com/register.php here. If you fail to sign up, you will not be eligible to be a part of this bounty campaign. Total bounty allocated = 20,000,000 TOK Tokens (5 Million bounty per month)  Website - www.thetokapp.com  GENERAL RULES  •   The Bounty TOK Team reserves the right to make changes to the conditions at any time. •   Any offensive or inappropriate behaviour will lead to an immediate disqualification from the campaign. •   A mandatory rule when submitting reports is the requirement to write new reports every week. You do not need to edit your old message. •   Using multi-accounts, cheating and spamming are not allowed. It will result in getting all your accounts permanently banned in our system. •   Rewarding of tokens depends on the approval of TOK Team. •   All the posts/ tweets/ videos/ blogs/ retweets/ shares etc. should be viewable and public till the end of the bounty campaign. •   The TOK team will manually be checking each entry which takes time. •   The tokens will be distributed post the ICO ends, you will be updated via our official social handles. •   If you have any questions please ask us directly in the thread or here: https://t.me/thetokapp  Twitter Campaign  Twitter Instructions:  •   Apply to join the campaign here: Form Link •   Follow our official Twitter Account - https://twitter.com/thetokapp •   Your twitter account must have at least 50 real followers •   Only one twitter account per person is allowed. •   You must retweet and like at least 3 tweets per week from our Official twitter account •   You must post at least 2 tweets per week about @thetokapp. You can only post a Max of 1 tweet per day. •   You must use our hashtag (#tokfutureofcommunication) •   Friends/Followers count will not be updated in the middle of the bounty. Note: We check tweets and retweets manually, so please be patient.  Rewards:  •   50-1000 real followers: 50 TOK tokens/week •   1001 and up: 200 TOK tokens/week  Facebook Campaign  Facebook Instructions:  •   Apply to join the campaign here: Form Link •   Follow and Like the official facebook page - https://www.facebook.com/thetokapp •   Only one facebook account per person is allowed. •   Users must have at least 100 friends •   You must like and share too (both) at least 3 posts per week from our official facebook page •   You must write 2 posts about TOK in a week using hashtag #tokfutureofcommunication •   Friends/Followers count will not be updated in the middle of the bounty. •   Posts must be in English, should be public and viewable and should be posted here every week (your post links)  Rewards:  •   100-1000 real friends or real followers: 50 TOK tokens/week •   1001 and above: 200 TOK tokens/week  Blog Article Campaign  Write a good article, review, or blog post about www.thetokapp.com in your words; Post that on your website or blog.  Apply to join the campaign here: Form Link  Blog/Article writing instructions:  •   The article/review/blog post must have at least 250 words. •   Your text must be original. Copy and stealing other contents lead to disqualification. •   Low quality, badly written articles or videos will be rejected. •   The audience for the posted article must be crypto related or match a use for TOK or promote the Token sale to a suitable audience. •   Article/blog post must contain link to the www.thetokapp.com website OR Official Facebook OR Official Telegram group OR Official Twitter OR use hashtag         #tokfutureofcommunication •   Writers should familiarize themselves with the official white papers to ensure accurate depiction of TOK App features.  Rewards:  •   For Original article BIG (2000 words or more) = 500 - 1000 TOK tokens •   For Original article MEDIUM (1000-2000 words) = 300 - 500 TOK tokens •   For Original article SMALL (Below 1000 words) = 100 - 300 TOK tokens  BONUS: If you follow our Official Medium account - https://medium.com/@thetokapp then you will get 100 TOK tokens extra.  Video Campaign  •   Describe TOK App and it's features •   Video must be in good resolution •   Video must be minimum 30 seconds. •   You can upload them on your Youtube or facebook  etc (don’t forget to share the link with us) •   You will receive rewards based on the quality of an Article/Video. •   Inform us about your Article/Videos here: Form Link  Rewards:  •   Each video – 1000 TOK tokens                                                     Telegram Campaign  Telegram Instructions:  •   Apply to join the campaign here: Form Link •   Telegram Join link: https://t.me/thetokapp •   No spam or foul language against other members or about the project. •   Discussion about the bounty is strictly prohibited. •   No TOK tokens will be distributed to the person who quit the group during the ICO  Rewards:  •   50 TOK tokens on joining our telegram group – weekly basis •   Bonus: 10 TOK Tokens, if you wear our profile pic till the end of the ICO.   Signature Campaign  Apply to join the campaign here: Form Link  Signature Instructions:  • Must make at least 7 constructive posts on Bitcoin Talk Forum per week. • Add the signature corresponding to your rank level • The Bounty Manager will update spreadsheets every week and check that the signature is still being used week after week.  Rewards:  1. Jr. Member: 50 TOK Tokens/Week 2. Member: 150 TOK Tokens/Week 3. Full Member: 300 TOK Tokens/Week 4. Sr. Member: 600 Tokens/Week 5: Hero/Legendary Member: 1000 Tokens/Week  Codes:  Junior Member  Code: [center]THETOKAPP Unified Decentralized Communication Application[/center]  Member  Code: [center][url=https://www.thetokapp.com/]THETOKAPP  [        JOIN OUR TOKEN SALE       ]  THETOKAPP Unified Decentralized Communication Application[/url] [url=https://www.facebook.com/thetokapp]FACEBOOK[/url]   [url=https://twitter.com/THETOKAPP]TWITTER[/url]   [url=https://www.instagram.com/thetokapp/]INSTAGRAM[/url]  [url=https://medium.com/@thetokapp] MEDIUM[/url]   [url=http://thetokapp.com/doc/TOK-Whitepaper.pdf]WHITEPAPER[/url]   [url=https://t.me/thetokapp]TELEGRAM[/url][/center]  Full Member  Code:  [center][url=https://www.thetokapp.com/][font=Arial][color=#2F3943][b]THETOKAPP  [ [color=#352c6d]       JO[color=#352c6d]IN [color=#4a2f6e]OU[color=#4a2f6e]R T[color=#6d3871]OK[color=#6d3871]EN [color=#8d4373]SA[color=#8d4373]LE       [color=#2F3943]]  THETOKAPP [font=Arial Narrow][b][i]Unified Decentralized Communication Application[/i][/url] [font=Arial Narrow][b][url=https://www.facebook.com/thetokapp][color=#2F3943]FACEBOOK[/url]   [url=https://twitter.com/THETOKAPP][color=#8d4373]TWITTER[/url]   [url=https://www.instagram.com/thetokapp/][color=#2F3943]INSTAGRAM[/url]   [url=https://medium.com/@thetokapp][color=#8d4373]MEDIUM[/url]   [url=http://thetokapp.com/doc/TOK-Whitepaper.pdf]WHITEPAPER[/url]   [url=https://t.me/thetokapp]TELEGRAM[/url][/center]  Senior Member  Code: [center][table][tr][td][url=https://www.thetokapp.com/][tt][size=2px]                                                    ░████████████▒                         ███          ░███                          ███████████                           ░█        ░█░                             ▓███████▒                                 ░░▒░░    ░      ░░   ░  ████████████ █       █  ████  ░█████    ░░░░████░░░░█  █████  █░████ ▒████░        ████   █  ███████ ░██████████          ████   █  ███████  █████████            ████   █  ███████  ██████████          ████   █  ███████ ░███████████          ████   ░█  █████  █ ████  █████        ████    ░█░      █  ████   █████                   ░░  ░    ░   ░       ░                                  [/td][td][center][url=https://www.thetokapp.com/][font=Arial][size=25px][color=#2F3943] THETOKAPP [color=#8d4373]┃[font=Franklin Gothic Medium][size=15px][color=#8d4373]  JOIN ICO [size=11px][i][color=#000][b]MUnified Decentralized Communication Application[/td][td][/td][td][CENTER][url=http://thetokapp.com/doc/TOK-Whitepaper.pdf][size=2pt][tt][size=2pt][color=#242424]  █▀▀▀▀▀▀▀▀▀▀█▄     █  ████    █▀█▄   █  ████    █  ▀█▄ █  ▄▄▄▄▄▄▄ ▀▀▀▀▀▀█ █  ▄▄▄▄▄▄▄▄▄▄▄▄  █ █  ▄▄▄▄▄▄▄▄▄▄▄▄  █ █  ▄▄▄▄▄▄▄▄▄▄▄▄  █ █  ▄▄▄▄▄▄▄▄▄▄▄▄  █ █▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄█[/size] [font=Arial Narrow][size=11px][color=#8d4373]WHITEPAPER [/td][td][/td][td][CENTER][url=https://t.me/thetokapp][tt][size=2pt][color=#242424]                  ▄▄██             ▄▄██████         ▄▄███▀▀█████     ▄▄█████▀ ▄█████ ▄▄███████▀ ▄███████   ▀████▀ ▄█████████      ██ ██████████        ██ █▀   ▀▀███                  ▀▀▀  [/size] [font=Arial Narrow][size=11px][color=#8d4373]TELEGRAM [/td][td][size=4pt] [size=25px][color=#8d4373]┃[/td][td][CENTER][font=Franklin Gothic Medium][size=23px][color=#fff][glow=#352c6d,2]       JO[glow=#352c6d,2]IN [glow=#4a2f6e,2]OU[glow=#4a2f6e,2]R T[glow=#6d3871,2]OK[glow=#6d3871,2]EN [glow=#8d4373,2]SA[glow=#8d4373,2]LE       [/size] [size=2pt] [font=Arial Narrow][size=12px][b][url=https://www.facebook.com/thetokapp][color=#2F3943]FACEBOOK[/url]   [url=https://twitter.com/THETOKAPP][color=#8d4373]TWITTER[/url]   [url=https://www.instagram.com/thetokapp/][color=#2F3943]INSTAGRAM[/url]   [url=https://medium.com/@thetokapp][color=#8d4373]MEDIUM[/url]   [url=https://t.me/thetokapp][color=#2F3943]TELEGRAM[/url][/td][td] [/td][td] [/td][/tr][/table][/center]  Hero/Legendary  Code: [center][table][tr][td][url=https://www.thetokapp.com/][tt][size=2px]                                                 ░████████████▒                         ███          ░███                          ███████████                           ░█        ░█░                             ▓███████▒                                 ░░▒░░    ░      ░░   ░  ████████████ █       █  ████  ░█████    ░░░░████░░░░█  █████  █░████ ▒████░        ████   █  ███████ ░██████████          ████   █  ███████  █████████            ████   █  ███████  ██████████          ████   █  ███████ ░███████████          ████   ░█  █████  █ ████  █████        ████    ░█░      █  ████   █████                   ░░  ░    ░   ░       ░                                  [/td][td][/td][td][center][url=https://www.thetokapp.com/][font=Arial][size=25px][glow=#2F3943,2][color=#B6B3B1] THETOKAPP [/glow][color=#8d4373]┃[font=Franklin Gothic Medium][size=15px][glow=#8d4373,2][color=#fff]  JOIN ICO  [/glow] [size=11px][i][color=#000][b]Unified Decentralized Communication Application [/td][td][/td][td][CENTER][url=http://thetokapp.com/doc/TOK-Whitepaper.pdf][size=2pt][tt][size=2pt][color=#242424]  █▀▀▀▀▀▀▀▀▀▀█▄     █  ████    █▀█▄   █  ████    █  ▀█▄ █  ▄▄▄▄▄▄▄ ▀▀▀▀▀▀█ █  ▄▄▄▄▄▄▄▄▄▄▄▄  █ █  ▄▄▄▄▄▄▄▄▄▄▄▄  █ █  ▄▄▄▄▄▄▄▄▄▄▄▄  █ █  ▄▄▄▄▄▄▄▄▄▄▄▄  █ █▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄█[/size] [font=Arial Narrow][size=11px][color=#8d4373]WHITEPAPER [/td][td][/td][td][CENTER][url=https://t.me/thetokapp][tt][size=2pt][color=#242424]                  ▄▄██             ▄▄██████         ▄▄███▀▀█████     ▄▄█████▀ ▄█████ ▄▄███████▀ ▄███████   ▀████▀ ▄█████████      ██ ██████████        ██ █▀   ▀▀███                  ▀▀▀  [/size] [font=Arial Narrow][size=11px][color=#8d4373]TELEGRAM [/td][td][size=4pt] [size=25px][color=#8d4373]┃[/td][td][CENTER][font=Franklin Gothic Medium][size=23px][color=#fff][glow=#352c6d,2]       JO[glow=#352c6d,2]IN [glow=#4a2f6e,2]OU[glow=#4a2f6e,2]R T[glow=#6d3871,2]OK[glow=#6d3871,2]EN [glow=#8d4373,2]SA[glow=#8d4373,2]LE       [/size] [size=2pt] [font=Arial Narrow][size=12px][b][url=https://www.facebook.com/thetokapp][color=#2F3943]FACEBOOK[/url]   [url=https://twitter.com/THETOKAPP][color=#8d4373]TWITTER[/url]   [url=https://www.instagram.com/thetokapp/][color=#2F3943]INSTAGRAM[/url]   [url=https://medium.com/@thetokapp][color=#8d4373]MEDIUM[/url]   [url=https://t.me/thetokapp][color=#2F3943]TELEGRAM[/url][/td][td] [/td][td] [/td][/tr][/table][/center]",False
2,msg46013129,https://bitcointalk.org/index.php?topic=4887022.0,,781,Marketplace (Altcoins),2018-09-22 06:52:01,Tiwik,Newbie,78,0,,🎁🎁 TheTOKApp: Bounty Campaign 🎁🎁,JOINED CAMPAIGN  Username:Tiwik Profil link:https://bitcointalk.org/index.php?action=profile;u=2063553 ETH: 0x77a1F0a3534Be90628BE103BAC061D5244C824AF,False
3,msg46013160,https://bitcointalk.org/index.php?topic=4887022.0,,781,Marketplace (Altcoins),2018-09-22 06:53:19,jatinjax1,Copper Member,308,8,,🎁🎁 TheTOKApp: Bounty Campaign 🎁🎁,"Translation Bounty :  language: (Hindi) Indian (reserving)/ Gujarti Whitepaper, ann, bounty, website, one pager BTT profiel: https://bitcointalk.org/index.php?action=profile;u=1715279;sa=summary BTT username: jatinjax1 Telegram: @jatinjax email:jatinjax@gmail.com  portfolio:  https://bitcointalk.org/index.php?topic=3162261.msg32697196#msg32697196 https://bitcointalk.org/index.php?topic=3056808.new#new https://bitcointalk.org/index.php?topic=3039113.msg31272888#msg31272888 https://bitcointalk.org/index.php?topic=3080500.new#new https://bitcointalk.org/index.php?topic=3081304.new#new https://bitcointalk.org/index.php?topic=3184586.msg32983091#msg32983091 https://bitcointalk.org/index.php?topic=3189093.new#new https://bitcointalk.org/index.php?topic=3196790.msg33162478#msg33162478 https://bitcointalk.org/index.php?topic=3196940.msg33165262#msg33165262 https://bitcointalk.org/index.php?topic=3202713.new#new https://bitcointalk.org/index.php?topic=3202732.new#new https://bitcointalk.org/index.php?topic=3221002.new#new https://bitcointalk.org/index.php?topic=3258053.new#new https://bitcointalk.org/index.php?topic=3258042.msg33945732#msg33945732 https://bitcointalk.org/index.php?topic=3258349.new#new https://bitcointalk.org/index.php?topic=3279130.new#new https://bitcointalk.org/index.php?topic=3279132.new#new https://bitcointalk.org/index.php?topic=3285258.new#new https://bitcointalk.org/index.php?topic=3288864.new#new https://bitcointalk.org/index.php?topic=3288932.new#new https://bitcointalk.org/index.php?topic=3299806.new#new https://bitcointalk.org/index.php?topic=3301190.new#new https://bitcointalk.org/index.php?topic=3301503.new#new https://bitcointalk.org/index.php?topic=3327399.new#new https://bitcointalk.org/index.php?topic=3327480.new#new https://bitcointalk.org/index.php?topic=3333303.new#new https://bitcointalk.org/index.php?topic=3333344.new#new https://bitcointalk.org/index.php?topic=3333975.msg34866580#msg34866580 https://bitcointalk.org/index.php?topic=3336906.new#new https://bitcointalk.org/index.php?topic=3352233.new#new https://bitcointalk.org/index.php?topic=3377947.new#new https://bitcointalk.org/index.php?topic=3381235.new#new https://bitcointalk.org/index.php?topic=3381245.new#new https://bitcointalk.org/index.php?topic=3411941.new#new https://bitcointalk.org/index.php?topic=3415589.new#new https://bitcointalk.org/index.php?topic=3730021.new#new https://bitcointalk.org/index.php?topic=3833896.msg37363761#msg37363761 https://bitcointalk.org/index.php?topic=3833857.new#new https://bitcointalk.org/index.php?topic=3858632.msg37428245#msg37428245 https://bitcointalk.org/index.php?topic=3858530.msg37427911#msg37427911 https://bitcointalk.org/index.php?topic=3982899.new#new https://bitcointalk.org/index.php?topic=4392716.msg39131070#msg39131070 https://bitcointalk.org/index.php?topic=4321805.msg38763884#msg38763884 https://bitcointalk.org/index.php?topic=4494821.msg40438213#msg40438213 https://bitcointalk.org/index.php?topic=4494808.msg40438068#msg40438068 https://bitcointalk.org/index.php?topic=4493564.msg40419866#msg40419866 https://bitcointalk.org/index.php?topic=4473802.msg40143754#msg40143754 https://bitcointalk.org/index.php?topic=4469007.msg40078698#msg40078698 https://bitcointalk.org/index.php?topic=4468992.msg40078463#msg40078463 https://bitcointalk.org/index.php?topic=4436912.msg39627674#msg39627674 https://bitcointalk.org/index.php?topic=4436908.msg39627622#msg39627622 https://bitcointalk.org/index.php?topic=4736995.new#new    shared folder (Wp, Psd, Website, One pager): https://drive.google.com/drive/folders/1Z9FjALMy8Gh6ru_RUkfNbsDLKOsbilgd?usp=sharing  Community manager: www.w12.io  Regional Manager (Hindi): http://ico.basisneuro.com/     eth address: 0x3CdEdF298179491Bc8005B762603eCB4B238F2",False
4,msg48635023,https://bitcointalk.org/index.php?topic=4887022.0,,781,Marketplace (Altcoins),2018-12-13 04:41:12,cryptolab111,Newbie,43,0,,🎁🎁 TheTOKApp: Bounty Campaign 🎁🎁,"Hey the going guys and welcome to Cryptolaboratory ICO rating list! Our experts analyzed the ratings of 14 world rating agencies and on its base calculated the weighted average of the project. Your rating is 58.66 of 100. Full information you can see in the description of TOK (TOK). Just look us, comment on us and follow us on social networks. Thank you for your attention!  |Cryptolaboratory team|",False
5,msg52150130,https://bitcointalk.org/index.php?topic=4887022.0,,781,Marketplace (Altcoins),2019-08-13 14:36:37,x810777,Newbie,524,0,,🎁🎁 TheTOKApp: Bounty Campaign 🎁🎁,#Proof of Authentication Bitcointalk username :X810777 Bitcointalk Profile URL: https://bitcointalk.org/index.php?action=profile;u=1646885 ERC-20/ETH wallet address : 0x6056eDDF226A111D9E5D9F1826567200d7a4dFE7 participating in campaign:  Facebook & Telegram Facebook Link: https://web.facebook.com/malack1 Telegram Link: https://t.me/LuyTGundl,False
6,msg52154296,https://bitcointalk.org/index.php?topic=4887022.0,,781,Marketplace (Altcoins),2019-08-14 00:24:21,RyanKatty,Newbie,62,0,,🎁🎁 TheTOKApp: Bounty Campaign 🎁🎁,#Proof Of Authentication  Bitcointalk Profile Link: https://bitcointalk.org/index.php?action=profile;u=2191205  Bitcointalk username: Ryankatty  Twitter Profile Link:  https://www.twitter.com/Sharongold885  Telegram Username: @Sandy_33  Facebook Profile Link:  https://facebook.com/profile.php?id=100026491517755  MyEtherWallet address :0xb1f1298f24E49824a03EB92BB96A5Fd9DC11CcF6,False
7,msg52155211,https://bitcointalk.org/index.php?topic=4887022.0,,781,Marketplace (Altcoins),2019-08-14 04:06:44,imamkhoi9875321,Member,700,11,,🎁🎁 TheTOKApp: Bounty Campaign 🎁🎁,Proof of authentication Bitcointalk username : imamkhoi9875321 FB link : https://web.facebook.com/Imam.Khoi Twitter link : https://twitter.com/imamkhoi1815 Telegram username  : @imamkhoi,False
8,msg52202732,https://bitcointalk.org/index.php?topic=4887022.0,,781,Marketplace (Altcoins),2019-08-19 06:29:43,imamkhoi9875321,Member,700,11,,🎁🎁 TheTOKApp: Bounty Campaign 🎁🎁,Week 1 ( 13 august-19 august )  Twitter  Twitter link : https://twitter.com/imamkhoi1815 Retweet : 1.https://twitter.com/imamkhoi1815/status/1161548121094025216 2.https://twitter.com/imamkhoi1815/status/1161916115733192705 3.https://twitter.com/imamkhoi1815/status/1162278743060013058 Tweet : 1.https://twitter.com/imamkhoi1815/status/1162552040100225026 2.https://twitter.com/imamkhoi1815/status/1163004716537675776   Facebook  Facebook link : https://web.facebook.com/Imam.Khoi Like and share : 1.https://web.facebook.com/Imam.Khoi/posts/1426149224193225 2.https://web.facebook.com/Imam.Khoi/posts/1426898074118340 3.https://web.facebook.com/Imam.Khoi/posts/1427683734039774 Post : 1.https://web.facebook.com/Imam.Khoi/posts/1428299210644893 2.https://web.facebook.com/Imam.Khoi/posts/1429250793883068,False
9,msg52206105,https://bitcointalk.org/index.php?topic=4887022.0,msg52150130,781,Marketplace (Altcoins),2019-08-19 13:48:40,x810777,Newbie,524,0,,🎁🎁 TheTOKApp: Bounty Campaign 🎁🎁,    Week 1 (13/08 - 19/08)  Facebook campaign Facebook Link: https://web.facebook.com/malack1 BitcoinTalk User ID: X810777 Bitcointalk Profile Link: https://bitcointalk.org/index.php?action=profile;u=1646885 Like/Shares: 14/08 https://www.facebook.com/malack1/posts/2964798053561632 15/08 https://www.facebook.com/malack1/posts/2967018196672951 17/08 https://www.facebook.com/malack1/posts/2972315969476507 18/08 https://www.facebook.com/malack1/posts/2974899305884840 post 16/08 https://www.facebook.com/malack1/posts/2969687636406007 19/08 https://www.facebook.com/malack1/posts/2977425902298847,False
10,msg52206370,https://bitcointalk.org/index.php?topic=4887022.0,,781,Marketplace (Altcoins),2019-08-19 14:22:10,Uragonz,Copper Member,700,10,,🎁🎁 TheTOKApp: Bounty Campaign 🎁🎁,#Proof of Authentication Bitcointalk username: Uragonz Telegram username : @hayns76 Joined campaign: Facebook Twitter Telegram,False
