id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44134332,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-08-15 16:06:24,fearx93,Newbie,31,0,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,"For me it's strange that we are flying to Mars soon, but not fixing our mortality. Elon Musk and other space fanatics have their priorities mixed up.",False
2,msg44135748,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-08-15 16:33:29,pedoindeed,Newbie,31,0,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,"I personally believe that if we find a way to be immortal, we will either start exhaustively working on saving the earth and fixing it's problems, or fasten the process of moving to another planets",False
3,msg44193056,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-08-16 16:21:22,nhinhannhit,Newbie,54,0,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,"Hello, I see the PRE-sale announcement is in progress, but I do not get results from the amount? how many tokens are already sold in PRE-SALE",False
4,msg47243807,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-10-25 07:37:55,kudil,Member,700,29,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,"Unfortunately, I heard this project not reach Soft Cap and Team will refunds the funds of contributors. But The team also decided to build this project by self-funds, so this project no dead! So glad, but I have a question, what about the fate of bounty participants? will be paid or not?",False
5,msg40537924,https://bitcointalk.org/index.php?topic=4288646.0,msg40536138,549,Announcements (Altcoins),2018-06-20 17:50:00,MishaSER,Full Member,658,100,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,"  Yes, yes, this is also a good question. But more detailed explanations are needed. It is not clear who will download all the data. Or the application will do this",False
6,msg41888295,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-07-10 08:18:46,andriyana,Full Member,635,100,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,"Hello, I see the PRE-sale announcement is in progress, but I do not get results from the amount? how many tokens are already sold in PRE-SALE",False
7,msg42024969,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-07-12 11:16:22,omar hashim,Jr. Member,266,1,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,"BeANKH melds artificial intelligence, big data and blockchain technology to add immutability to digital immortality, allowing users to preserve and share their essential traits and personality long after their physical death. Join us on this journey, towards tomorrow and towards, eternity. Be Immortal. BeANKH.",False
8,msg42290962,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-07-16 13:27:34,Dropbox228,Newbie,39,0,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,"an excellent project, very promising! I wish you success in your endeavor and successful development! I hope that we will cooperate with you for a long time !!!",False
9,msg42291535,https://bitcointalk.org/index.php?topic=4288646.0,msg38597897,549,Announcements (Altcoins),2018-07-16 13:38:05,ElfishThePresley,Newbie,13,0,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,  These caps looks unreal - it is always interesting - what for are they going to spend these sums?,False
10,msg42607485,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-07-21 15:53:43,mizukage123,Newbie,74,0,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,"We do not have to life everyday meaningfully, live is intrinsic value. If you do not understand why immortality is good, then think if you want to be healthy and alive. If you want to be healthy and alive and you want to be immortal as well, as that is the same thing.",False
11,msg42608351,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-07-21 16:10:32,julerz12,Sr. Member,840,365,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,"Looks like a project based on Johnny Depp's movie Transcendence Seems very unreal to me. I doubt anyone would be able to pull something like this. Human characteristics is very complex to be copied into something like on a digital avatar. Tho, if you guys are only trying to put images of the deceased on the chain, maybe it can be done. ",False
12,msg42608645,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-07-21 16:16:05,spawn4ever,Full Member,574,111,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,where i can read something about functions of your token? I didnt see anything about this in topic,False
13,msg42851485,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-07-25 13:34:09,Noway159,Newbie,94,0,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,would any of you be interested in the new community for crypto enthusiasts (mineunit)? With blogs of experts in the field and courses to learn mining and trading?     PS. I am not selling anything. I am simply checking would you be interested? And if so in what features?,False
14,msg42880371,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-07-26 00:17:25,Namita,Newbie,173,0,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,"I think this is a very interesting project, I will definitely participate in it, I hope that it will be successful.",False
15,msg43080323,https://bitcointalk.org/index.php?topic=4288646.0,,549,Announcements (Altcoins),2018-07-29 11:39:40,onyx555,Newbie,26,0,,🔥🔥🔥🔥{ANN} FUTURE OF DIGITAL IMMORTALITY🔥🔥🔥🔥,I will participate in the project!,False
