id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg23652951,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-10-28 04:17:41,housebtc,Sr. Member,588,252,,ICON - ICO in 23 hours ...,"I think by now the team should be talking about exchange listings, this ICO is talking longer than should be expected and also the KYC would have been outsourced for faster confirmations",False
2,msg23692193,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-10-28 22:03:41,shahinoor.bd,Newbie,42,0,,ICON - ICO in 23 hours ...,"I heard about this project few days ago. I think this is quite interesting project, I invest here little.",False
3,msg23726291,https://bitcointalk.org/index.php?topic=2190031.0,msg23639497,3587,Altcoin Discussion,2017-10-29 16:38:05,btcjoin14,Hero Member,894,500,,ICON - ICO in 23 hours ...,  That right there is some positive thinking on your part. You do know that most coins that release have a period where the price goes below the ICO price?,False
4,msg23884283,https://bitcointalk.org/index.php?topic=2190031.0,msg23726291,3587,Altcoin Discussion,2017-11-01 16:58:02,zneww,Sr. Member,434,250,,ICON - ICO in 23 hours ...,    Most ico goes below the Ico price because of the huge bonus given to early investors. Sometimes the is also Pre-Ico. So the point is that maybe what is under Ico for me is not under ico for other people! They can dump but they still have a positive profit!,False
5,msg24200025,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-11-07 21:32:53,baby222,Hero Member,1008,501,,ICON - ICO in 23 hours ...,Anyone know if icon themselves were safe from the parity hack or not?,False
6,msg24823643,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-11-19 06:44:39,Honglee,Member,159,10,,ICON - ICO in 23 hours ...,"FAQ: Q) When is ERC20 transferrable? A) After KYC Completion  Q) When mainnet? A) Q4 - 18 Q1  Q) When Exchange? A) Cannot be disclosed until the official announcement  Q) What will be the exchange price A) I don’t know.  Q) When can I get refund? A) Process & Additional announcement will start after KYC Completion  Q) What’s on HitBTC? A) it is a form of IOU (google IOU)  Q) Any inquiries on KYC issues A) email to kyc@icon.foundation  Q) Any other critical inquiries A) email to hello@icon.foundation  Q) I emailed but no answer! A) Please, note that it may take more than 2days due to email traffic.",False
7,msg22951218,https://bitcointalk.org/index.php?topic=2190031.0,msg22924044,3587,Altcoin Discussion,2017-10-13 10:26:04,player01,Sr. Member,364,250,,ICON - ICO in 23 hours ...,   Is this an official thread? it seem to me a long time to start the KYC process. In crypto days are like months..,False
8,msg22962394,https://bitcointalk.org/index.php?topic=2190031.0,msg22951218,3587,Altcoin Discussion,2017-10-13 14:57:24,alexey8080,Full Member,392,101,,ICON - ICO in 23 hours ...,"    KYC update.  KYC Submission Period: Oct. 23, 2017 13:00 ~ Nov. 13, 2017 13:00 (KST/UTC+9)",False
9,msg23167678,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-10-18 04:56:31,baby222,Hero Member,1008,501,,ICON - ICO in 23 hours ...,"What is now the situation, after KYC when the tokens will be tradeable? Will they be tradeable on ED or they must hit big exchanges because a lot of tokens could go on ed even the project didn't approve?",False
10,msg23168871,https://bitcointalk.org/index.php?topic=2190031.0,msg22962394,3587,Altcoin Discussion,2017-10-18 05:41:07,Honglee,Member,159,10,,ICON - ICO in 23 hours ...,   meaning Start KYC at October 23? thanks my english very poor,False
11,msg23177595,https://bitcointalk.org/index.php?topic=2190031.0,msg23168871,3587,Altcoin Discussion,2017-10-18 09:41:55,DutchFinity,Full Member,588,102,,ICON - ICO in 23 hours ...,  Yes.,False
12,msg23263567,https://bitcointalk.org/index.php?topic=2190031.0,msg21984641,3587,Altcoin Discussion,2017-10-20 03:33:36,verifyas,Member,112,10,,ICON - ICO in 23 hours ...,"   Vitalik: What the heck is a ""foreign"" or ""domestic"" cryptocurrency? Ethereum is based in *at least* ten of them https://twitter.com/VitalikButerin/status/920403113433092102",False
13,msg23333446,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-10-21 19:33:58,LegendX,Member,248,10,,ICON - ICO in 23 hours ...,I can't log into my Icon account. I have tried resetting password but I don't get password reset email sent to me.,False
14,msg23336502,https://bitcointalk.org/index.php?topic=2190031.0,msg23333446,3587,Altcoin Discussion,2017-10-21 21:18:58,DutchFinity,Full Member,588,102,,ICON - ICO in 23 hours ...,  Perhaps it's only accessible again at the 23rd when the KYC procedure starts?,False
15,msg23423208,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-10-23 17:12:20,bob75coin,Hero Member,728,500,,ICON - ICO in 23 hours ...,I complete the KYC procedure a few minutes ago. I have a lot of doubts about  sending the photo without using photoshop. I would like to understand if they can ask more photos if something goes wrong?,False
16,msg23423296,https://bitcointalk.org/index.php?topic=2190031.0,msg23423208,3587,Altcoin Discussion,2017-10-23 17:14:41,zneww,Sr. Member,434,250,,ICON - ICO in 23 hours ...,   I found this on medium:  Q. What happens if I am disqualified in the KYC process?  A. We will be sending an e-mail to each individual with the details and give guidance for the additional information needed.,False
17,msg23424683,https://bitcointalk.org/index.php?topic=2190031.0,msg23423208,3587,Altcoin Discussion,2017-10-23 17:48:35,DutchFinity,Full Member,588,102,,ICON - ICO in 23 hours ...,  They are actually requesting to use Photoshop to cover some data on your passport. It is compulsory. I hope you read it.  You just shouldn't cover your face.,False
18,msg23425560,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-10-23 18:10:03,zlerp,Newbie,24,0,,ICON - ICO in 23 hours ...,Hey ICONs! really excited to see this project get started! got a couple questions if someone could help shed some light on it.  Have these tokens been distributed yet?  Is there a date set for Distribution?  thanks all!,False
19,msg23446014,https://bitcointalk.org/index.php?topic=2190031.0,msg23425560,3587,Altcoin Discussion,2017-10-24 06:45:53,DutchFinity,Full Member,588,102,,ICON - ICO in 23 hours ...,    They have been distributed. But they are locked untill after the KYC procedure.,False
20,msg23497586,https://bitcointalk.org/index.php?topic=2190031.0,msg23446014,3587,Altcoin Discussion,2017-10-25 06:28:56,zlerp,Newbie,24,0,,ICON - ICO in 23 hours ...,"   Ah ok, when is the proposed completion of KYC checks, if you know by any chance?  Thanks!",False
21,msg23537365,https://bitcointalk.org/index.php?topic=2190031.0,msg23424683,3587,Altcoin Discussion,2017-10-25 21:01:59,bob75coin,Hero Member,728,500,,ICON - ICO in 23 hours ...,   The asked us not to use photoshop but only fingers or somethig to hide the unique number on the passport. I did it but I didn't receive any email yet.,False
22,msg23639211,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-10-27 19:17:06,zneww,Sr. Member,434,250,,ICON - ICO in 23 hours ...,"Very important news!  1. ID Editing Policy  Allow usage of Photoshop or other computer programs to hide the unique identification number      Before: Modification with Photoshop or other computer programs NOT ALLOWED     After: Modification with Photoshop, Paint, and other computer programs ALLOWED  ※ In principle, we have requested to cover the unique identification number using paper, “Post-it”, or finger in order to prevent the risk of counterfeit/alteration. However, to reflect the suggestion from the contributors, we have decided that simply erasing the unique identification number with Photoshop or other computer programs will not have a great influence on the validity of the original ID. We will always do our best to accommodate the opinions of ICON contributors within our principles.",False
23,msg23639497,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-10-27 19:25:22,ryanyulinruan,Member,69,10,,ICON - ICO in 23 hours ...,"It looks like it has potential. The whitepaper is detailed, the groups are pretty helpful, and their website and team look legit. It's worth looking into, but personally, I don't really buy into ICOs. I'm happy with my ether as ether",False
24,msg23639737,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-10-27 19:32:19,billyj111,Full Member,322,100,,ICON - ICO in 23 hours ...,Better to wait and buy this coin cheaper several times after entering the stock exchange,False
25,msg23640525,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-10-27 19:56:18,chilly9876,Full Member,247,100,,ICON - ICO in 23 hours ...,I dont think ICON will drop below ICO price. It's got a good product and a team from an existing billion dollar company. Check their parent company Dayli.,False
26,msg23642226,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-10-27 20:48:55,p3ppymon,Sr. Member,686,252,,ICON - ICO in 23 hours ...,"The world is full of scammers and fudders. You must live with it. Nevertheless, there won't be any fun without, will be?  Project seems fine to me although need to research a little deeper.",False
27,msg22073533,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-09-21 14:06:58,slaman29,Sr. Member,952,287,,ICON - ICO in 23 hours ...,"First impressions: impressive looks. Daring to compare themselves to ETH and BANCOR. And... did I just read correctly that the ICO is over? Was this another quickfire ICO sold out in 2 days?  First time I heard of ICON, but it's not surprising since it's so difficult to keep track nowadays. The only thing now is that when I heard of NEO as the Chinese ETH, I dismissed it... and slowly regretted it. If ICON is truly Korea's NEO, I might live to regret it. But would rather miss it then fall for a FOMO trap.",False
28,msg22074238,https://bitcointalk.org/index.php?topic=2190031.0,msg22073202,3587,Altcoin Discussion,2017-09-21 14:26:44,DutchFinity,Full Member,588,102,,ICON - ICO in 23 hours ...,"   First of all; I don't think that the developers come here. At least I have not been spotting them. I did encounter them on Telegram.  Now about your tokens. They have already been sent to your wallet. Did you pay with myetherwallet? I hope you bought your tokens with an ERC20 wallet. Well suppose you used myetherwallet. You need to add the ICX token. For this you click 'Ad Custom Token'. Then you fill in:  address : 0xb5A5F22694352C15B00323844aD545ABb2B11028 symbol : ICX decimals : 18  Now your ICX will show.  At the moment your ICX's however are still locked. To unlock them you need to follow the KYC procedure. That procedure will start on 2 October. If all is well they will email you (I suppose). So untill the 2nd of October we don't need to, and can't, do much with our tokens.  Good that you bought for almost an entire ETH. I had less to spend.  ",False
29,msg22074941,https://bitcointalk.org/index.php?topic=2190031.0,msg22074238,3587,Altcoin Discussion,2017-09-21 14:45:00,YarMiner,Newbie,19,0,,ICON - ICO in 23 hours ...,"   Thank you! I've sent an email and message on Facebook to developers, but nobody answered me, just you.",False
30,msg22075379,https://bitcointalk.org/index.php?topic=2190031.0,msg22073533,3587,Altcoin Discussion,2017-09-21 14:57:15,wurth,Sr. Member,331,250,,ICON - ICO in 23 hours ...,"  Let's wait the time proves this token is good or not if you did not invest your money to it. I also do not spend my money to invest into ICON token, but in my opinion, it will have a big volume after listed on exchange",False
31,msg22077241,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-09-21 15:52:31,concept2,Sr. Member,444,250,,ICON - ICO in 23 hours ...,Nice project. It is quite sad that I have missed it . I can not believe that their ICO has already finished less than 2 days. I should have been working on analyzing ICO instead of going out for my business. I might earn a huge amount of money,False
32,msg22224175,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-09-26 01:51:18,redboss,Member,72,10,,ICON - ICO in 23 hours ...,Very good analysis of ICON: https://hacked.com/ico-analysis-icon-icx/,False
33,msg22224603,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-09-26 02:15:03,yusuf98,Full Member,307,119,,ICON - ICO in 23 hours ...,I just heard about this. Ico is pretty fast. it provides an interesting and new experience for me.,False
34,msg22224837,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-09-26 02:27:33,Suqreme,Newbie,56,0,,ICON - ICO in 23 hours ...,Gonna take a peek at this to see if its worth it.,False
35,msg22224879,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-09-26 02:30:10,cryptocrack,Newbie,9,0,,ICON - ICO in 23 hours ...,"Meh.  Why would they use photoshop to falsify an image at a supposed meeting?  Plus, hard to trust Koreans.  I know from many bad business experiences.",False
36,msg22323866,https://bitcointalk.org/index.php?topic=2190031.0,msg22074238,3587,Altcoin Discussion,2017-09-28 15:05:39,bob75coin,Hero Member,728,500,,ICON - ICO in 23 hours ...,"   The KYC process will NOT start on the originally scheduled date Oct 2, 2017. The updated KYC schedule will be posted on the ICON blog and sent via newsletter.   https://medium.com/helloiconworld/kyc-schedule-update-2835c7253e67",False
37,msg22678464,https://bitcointalk.org/index.php?topic=2190031.0,,3587,Altcoin Discussion,2017-10-07 14:42:03,anu,Legendary,1218,1001,,ICON - ICO in 23 hours ...,"As much as I learned, it was already closed. It's over fast. ico is great success, it is need  to congratulate. Honestly, I did not think that it would end in such a short time.",False
