id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg48283307,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-11-28 01:52:05,ICOnow,Member,317,10,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,Congratulations !!! Extremium ICO listing on ICOnow.net,False
2,msg48392783,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-12-02 12:17:35,toolucky98,Full Member,490,100,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"Do you provide/disclose information about your team member profile ? If so, where can i see it? I also want to know how is the mechanism of your investment program? How can you guarantee the profit?",False
3,msg48393362,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-12-02 12:40:41,mysacrifice,Full Member,364,104,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,I had my lessons learned and I promised myself that I will never ever invest for any project that the team is anonymous. Otherwise project idea is good. But anyway personally I'm not interested in anonymous team projects.,False
4,msg48395460,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-12-02 14:03:51,cokroalif,Member,434,10,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"maybe it would be better if it was transparent about your team, and I am sure to increase sales of tokens",False
5,msg48434265,https://bitcointalk.org/index.php?topic=4880859.0,msg48393362,1753,Announcements (Altcoins),2018-12-04 05:33:14,nugrama,Full Member,560,100,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"  indeed, if you want to join a project or want to invest, you must be more observant and careful in choosing so that later you will not be misled and disappointed. You should know about the team involved too.",False
6,msg48568460,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-12-10 01:41:58,Planton,Full Member,476,100,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"let's learn about this project who knows later that they will be interested in enlivening this project, with a lot of support I think this project will be able to run as expected and be successful. It's also a shame if the project has a good concept but can't develop for the future.",False
7,msg47452790,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-10-31 12:20:48,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,We are happy to announce the Extremium Bounty Campaign.  Details about Bounty Campaign here: https://bitcointalk.org/index.php?topic=5060560,False
8,msg47466823,https://bitcointalk.org/index.php?topic=4880859.0,msg47107673,1753,Announcements (Altcoins),2018-10-31 20:27:05,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   Bounty Campaign started today.,False
9,msg47466874,https://bitcointalk.org/index.php?topic=4880859.0,msg47109858,1753,Announcements (Altcoins),2018-10-31 20:29:18,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"   We strongly believe that we will achieve our soft cap. But if soft cap will not be reached, we will do refund to our investors.",False
10,msg47466933,https://bitcointalk.org/index.php?topic=4880859.0,msg47117224,1753,Announcements (Altcoins),2018-10-31 20:31:38,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   Price will increase during rounds gradually and according to the token sale calendar. You can find details about ICO rounds on the website and white paper.,False
11,msg47481739,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-11-01 10:25:20,mpufatzis,Full Member,686,118,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,Hi! You can read the ANNpage in Greek. Just click the link: https://bitcointalk.org/index.php?topic=5061209.0,False
12,msg47495759,https://bitcointalk.org/index.php?topic=4880859.0,msg47481739,1753,Announcements (Altcoins),2018-11-01 18:26:01,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   Ok. Thank you.,False
13,msg47534065,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-11-03 01:21:56,monchico,Jr. Member,140,4,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"Dear Extremium Project,  Here is the spanish translation: https://bitcointalk.org/index.php?topic=5062395.msg47533859#msg47533859  Please, check it.  (Please, reward me with Merit, then you'll see the img)",False
14,msg47534113,https://bitcointalk.org/index.php?topic=4880859.0,msg47452790,1753,Announcements (Altcoins),2018-11-03 01:26:44,Ashabi,Jr. Member,123,1,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"   oh thanks. I believe in the project, together we build the community.",False
15,msg47609216,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-11-05 11:18:59,dickyram88,Member,294,10,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"Interesting project platform, I think everyone will say the same thing. But now the market conditions are worse than the previous year ...  My question is How (this platform) overcomes the market for investors who invest in crypto or your project so that they will feel comfortable because what they invest can be stable and guaranteed?  Best regards..",False
16,msg47640681,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-11-06 12:14:07,kiemnhieutien,Member,490,17,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,No information about team? I can't find it in your website and in whitepaper. Why is your team anonymous?,False
17,msg47641139,https://bitcointalk.org/index.php?topic=4880859.0,msg47609216,1753,Announcements (Altcoins),2018-11-06 12:30:53,givary,Jr. Member,378,1,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"  I agree that many of them give support for this project to succeed, hopefully with this all teams will work together in a compact and good manner so that it gives satisfactory results for all and the project can run smoothly and successfully. And we think positively that the team will always provide the improved on the trust of investors who have joined.",False
18,msg47659251,https://bitcointalk.org/index.php?topic=4880859.0,msg47640681,1753,Announcements (Altcoins),2018-11-07 02:12:59,critolika,Full Member,448,100,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"  I myself consider this project to be less transparent, if you really want to get a lot of support from the participants, this project should be able to show who the teams are in the project so that the participants will be more confident about this project. hopefully, in the future, there will be improvements.",False
19,msg47709210,https://bitcointalk.org/index.php?topic=4880859.0,msg47534065,1753,Announcements (Altcoins),2018-11-08 16:12:07,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   Ok. Thank you.,False
20,msg47764470,https://bitcointalk.org/index.php?topic=4880859.0,msg47609216,1753,Announcements (Altcoins),2018-11-10 12:41:47,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"   Basically, bad market influences only on ICO's results. The biggest competition for us is to reach the Soft cap. If we will achieve this task, our platform can live, work and progress. One of the most important features of our platform is that it can produce results regardless of the current situation on the cryptocurrency market.",False
21,msg47792320,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-11-11 11:06:19,Gotenks,Jr. Member,203,1,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"Extremium is an investment platform with the main goal is to reduce the risk of investing in cryptocurrency and overcome difficulties both in analysis, trade, and cryptocurrency management, rarely is the ico project that carries the concept like this huh",False
22,msg47852634,https://bitcointalk.org/index.php?topic=4880859.0,msg47452790,1753,Announcements (Altcoins),2018-11-13 06:55:55,Dextroboy,Full Member,658,101,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"   4% of the total token sold? 280,000 EXT? has EXT reached for Hardcap? if not why can you say that the token for the bounty is 280,000 EXT? The bounty also lasts for 3 months",False
23,msg47875505,https://bitcointalk.org/index.php?topic=4880859.0,msg47852484,1753,Announcements (Altcoins),2018-11-13 20:58:18,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   Thanks for the listing!,False
24,msg47875526,https://bitcointalk.org/index.php?topic=4880859.0,msg47792320,1753,Announcements (Altcoins),2018-11-13 20:59:01,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,    There are no competitors in the prediction of cryptocurrency prices by using Self-Organizing Incremental Neural Networks.,False
25,msg47875594,https://bitcointalk.org/index.php?topic=4880859.0,msg47852634,1753,Announcements (Altcoins),2018-11-13 21:01:57,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"   Pre sale just started, so it is too early to talk about hard cap. Also, bounty campaign lasts for 2 months.",False
26,msg47946651,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-11-16 05:10:15,cryptolab111,Newbie,43,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"Hey the going guys and welcome to Cryptolaboratory ICO rating list! Our experts analyzed the ratings of 14 world rating agencies and on its base calculated the weighted average of the project. Your rating is 58.81 of 100. Full information you can see in the description of Extremium (EXT). Just look us, comment on us and follow us on social networks. Thank you for your attention!  |Cryptolaboratory team|",False
27,msg47055949,https://bitcointalk.org/index.php?topic=4880859.0,msg46964999,1753,Announcements (Altcoins),2018-10-19 15:56:35,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   Currently we have collected 200 participants. Perhaps all of them wants to participate in Bounty campaign too.,False
28,msg47057641,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-10-19 16:50:34,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,Important reminder!  Our Airdrop campaign lasts only a few days and more than 200 investors have already participated in it. We remind you that our Airdrop will last until October 21 (this Sunday) and this is the last chance to get Extremium (EXT) tokens for FREE by participating in the program.  Only 3 days left before the end of the Airdrop campaign!,False
29,msg47058900,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-10-19 17:29:51,valmrnk,Newbie,25,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,What is your Monetary Policy? Inflationary? Deflationary? Fixed supply forever or additional tokens to be issued?,False
30,msg47062573,https://bitcointalk.org/index.php?topic=4880859.0,msg47058900,1753,Announcements (Altcoins),2018-10-19 19:44:59,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   Extremium (EXT) is a deflationary token. The value of EXT will increase over time because there are only going to be a finite number of them. Total supply is fixed to 24M tokens.,False
31,msg47063360,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-10-19 20:19:07,juststyle,Newbie,18,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,How many coins will be sold during the ICO?,False
32,msg47073629,https://bitcointalk.org/index.php?topic=4880859.0,msg47063360,1753,Announcements (Altcoins),2018-10-20 07:36:48,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"   Initial Coins Offering: 7,000,000 EXT tokens.",False
33,msg47078796,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-10-20 11:08:45,juststyle,Newbie,18,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,What purpose does the blockchain have in your project?,False
34,msg47080940,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-10-20 12:31:07,valmrnk,Newbie,25,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"What languages will your website, whitepaper, and marketing initiatives be in?",False
35,msg47082761,https://bitcointalk.org/index.php?topic=4880859.0,msg47078796,1753,Announcements (Altcoins),2018-10-20 13:38:29,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"   The Self-Organizing Incremental Neural Network is the best type of neural network, capable of solving the problem of predicting the movement of financial asset exchange rates. Therefore, it is quite logical to apply neural networks to predict the cryptocurrency price.",False
36,msg47082792,https://bitcointalk.org/index.php?topic=4880859.0,msg47080940,1753,Announcements (Altcoins),2018-10-20 13:40:00,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   We will not translate the website and white paper. But our threads will be translated soon.,False
37,msg47106643,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-10-21 08:14:34,extremium,Copper Member,74,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,Reminder!  Today is the last day of the Extremium Airdrop campaign. This is the last chance to get 25 EXT tokens for free. More than 1100 participants joined our platform.  Stay tuned!,False
38,msg47107673,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-10-21 08:49:50,juststyle,Newbie,18,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,Great. You have a good airdrop campaign. I am participating) Will you start a Bounty campaign? I am interested in it.,False
39,msg47107844,https://bitcointalk.org/index.php?topic=4880859.0,msg47107673,1753,Announcements (Altcoins),2018-10-21 08:55:35,valmrnk,Newbie,25,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"   I think they must announce this on telegram. They have a good project, so i think a bounty must have a lot of users too. Just need to wait a little bit)",False
40,msg47108125,https://bitcointalk.org/index.php?topic=4880859.0,msg47107844,1753,Announcements (Altcoins),2018-10-21 09:04:09,juststyle,Newbie,18,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   Yes i agree. I like the idea of investment platform. 20% it is a good investment opportunity. I very like a concept of passive income.,False
41,msg47108692,https://bitcointalk.org/index.php?topic=4880859.0,msg47108125,1753,Announcements (Altcoins),2018-10-21 09:22:28,valmrnk,Newbie,25,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   I have read the whitepaper and neural network description looks very interesting. I am developer and worked with neural networks and know how useful they can be. Thats why i want to invest in this project. I think that combining of cryptocurrency and neural networks it is a powerful concept.,False
42,msg47109091,https://bitcointalk.org/index.php?topic=4880859.0,msg47108692,1753,Announcements (Altcoins),2018-10-21 09:35:00,juststyle,Newbie,18,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"   Also, looks like that price in a presale is $0.5 and the price of last round is $2.00. So i can earn a minimum 4x to the end of ICO (in a month).",False
43,msg47109858,https://bitcointalk.org/index.php?topic=4880859.0,msg47109091,1753,Announcements (Altcoins),2018-10-21 09:58:19,LegendaryMemberArt,Member,406,10,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"  It sounds good, of course, but this is provided that the ICO will take place .  And what will happen if you do not collect the necessary amount ? is there a refund to investors in this case? Thanks.",False
44,msg47117224,https://bitcointalk.org/index.php?topic=4880859.0,msg47109858,1753,Announcements (Altcoins),2018-10-21 13:31:56,valmrnk,Newbie,25,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   Good question. And another question is: will the price grow during token sale rounds if in some round not all tokens will be sold?,False
45,msg47117932,https://bitcointalk.org/index.php?topic=4880859.0,msg47109858,1753,Announcements (Altcoins),2018-10-21 13:49:23,juststyle,Newbie,18,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   +1 for the question,False
46,msg47450466,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-10-31 10:48:55,hbcenk,Member,462,10,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"Where is you team?  Website, whitepaper, ANN thread do not include team section???",False
47,msg46959350,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-10-16 19:00:13,ParRus,Full Member,490,104,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"Team already knows at which exchanges this super-bot will be trade? This will be high volume exchanges or low? The idea is wonderful, I've seen it before - similar bots already exist at exchanges with low volumes - IDEX for example. They will not interfere with each other?",False
48,msg46960645,https://bitcointalk.org/index.php?topic=4880859.0,,1753,Announcements (Altcoins),2018-10-16 19:46:37,bitcoin-shark,Hero Member,1218,515,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,in addition to the excellent airdrop there will also be bounty campaigns as i read on the first page of the thread?i will follow all the communication channels to get more information...,False
49,msg46963905,https://bitcointalk.org/index.php?topic=4880859.0,msg46948770,1753,Announcements (Altcoins),2018-10-16 22:13:39,LastHiT,Member,350,10,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,"   Yeah, I guess it could be ideal if they could publish the profiles of the core team especially the lead developer who will implement neural network on the platform.",False
50,msg46964999,https://bitcointalk.org/index.php?topic=4880859.0,msg46955198,1753,Announcements (Altcoins),2018-10-16 23:21:00,Token Williams,Newbie,310,0,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   What's the current number?,False
51,msg46965080,https://bitcointalk.org/index.php?topic=4880859.0,msg46963905,1753,Announcements (Altcoins),2018-10-16 23:26:02,PS92,Full Member,644,101,,🔥🔥🔥[ANN][PRE-SALE]EXTREMIUM - Global Investment Platform Based on Neural Network,   To create trust you need to show faces and LinkedIn pages,False
