id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg39285433,https://bitcointalk.org/index.php?topic=2758561.0,msg38075208,3243,Announcements (Altcoins),2018-06-03 14:13:58,deepblue01,Full Member,406,115,,[ANN][ICO] GRON Digital - Gambling & Betting On the Blockchain,  and then.... it's gone now. no more buy order. i check on their telegram chat. seem like admin or team developers is no longer reply any chat. no news at all from them. i think some investor already realize that. this is scam project and then dumped everything they got,False
2,msg39564639,https://bitcointalk.org/index.php?topic=2758561.0,msg39285433,3243,Announcements (Altcoins),2018-06-07 09:12:52,V1saya,Hero Member,938,507,,[ANN][ICO] GRON Digital - Gambling & Betting On the Blockchain,    Anybody checked all their social media and emails? In telegram and twitter there are no words already. So this is why there is a need on icos to be regulated. The project may look very good and its plans but the team are nothing but garbage who can't do the walk. ,False
3,msg39723120,https://bitcointalk.org/index.php?topic=2758561.0,msg39590715,3243,Announcements (Altcoins),2018-06-09 13:52:07,deepblue01,Full Member,406,115,,[ANN][ICO] GRON Digital - Gambling & Betting On the Blockchain,   this is for ann altcoin. no promotion here man. you can be banned if you break the rule.,False
4,msg39724652,https://bitcointalk.org/index.php?topic=2758561.0,,3243,Announcements (Altcoins),2018-06-09 14:16:49,mikey_kn,Newbie,23,0,,[ANN][ICO] GRON Digital - Gambling & Betting On the Blockchain,"Hello! Impressed with the project! Btw, thought that you will reach hardcap faster, because idea is pretty great. Although, I have one question - will there be any lock-up period for tokens, please?",False
5,msg39726367,https://bitcointalk.org/index.php?topic=2758561.0,msg39723120,3243,Announcements (Altcoins),2018-06-09 14:44:21,TechComputer,Member,476,10,,[ANN][ICO] GRON Digital - Gambling & Betting On the Blockchain,  Yes definitely but you were breaking the rule by making a line break on each sentence.,False
6,msg43631348,https://bitcointalk.org/index.php?topic=2758561.0,,3243,Announcements (Altcoins),2018-08-07 07:27:56,Accountsell,Full Member,209,100,,[ANN][ICO] GRON Digital - Gambling & Betting On the Blockchain,The people behind this scam ICO,False
7,msg48798519,https://bitcointalk.org/index.php?topic=2758561.0,,3243,Announcements (Altcoins),2018-12-21 10:08:45,jaksone,Sr. Member,686,250,,[ANN][ICO] GRON Digital - Gambling & Betting On the Blockchain,Keep continuing the GronDigital project after all this time the sale of tokens took place ... how about this token holder ... please give a link for the exchange of this token,False
8,msg35544683,https://bitcointalk.org/index.php?topic=2758561.0,,3243,Announcements (Altcoins),2018-04-25 10:37:47,Varsity_Blues,Member,198,10,,[ANN][ICO] GRON Digital - Gambling & Betting On the Blockchain,"I have been following the project for a long time, and I have to say that this project has revolutionary concept and great team to make it real ",False
9,msg35544850,https://bitcointalk.org/index.php?topic=2758561.0,,3243,Announcements (Altcoins),2018-04-25 10:40:23,Buzalas,Jr. Member,157,1,,[ANN][ICO] GRON Digital - Gambling & Betting On the Blockchain,"Hmmn it's took me for a while to do some research about this project. I'll keep an eye on it for developments and updates. The team doing a very good job, keep it up",False
10,msg35545281,https://bitcointalk.org/index.php?topic=2758561.0,,3243,Announcements (Altcoins),2018-04-25 10:47:24,Nihao_June,Newbie,44,0,,[ANN][ICO] GRON Digital - Gambling & Betting On the Blockchain,How many tokens are already sold at the moment? ,False
