id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44826523,https://bitcointalk.org/index.php?topic=3329843.0,,19228,Marketplace (Altcoins),2018-08-28 13:47:03,rinyuh,Newbie,67,0,,[BOUNTY] 🏎️ AUTOBAY 🏎️ First Decentralized E-commerce platform Buy Sell Cars.,facebook profile link : https://web.facebook.com/rinyuh.indra friends :1224  week #1  Auto buy Reposts & Likes 1.https://web.facebook.com/rinyuh.indra/posts/2157645994249830 2.https://web.facebook.com/rinyuh.indra/posts/2161989470482149 3.https://web.facebook.com/rinyuh.indra/posts/2166133836734379 4.https://web.facebook.com/rinyuh.indra/posts/2172399709441125 5.https://web.facebook.com/rinyuh.indra/posts/2186886664659096 6.https://web.facebook.com/rinyuh.indra/posts/2194109603936802 7.https://web.facebook.com/rinyuh.indra/posts/22017801265030838.https://web.facebook.com/rinyuh.indra/posts/2210201738994255,False
2,msg44860026,https://bitcointalk.org/index.php?topic=3329843.0,,19228,Marketplace (Altcoins),2018-08-29 06:36:01,rinyuh,Newbie,67,0,,[BOUNTY] 🏎️ AUTOBAY 🏎️ First Decentralized E-commerce platform Buy Sell Cars.,facebook profile link : https://web.facebook.com/rinyuh.indra friends :1224  week #1  Auto buy Reposts & Likes 1.https://web.facebook.com/rinyuh.indra/posts/2157645994249830  2.https://web.facebook.com/rinyuh.indra/posts/2161989470482149  3.https://web.facebook.com/rinyuh.indra/posts/2166133836734379  4.https://web.facebook.com/rinyuh.indra/posts/2172399709441125  5.https://web.facebook.com/rinyuh.indra/posts/2186886664659096  6.https://web.facebook.com/rinyuh.indra/posts/2194109603936802  7.https://web.facebook.com/rinyuh.indra/posts/2201780126503083 8.https://web.facebook.com/rinyuh.indra/posts/2210201738994255  #Week2 29/08 1.https://web.facebook.com/rinyuh.indra/posts/2217227518291677,False
3,msg45100912,https://bitcointalk.org/index.php?topic=3329843.0,,19228,Marketplace (Altcoins),2018-09-02 19:57:12,Inpocke2,Newbie,54,0,,[BOUNTY] 🏎️ AUTOBAY 🏎️ First Decentralized E-commerce platform Buy Sell Cars.,WEEK : (27.08.18-02.09.18) Facebook Campaig Bitcointalk Username: Inpocke2 BitcoinTalk Profile Link: https://bitcointalk.org/index.php?action=profile;u=2286149  Facebook account: https://www.facebook.com/ivan.pock.79 Number of Friend: 1722 Likes+Shares: 1. https://www.facebook.com/ivan.pock.79/posts/160427518169427    2. https://www.facebook.com/ivan.pock.79/posts/160723931473119    3. https://www.facebook.com/ivan.pock.79/posts/161038381441674    4. https://www.facebook.com/ivan.pock.79/posts/161321964746649    5. https://www.facebook.com/ivan.pock.79/posts/162038178008361     WEEK #:  (27.08.18-02.09.18) Twitter Campaig Bitcointalk Username: Inpocke2 BitcoinTalk Profile Link: https://bitcointalk.org/index.php?action=profile;u=2286149  Twitter account: https://twitter.com/Ivan82454665 Twitter username: @Ivan82454665 Twitter Followers: 1807       Retweets+likes: 1. https://twitter.com/Autobayio/status/1032315049300373505    2. https://twitter.com/Autobayio/status/1034216374569197568    3. https://twitter.com/Autobayio/status/1030778100504821760    4. https://twitter.com/Autobayio/status/1029009078754963456    5. https://twitter.com/Autobayio/status/1035885975120031744   ,False
4,msg45581543,https://bitcointalk.org/index.php?topic=3329843.0,,19228,Marketplace (Altcoins),2018-09-12 13:13:37,mayshella99,Newbie,30,0,,[BOUNTY] 🏎️ AUTOBAY 🏎️ First Decentralized E-commerce platform Buy Sell Cars.,Article/Blog Campaign  Bitcointalk Username  : mayshella99 My email adress : mayshellaazzahra.99@gmail.com Bitcointalk Profile Link : https://bitcointalk.org/index.php?action=profile;u=1990241;sa=forumProfile Ethereum Address      : 0x2BCEE6fda3e0Fe0A60E4785Ea5452660DeEb91F7 Blog Link : http://meyshellaazzahra.blogspot.com/2018/06/autobay-is-first-ecommerce-platform.html,False
5,msg45774794,https://bitcointalk.org/index.php?topic=3329843.0,,19228,Marketplace (Altcoins),2018-09-16 13:00:23,IntraSynapse146,Newbie,8,0,,[BOUNTY] 🏎️ AUTOBAY 🏎️ First Decentralized E-commerce platform Buy Sell Cars.,####### Proof of Authenticate joining#####             Facebook Campaign             TELEGRAM Campaign             Twiter Campaign,False
6,msg46202688,https://bitcointalk.org/index.php?topic=3329843.0,,19228,Marketplace (Altcoins),2018-09-26 19:15:42,charingane01,Jr. Member,210,5,,[BOUNTY] 🏎️ AUTOBAY 🏎️ First Decentralized E-commerce platform Buy Sell Cars.,Username : charingane01 Language : ARABIC Experience/previous translations links :  GRIF   : https://bitcointalk.org/index.php?topic=5034721 Labescoin  : https://bitcointalk.org/index.php?topic=5035334 REGULUS    :  https://bitcointalk.org/index.php?topic=5035631 Aircraft : https://bitcointalk.org/index.php?topic=5029100 snode : https://bitcointalk.org/index.php?topic=5026680,False
7,msg46452221,https://bitcointalk.org/index.php?topic=3329843.0,,19228,Marketplace (Altcoins),2018-10-03 06:52:38,rima valen,Full Member,564,100,,[BOUNTY] 🏎️ AUTOBAY 🏎️ First Decentralized E-commerce platform Buy Sell Cars.,Join Bounty Campaign Week # 1 Date : 03/10/2018 Bitcointalk profil link : https://bitcointalk.org/index.php?action=profile;u=1039568 twitter profil link : https://twitter.com/andienow09 twitter Name : @andienow09  Like & retweet: https://twitter.com/Autobayio/status/1046409233120604162 https://twitter.com/Autobayio/status/1046071667762647042 https://twitter.com/Autobayio/status/1046764369445556225  Tweett : https://twitter.com/andienow09/status/1047376677725040640 https://twitter.com/andienow09/status/1047376284337102848  Week # 1 Date : 03/10/2018 Facebook Profil Link : https://www.facebook.com/ghofur.sytend Facebook Name : Ghofur Sytend  Like & Repost : https://www.facebook.com/ghofur.sytend/posts/1942673599149584?__xts__%5B0%5D=68.ARB4crSs6XNISOlserRPgiZjAjzBPe-brJrzOHCIZDTCbjy42H8xOkKQtbU-jZRrc3IUkXtwtgTfsSpEFw046v-gAko8CkrWqMMV9v_X91BAjsaOYBiv-JdZr8_pzUvQAWbucc7Q4OEaOSand2cFmBTQ3LlVDeWYdtDa2sEZPq6ezizfSasKtQ&__tn__=-R  https://www.facebook.com/ghofur.sytend/posts/1942673462482931?__xts__%5B0%5D=68.ARAUB-d5Homn7X3zVFBFuweW-EZT4DWOxQi1TkpyRZyA1unMT8azbDzNxY5Ip1Smin9HEZ-bjeSypbW96BEo7dNj3KT8qnJ9ZWQQgbo1HgaWs-HkLgdexHNl0FQF-TvhdJGW3nu8UWQ8NCWV0tHYTuBMQ5fKKABfuqO2GB-b5v-IODE2aIk7MA&__tn__=-R  https://www.facebook.com/ghofur.sytend/posts/1943636509053293?__xts__%5B0%5D=68.ARAyJuZDaTAwSpg_LhlwH2hLft-8EyK74g7mpYIidBAwl1dgaHu4bGce2I9XjrtgWecvLiKfyNho0QoU-IeIscLq1JN_915wg-f55s34Ms_1cZRPLC1gVYG_2K6jIE-LjifWItCIQ38548fr-B1ScvaVShPm-ofuZnjLfRNoYgfIfYSjFvMB7A&__tn__=-R  Post : https://www.facebook.com/ghofur.sytend/posts/1943630462387231 https://www.facebook.com/ghofur.sytend/posts/1943629312387346,False
8,msg46544346,https://bitcointalk.org/index.php?topic=3329843.0,msg46302404,19228,Marketplace (Altcoins),2018-10-05 15:43:16,Deharvise,Jr. Member,294,1,,[BOUNTY] 🏎️ AUTOBAY 🏎️ First Decentralized E-commerce platform Buy Sell Cars.,     WEEK #:  (01.10-07.10) Facebook Campaig Bitcointalk Username: Deharvise BitcoinTalk Profile Link: https://bitcointalk.org/index.php?action=profile;u=2185749 Spreadsheet #: 697 Facebook account:  https://www.facebook.com/mariecoxsmith Number of Friend: 5000 Likes+Shares: 1. https://www.facebook.com/mariecoxsmith/posts/277229276462765 2. https://www.facebook.com/mariecoxsmith/posts/277821083070251 3. https://www.facebook.com/mariecoxsmith/posts/278215536364139 4. https://www.facebook.com/mariecoxsmith/posts/278841929634833 5. https://www.facebook.com/mariecoxsmith/posts/279496629569363  Twitter Campaig Bitcointalk Username: Deharvise BitcoinTalk Profile Link: https://twitter.com/TzE0fxDWYGgGFVN Spreadsheet #: 769 Twitter account: https://twitter.com/panovansg Twitter username: @Deharvisegirl Twitter Followers: 3740    Retweets+likes: 1. https://twitter.com/Autobayio/status/1046764369445556225 2. https://twitter.com/Autobayio/status/1046409233120604162 3. https://twitter.com/Autobayio/status/1046071667762647042 4. https://twitter.com/Autobayio/status/1043989989489606656 5. https://twitter.com/Autobayio/status/1043605394785009665,False
9,msg46709144,https://bitcointalk.org/index.php?topic=3329843.0,msg46452221,19228,Marketplace (Altcoins),2018-10-10 06:37:09,rima valen,Full Member,564,100,,[BOUNTY] 🏎️ AUTOBAY 🏎️ First Decentralized E-commerce platform Buy Sell Cars.,   Join Bounty Campaign Week # 2 Date : 10/10/2018 Bitcointalk profil link : https://bitcointalk.org/index.php?action=profile;u=1039568 twitter profil link : https://twitter.com/andienow09 twitter Name : @andienow09  like & retweet : https://twitter.com/Autobayio/status/1049787971988324353 https://twitter.com/Autobayio/status/1044350802893185024 https://twitter.com/Autobayio/status/1044238618150273025 https://twitter.com/Autobayio/status/1043989989489606656  tweet : https://twitter.com/andienow09/status/1049910716663324673 https://twitter.com/andienow09/status/1049910716663324673   Week # 2 Date : 10/10/2018 Facebook Profil Link : https://www.facebook.com/ghofur.sytend Facebook Name : Ghofur Sytend  Like & repost : https://www.facebook.com/ghofur.sytend/posts/1952576361492641?__xts__%5B0%5D=68.ARDuFCFjiEE_IDxaWsdXC2e7clbLZXHgbJ09qeH1qshNkpyqr_XdsixbUeaTBapq62-5SuJfkANnfOhvA4rmeaRswBVDAn6y4bWYdcxjuTvz-cnKX4B1DXQiFf9r3umkbYWl6a7sIjK18V6KpAXPqPZk3rreQRlK97WOo-hzq9O9_v0XMtR4Ig&__tn__=-R  https://www.facebook.com/ghofur.sytend/posts/1952576251492652?__xts__%5B0%5D=68.ARBPKnPb1MWc_azcIWVmzsFR14aDSw61tYSnNFbFtOM2U0_J6T18FCoQN9K6b-TgFstAWC43GyE2yk9xAzksJIRf8yYg5dqmTyCxPzPcnRP7FYwzc7sQfwzespHQgIFep2Fex0VrwVEFdpiRgplVqPLw_QZ0BcQHTp_qGy8ZBZoIquMDJ71DtQ&__tn__=-R  https://www.facebook.com/ghofur.sytend/posts/1952575651492712?__xts__%5B0%5D=68.ARBKnFCUnGiYRdTC4xYolcbrvv5rTHAX1Na3232wB4qTDJDA90hc2-dYuQqS2kYz0YhTEu4HGdWj0wQiCGrxVf_kw5bBUSZCKNCiJALWzPDEQxNc2B1a-Djuk2Ob1-C2y824g6EfaLL5uyZpr7leoX36fvo0r9nFsff9YuiFTQ5eRrwjj0uonw&__tn__=-R  post : https://www.facebook.com/ghofur.sytend/posts/1952578161492461 https://www.facebook.com/ghofur.sytend/posts/1952580024825608,False
10,msg47031488,https://bitcointalk.org/index.php?topic=3329843.0,,19228,Marketplace (Altcoins),2018-10-18 20:46:03,Koal-84,Sr. Member,770,297,,[BOUNTY] 🏎️ AUTOBAY 🏎️ First Decentralized E-commerce platform Buy Sell Cars.,The Bounty program already live vor it's over? When !ive how long runs the bounty campaigne?,False
