id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg25096017,https://bitcointalk.org/index.php?topic=2450934.0,,1097,Announcements (Altcoins),2017-11-23 18:42:13,Lytictail,Newbie,6,0,,Lytictail,Lytictail  Website: lytictail.io   Whitepaper:https://drive.google.com/file/d/1dep2pCBZjtvMkCnK28pED1y9mxcKItcS/view?usp=sharing  https://i.imgur.com/Brcl2d2.jpg,False
2,msg25096173,https://bitcointalk.org/index.php?topic=2450934.0,,1097,Announcements (Altcoins),2017-11-23 18:45:56,Tamer34,Newbie,44,0,,Lytictail,"Hello !! Any airdrop,?",False
3,msg25096351,https://bitcointalk.org/index.php?topic=2450934.0,,1097,Announcements (Altcoins),2017-11-23 18:49:59,cryptomen101,Full Member,155,100,,Lytictail,first one in the block chain history to serve the purpose of charity on blok chain,False
4,msg25096809,https://bitcointalk.org/index.php?topic=2450934.0,,1097,Announcements (Altcoins),2017-11-23 19:00:16,portgas313,Full Member,392,102,,Lytictail,"hello sir, reserve translate whitepaper to indonesian language. https://forumbitcoin.co.id/threads/ico-airdrop-windcoin-desentralisasi-wind-1-6-airdrop-4-november-masih-ada-5-fase-airdrop.38445/",False
5,msg25096954,https://bitcointalk.org/index.php?topic=2450934.0,msg25096173,1097,Announcements (Altcoins),2017-11-23 19:03:27,Lytictail,Newbie,6,0,,Lytictail,   Airdrop is going to be included in FOUNDATION allocation. We are still looking to finalize our team.,False
6,msg25101087,https://bitcointalk.org/index.php?topic=2450934.0,,1097,Announcements (Altcoins),2017-11-23 20:41:59,Lytictail,Newbie,6,0,,Lytictail,The following top level domains have been reserved: lytictail.com lytictail.co lytictail.info lytictail.net lytictail.org lytictail.io  The following Country Specific Tld's have been acquired for nationality specific/ language specific versions of the site: lytictail.co.za lytictail.uk lytictail.ae lytictail.cn lytictail.com.au lytictail.jp lytictail.kr lytictail.ru  More sites will most likely be added in the future for further global reach. Anyone wanting to help develop a country specific tld please enquire at domains@lytictail.org.  THANKS!                                        ,False
7,msg25114006,https://bitcointalk.org/index.php?topic=2450934.0,,1097,Announcements (Altcoins),2017-11-24 03:23:03,kamiyama,Sr. Member,742,251,,Lytictail,How many people do you work with? What kinds of systems and positions are there? total supply?,False
8,msg25114906,https://bitcointalk.org/index.php?topic=2450934.0,msg25101087,1097,Announcements (Altcoins),2017-11-24 03:51:20,cryptofirm,Sr. Member,756,250,,Lytictail,"   seems serious project, because all of domains with lytictail already reserved,, but, the Fundraising will starts on March 1, 2018 at 7:00pm  thats too long i think,,",False
9,msg25116571,https://bitcointalk.org/index.php?topic=2450934.0,,1097,Announcements (Altcoins),2017-11-24 04:45:33,ranoby,Full Member,322,102,,Lytictail,Interesting project. I'll reserve it for updates. Hope it will be next big Internet of things player like Iota and WTC. Good luck dev,False
10,msg25121295,https://bitcointalk.org/index.php?topic=2450934.0,msg25114006,1097,Announcements (Altcoins),2017-11-24 07:06:14,Lytictail,Newbie,6,0,,Lytictail,   Will post WhitePaper V.2 soon! Totally forgot to include simple stats on Lytictail! Expect tomorrow.,False
11,msg25171212,https://bitcointalk.org/index.php?topic=2450934.0,msg25114006,1097,Announcements (Altcoins),2017-11-25 01:59:16,Lytictail,Newbie,6,0,,Lytictail,   WhitePaper V1.1 Out now. Token stats available.,False
12,msg25171890,https://bitcointalk.org/index.php?topic=2450934.0,,1097,Announcements (Altcoins),2017-11-25 02:25:46,Nick Abimanyu,Member,406,19,,Lytictail,"Hope this is Concrete Project Milestones. A successful project has solid goals in place that brings value to the business progress. I hope, you know exactly what you should be aiming for and what you need to do to achieve those results. ""Lytictail Good Luck"".",False
13,msg26452672,https://bitcointalk.org/index.php?topic=2450934.0,,1097,Announcements (Altcoins),2017-12-16 20:39:16,IgorShumilo,Full Member,518,105,,Lytictail,Good afternoon! Please tell me where you can read the information about the team of your project?,False
14,msg27128311,https://bitcointalk.org/index.php?topic=2450934.0,msg26452672,1097,Announcements (Altcoins),2017-12-29 00:18:43,dbredden,Newbie,3,0,,Lytictail,"   Don't spend a dime of your hard earned money on this trash token. Its tax manipulation to the core and also has no dev team, no advisors, no marketers, and one shitty leader, Joshua Dunn. He has no dev experience besides filling in text blocks on a WordPress theme lol. My conscience can't let people put their hard earned money into a shitty company miraged to be a quality project. Hard pass on this one. Just my two cents along with some inside information.",False
