id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg46736358,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-10-10 20:17:14,Krezz2017,Full Member,560,128,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"An African coin is cool, but I would like to ask a question. And what material wealth of Africa will this coin be provided with? Everyone knows that Africa is the richest continent in natural resources.",False
2,msg46808985,https://bitcointalk.org/index.php?topic=3347988.0,msg46735763,426,Announcements (Altcoins),2018-10-12 19:32:51,zcnox,Copper Member,12,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"  Thank you for your reply, ICO already ended. The team only have 5% which will be locked for 6months. Token will be available on Crex24 exchange on the 29th of October 2019. We will list on one or two more exchange before then.",False
3,msg46823103,https://bitcointalk.org/index.php?topic=3347988.0,msg46736358,426,Announcements (Altcoins),2018-10-13 07:44:30,zcnox,Copper Member,12,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,  Well said,False
4,msg47378188,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-10-29 02:10:57,zcnox,Copper Member,12,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,TRADING COMMENCES ON EXCHANGE BUY ZCNOX COIN ON CREX24 https://crex24.com/exchange/ZCNOX-BTC,False
5,msg47394909,https://bitcointalk.org/index.php?topic=3347988.0,msg47388281,426,Announcements (Altcoins),2018-10-29 14:57:54,zcnox,Copper Member,12,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,  Coin will be listed on Coinmarketcap soon. Thanks,False
6,msg47404034,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-10-29 20:40:10,GoGone,Member,532,10,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"Just a tiny piece of advice, change the people in your ANN into multicultural ones. That would enforce the image of the crypto world solving world problems, together as one. Don't you agree?  It was just the first thing that came to my mind when i saw your ANN.",False
7,msg47608704,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-11-05 10:57:14,zcnox,Copper Member,12,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"Buy Up To 5000 Zcnox Coin And Become A Shareholder We share 70% of our profits among the shareholders. You earn up to 15%-35% of your investment monthly for one year. The return will be paid in your preferred currency (NGN, USD, BTC or ETH).  https://zcnox.online/wallet/shareholder",False
8,msg35043661,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-04-18 23:43:05,zcnox,Copper Member,12,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"Zcnox is a platform designed to enable anyone create ecommerce store without coding experience. It also enable sellers to sell to potential buyers accross African and accept Crytocurencies or ZCNOX Coin without any intermediary, border or centralised fees.  Our Aim is to bridge the gap between buyers and sellers all over Africa in other to create our own ecosystem that will solve problems of ecommerce in Africa and also take ecommerce to the next level.  USES OF ZCNOX Coin 1. Pay for goods on Zcnox Marketplace 2. Pay for ecommerce store subscription and delivery service. 3. Exchange to fiat currency (Dollar, Naira, cedis..etc) 4. Exchange to Bitcoin or Ethereum 5. Trade ZCNOX Coin for profit 6. Sell Tokens to buyers and sellers on Zcnox Marketplace 7. Integrate ZcnoxPay on any platform and accept ZNC Token on the platform  Total Supply: 20,000,000 ZCNOX Coin Team: 2,000,000 ZCNOX Coin Lock till platform launched Crowdsale: 14,000,000 ZCNOX Coin Bounty: 1,000,000 ZCNOX Coin Company: 3,000,0000 ZCNOX Coin Lock till platform launched     Website: https://zcnox.com Web Wallet: https://zcnox.online/wallet Marketplace Test Demo: https://ads.zcnox.com   Ecommerce Software Builder Demo: https://zcnox.com/get-store White Paper: https://crowdsale.zcnox.com/white-paper.pdf    Twitter Pge: https://twitter.com/TokenZnx Telegram Group: https://t.me/joinchat/HpqTfxKA3UYV4aZOequIUQ",False
9,msg35150390,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-04-20 08:32:55,sarabic23,Newbie,18,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,I would like to share the project with another investors. anyone show me how to do it in the right direction?,False
10,msg35167272,https://bitcointalk.org/index.php?topic=3347988.0,msg35150390,426,Announcements (Altcoins),2018-04-20 12:55:35,RickyCardero,Full Member,361,100,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"  if you say about any referral link, you must to wait bounty program. in this topic they wrote about this one. but i would like to know where team want to start it?",False
11,msg35207551,https://bitcointalk.org/index.php?topic=3347988.0,msg35167272,426,Announcements (Altcoins),2018-04-21 01:33:25,zcnox,Copper Member,12,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,   Our bounty campaign will start by next week. We will keep you update.,False
12,msg35979754,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-04-30 19:11:43,cashonly,Member,448,10,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,Hello. Tell me please what is the softcap and hardcap? I didn't find this information in spreadsheet.,False
13,msg35984313,https://bitcointalk.org/index.php?topic=3347988.0,msg35979754,426,Announcements (Altcoins),2018-04-30 20:23:38,zcnox,Copper Member,12,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"  Soft Cap : $1,000,000 Hard Cap : $2,000,000",False
14,msg35987128,https://bitcointalk.org/index.php?topic=3347988.0,msg35150390,426,Announcements (Altcoins),2018-04-30 21:18:30,zcnox,Copper Member,12,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,  You can share our links and get free token. See Our Official Bounty Thread Here https://bitcointalk.org/index.php?topic=3455500.0,False
15,msg36784184,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-05-09 14:31:57,zcnox,Copper Member,12,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,Congtulation to the team and community. ZNC token was scored 8.0/10 on foundico.com. Share ICO with your family and friends https://foundico.com/ico/znc-token.html  Buy token now @ $0.04 https://crowdsale.zcnox.com,False
16,msg38164395,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-05-22 13:12:02,mitchconnor1,Newbie,28,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,hard cap correct !  excited to see ZNC card and the roadmap 2020 !   ,False
17,msg38789928,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-05-28 14:33:36,rafiq17,Newbie,341,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"interesting projects, blockchain technology that drives the world of crypto into something interesting, I hope this project and the services offered get good value in the eyes of investors, so that this project can develop according to the initial goal",False
18,msg38791346,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-05-28 14:50:36,magentarendro11,Newbie,154,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"the project with a good concept no doubt, especially in Africa is still somewhat few people who jump in the field of blockchain, I think this will have great benefits in Africa",False
19,msg38796429,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-05-28 15:55:54,Duelyst,Member,490,15,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,FILIPINO ANN:  https://bitcointalk.org/index.php?topic=4327614.0,False
20,msg39103725,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-06-01 02:58:52,nurysan,Newbie,154,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"the team in this project looks very solid the concept provided also interesting I am sure this project will be able to attract many investors, and this project will be able to run smoothly and success in the future.",False
21,msg39104824,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-06-01 03:35:32,filisia,Newbie,251,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"with a great team in this project will be able to achieve its success, and they will always do the best for this project until successful later.",False
22,msg39611616,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-06-07 23:14:18,namistyk,Sr. Member,532,251,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"I agree, the success of the project depends on the commander. I want everything to work out and their plans have come true! We will look at the course of events and help advertise. ",False
23,msg39611836,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-06-07 23:20:18,yuria3,Newbie,364,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,I see more projects now for africa. Happy to know that they are getting some attention now.,False
24,msg39612064,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-06-07 23:26:39,BTC-BTC-BTC,Legendary,1498,1001,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,Very interesting project and good luck with it.,False
25,msg42834961,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-07-25 08:26:21,Duelyst,Member,490,15,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,I know that this ICO was already ended last week.  When do you plan to distribute bounty rewards and into Exchange?  Thanks!!,False
26,msg46735189,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-10-10 19:37:48,zcnox,Copper Member,12,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,ATTENTION!!! Zcnox now listed on Crex24 exchange. You can trade zcnox for bitcoin. :point_down: https://crex24.com/exchange/ZCNOX-BTC  Trading to commence on exchange on the 29th/oct/2019,False
27,msg46735763,https://bitcointalk.org/index.php?topic=3347988.0,,426,Announcements (Altcoins),2018-10-10 19:56:19,new_crypto_world,Newbie,50,0,,[ANN] ZCNOX COIN | THE SOLUTION TO ECOMMERCE IN AFRICA,"hello it seems a good project and can solve some real problems around Africa soft cap and hard cap seem to low, which can mean the team is not aiming to be a scam. i have some questions and a worry Q: is there any bounty? can anyone join the ICO? payment method? W: the team and company will have really a lot of tokens, almost 25% of all",False
