id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg27954670,https://bitcointalk.org/index.php?topic=2731635.0,,480,Announcements (Altcoins),2018-01-12 04:55:01,fenix-coin,Newbie,1,0,,[FNX] Fenix-Coin,"Fenix-coin  FENIX-COIN (FNX) is a digital currency that enables instant payments to anyone in the world. FENIX-COIN is an open source, global payment network that is fully decentralized without any central authorities. It is based on Blockchain Technology, but it has a two tier network that improves it.   FENIX-COIN is a modern alternative using a Scrypt encryption that is not dependent on the current  banking system and has its own value. There are 1.0 billion of FENIX-COIN available for user. Over 100 000 people are going to use this type of digital cash and most of them reside in Asia. Then, we are working to expand FENIX-COIN to worldwide users and do more research on how to increase our maximum block size in order to avoid future issues like hard forking of Hashing Algorithm.  - Website: www.fenix-coin.com - Whitepape: http://www.fenix-coin.com/Uploads/files/FenixCoin_WhitePaper.pdf  Why FNX coin?  FNX Coin opens up new horizons of opportunities that have not been provided before by any payment system. Technological innovations of FNX Coin deliver improved scalability, manufacturability and transparency as well as your privacy and security.  SPECIFICATIONS  •   Coin Type: Pure PoW •   Name: Fenix-Coin •   Coin Abbreviation: FNX •   Hashing Algorithm: Scrypt •   Difficulty Retargetting •   Algorithm: Dark Gravity Wave •   Time Between Blocks (in seconds): 600 •   Block Reward Type: Simple (recommended) •   Block Reward: 50 •   Block Reward Halving Rate: 6,000,000 •   Premine Amount: 400,000,000 •   Total Coins: 1,000,000,000 •   Maximum Block,  Size: 1 MB  Roadmap  http://www.fenix-coin.com/Images/roadmap1.jpg?636513544120464000  Our Program  FENIX-COIN MINING   Under the mining program, we can follow the 3 steps below to earn interest:   •   Step 1: You can mine FENIX-COIN with CPU/GPU •   Step 2: For mining FENIX-COIN, download miner •   Step 3: Start mining FENIX-COIN  FENIX-COIN TRADING  •   Step 1: Deposit BTC or ETH •   Step 2: Buying FENIX-COIN •   Step 3: Trading, buying and selling FENIX-COIN Price fluctuation makes it possible for you to earn profit when trading, buying at low price and selling at better price  FENIX-COIN STAKING   Follow 3 steps instructed below:   •   Step 1: Deposit BTC or ETH in FENIX-COIN in [web] •   Step 2: Buy FENIX-COIN on FENIX-COIN Exchange and download the Desktop Wallet •   Step 3: Stake FENIX-COIN Hold you FENIX-COIN minimum for 15 days to start earning Staking interest.  Lending program  Why FENIX-COIN is your best investment ever?   FENIX-COIN An advanced solution for global money transaction and payment.  Demand is always high and with our lending program, needs for FENIX-COIN is rapidly on the rise, which allows a more opportunities for FENIX-COIN price significant increase. A strong community of FENIX-COIN users and investors. PR, marketing strategies are continuously improved to maximize FENIX-COIN brand equity The current price is fairly low compared to its potential growth in the short run  FENIX-COIN  Lending •   Step 1: Deposit BTC or ETH •   Step 2: Purchase FENIX-COIN •   Step 3: Lend FENIX-COIN Lending Program guarantees your stable and regular profit despite any price fluctuation, monthly profit up to 30%, this is your great choice to achieve financial security.    Download Wallet - comming soon  Website: www.fenix-coin.com Facebook: https://www.facebook.com/fenixexchange/",False
2,msg27954815,https://bitcointalk.org/index.php?topic=2731635.0,,480,Announcements (Altcoins),2018-01-12 04:59:03,olkah,Hero Member,1050,505,,[FNX] Fenix-Coin,Windows wallet,False
3,msg27955088,https://bitcointalk.org/index.php?topic=2731635.0,,480,Announcements (Altcoins),2018-01-12 05:06:00,wobujidao,Newbie,80,0,,[FNX] Fenix-Coin,ICO! no wallet,False
4,msg27955557,https://bitcointalk.org/index.php?topic=2731635.0,,480,Announcements (Altcoins),2018-01-12 05:19:09,dafuqss,Jr. Member,140,5,,[FNX] Fenix-Coin,Your wallet links are dead!???,False
5,msg27955694,https://bitcointalk.org/index.php?topic=2731635.0,,480,Announcements (Altcoins),2018-01-12 05:22:42,Rion,Jr. Member,207,1,,[FNX] Fenix-Coin,Total supply on post vs website is different. Pure PoW but there's PoS?,False
6,msg27955777,https://bitcointalk.org/index.php?topic=2731635.0,,480,Announcements (Altcoins),2018-01-12 05:24:54,SB@,Newbie,112,0,,[FNX] Fenix-Coin,Russian branch of the discussion! Join us! https://bitcointalk.org/index.php?topic=2732218.new#new,False
7,msg27956034,https://bitcointalk.org/index.php?topic=2731635.0,,480,Announcements (Altcoins),2018-01-12 05:32:52,JWKY,Member,574,11,,[FNX] Fenix-Coin,interesting coin but still lack of information ICO? how mining? wallet mining? Pure POW but got staking interest? some confusing,False
8,msg27956096,https://bitcointalk.org/index.php?topic=2731635.0,,480,Announcements (Altcoins),2018-01-12 05:34:34,stanforders,Member,294,15,,[FNX] Fenix-Coin,"According to the present value to mining, FNX looks not worthwhile",False
9,msg27958858,https://bitcointalk.org/index.php?topic=2731635.0,,480,Announcements (Altcoins),2018-01-12 06:49:07,mattman3333,Newbie,58,0,,[FNX] Fenix-Coin,"office located in new york? NY banned ICOS.... Last ICO like this was elektra ico, very similar and guy ran off with the money. buyer BEWARE",False
10,msg29111892,https://bitcointalk.org/index.php?topic=2731635.0,,480,Announcements (Altcoins),2018-01-28 16:10:57,luffare,Full Member,350,101,,[FNX] Fenix-Coin,"fenix will might be listed at Yobit burse until 31th January,  if the listing be succesful 1000000 coins will be sold to them who would like to invest them to yobit's invest-box with daily 11% profit.  investing will continue 31 days. I think!Fenixcoin is wckinda Liza coin which 3ere listed only at yobit burse. It's a highly risk coin with hugh volatility so think twice before investing in it!",False
