id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg33218658,https://bitcointalk.org/index.php?topic=2974895.0,msg33209248,645,Announcements (Altcoins),2018-03-26 14:38:30,AxTrust,Newbie,30,0,,[ANN][ICO] AxTrust (TRU) - Decentralized platform for secure transactions,"    Our advantages: on the Axtrust platform, participants from the blockchain, chosen at random, will appeal, the arbitration action is decentralized and thus the most just decision is made. the platform is focused on crypto currency and will work in the network blockchain, which radically differentiates it from the existing systems. And, in each Axtrust smart contract, an international arbitration agreement has been built.  Uniqueness: We can integrate into any business. We have an API and mobile app",False
2,msg33723335,https://bitcointalk.org/index.php?topic=2974895.0,,645,Announcements (Altcoins),2018-04-02 02:00:58,AxTrust,Newbie,30,0,,[ANN][ICO] AxTrust (TRU) - Decentralized platform for secure transactions,Started sales! Hurry to buy tokens with the maximum benefit of -31% [/ b],False
3,msg35039463,https://bitcointalk.org/index.php?topic=2974895.0,,645,Announcements (Altcoins),2018-04-18 22:03:19,2520,Full Member,476,100,,[ANN][ICO] AxTrust (TRU) - Decentralized platform for secure transactions,"Very interesting company, I highly recommend to study it. Read carefully the whitepaper and discover this innovative project.",False
4,msg39417996,https://bitcointalk.org/index.php?topic=2974895.0,,645,Announcements (Altcoins),2018-06-05 09:18:21,bostaufik,Full Member,378,100,,[ANN][ICO] AxTrust (TRU) - Decentralized platform for secure transactions,"For exchange BCGTO → TRU you should make a deposit to the specified wallet Also you need send some ETH (~0.001) for operating expenses. Exchange will be completed within 12 hours. and when distribution for ico and bounty  and me like price TRU, 1 TRU = 1.8 $",False
5,msg40374169,https://bitcointalk.org/index.php?topic=2974895.0,,645,Announcements (Altcoins),2018-06-18 12:02:13,Weezenhofnar,Copper Member,392,12,,[ANN][ICO] AxTrust (TRU) - Decentralized platform for secure transactions,where can we trade this token???,False
6,msg40421779,https://bitcointalk.org/index.php?topic=2974895.0,msg40374169,645,Announcements (Altcoins),2018-06-19 05:09:21,AxTrust,Newbie,30,0,,[ANN][ICO] AxTrust (TRU) - Decentralized platform for secure transactions,  In the personal account of Axtrust partner,False
7,msg41022225,https://bitcointalk.org/index.php?topic=2974895.0,,645,Announcements (Altcoins),2018-06-27 15:42:34,husanlarisa,Newbie,126,0,,[ANN][ICO] AxTrust (TRU) - Decentralized platform for secure transactions,Hello! I have BCGTO tokens. So I can sell them via personal cabinet at AxTrust?,False
8,msg41797071,https://bitcointalk.org/index.php?topic=2974895.0,,645,Announcements (Altcoins),2018-07-08 20:58:26,Afina_22,Full Member,364,100,,[ANN][ICO] AxTrust (TRU) - Decentralized platform for secure transactions,When do you plan listing to the exchanges? Why is there no news? What has the team already done after the completion of the ICO?,False
9,msg43930700,https://bitcointalk.org/index.php?topic=2974895.0,msg41797071,645,Announcements (Altcoins),2018-08-12 09:20:36,dentolas,Member,616,12,,[ANN][ICO] AxTrust (TRU) - Decentralized platform for secure transactions,"   Unfortunately, I've seen on telegram that these guys closed the project... another one that has fallen to the ICO bear market... it is a shame, but true... Hope that maybe someone will pick this up and make any use of the code and tokens cheers",False
10,msg43933727,https://bitcointalk.org/index.php?topic=2974895.0,,645,Announcements (Altcoins),2018-08-12 10:13:41,MelissaPhillips733,Newbie,27,0,,[ANN][ICO] AxTrust (TRU) - Decentralized platform for secure transactions,Do I want to know what makes you different from other projects?,False
