id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg40410789,https://bitcointalk.org/index.php?topic=3656348.0,msg37437918,505,Русский (Russian),2018-06-18 22:33:23,gcar,Copper Member,84,0,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,"  Привет, по готовности приложения на 80% займёмся постройкой своего блокчейна и монеты, я хочу напомнить это будет не форк , это будет своя монета с своим кодом , а это не быстрый , а вернее не простой шаг для разработчиков , кроме того  когда мы регились на эфире , то нашли много моментов которые хотелось бы улучшить и возможность у нас такая есть. Так что вас ждёт большой сюрприз",False
2,msg40656577,https://bitcointalk.org/index.php?topic=3656348.0,msg40410789,505,Русский (Russian),2018-06-22 11:36:37,marfich97,Sr. Member,910,300,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,"  То есть вы делаете не очередной форк на уже существующих решениях с небольшими изменениями, а именно пишите код с нуля? Такой уникальный блокчейн может неплохо выстрелить, на рынках обычно пользуется спросом.",False
3,msg40785226,https://bitcointalk.org/index.php?topic=3656348.0,msg40656577,505,Русский (Russian),2018-06-24 09:22:17,gcar,Copper Member,84,0,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,  Да именно так  ICO  мы проводим на эфириуме но будим писать свой код и монета будет полноценная и уникальная,False
4,msg40897229,https://bitcointalk.org/index.php?topic=3656348.0,msg37437918,505,Русский (Russian),2018-06-25 18:11:02,gcar,Copper Member,84,0,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,  Зависит сколько соберём на ICO в планах реализовать планы в 2019г и блокчейт и саму монету,False
5,msg41024571,https://bitcointalk.org/index.php?topic=3656348.0,,505,Русский (Russian),2018-06-27 16:20:58,Neroli,Newbie,61,0,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,"Добрый день. Я правильно понимаю, что в баунти оплата за вступление в группы и ношение аватарки, еженедельная? Или же разовая?",False
6,msg41031383,https://bitcointalk.org/index.php?topic=3656348.0,,505,Русский (Russian),2018-06-27 18:04:38,Neroli,Newbie,61,0,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,"И ещё вопрос. Как заполнять задачи? в поле, выпадающее под словами ""пример выполнения"", ссылки не вставляются. Нажала на кнопку ""начать"", окошко задачи изменилось , и спрашивает отправки на проверку, но проверять-то нечего, ссылок нет.",False
7,msg41063217,https://bitcointalk.org/index.php?topic=3656348.0,msg41024571,505,Русский (Russian),2018-06-28 08:04:38,gcar,Copper Member,84,0,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,  Разовая,False
8,msg41063359,https://bitcointalk.org/index.php?topic=3656348.0,msg41031383,505,Русский (Russian),2018-06-28 08:07:04,gcar,Copper Member,84,0,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,"  В пустые поля для ссылки вставляете ссылку на ваш профиль в соц сети то есть на вашу страничку , так модератор перейдёт к вам на страничку и увидит что вы поставили аватарку. На пост тоже ставите ссылку где именно он модератор пройдёт по ссылке и увидит что пост размещён",False
9,msg41364562,https://bitcointalk.org/index.php?topic=3656348.0,msg40656577,505,Русский (Russian),2018-07-02 14:45:54,T-o-l-i-k,Newbie,16,0,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,"  И, как мне кажется это будет круто. Даже круто. Но вот если Вы напишите новый код, разве вы не будете контролировать этот блокчейн который должен быть децентрализованный?",False
10,msg41690502,https://bitcointalk.org/index.php?topic=3656348.0,msg41364562,505,Русский (Russian),2018-07-07 11:25:11,gcar,Copper Member,84,0,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,  Вы наверное не совсем понимаете что такое блокчейн,False
11,msg41820218,https://bitcointalk.org/index.php?topic=3656348.0,,505,Русский (Russian),2018-07-09 08:00:19,T-o-l-i-k,Newbie,16,0,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,"А, вот у меня появился вопрос по приложению которого еще нет даже демо версии. А, вот в нем будет обратная связь? Ответит ли мне мастер которого я выбрал для ремонта моего авто?",False
12,msg41821195,https://bitcointalk.org/index.php?topic=3656348.0,msg41820218,505,Русский (Russian),2018-07-09 08:19:36,gcar,Copper Member,84,0,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,"  Да конечно, там будет обратная связь и на всех ресурсах а именно в группах",False
13,msg41885263,https://bitcointalk.org/index.php?topic=3656348.0,,505,Русский (Russian),2018-07-10 07:19:50,T-o-l-i-k,Newbie,16,0,,[ANN][ICO] 🌀GlobalCarService🌀 Global Blockchain Platform - Bonus up to 40%,"Я вот только обратил внимание. У Вас в дорожной карте написано что свою монеты Вы хотите выпустить только в 2020 году. А, чего так долго?",False
