id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg25538625,https://bitcointalk.org/index.php?topic=2418101.0,msg25537965,3686,Announcements (Altcoins),2017-12-01 09:15:48,hollybit,Full Member,252,100,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,"  When visiting your site a user will need to choose a currency, either fiat or crypto-currencies. The audience wishing to pay in ETN or Bitcoins is definitely shouldn’t be lost, because they are the future.",False
2,msg25545809,https://bitcointalk.org/index.php?topic=2418101.0,msg25482506,3686,Announcements (Altcoins),2017-12-01 11:33:28,Qilin.Market,Newbie,23,0,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,"   Smart contracts are here to solve that kind of problem. All the parties are interested to make customer accept the product.  Quote from: MadduckUK on November 30, 2017, 09:07:23 AM How long is it before the start of sales?  You can already make a Qilin Token preorder on project website.",False
3,msg25551480,https://bitcointalk.org/index.php?topic=2418101.0,msg25487920,3686,Announcements (Altcoins),2017-12-01 13:16:24,Qilin.Market,Newbie,23,0,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,"   BTC is not really the best payment method at the moment also considering there is no stable smart contracts solution for Bitcoin yet. ETH is way more convenient, we have stated that in Qilin.Market Whitepaper with full list of advantages.",False
4,msg25631366,https://bitcointalk.org/index.php?topic=2418101.0,msg25499901,3686,Announcements (Altcoins),2017-12-02 21:46:35,Qilin.Market,Newbie,23,0,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,"   Generally it's shipment provider's responsibility. That way he loses his Delivery Deposit and product is returned to Seller, Buyer receives back his funds. Please refer to Qilin.Market Whitepaper for details.",False
5,msg25703915,https://bitcointalk.org/index.php?topic=2418101.0,,3686,Announcements (Altcoins),2017-12-04 06:09:20,Qilin.Market,Newbie,23,0,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,Check what respected crypto press is telling about Qilin.Market project: https://www.cryptocoinsnews.com/5-cryptocurrencies-will-survive-2018/ https://www.newsbtc.com/2017/11/28/qilin-token-economy-ecommerce/ https://coinidol.com/cryptocurrencies-that-will-not-survive-in-2018/,False
6,msg25720629,https://bitcointalk.org/index.php?topic=2418101.0,,3686,Announcements (Altcoins),2017-12-04 12:29:59,blackbitum,Member,106,10,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,Token Reservation Started! Get whitelisted to reserve your token with max bonus today!,False
7,msg25768629,https://bitcointalk.org/index.php?topic=2418101.0,,3686,Announcements (Altcoins),2017-12-05 08:41:50,Qilin.Market,Newbie,23,0,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,What respected press tells about Qilin.Market project:  🔹 https://www.cryptocoinsnews.com/5-cryptocurrencies-will-survive-2018/ 🔹 https://www.cryptoninjas.net/2017/12/01/qilin-ico-token-economy-aims-disrupt-global-ecommerce-market/ 🔹 https://coinidol.com/cryptocurrencies-that-will-not-survive-in-2018/ 🔹 http://www.newsbtc.com/2017/11/28/qilin-token-economy-ecommerce/ 🔹 https://www.coinjinja.com/detail/qilin-market 🔹 https://futureblock.io/2017/11/25/only-5-of-cryptocurrencies-will-survive-in-2018/ 🔹 https://coinspectator.com/news/151941/95-of-cryptocurrencies-will-not-survive-in-2018 🔹 http://coinwisdom.org/33324-qilin-token-economy-disrupts-2-trillion-global-e-commerce-market/,False
8,msg25835019,https://bitcointalk.org/index.php?topic=2418101.0,,3686,Announcements (Altcoins),2017-12-06 08:24:55,Qilin.Market,Newbie,23,0,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,Qilin.Market listed on respected crypto project catalogs:  🔹 https://icoalert.com 🔹 https://www.tokendata.io 🔹 https://icotracker.net/project/qilin_market 🔹 https://icobench.com/ico/qilin-market 🔹 https://www.coinhills.com/ico/view/qilin-market/ 🔹 https://wiserico.com/ico/qilin-market 🔹 https://www.trackico.io/ico/qilinmarket/ 🔹 https://icomarks.com/ico/qilinmarket,False
9,msg26191593,https://bitcointalk.org/index.php?topic=2418101.0,,3686,Announcements (Altcoins),2017-12-12 10:30:38,Qilin.Market,Newbie,23,0,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,Qilin Token preorder starts on 12th December 2017 at 12:00 UTC time.  Don't miss early contributor maximum bonus!  https://qilin.market,False
10,msg26921977,https://bitcointalk.org/index.php?topic=2418101.0,,3686,Announcements (Altcoins),2017-12-25 08:26:36,spasmadness,Jr. Member,55,10,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,"if this actually gets a user base, it might be alright.",False
11,msg27041686,https://bitcointalk.org/index.php?topic=2418101.0,,3686,Announcements (Altcoins),2017-12-27 13:24:03,crevbi,Member,322,10,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,The first cryptocurrency that allows everyone to participate in the fight against Climate Change. Democratizing the carbon markets through Blockchain Technology. Becoming the first carbon zero cryptocurrency in the world. https://www.youtube.com/watch?v=3nRGXiYSWQU,False
12,msg25486618,https://bitcointalk.org/index.php?topic=2418101.0,msg25485521,3686,Announcements (Altcoins),2017-11-30 12:03:59,Shaurman,Member,392,10,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,"   In this case, developers are provided with a simple option: the buyer is refunded if he paid for the delivery. If it was paid by the seller, the delivery service returns the funds for the shipment and delivers the product for free to the starting point.",False
13,msg25486791,https://bitcointalk.org/index.php?topic=2418101.0,msg25486618,3686,Announcements (Altcoins),2017-11-30 12:07:34,hunterofmoney,Full Member,280,100,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,"   Thank you for your time. It turns out that the issue of delivery was worked out to the smallest detail, special thanks to the project team. But I still have one more question - how is the problem solved in case the goods are stopped at the customs?",False
14,msg25487920,https://bitcointalk.org/index.php?topic=2418101.0,,3686,Announcements (Altcoins),2017-11-30 12:28:54,popeye95,Full Member,181,100,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,"I kind of understand as with current fee and time for a BTC transaction, it put e-commerce at really downgrade and need some thing else.",False
15,msg25499901,https://bitcointalk.org/index.php?topic=2418101.0,,3686,Announcements (Altcoins),2017-11-30 16:08:02,bars_kz,Member,224,10,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,Hello. Let’s suppose I received a damaged product. Who is responsible for this?,False
16,msg25503858,https://bitcointalk.org/index.php?topic=2418101.0,,3686,Announcements (Altcoins),2017-11-30 17:24:27,polonium84,Full Member,280,100,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,I'm wondering who should assure the integrity of the product during at the time when it’s being delivered. Will a single photo from the seller be enough?,False
17,msg25505652,https://bitcointalk.org/index.php?topic=2418101.0,msg25295475,3686,Announcements (Altcoins),2017-11-30 17:57:43,Qilin.Market,Newbie,23,0,,[ANN][PRE] 🌟 Qilin.Market 🌟 7679% Bonus $2 Trillion E-commerce 🌟 1th Dec. 🌟,"   Rules are common for every market participant, every seller works on equal terms.  Quote from: Immer on November 27, 2017, 09:46:33 AM Quote from: arakx on November 27, 2017, 09:45:24 AM Quote from: Immer on November 27, 2017, 09:41:58 AM Hello! Most marketplaces set a clear time for sending the goods by the seller today. What are the time frames of your platform? As far as I know the seller has precisely 3 days to confirm the shipment of the goods. Are these 3 calendar days or 72 hours? This aspect is not elaborated in the White paper.  We will work this through, thanks for remark!  Quote from: arakx on November 27, 2017, 09:48:32 AM Let’s suppose that the seller has confirmed the shipment of the goods, but I believe that the confirmation must be provided by representative of the delivery service.  Confirmation is provided only by delivery service. Like anyone can track the package delivery status on official website of delivery service (like DHL or FedEx), blockchain technology called Oracle calls the delivery service website to check if the package is delivered and accepted.  Quote from: Mops on November 27, 2017, 11:45:22 AM Do you happen to know, should he only provide the seller with this address or has he to indicate it in his account on the platform?  There is no need to keep private data on public blockchain. Personal address is transferred to seller directly.  Quote from: ionbefore on November 27, 2017, 01:31:10 PM If the product is damaged during the delivery process, who is responsible for this?  Delivery service, for sure. It makes Delivery Deposit with Qilin Tokens on smart contract to assure secure delivery.  Quote from: dort on November 27, 2017, 04:56:12 PM As far as I understand, both the seller and the buyer will have to provide feedback. I still can imagine the content of the buyer's response, but what should the seller write?  Seller can give feedback for delivery service, for example. Generally that is not obligatory to send any feedback at all, may be useful in case something wrong happened.  Quote from: rdizza on November 27, 2017, 06:55:05 PM Don’t you plan to oblige delivery services to check condition of the goods at the time of shipment and immediately when the buyer receives it?  That is intended in regular procedure of passing the product to delivery service, as usual service. May be even some paperwork included to maintain legal relations between parties, that's a normal process that Buyer is not involved in.  Quote from: californybit on November 28, 2017, 07:51:27 AM I can’t understand one thing. Do you offer your own marketplace, or is it just a tool that allows any store to accept crypto currency from its customers?   We offer anyone to open their own marketplace in fact. We are just a team to develop the open source software and give it a rocketstart. That is a powerful tool to accept crypto currency using smart deal escrow on distributed ledger.  Quote from: coldday on November 28, 2017, 08:21:23 AM It seems to me that you describe everything in a too complicated way. As for me, adding a crypto currency shouldn’t be more difficult than adding another currency to my online store. There is a plug-in for this purpose which can be downloaded for free.  Qilin.Market involves all e-commerce market participants to work on platform, that is not too complicated though.  Please check project website and whitepaper for more detailed info.",False
