id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg29148389,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2018-01-29 06:45:27,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,We are approaching the end of our 1st PRE-ICO! Thank you to those who participated! We have little more to go. Feel free to reach out to me with any questions,False
2,msg30009923,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2018-02-10 17:21:27,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,Announcement-  We entered 2nd Pre-ICO and to reward our early contributors SRCoin is having a lottery event. Please visit our WEBSITE to learn more about the event and how you can enter to win more SRCoins!,False
3,msg30922088,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2018-02-23 18:37:01,svv,Member,532,14,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,"Hello, manager of the bounty. I did not receive a stake for the week of February 9-15. But I gave the report: https://bitcointalk.org/index.php?topic=2757926.msg30537540#msg30537540 Make changes to the table. Thank you.",False
4,msg31379113,https://bitcointalk.org/index.php?topic=2433046.0,msg30922088,1590,Announcements (Altcoins),2018-03-02 03:13:12,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,   We will take a look at it. Please use the bounty thread for any bounty related questions next time,False
5,msg31384239,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2018-03-02 05:49:43,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,We are over with Pre-ICO phase and Main-ICO have started!  We have great announcements to make in upcoming days so please be sure to check out our website for more info!,False
6,msg31944088,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2018-03-09 19:37:48,DONETSK,Full Member,308,100,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,Are there any fresh ideas about the development of the project? Can I still join the campaign? And then the branch is not actively developing.,False
7,msg36729387,https://bitcointalk.org/index.php?topic=2433046.0,msg31944088,1590,Announcements (Altcoins),2018-05-09 00:05:35,Blackwhite69,Sr. Member,560,250,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,   It should be that they do and better make their tokens better and make new development to ride the price in the market. It's the best way to produce a good one.,False
8,msg43484553,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2018-08-04 23:14:09,Kaznachej123,Hero Member,882,548,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,"Why the price of the SRCoin coin has grown so much ... maybe the good news is who knows https://coinmarketcap.com/currencies/srcoin/#markets ""Alpha product is near completion World's first massage chair with health collect function + blockchain tech""  - Is it really - These news?",False
9,msg45586758,https://bitcointalk.org/index.php?topic=2433046.0,msg43484553,1590,Announcements (Altcoins),2018-09-12 15:05:44,Blackwhite69,Sr. Member,560,250,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,   They have very cheap coin prices right now because I have this coin for long-term investment but will the coin price rise again or go down with the impact of the price of Bitcoin and Ethereum?,False
10,msg24917935,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2017-11-20 19:40:34,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,"SRCoin- Subscription Revenue & Asset-Based Token  SRCOIN’s issuer, K RENTAL, Korean - Malaysian corporation , has the third largest market share in Malaysia subscription market. Headquartered in Kuala Lumpur, K Rental has 78 stores across the country with over 5000 employees, and is planning to IPO in the Singapore Stock Exchange in 2020.  We are issuing SRCOIN to tap into the $1.1 billion dollar massage chair market using the subscription business model. The goal of this crowdsale is simple. After purchasing the massage chairs with the ICO funding, we will use K Rental’s existing infrastructure to promote subscription plan for these chairs and share the generated profit with the ICO contributors.  Currently, there are five Japanese companies with a monopoly in selling the massage chairs. By entering the massage chair market with subscription business, we will tap into the untapped market.  Our goal is to accelerate the process of raising capital needed for this subscription business plan in order to achieve speed to market. And the participants of the SRCOIN throughout the world can witness the scarcity of SRCOIN through our implementation of buy back & burn policy.   ABOUT K RENTAL  SRCOIN ICO STRUCTURE  1st Pre-ICO Price: 1 ETH = 700,000 SRCoins + 100,000 Bonus SRCoins  2nd Pre-ICO Price: 1 ETH = 700,000 SRCoins + 50,000 Bonus SRCoins  Main ICO Price: 1 ETH = 700,000 SRCoins + No Bonus   ICO Duration:  1st Pre-ICO - Jan 1st ~ 31st 2018 (UTC)  2nd Pre-ICO - Feb 1st ~ 28th 2018 (UTC)  Main ICO - March 1st ~ 31st 2018 (UTC)  Accepted currency: ETH  Total supply: 15 Billion SRCoins  ICO utilization: Contributors 70% / Founding Team 15% / Advisors & Early Contributors 10% /Sales Team 5%   SRCoin  Value Proposition: Value of SRCoin will increase through repeated Buy-back & Burn policies   Key Advantages of Subscription Business?  Higher Margin Funds gathered through SRCOIN will mainly be used to purchase products for high yield subscription business plan. These purchased assets have higher profitability(sales profit higher than 50%) than real estate and more liquidity.  Established Company & Experienced management The funds raised from the crowdsale of SRCOINs will be invested in K Rental, an already established company, and its project for starting the massage chair subscription business. Hence, there is fundamentally no risk of business not proceeding, meaning safety of investment and stability is guaranteed.  Value Enhancement Through our “buyback & burn” policy, we will constantly maintain SRCOIN’s scarcity and create a stimulus for SRCOIN’s price to rise. Also, we plan to use portion of our profit to distribute ETH back to our contributors.    OFFICIAL BOUNTY THREAD   PLEASE VISIT OUR WEBSITE FOR MORE INFO! I WILL BE HAPPY TO ANSWER ANY QUESTIONS YOU MAY HAVE!  WEBSITE URL  WHITEPAPER [ENG] [KR] [JP] [CN]",False
