id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg36402391,https://bitcointalk.org/index.php?topic=3370578.0,msg36366547,229,Announcements (Altcoins),2018-05-05 17:23:34,localxpose,Newbie,29,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""",    Thanks linhnhi2953,False
2,msg36402694,https://bitcointalk.org/index.php?topic=3370578.0,,229,Announcements (Altcoins),2018-05-05 17:27:40,konstant111,Sr. Member,924,250,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""","what is this VPN app like you can provide me Internet on your terms, I will be able to go to any website or whatever it is",False
3,msg36403094,https://bitcointalk.org/index.php?topic=3370578.0,,229,Announcements (Altcoins),2018-05-05 17:32:47,MaggieMcGill,Newbie,116,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""",Do I have to go trough KYC in order to join the sale?,False
4,msg36551436,https://bitcointalk.org/index.php?topic=3370578.0,,229,Announcements (Altcoins),2018-05-07 06:26:35,localxpose,Newbie,29,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""",Top,False
5,msg36552909,https://bitcointalk.org/index.php?topic=3370578.0,msg36402694,229,Announcements (Altcoins),2018-05-07 06:49:31,localxpose,Newbie,29,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""","   Sorry, Can you explains more ?",False
6,msg36554949,https://bitcointalk.org/index.php?topic=3370578.0,msg36403094,229,Announcements (Altcoins),2018-05-07 07:16:45,localxpose,Newbie,29,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""",   Yes,False
7,msg36560272,https://bitcointalk.org/index.php?topic=3370578.0,,229,Announcements (Altcoins),2018-05-07 08:26:22,Foundico_manager,Newbie,143,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""",Do I have to go trough KYC in order to join the sale?,False
8,msg36762229,https://bitcointalk.org/index.php?topic=3370578.0,msg36560272,229,Announcements (Altcoins),2018-05-09 09:36:46,localxpose,Newbie,29,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""",   Yes you have to.,False
9,msg37081127,https://bitcointalk.org/index.php?topic=3370578.0,,229,Announcements (Altcoins),2018-05-12 19:07:06,localxpose,Newbie,29,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""",top,False
10,msg37226535,https://bitcointalk.org/index.php?topic=3370578.0,,229,Announcements (Altcoins),2018-05-14 08:28:02,localxpose,Newbie,29,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""",top,False
11,msg46702971,https://bitcointalk.org/index.php?topic=3370578.0,,229,Announcements (Altcoins),2018-10-09 23:37:52,xi_vii,Newbie,56,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""",LocalXpose (LXP) is already rated by Cryptolaboratory. All facts are here. Don't miss it!,False
12,msg35322901,https://bitcointalk.org/index.php?topic=3370578.0,,229,Announcements (Altcoins),2018-04-22 15:25:53,localxpose,Newbie,29,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""","TWITTER   |   TELEGRAM   |    MEDIUM  LOGO  Are you tired of been inacessble from the internet ?  And want to expose your locally running network services to the world ?  Like apps , websites , api , files , games and much more  ""LocalXpose"" That is why we are here.  Based on stellar blockchain LocalXpose will build a p2p reverse proxy platform with thousands or even millions of participants.  This platform will have its own crypto economy and built in bandwidth marketplace.  So you can buy other users' bandwidth and expose your localhosted services or you can sell your spare bandwith and get paid for it in crypto.   You can check this VIDEO  Please visit our website and subscribe for our news and be from our first investors or catch the bounty program train.  LocalXpose  A DEMO APP IS READY TO USE",False
13,msg35330679,https://bitcointalk.org/index.php?topic=3370578.0,,229,Announcements (Altcoins),2018-04-22 17:04:03,localxpose,Newbie,29,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""",top,False
14,msg35331115,https://bitcointalk.org/index.php?topic=3370578.0,,229,Announcements (Altcoins),2018-04-22 17:09:34,Praetorian.1legion,Full Member,476,121,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""","Colleague. Widio is certainly not bad. But, technical information is required. Investors need this. Otherwise, the project does not look serious where money can be invested.",False
15,msg35335039,https://bitcointalk.org/index.php?topic=3370578.0,,229,Announcements (Altcoins),2018-04-22 18:02:48,localxpose,Newbie,29,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""","Thank you Praetorian.1legion, We already have a demo app that you can use, beside that the more technical info you can find them in our website and whitepaper.",False
16,msg35377032,https://bitcointalk.org/index.php?topic=3370578.0,,229,Announcements (Altcoins),2018-04-23 09:30:36,localxpose,Newbie,29,0,,"[ANN][ICO] LocalXpose ""Expose Your Localhost to the World""",top,False
