id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg46823047,https://bitcointalk.org/index.php?topic=5039279.0,msg46822985,1235,Announcements (Altcoins),2018-10-13 07:42:27,Zistmine,Newbie,262,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  And more that the time of the ICO will be completed sooner. When there will be a lot of investors who will invest as soon as possible in this project then the ICO will be completed sooner and the developers will start their work and we will get the profit from our coins as son as possible.,False
2,msg46823146,https://bitcointalk.org/index.php?topic=5039279.0,msg46823047,1235,Announcements (Altcoins),2018-10-13 07:45:59,Gryptog,Newbie,167,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  Yes making the ICO efficient is very important as if the larger phase of the studio will be created before the expected time then we will get the bigger profit sooner. I am impatient for the further development and expansion in the studio to see it more enjoyable.,False
3,msg46823215,https://bitcointalk.org/index.php?topic=5039279.0,msg46823146,1235,Announcements (Altcoins),2018-10-13 07:48:21,Gimbo,Newbie,169,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  Along with that our wish to see the coin on all the bigger exchanges will be completed. It was difficulty for the previous coin to be listed on some bigger exchanges like binance and bittrex whose rule was not in the favor of security tokens.,False
4,msg46823383,https://bitcointalk.org/index.php?topic=5039279.0,msg46823215,1235,Announcements (Altcoins),2018-10-13 07:53:38,Jastetad,Newbie,216,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  Yes this ROC2 will be a trade-able coin on all of the bigger exchanges which will attract a lot of investors and traders to the project. Listing on bigger exchanges is important because it becomes a source to increase the community of the project and they after that start to promote the project.,False
5,msg46823462,https://bitcointalk.org/index.php?topic=5039279.0,msg46823383,1235,Announcements (Altcoins),2018-10-13 07:55:44,Qatuca,Newbie,203,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  Listing on exchanges is very important as it gives a healthy life to the project. I am sure all of the investors and traders on that exchanges will invest in the coin for a longer time as they will see the demand of the coin by the users who will want to buy this coin to use on the site.,False
6,msg46823614,https://bitcointalk.org/index.php?topic=5039279.0,msg46823462,1235,Announcements (Altcoins),2018-10-13 08:01:43,Jastetad,Newbie,216,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  Yes this is a project of well established studio and the users of the studio are very higher and the studio is earning a good amount of money so the investors do not leave this type of coin. They will really invest for a long term in this project to get the actual profit from the coin.,False
7,msg46823701,https://bitcointalk.org/index.php?topic=5039279.0,msg46823614,1235,Announcements (Altcoins),2018-10-13 08:04:23,Bikker,Newbie,127,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  They will also know that on the studio the coin will be accepted as worth of $150 so it shows to them that the price of the coin will reach to that value in a high rush to site. The investors are very intelligent and they know that if they will not sell their coins then the price will reach to that value in a short time period.,False
8,msg46823754,https://bitcointalk.org/index.php?topic=5039279.0,msg46823701,1235,Announcements (Altcoins),2018-10-13 08:06:15,Alphagog,Member,340,10,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  But I think those who will not buy this coin in the ICO period will not get much profit as the ICO investors will not throw their coins to the exchanges without getting enough profit. If they will sell then they will keep it at a high order so on exchanges the price of the coin will be higher from the beginning.,False
9,msg46824047,https://bitcointalk.org/index.php?topic=5039279.0,msg46823754,1235,Announcements (Altcoins),2018-10-13 08:14:23,Gryptog,Newbie,167,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,"  The ICO investors are in benefit all the times as they are those who get the coin at a lowest price. After the end of ICO the price of the coin rises on exchanges. I am talking about a project like Rasputin Mansion. This is a project, the coin of which do not fall lower from its ICO price after the launch.",False
10,msg46824201,https://bitcointalk.org/index.php?topic=5039279.0,msg46824047,1235,Announcements (Altcoins),2018-10-13 08:19:44,Hamaber,Member,341,10,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  In case of this project it is right that the price will not remain lower than what is it now. The price will boost up and will fly like a sky rocket. There are many  factors in this project which will keep the coin of this project to higher value. Just like the previous coin of this project the investors will keep it for longer time with themselves.,False
11,msg46824325,https://bitcointalk.org/index.php?topic=5039279.0,msg46824201,1235,Announcements (Altcoins),2018-10-13 08:23:37,Westant,Member,371,10,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  I am also one of the investors of ROC in the previous ICO which held in 2017 and many of my friends also invested in that ICO and we all have a full trust on this coin that it will make us millionaire that is why we are not selling that coin and are keeping them in our wallet from more than a year.,False
12,msg46824401,https://bitcointalk.org/index.php?topic=5039279.0,msg46824325,1235,Announcements (Altcoins),2018-10-13 08:25:47,Gryptog,Newbie,167,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  You and your friends are not the only to keep the coin for longer time but almost all of the investors do not want to sell that coin because they know the future of this project and they know that there is a passive income from that project so they are not selling. You can see on exchanges there are not much sale orders. People want to keep the coin of projects like Rasputin Mansion.,False
13,msg46957734,https://bitcointalk.org/index.php?topic=5039279.0,,1235,Announcements (Altcoins),2018-10-16 18:04:53,jovan85,Hero Member,1040,510,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,"This secon ICO is very long time, till next years. Want ask do you have bounty for this new one ICO. I know you promote and have bounty for first one ICO but is not bad do have for this second it will be great.",False
14,msg47217985,https://bitcointalk.org/index.php?topic=5039279.0,,1235,Announcements (Altcoins),2018-10-24 11:52:52,RoccoSiffredi,Member,134,10,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,"This project is excellent and unlike so many other ICO funded projects Rasputing has managed to deliver what promised in phase one, which makes phase two totally credible. I'm investing. HOWEVER: I've been hanging around the current Rasputin Party Mansion for a while, for evaluation purposes only. The tech is cool, interface is intuitive and easy to use. Quality of streaming is excellent. But still there is a lot to do to improve and things which are deeply unsatisfying. All women in the mansion seem really to come from the lowest social level. Over tatooed, over-vulgar and all the time dressed (well, partially dressed) like whores, which they resemble in all aspects. Even though this may turn on a part of the public, that would also cause much of the public to leave very soon. More normally-looking girls and normally dressed girls could add much to the quality of the whole experience. After all you want to call this place ""Rasputin Party Mansion"" and not ""Rasputin Filthy Whorehouse"". Why would a woman be dressed like a whore also when she is having breakfast the kitchen?",False
15,msg48039888,https://bitcointalk.org/index.php?topic=5039279.0,msg46957734,1235,Announcements (Altcoins),2018-11-19 10:55:34,GabrielPontello,Jr. Member,63,1,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,"   It would indeed be a good idea to have some bounty campaign running for the ICO, perhaps a signature campaign. These days ICOs are having a difficult time since the whole crypto sector is depressed. However unlike so many wannabe projects, Rasputin is an already working project which is seeking to grow even more and it relies on the cash flow of non-crypto people, which in the current market conditions is a good thing. And since ROC2 tokens, now sold for a few $ will give a purchasing power of over 100$ to these non-crypto customers, earning some of these through a signature campaign could be a good deal for many in this forum, and could help to spread the info about this ICO.",False
16,msg48040387,https://bitcointalk.org/index.php?topic=5039279.0,msg48039888,1235,Announcements (Altcoins),2018-11-19 11:18:14,CryptoRothschild,Member,101,10,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,"   This sounds perfectly reasonable. I'd add that another good idea would be bounty for high quality articles, especially if published on existing adult magazines and websites - especially magazines which are reporting news in the adult business. Since these journalists are likely not to be in crypto the team should contact them and offer them these bounties for getting visibility on their magazines.",False
17,msg48083768,https://bitcointalk.org/index.php?topic=5039279.0,,1235,Announcements (Altcoins),2018-11-20 21:06:44,RoccoSiffredi,Member,134,10,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,"Since I know that there is a long queue of girls anxious to enter the Rasputin Mansion, you should put in the contract the requirement for the girls in engaging in social activities among them when they are not busy in the showroom. The spend too much time hanging around like bags of potatos, without even talking to each others, while viewers would probably get more bound to them if they would see them and could follow them while interacting among them in a more social way.",False
18,msg46745114,https://bitcointalk.org/index.php?topic=5039279.0,msg46745069,1235,Announcements (Altcoins),2018-10-11 04:29:50,Gryptog,Newbie,167,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  The regular use of any coin actually make it a live coin as if a coin do not have enough liquidity then it suck the money of the investors. The investors find it hard to resell that coins and some of them often sell them on a lower price while if they are investing in a coin which have a regular use so they know that the liquidity will be higher and so they easily sell their coins on profit whenever they want.,False
19,msg46746618,https://bitcointalk.org/index.php?topic=5039279.0,,1235,Announcements (Altcoins),2018-10-11 05:53:21,5thangel,Hero Member,854,508,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,"I really like the first word of the project name - Rasputin. Anyway, very interesting idea.",False
20,msg46755262,https://bitcointalk.org/index.php?topic=5039279.0,msg46746618,1235,Announcements (Altcoins),2018-10-11 11:04:16,Alphagog,Member,340,10,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  Along with the name and the idea the project is also going very successful and interesting. You have to be the part of the project if you want to get the benefits from the project. Currently the ICO has a 30% discount for the investors.,False
21,msg46755703,https://bitcointalk.org/index.php?topic=5039279.0,msg46755262,1235,Announcements (Altcoins),2018-10-11 11:18:32,Gimbo,Newbie,169,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  There are only 16 days remaining in the 30% discount. If anyone bought the ROC2 coin in this period then they will be lucky as they will get a higher amount then all the other coming rounds of the ICO.,False
22,msg46755740,https://bitcointalk.org/index.php?topic=5039279.0,msg46755703,1235,Announcements (Altcoins),2018-10-11 11:19:47,Westant,Member,371,10,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  yes many people know about it and they are investing in this project. There are many other projects which are started but not collected that much money which this project has collected in the previous days from now.,False
23,msg46755846,https://bitcointalk.org/index.php?topic=5039279.0,msg46755740,1235,Announcements (Altcoins),2018-10-11 11:22:54,Jastetad,Newbie,216,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  It is because the investors when want to invest in any project then they study all the data about the project. They do a complete investigation about the project so when they find the project better for their future then they invest in the project.,False
24,msg46756036,https://bitcointalk.org/index.php?topic=5039279.0,msg46755846,1235,Announcements (Altcoins),2018-10-11 11:28:21,Gryptog,Newbie,167,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  Yes the investors in the crypto community are now very alert about the ICO projects. They now do not invest in those projects which do not have a better idea and a strong background. They also rely on the experience of the developers as those developers who are expert in their field often give a great success to their project.,False
25,msg46757337,https://bitcointalk.org/index.php?topic=5039279.0,msg46756036,1235,Announcements (Altcoins),2018-10-11 12:02:51,Zimco,Newbie,107,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  In the past they were scammed by a number of ICOs in which they were investing. After that the investors started to invest in those projects which have verified developers with their exact KYC verified on the ICO listing sites and now when the market is down they search only for those projects which have a running business because in the current market the coins of only those projects rise which have a running business. That is why they are investing in this project.,False
26,msg46771501,https://bitcointalk.org/index.php?topic=5039279.0,,1235,Announcements (Altcoins),2018-10-11 18:45:32,SexForCryptos,Jr. Member,70,2,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,This looks like the project of my life - I've been working myself in the adult business. I'll become a holder so that I will part of Rasputin. If you need more help for your complex project just drop me a line.,False
27,msg46780821,https://bitcointalk.org/index.php?topic=5039279.0,msg46771501,1235,Announcements (Altcoins),2018-10-12 03:05:33,Alphagog,Member,340,10,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  From your name we can know that you are here for to facilitate the adult industry in the crypto community. This project will make you a great future if you will be the part of this project and will support the project to get enough investors.,False
28,msg46818859,https://bitcointalk.org/index.php?topic=5039279.0,msg46780821,1235,Announcements (Altcoins),2018-10-13 04:52:30,Zimco,Newbie,107,0,,[ANN] [ICO] Rasputin Party Mansion ROC2: Live Adult fun-2nd round of fundraising,  Yes this project is more perfect in the adult industry. They are trying to provide all the facilities to their studio. They are trying their best to make it as an adult hub for all type of people loving this industry. So it will be at a peak of the success in the coming future.,False
