id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43586737,https://bitcointalk.org/index.php?topic=4489907.0,,1457,Announcements (Altcoins),2018-08-06 12:30:05,yinc_team,Newbie,21,0,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,Can’t find a good vendor online  ?  Just use YINC »   http://pxlme.me/NLgg_8iK,False
2,msg43716861,https://bitcointalk.org/index.php?topic=4489907.0,msg43714356,1457,Announcements (Altcoins),2018-08-08 15:19:43,yinc_team,Newbie,21,0,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,   Wow! This is interesting... Thanks for letting us know!,False
3,msg43922066,https://bitcointalk.org/index.php?topic=4489907.0,,1457,Announcements (Altcoins),2018-08-12 06:21:21,yinc_team,Newbie,21,0,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,A brief history of the online service sector (and how YINC fits in) » http://pxlme.me/8DPl0WJT,False
4,msg44827433,https://bitcointalk.org/index.php?topic=4489907.0,,1457,Announcements (Altcoins),2018-08-28 14:04:56,yinc_team,Newbie,21,0,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,"YINC’s project is directly beneficial to the general public, making it simple and advantageous to find and hire vendors online. So, this is why we are doing an ICO >> https://medium.com/yinc-blog/why-is-yinc-doing-an-ico-ef8316fff508",False
5,msg44911463,https://bitcointalk.org/index.php?topic=4489907.0,,1457,Announcements (Altcoins),2018-08-30 09:58:26,yinc_team,Newbie,21,0,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,"Struggling to understand crypto?  Don’t sweat it; with YINC, you don’t have to!  » https://pxlme.me/ZvdKCdHY",False
6,msg45125791,https://bitcointalk.org/index.php?topic=4489907.0,,1457,Announcements (Altcoins),2018-09-03 10:18:37,yinc_team,Newbie,21,0,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,The 5 things a service business must get right ➡️» https://pxlme.me/ZZZtUxcy,False
7,msg45901427,https://bitcointalk.org/index.php?topic=4489907.0,,1457,Announcements (Altcoins),2018-09-19 11:42:52,Gwyn,Full Member,476,100,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,The YINC project is a great innovation in using the relevant block chain technology to transform traditional employment relationships.,False
8,msg47350048,https://bitcointalk.org/index.php?topic=4489907.0,,1457,Announcements (Altcoins),2018-10-28 09:25:24,GrosWesh,Sr. Member,602,280,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,"Is project still alive, please ?? No activity here and no more on telegram since 40 days ... what's going on ?  Good luck in case you're in trouble ",False
9,msg48242978,https://bitcointalk.org/index.php?topic=4489907.0,,1457,Announcements (Altcoins),2018-11-26 13:26:11,Charles T.,Full Member,172,101,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,"YINC: Where you are in control  The tokenized initiatives that add value to the consumer experience have not been long in coming. This time we will talk about a platform that precisely seeks to make customers take control of their experience: YINC.  YINC aims to revolutionize the market and the way in which consumers acquire goods and services, making use of blockchain. YINC (which means “you are in control” for its acronym) is developing a solution that will connect customers with suppliers directly and without intermediaries, so the process will be easier, faster, safer and more cheap than ever.  Read more...",False
10,msg42298714,https://bitcointalk.org/index.php?topic=4489907.0,msg42298403,1457,Announcements (Altcoins),2018-07-16 15:40:01,Tiny_Prism,Member,266,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,"  So far, the developers have not made the announcement of the bounty company, but soon the bounty company will be launched. And why the bounty company? Why don't you just buy tokens?",False
11,msg42303239,https://bitcointalk.org/index.php?topic=4489907.0,msg42298714,1457,Announcements (Altcoins),2018-07-16 16:59:25,amanai,Member,350,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,"  I'm more of a part of the bounty company. I very rarely invest in projects . I had a bad experience in investing in bounty company I'm lucky more, the more you do not spend your money",False
12,msg42303430,https://bitcointalk.org/index.php?topic=4489907.0,msg42303239,1457,Announcements (Altcoins),2018-07-16 17:02:54,Tiny_Prism,Member,266,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,  Do you have any doubts about this project? Or you're just afraid to risk your money. I think the project will fully justify investing in it will certainly bring profit,False
13,msg42303696,https://bitcointalk.org/index.php?topic=4489907.0,msg42303430,1457,Announcements (Altcoins),2018-07-16 17:07:50,amanai,Member,350,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,  I'd better spend some personal time in exchange for project tokens. The fact of participation in the bounty I like more than to invest. Although the investment profit can be several times more than with the participation in the bounty .,False
14,msg42303861,https://bitcointalk.org/index.php?topic=4489907.0,msg42303696,1457,Announcements (Altcoins),2018-07-16 17:10:52,Tiny_Prism,Member,266,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,"  In most cases, bounty hunters sell the received tokens at the first opportunity . In the case of this project, I would not do so, the token has a great potential and selling it in the near future is just stupid",False
15,msg42304195,https://bitcointalk.org/index.php?topic=4489907.0,msg42303861,1457,Announcements (Altcoins),2018-07-16 17:16:29,amanai,Member,350,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,   I wasn't going to sell tokens any time soon.I like the idea of the project first of all I believe in the idea and that this project can have the same application as Uber and other services.Selling tokens at the start of the project is a very strong hit on the financial stability of the project,False
16,msg42304790,https://bitcointalk.org/index.php?topic=4489907.0,msg42304584,1457,Announcements (Altcoins),2018-07-16 17:28:08,amanai,Member,350,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,  This is the main task of the developers to convince people to invest in this project . To give him a bunch of arguments on this point and refute any doubts about the failures and the impossibility of implementation.,False
17,msg42304972,https://bitcointalk.org/index.php?topic=4489907.0,msg42304790,1457,Announcements (Altcoins),2018-07-16 17:31:56,kk777,Member,420,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,"  Personally, I have no doubts about this project. The idea of the project is fully understood as developers will achieve this too. Partnership with large real estate investors and many other things inspires confidence and gives hope for success.",False
18,msg42305124,https://bitcointalk.org/index.php?topic=4489907.0,msg42304972,1457,Announcements (Altcoins),2018-07-16 17:35:06,amanai,Member,350,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,  Did you know that these private presale investors contributed $ 2 million to the development of the project? It's almost 1/7 of a hard cap. Partnership plays an important role in the promotion and launch of the project,False
19,msg42305271,https://bitcointalk.org/index.php?topic=4489907.0,msg42305124,1457,Announcements (Altcoins),2018-07-16 17:37:51,kk777,Member,420,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,"  I know about it, in telegram group about it it was once mentioned. Also, these partners provide them with their customer base which will have a very positive impact on the implementation of the project in the future.",False
20,msg42305440,https://bitcointalk.org/index.php?topic=4489907.0,msg42305271,1457,Announcements (Altcoins),2018-07-16 17:41:04,amanai,Member,350,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,  Think about what it would be like for the project to start in more severe conditions if there were no such partners. Many projects do not start their work due to lack of external support.,False
21,msg42305746,https://bitcointalk.org/index.php?topic=4489907.0,msg42305440,1457,Announcements (Altcoins),2018-07-16 17:47:38,kk777,Member,420,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,"  It is very interesting to see what will come out of it in the end. Will the developers be able to provide us with a stable and high-quality product. So far, you need to wait sat down and successfully conduct an ICO",False
22,msg42305896,https://bitcointalk.org/index.php?topic=4489907.0,msg42305746,1457,Announcements (Altcoins),2018-07-16 17:50:40,amanai,Member,350,10,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,  I'm really looking forward to the beginning of the bounty  company but charges the ICO is the main thing. That the project will collect the soft cap I have no doubt.If the developers try to look for private investors willing to make a good sum it is likely to be hard cap,False
23,msg42330631,https://bitcointalk.org/index.php?topic=4489907.0,,1457,Announcements (Altcoins),2018-07-17 06:54:44,yinc_team,Newbie,21,0,,[ANN][ICO] YINC - Puts 👉You👈 IN Control of the Service-to-Hire Industry,What you need to know about the YINC platform in order to start using it? »   https://medium.com/yinc-blog/what-you-need-to-know-about-the-yinc-platform-in-order-to-start-using-it-92d6a8f46332,False
