id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg42565337,https://bitcointalk.org/index.php?topic=4713744.0,,186,Announcements (Altcoins),2018-07-20 21:32:17,Forest.io Official,Copper Member,1,0,,[ANN] Forest.io - Real forests and Real Carbon Offset Tokens - WHITELIST OPEN,Forest.io     READ WHITEPAPER      READ WHITEPAPER | JOIN TELEGRAM,False
2,msg42566256,https://bitcointalk.org/index.php?topic=4713744.0,,186,Announcements (Altcoins),2018-07-20 22:00:43,vickx89,Member,322,14,,[ANN] Forest.io - Real forests and Real Carbon Offset Tokens - WHITELIST OPEN,I would like to reserve Indonesian translation if you need. ------------------------------------------------------------------------ BitcoinTalk name: vickx89 BitcoinTalk profile link: https://bitcointalk.org/index.php?action=profile;u=1285191 Language: Indonesian Eth Address: 0x3D644213aD9F11B67c768745B8c91c2565cFb8c1 Email: vickx.epay@gmail.com Portfolio : https://drive.google.com/open?id=1_jCwjXakIBfBGbzZ4z_YNlzmEdOLx1Ws0Nrw2T-S9vw Telegram: @vickx_bounty (https://t.me/vickx_bounty) Discord: vickx#6522 or PM me,False
3,msg42582475,https://bitcointalk.org/index.php?topic=4713744.0,,186,Announcements (Altcoins),2018-07-21 07:55:17,Veronica01,Newbie,72,0,,[ANN] Forest.io - Real forests and Real Carbon Offset Tokens - WHITELIST OPEN,"Hey, it seems to be a really nice idea to combat environmental issues. Love the project. Definitely going to support. All the best for the team.",False
4,msg42582808,https://bitcointalk.org/index.php?topic=4713744.0,,186,Announcements (Altcoins),2018-07-21 08:03:21,AshleyCrook,Newbie,69,0,,[ANN] Forest.io - Real forests and Real Carbon Offset Tokens - WHITELIST OPEN,"The main purpose of the project is to buy large amounts of forest land so they could not be purchased by someone wanting to destroy them, thus creating an ecosystem of forests backed by tokens, that serve their purpose and continue to grow. What an amazing ideology involved in this project. Cheers!!!",False
5,msg42583400,https://bitcointalk.org/index.php?topic=4713744.0,,186,Announcements (Altcoins),2018-07-21 08:16:08,kawetsriyanto,Sr. Member,546,313,,[ANN] Forest.io - Real forests and Real Carbon Offset Tokens - WHITELIST OPEN,"I am very interested in the idea of this Forest.io Project. This is first time I see the project caring for the sustainability of the forest. I am also surprised with the number of your tokens, it seems there are 2,200,000,000 tokens for sale. And it's only 55% of the total tokens. With the token rate --> 1 ETH = 30,000 FRST, it should be many people will join your project. Do you have an allocation for bounty program?",False
6,msg42609108,https://bitcointalk.org/index.php?topic=4713744.0,,186,Announcements (Altcoins),2018-07-21 16:24:36,Aishka.William,Newbie,71,0,,[ANN] Forest.io - Real forests and Real Carbon Offset Tokens - WHITELIST OPEN,An amazing project which is gonna help in sustaining the environment by emitting carbon. I wish the team all the best for this superb project.,False
7,msg42614763,https://bitcointalk.org/index.php?topic=4713744.0,,186,Announcements (Altcoins),2018-07-21 18:14:24,cryptobhagya,Newbie,48,0,,[ANN] Forest.io - Real forests and Real Carbon Offset Tokens - WHITELIST OPEN,The fundamental aim of this project is to contribute to the health of the Earth. Hats off to the team of this project for taking such initiative.,False
8,msg42615182,https://bitcointalk.org/index.php?topic=4713744.0,,186,Announcements (Altcoins),2018-07-21 18:22:54,Colan Zolo,Jr. Member,336,1,,[ANN] Forest.io - Real forests and Real Carbon Offset Tokens - WHITELIST OPEN,"A new project with the concept of buying, preserving and conserving forest land, it has a noble purpose, in this way environmental sustainability is maintained and oxygen is maintained. Duration is still long, the opportunity to introduce the Forest is quite challenging.",False
9,msg42615434,https://bitcointalk.org/index.php?topic=4713744.0,,186,Announcements (Altcoins),2018-07-21 18:28:29,bitSeth,Newbie,45,0,,[ANN] Forest.io - Real forests and Real Carbon Offset Tokens - WHITELIST OPEN,This global carbon industry is a multi-billion industry. The project is quite interesting and genuine.,False
10,msg42616045,https://bitcointalk.org/index.php?topic=4713744.0,,186,Announcements (Altcoins),2018-07-21 18:41:21,cryptonne,Newbie,20,0,,[ANN] Forest.io - Real forests and Real Carbon Offset Tokens - WHITELIST OPEN,"Carbon offset tokens backed by real forests, Preserving forests through forestation. This project can be challenging, but it has a great approach.",False
