id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg50957782,https://bitcointalk.org/index.php?topic=2451190.0,msg50725370,20323,Announcements (Altcoins),2019-05-08 20:28:38,scolary23,Sr. Member,812,253,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"    Judging by the last article, the team continues to develop their project. I am surprised that they still have not paid bounty rewards to the participants. If they do not, then it will be a fraud in relation to bounty hunters. If they want to be legal, they must close this question.",False
2,msg51016933,https://bitcointalk.org/index.php?topic=2451190.0,msg50957782,20323,Announcements (Altcoins),2019-05-12 16:58:09,lembang,Hero Member,994,501,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,  this is what has been debating the project for a long time and the bounty also ends very long but every time it is asked later and later and here the team does not want to explain it but they always update the latest news so whether they want them in the future?,False
3,msg51099431,https://bitcointalk.org/index.php?topic=2451190.0,msg51016933,20323,Announcements (Altcoins),2019-05-17 19:44:59,scolary23,Sr. Member,812,253,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"  Strange, because it cannot be a problem. Perhaps these are some technical issues. But anyway, there is nothing wrong with sharing it with the community.",False
4,msg51256439,https://bitcointalk.org/index.php?topic=2451190.0,msg51099431,20323,Announcements (Altcoins),2019-05-28 19:04:29,tperkara,Full Member,196,100,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,  here the role of the team should be to explain to the whole community what happened and why is the bounty still not shared?,False
5,msg51378417,https://bitcointalk.org/index.php?topic=2451190.0,,20323,Announcements (Altcoins),2019-06-07 05:45:23,lembang,Hero Member,994,501,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,this is actually a very strange project and it is very disgusting why every question is never answered here or even telegram and in fact always deleted but the team is still preaching updates in each month to confuse the community,False
6,msg51609234,https://bitcointalk.org/index.php?topic=2451190.0,msg51378417,20323,Announcements (Altcoins),2019-06-26 12:18:19,scolary23,Sr. Member,812,253,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"   Yes, already tired of seeing this behavior on the part of the team. It seems that this is nothing but a just misrepresentation for the community. This will not help, the team should go to real actions, not only to make the appearance of activity.",False
7,msg51938373,https://bitcointalk.org/index.php?topic=2451190.0,msg51609234,20323,Announcements (Altcoins),2019-07-24 17:04:06,lembang,Hero Member,994,501,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"  and everyone who asks about the bounty or asks for refund money that is deposited, do they always block their account and what else they mean or is this fix already a scam?",False
8,msg52094893,https://bitcointalk.org/index.php?topic=2451190.0,msg51938373,20323,Announcements (Altcoins),2019-08-07 22:59:48,scolary23,Sr. Member,812,253,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"  It's not great if people are blocked because they just ask simple questions. This is a sign that the project is sliding into the abyss. Unfortunately, today, this happens so often that it is no longer surprising.",False
9,msg48345089,https://bitcointalk.org/index.php?topic=2451190.0,msg47528504,20323,Announcements (Altcoins),2018-11-30 10:41:05,lembang,Hero Member,994,501,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,  this to my knowledge if you search for what is called ICO they don't do it because they develop projects with their own money so they will focus more on developing projects without thinking about ICO,False
10,msg48407420,https://bitcointalk.org/index.php?topic=2451190.0,msg48345089,20323,Announcements (Altcoins),2018-12-02 23:00:40,Dimosscolorist,Full Member,672,103,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"  What you say means that this team consists of enthusiasts. For me, this is an excellent sign, and an indirect guarantee that this project will be developed in any case. To such commands, my attitude is always warmer. And I think that not only me.",False
11,msg48411255,https://bitcointalk.org/index.php?topic=2451190.0,msg48407420,20323,Announcements (Altcoins),2018-12-03 05:36:19,lembang,Hero Member,994,501,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"  actually this project is still running and is still being developed by tin but they are not open here and they are busy themselves with the project without any news, and now december hopefully they give good news to the people here",False
12,msg48587227,https://bitcointalk.org/index.php?topic=2451190.0,msg48330658,20323,Announcements (Altcoins),2018-12-10 22:36:30,Don_Leonardo,Newbie,182,0,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,  Also interested!,False
13,msg48602927,https://bitcointalk.org/index.php?topic=2451190.0,msg48587227,20323,Announcements (Altcoins),2018-12-11 16:09:09,LincolnMikkel,Newbie,42,0,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,  Me either. Kinda compicated to analyze it self,False
14,msg48605016,https://bitcointalk.org/index.php?topic=2451190.0,msg48602927,20323,Announcements (Altcoins),2018-12-11 17:43:32,KnyazED,Sr. Member,840,251,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"   on its own it is difficult. I think, there should be support for organizing this process.",False
15,msg48609229,https://bitcointalk.org/index.php?topic=2451190.0,,20323,Announcements (Altcoins),2018-12-11 21:40:44,Tatsiana07,Member,532,13,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,Has anyone gone through KYC? Is there any information about its passage? Thanks.,False
16,msg48611783,https://bitcointalk.org/index.php?topic=2451190.0,msg48605016,20323,Announcements (Altcoins),2018-12-12 01:49:07,poloollec,Newbie,70,0,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,  Agreed they should wait for support response actually,False
17,msg48612829,https://bitcointalk.org/index.php?topic=2451190.0,msg48609229,20323,Announcements (Altcoins),2018-12-12 03:37:56,Dimosscolorist,Full Member,672,103,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"   I asked about it, and this is what I was told:  Quote from: lembang on November 23, 2018, 12:11:15 AM there is no way and where because dev is still busy with his work, I think if later there is certainty they will tell him here or at the telegram be patient again  I think we need to wait. And I think that this information will be ann officially.",False
18,msg48679126,https://bitcointalk.org/index.php?topic=2451190.0,,20323,Announcements (Altcoins),2018-12-15 10:37:48,ViMartin,Full Member,448,100,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"An article on the results of the PlayBets for November/December,2018  https://medium.com/@playbets/playbets-november-december-monthly-news-424459f8bdd2",False
19,msg48755670,https://bitcointalk.org/index.php?topic=2451190.0,msg48679126,20323,Announcements (Altcoins),2018-12-19 08:48:55,lembang,Hero Member,994,501,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"    I don't understand it especially what I have been waiting for and we wait for a long time, when will you distribute the bounty and why don't you provide fix information to the community here",False
20,msg48862665,https://bitcointalk.org/index.php?topic=2451190.0,msg48755670,20323,Announcements (Altcoins),2018-12-24 15:24:31,Dimosscolorist,Full Member,672,103,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"  Same. For a long time, there are no instructions or indications or timeframes for reward for the community. What is happening there and what should we expect.",False
21,msg48866855,https://bitcointalk.org/index.php?topic=2451190.0,msg48862665,20323,Announcements (Altcoins),2018-12-24 20:36:45,lembang,Hero Member,994,501,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,   I always follow the news on the telegram and until now only the interview and the beginning of the month they promised to be distributed around the middle of December and now entered at the end of the month but they actually seemed not to care and we have begun to get bored with their promises so far,False
22,msg49866885,https://bitcointalk.org/index.php?topic=2451190.0,,20323,Announcements (Altcoins),2019-02-22 13:08:56,ViMartin,Full Member,448,100,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"An article on the results of the PlayBets for January, 2019  https://medium.com/@playbets/playbets-january-monthly-news-b6f823a3227b",False
23,msg50049177,https://bitcointalk.org/index.php?topic=2451190.0,,20323,Announcements (Altcoins),2019-03-06 19:05:05,lembang,Hero Member,994,501,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,I am surprised by this project whether it is still running or has stopped but the dev is still updated even though without clarity especially about the bounty,False
24,msg50154469,https://bitcointalk.org/index.php?topic=2451190.0,,20323,Announcements (Altcoins),2019-03-14 06:58:25,zerosoul,Member,350,10,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"Is the project working?, Very interesting when it will be possible to get a reward for the bounty company. Or can be forget?",False
25,msg50275359,https://bitcointalk.org/index.php?topic=2451190.0,msg50154469,20323,Announcements (Altcoins),2019-03-23 00:12:49,lembang,Hero Member,994,501,,🚀🔥[ANN]PlayBets.io🔥🚀 -Platform with Mass Gambling Games,"  I myself don't understand it enough, but I had time to ask on the telegram, and he said this project is still running and I myself am still waiting whether this project will continue or should be forgotten because the team is not active here.",False
