id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg35193487,https://bitcointalk.org/index.php?topic=2729353.0,msg35183456,1790,Announcements (Altcoins),2018-04-20 19:05:59,CapJSparrow,Newbie,14,0,,[ANN] PONDER: DECENTRALIZED MATCHMAKING : Revolutionizing How People Meet,"    No one will tell you how they promote their project! Obvious it’s ICO trackers, forums, events. BTW I found this guys here on the forum. Already invested and waiting for token to moon!",False
2,msg35195868,https://bitcointalk.org/index.php?topic=2729353.0,msg35193487,1790,Announcements (Altcoins),2018-04-20 19:45:19,JovaniMauZz,Newbie,14,0,,[ANN] PONDER: DECENTRALIZED MATCHMAKING : Revolutionizing How People Meet,"    Also banner networks work well. I have seen a lot of ads from this one, invested in some projects that they market: http://tokensale.ab-chain.com/r/advertising2/",False
3,msg35199013,https://bitcointalk.org/index.php?topic=2729353.0,,1790,Announcements (Altcoins),2018-04-20 20:42:59,mr.robot8,Full Member,714,108,,[ANN] PONDER: DECENTRALIZED MATCHMAKING : Revolutionizing How People Meet,"a dating site that is based on blockchain technology ,which already has 70k users it seems interesting to me i think i will test the beta version for android",False
4,msg38308972,https://bitcointalk.org/index.php?topic=2729353.0,,1790,Announcements (Altcoins),2018-05-23 18:09:01,KotiKo,Full Member,420,103,,[ANN] PONDER: DECENTRALIZED MATCHMAKING : Revolutionizing How People Meet,"Pounder is a project for dating, and this topic in the modern world is very popular due to the fact that in modern society, people have too little free time and few ways to get acquainted.",False
5,msg40190789,https://bitcointalk.org/index.php?topic=2729353.0,,1790,Announcements (Altcoins),2018-06-15 18:13:46,LEESUNGWOOK,Newbie,26,0,,[ANN] PONDER: DECENTRALIZED MATCHMAKING : Revolutionizing How People Meet,This project ico so interesting and good idea.,False
6,msg40191881,https://bitcointalk.org/index.php?topic=2729353.0,,1790,Announcements (Altcoins),2018-06-15 18:36:05,Couldmimenti,Newbie,9,0,,[ANN] PONDER: DECENTRALIZED MATCHMAKING : Revolutionizing How People Meet,Hi all. I hope this project will be success and can be achieved the hard cap of ICO.,False
7,msg44854817,https://bitcointalk.org/index.php?topic=2729353.0,,1790,Announcements (Altcoins),2018-08-29 03:19:07,Goodtea168,Newbie,112,0,,[ANN] PONDER: DECENTRALIZED MATCHMAKING : Revolutionizing How People Meet,"Ponder Gold aims to make it easier for consumers to get matched with friends and strangers for romance. It can be used as a method of dating, recruiting, business partners, roommates, and even finding a babysitter.",False
8,msg47733252,https://bitcointalk.org/index.php?topic=2729353.0,,1790,Announcements (Altcoins),2018-11-09 11:33:39,Iyum,Copper Member,168,1,,[ANN] PONDER: DECENTRALIZED MATCHMAKING : Revolutionizing How People Meet,Commercial product that makes sense in terms of blockchain use. Unique take on an online dating platform. It is an interesting product that people could get on board with regardless of the monetary incentive as a person is probably most likely to accept a referral from a friend whom already has vested interest in referring someone to you without the need of an incentive.,False
9,msg48707243,https://bitcointalk.org/index.php?topic=2729353.0,,1790,Announcements (Altcoins),2018-12-16 18:08:58,S3cco,Hero Member,1658,528,,[ANN] PONDER: DECENTRALIZED MATCHMAKING : Revolutionizing How People Meet,"Bitcoin Garden: Ponder Takes the Chore Out of Referrals, Making Them Fun https://bitcoingarden.org/ponder-takes-the-chore-out-of-referrals-making-them-fun/  How you ever found yourself stuck – looking for a job, or romantic partner, or the right business opportunity? Days and weeks of searching online, without success. Wouldn’t it be wonderful if your friends and contacts could give you a hand? Now they can, with the help of Ponder. Ponder is a blockchain-based referral platform with a twist. They don’t want referrals to be a boring chore,so they made it into a fun game with a puzzle-style interface.  The project targets three specific market areas where human input can be much more meaningful than relying on AI algorithms, like most traditional referral and matchmaking platforms do. These areas are dating, recruitment, and business. Ponder founders believe that their potential addressable market is $80 billion. Their dating app is already in operation and has 80 thousand registered users; the recruitment component is being developed, and the business product set to be released in 2019. The startup has already attracted $1.6 million in seed funding and signed several strategic partnership deals, including cooperation with one of the world’s biggest recruiting platforms recruiter.com.  The unifying idea behind all three components is simple and elegant – users can play fun games while also helping someone and getting rewarded. Take for example the dating app. Although modern algorithms are extremely sophisticated, just a set of external factors may not be enough to know with any degree of certainty if two people are a match. But their friends, on the other hand, may have a pretty good idea of who may make a good partner for them. So by dragging and dropping users’ photos over each other their friends get to play matchmakers. The more suggestions they make,the more they move up in levels, unlocking new options. If the couple “like” each other, the matchmaker earns $10. Each of the two singles pays $10, leaving Ponder with $10 net from each successful match. If or when the couple eventually marries, the matchmaker earns cool $1,000 – and a spot as the bride’s maid of honor or the groom’s best man....",False
10,msg49995192,https://bitcointalk.org/index.php?topic=2729353.0,,1790,Announcements (Altcoins),2019-03-03 02:10:34,Rebseveno,Newbie,23,0,,[ANN] PONDER: DECENTRALIZED MATCHMAKING : Revolutionizing How People Meet,"Hi, I think that your project souns great! Do you guys participate to some events?",False
