id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43884255,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-11 13:27:35,MandraGade,Newbie,108,0,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,"The world of E-commerce will be better with the KartBlock ecosystem to lead to the conventional marketing and sales industry where the main focus is limited to product promotion and advertising revenue. Kartblock connects people around the world, trading goods without intermediaries, sending and receiving funds easily.",False
2,msg43891382,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-11 15:36:49,lamongan12345,Full Member,462,100,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,"KartBlock will bring extraordinary changes to the world of E-commerce. KartBlock can be the most appropriate solution for traders and buyers, where they can make transactions easily, safely and transparently. E-commerce is needed by everyone. KartBlock has great opportunities.",False
3,msg44020980,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-13 15:51:58,bongbong2014,Jr. Member,168,2,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,"The Kartblock project intends to conduct an ICO to help with the growth of the 27Avenue platform. This will allow it to compete with centralized e-commerce platforms, which have a monopoly on the online marketplace.",False
4,msg44021422,https://bitcointalk.org/index.php?topic=4674179.0,msg43588333,441,Announcements (Altcoins),2018-08-13 15:59:41,TonyRaut,Full Member,378,100,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,   one can only praise the team for such accomplishments in its activities and wish future success in the development of the project!,False
5,msg45221343,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-09-05 09:40:20,Reb Klimrod,Full Member,406,100,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,Hello team! How is the development of the project going? The deplorable situation in the market somehow brought to your plans?,False
6,msg46164541,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-09-25 19:41:46,raresh,Jr. Member,336,1,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,I was wondering if the project is already in talks with exchanges? And what kind of exchange is Kartblock looking to be listed upon? Thank you in advance!,False
7,msg42170652,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-07-14 17:03:32,Simple_Man,Member,163,11,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,                      >>> Announcement and Bounty Campaign managed by <<<,False
8,msg42170685,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-07-14 17:03:56,Simple_Man,Member,163,11,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,Reserved,False
9,msg42174392,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-07-14 18:17:18,alexv10av,Member,504,10,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,what price on PRE ICO?,False
10,msg42174910,https://bitcointalk.org/index.php?topic=4674179.0,msg42174392,441,Announcements (Altcoins),2018-07-14 18:28:16,Simple_Man,Member,163,11,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,   Private sale is ongoing. Please check the website.  http://kartblock.io/  Thanks!,False
11,msg42218507,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-07-15 12:14:33,minhdang2212,Jr. Member,182,2,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,KartBlock allows merchants to sell directly to consumers with crypto (Kart Block Tokens) as a means of value exchange; Allowing transparency is not restricted between parties.,False
12,msg42395949,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-07-18 08:03:05,Simple_Man,Member,163,11,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,New bounty thread is up and running.,False
13,msg42396182,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-07-18 08:07:39,Ipupin,Newbie,126,0,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,"Kart Block's main focus is limited to product promotion and ad revenue. Kartblock connects people around the world, trades goods without intermediaries, sends and receives funds easily. sorry sir, lots of similar platforms, what are the advantages Kart Block platform?",False
14,msg42403513,https://bitcointalk.org/index.php?topic=4674179.0,msg42396182,441,Announcements (Altcoins),2018-07-18 10:24:41,Simple_Man,Member,163,11,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,   Majority of the other similar platforms don't have experience in managing a successful e-commerce platform and looking to start in that sectors. Kartblock promoters are from 27Avenue e-commerce company who are well experienced in managing e-commerce business in middle east and South Asia. Their app is also available in Google playstore. This company is well funded and has experience in the same sector. Aren't those some of the key advantages?? ,False
15,msg42704886,https://bitcointalk.org/index.php?topic=4674179.0,msg42396182,441,Announcements (Altcoins),2018-07-23 02:56:25,Jorandck,Member,308,10,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,"   KartBlock also directly rewards customers / users for their valuable contributions to the Kart Block platform, without the need for intermediaries.",False
16,msg43332639,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-02 11:52:47,omar hashim,Jr. Member,266,1,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,"Token Economics  ERC20 type tokens are deemed as Blockchain assets that possess value, and can be used for trade, transactions and investment like any other digital currency. Therefore, with the Kart Block token, the user can hold it, trade other currencies and assets with it or use it for transactions to purchase any other entity via the Kart Block platform.",False
17,msg43334318,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-02 12:24:32,maxiorek,Jr. Member,42,2,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,Are you plan make your own blockchain ?,False
18,msg43398127,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-03 13:14:48,limek,Member,364,10,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,Nice project! Is the platform for mobil only?,False
19,msg43459387,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-04 14:04:14,daviszayn,Newbie,140,0,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,"The Kart Block ecosystem at its core is a combination of e-commerce platform, digital wallet, and Tokenized reward mechanism, Kartblock marketplace will allow vendors to sell direct to customers with cryptocurrency.",False
20,msg43459807,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-04 14:11:49,ifyousmell,Hero Member,686,500,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,"Ecommerce you mean like amazon or ebay? there are lots of d-online-shops already running, just not very popular",False
21,msg43461342,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-04 14:39:36,xonecoinlovers,Sr. Member,700,250,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,Is there any exact date on how long the selling of this tokens will be held? I've check the website but still can't find the info about it.,False
22,msg43461472,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-04 14:41:46,rapidleech,Hero Member,756,500,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,Whats the total hardcap in $ ? if you wanna be succeed in this market . you need alot of hype on your social medias,False
23,msg43578662,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-06 09:51:46,Findicoico,Newbie,126,0,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,"Hi everyone! Just added this incredible ICO to my website   https://findico.io/ico/kart-block   Findico.io is an online informational platform that claims to offer ICO ratings from top investors and experts. Using the information on the website, you can “invest smarter” and pick the best ICOs. In addition to rating ICOs, Findico offers ICO consulting services and we can help companies with all stages of their ICO.",False
24,msg43578793,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-06 09:54:30,Rachel Pheonix,Newbie,25,0,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,"Hey, guys!  Is there any bounty or an airdrop for Kart Block?",False
25,msg43588333,https://bitcointalk.org/index.php?topic=4674179.0,,441,Announcements (Altcoins),2018-08-06 13:00:36,LeeZinsee,Newbie,22,0,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,"KartBlock is a pioneer in the eCommerce industry and operates a successful online market in one of the largest eCommerce markets in the world, this platform has created a more robust and a global borderless platform that accepts paid payment solutions.",False
26,msg43770333,https://bitcointalk.org/index.php?topic=4674179.0,msg43588333,441,Announcements (Altcoins),2018-08-09 13:32:38,Jasuper,Newbie,103,0,,[ANN] Kart Block - Decentralizing the E-Commerce marketplace,"   Kartblock connects people around the world, trading goods without intermediaries, sending and receiving funds easily. This is a new thing, I see this platform will change the e-commerce trading system for the better.",False
