id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg40577571,https://bitcointalk.org/index.php?topic=4475085.0,msg40575275,499,Announcements (Altcoins),2018-06-21 09:27:20,DcoinDCO,Copper Member,12,0,,[ ANN ] D’COIN DCO – POWERING D’CRYPT™ – CRYPTOANALYSIS TRADING PLATFORM,"   Yes, our team hail from finance and technology backgrounds, like Banking, Telecomms, Software Development, and Blockchain Technology.  Take a look at the D'Team to see how we stand up to the rest!",False
2,msg40578518,https://bitcointalk.org/index.php?topic=4475085.0,msg40575471,499,Announcements (Altcoins),2018-06-21 09:44:03,DcoinDCO,Copper Member,12,0,,[ ANN ] D’COIN DCO – POWERING D’CRYPT™ – CRYPTOANALYSIS TRADING PLATFORM,"   Yes, our Medium articles are quite informative and easy to read.  Medium @dfintec  Here are a couple articles on Medium about D'Crypt™ – for Simplified, Intuitive Analysis™.   D’Crypt™ for Intelligence-Leveraged Trading    The D’Crypt™ Trading Platform",False
3,msg40578852,https://bitcointalk.org/index.php?topic=4475085.0,msg40575345,499,Announcements (Altcoins),2018-06-21 09:49:34,DcoinDCO,Copper Member,12,0,,[ ANN ] D’COIN DCO – POWERING D’CRYPT™ – CRYPTOANALYSIS TRADING PLATFORM,"   Thank you for asking.  Soft Cap = $US3M <-- achieved  Mid Cap = US$50M, Hard Cap = US$100M 1 DCO = $1USD.",False
4,msg40723874,https://bitcointalk.org/index.php?topic=4475085.0,,499,Announcements (Altcoins),2018-06-23 11:28:31,johnleema,Newbie,70,0,,[ ANN ] D’COIN DCO – POWERING D’CRYPT™ – CRYPTOANALYSIS TRADING PLATFORM,"An oversupply of information streams, news outlets lobbying for attention, and emotional clamor has drowned out calm, sober trading practices.",False
5,msg41675710,https://bitcointalk.org/index.php?topic=4475085.0,,499,Announcements (Altcoins),2018-07-07 06:05:37,liamclark,Jr. Member,168,5,,[ ANN ] D’COIN DCO – POWERING D’CRYPT™ – CRYPTOANALYSIS TRADING PLATFORM,"An oversupply of information streams, news outlets lobbying for attention, and emotional clamor has drowned out calm, sober trading practices. But we still need actionable intelligence, and instant trades without middlemen.",False
6,msg41676982,https://bitcointalk.org/index.php?topic=4475085.0,,499,Announcements (Altcoins),2018-07-07 06:44:41,deshigaru,Newbie,13,0,,[ ANN ] D’COIN DCO – POWERING D’CRYPT™ – CRYPTOANALYSIS TRADING PLATFORM,"Greetings, devs. It seems of this business will be better in the offing! Certain website, brilliant approach, very nice website.",False
7,msg41885996,https://bitcointalk.org/index.php?topic=4475085.0,,499,Announcements (Altcoins),2018-07-10 07:34:22,DcoinDCO,Copper Member,12,0,,[ ANN ] D’COIN DCO – POWERING D’CRYPT™ – CRYPTOANALYSIS TRADING PLATFORM,"Bitcoin, the best altcoins, and ERC-20 tokens, too ...  May want to hedge your bets with cryptocurrencies, if you're a traditional market player! BORDERLESS & NEUTRAL BITCOIN ATTRACTIVE IN GLOBAL TRADE WAR",False
8,msg40575634,https://bitcointalk.org/index.php?topic=4475085.0,,499,Announcements (Altcoins),2018-06-21 08:56:03,humansuru,Newbie,14,0,,[ ANN ] D’COIN DCO – POWERING D’CRYPT™ – CRYPTOANALYSIS TRADING PLATFORM,Did you still need a russian translation? I'm a native russian and I'm more than happy to do this for you although I'm new on the forum.,False
9,msg40575651,https://bitcointalk.org/index.php?topic=4475085.0,,499,Announcements (Altcoins),2018-06-21 08:56:16,Iffylkaway,Newbie,14,0,,[ ANN ] D’COIN DCO – POWERING D’CRYPT™ – CRYPTOANALYSIS TRADING PLATFORM,what will happen to the extra tokens if not all were sold? Will they be burned?,False
10,msg40575830,https://bitcointalk.org/index.php?topic=4475085.0,,499,Announcements (Altcoins),2018-06-21 08:59:00,grundysky,Newbie,14,0,,[ ANN ] D’COIN DCO – POWERING D’CRYPT™ – CRYPTOANALYSIS TRADING PLATFORM,Token will be available right  after presale/tokensale ? And will be transferable also then?,False
