id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45793449,https://bitcointalk.org/index.php?topic=4361686.0,msg45785456,812,Announcements (Altcoins),2018-09-16 18:38:17,Kirata,Newbie,84,0,,[ANN] ✮FLUXORIN✮ Decentralized Music Streaming Platform On The Blockchain Net ✮,  Developers may have abandoned the project,False
2,msg42111501,https://bitcointalk.org/index.php?topic=4361686.0,msg41220741,812,Announcements (Altcoins),2018-07-13 17:12:38,ginobitcoiner,Full Member,686,100,,[ANN] ✮FLUXORIN✮ Decentralized Music Streaming Platform On The Blockchain Net ✮,"  thank you very much sir for your help, i am sure you are professional manager ",False
3,msg42137528,https://bitcointalk.org/index.php?topic=4361686.0,,812,Announcements (Altcoins),2018-07-14 06:08:34,BryanZbraw,Newbie,124,0,,[ANN] ✮FLUXORIN✮ Decentralized Music Streaming Platform On The Blockchain Net ✮,"FLUXORIN, a decentralized streaming music platform on blockchain networks. With Flux token, will utilize blockchain technology to address royalty and artist payment issues by providing transparency and offering new models of music-making process through Decentralized Autonomous Label.",False
4,msg42175873,https://bitcointalk.org/index.php?topic=4361686.0,,812,Announcements (Altcoins),2018-07-14 18:48:36,Novajoensda,Full Member,504,101,,[ANN] ✮FLUXORIN✮ Decentralized Music Streaming Platform On The Blockchain Net ✮,"Nice, I love the idea that making music as basic platform of Fluxorin project. I've high optimism for this one. Could be the cool place for my investment",False
5,msg42187516,https://bitcointalk.org/index.php?topic=4361686.0,msg42175873,812,Announcements (Altcoins),2018-07-15 00:22:23,qqwx,Copper Member,348,11,,[ANN] ✮FLUXORIN✮ Decentralized Music Streaming Platform On The Blockchain Net ✮,   Thank you for your great comment,False
6,msg42187603,https://bitcointalk.org/index.php?topic=4361686.0,msg42137528,812,Announcements (Altcoins),2018-07-15 00:27:23,tippytoes,Sr. Member,896,257,,[ANN] ✮FLUXORIN✮ Decentralized Music Streaming Platform On The Blockchain Net ✮,"   I've seen similar endeavors in the past, but, don't know if they are successful in this field. Have you tap those music artists at least? Because one problem here is the actual implementation. If only few artists will utilize your platform, how can you increase the value of the token? You need to reach out those musicians as many as possible.",False
7,msg42413081,https://bitcointalk.org/index.php?topic=4361686.0,,812,Announcements (Altcoins),2018-07-18 13:10:06,Trainer75,Newbie,104,0,,[ANN] ✮FLUXORIN✮ Decentralized Music Streaming Platform On The Blockchain Net ✮,ICO is great! Excellent opportunities for safe investment! Have time to join now!,False
8,msg42416835,https://bitcointalk.org/index.php?topic=4361686.0,,812,Announcements (Altcoins),2018-07-18 14:08:42,Davinus,Full Member,258,104,,[ANN] ✮FLUXORIN✮ Decentralized Music Streaming Platform On The Blockchain Net ✮,"The real growth in emerging technologies began in 1998 with the evolution of the MP3 player. This allowed for a new type of audio -compression that was at the time, revolutionary means for listening to music. What the creators of MP3 files and music industry experts didn’t know was that this technology that they thought would help them would actually hurt them in the long run.",False
9,msg42500352,https://bitcointalk.org/index.php?topic=4361686.0,msg42413081,812,Announcements (Altcoins),2018-07-19 19:32:39,qqwx,Copper Member,348,11,,[ANN] ✮FLUXORIN✮ Decentralized Music Streaming Platform On The Blockchain Net ✮,   Thank you ,False
10,msg43968622,https://bitcointalk.org/index.php?topic=4361686.0,,812,Announcements (Altcoins),2018-08-12 19:04:40,blo8i,Hero Member,975,502,,[ANN] ✮FLUXORIN✮ Decentralized Music Streaming Platform On The Blockchain Net ✮,"The advertising company of the guys is well planned and has good results, I think the project should be examined more closely.",False
