id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg33895191,https://bitcointalk.org/index.php?topic=2441205.0,,563,Announcements (Altcoins),2018-04-04 06:40:48,RU-COIN,Member,378,11,,[ANN] [PreICO LIVE 🔴] RUCOIN - Global Loyalty System & BRC Catalog,"#Rucoin Safety Tips  Each successful project invariably attracts close attention. The Rucoin project is reliably protected, we have the best security specialists. But even with the strongest security system, there is always a chance that users themselves will react too lightly to such an important topic as passwords. We will give some advice to users and participants how to protect their accounts and accounts from hackers.  The minimum that you can do is to come up with a complex password that must meet the following requirements:  1. The presence of both letters and numbers (at least 12 characters, if less, that is, the possibility of hacking by simple selection) 2. A different case, the letters should be written both small and large. 3. If possible, it is very important to add various symbols, such as an asterisk *, a percentage%, brackets ) ( ] [ / and etc. 4. The final version of the password is desirable to make it incoherent, there should be neither names nor titles that can be associated with your account.   Example of a suitable password: e4G&^ujh%H_+| - would you say it's hard to remember? But even from these symbols one can think of something that will be associated with them.",False
2,msg33985551,https://bitcointalk.org/index.php?topic=2441205.0,,563,Announcements (Altcoins),2018-04-05 10:32:00,RU-COIN,Member,378,11,,[ANN] [PreICO LIVE 🔴] RUCOIN - Global Loyalty System & BRC Catalog,"#Rucoin The largest business forum in Russia AMOCONF2018 We think that a lot of people know and heard about the co-founder of Apple Inc. - Steve Wozniak. An ingenious inventor and programmer, one of the most creative engineers in the Silicon Valley. His inventions greatly contributed to the revolution of personal computers in the 70's. Wozniak founded Apple Computer (now Apple inc.) Along with Steven Jobs in 1976. In the middle of the 70's, he created the computers Apple I and Apple II. Apple II acquired incredibly great popularity and eventually became the best-selling personal computer in the 70s and 80s. At the forum, Steve Wozniak spoke in a joint dialogue with Andrei Sebrant, director of strategic marketing at Yandex. Topics were raised about the development of technology to increase the capacity of computers, artificial intelligence and blockchain - as the most effective system of accounting. After the conference, the organizers of the Amokonf forum presented Steve with the Rucoin team and the project, because Steve loves experiments, especially with new technologies. He was interested in the Russian blockchain project and loyalty program. ""Great,"" - said Steve - ""True great. Good luck to you!"". Good Luck, Rucoin!",False
3,msg34092895,https://bitcointalk.org/index.php?topic=2441205.0,,563,Announcements (Altcoins),2018-04-06 16:48:37,RU-COIN,Member,378,11,,[ANN] [PreICO LIVE 🔴] RUCOIN - Global Loyalty System & BRC Catalog,"#Rucoin  The largest business forum in Russia AMOCONF2018 Successful meeting of the team Rucoin with the Director of Strategic Marketing Yandex - Andrei Sebrant. Andrey is one of the first RuNet figures, a Russian scientist, the author of numerous publications and scientific reports, and also has been engaged in strategic promotion of Yandex since 2004. At the Amoconf2018 conference, Andrey Sebrant professionally conducted a dialogue on a huge stage with Steve Wozniak about the past and future of modern IT technologies in front of an audience of more than 25,000 participants.",False
4,msg34269070,https://bitcointalk.org/index.php?topic=2441205.0,,563,Announcements (Altcoins),2018-04-09 05:11:12,RU-COIN,Member,378,11,,[ANN] [PreICO LIVE 🔴] RUCOIN - Global Loyalty System & BRC Catalog,"#Rucoin RUSSIAN BLOCKCHAIN WEEK 2018 - the largest event in the industry of blockchain technologies in Russia  5 days of immersion in the industry of block-technologies, for which you can get knowledge and connections for which the years will pass. More than 100 speakers, 6 major events, 1500 participants. More than 70 reports from the top speakers of Russia and the world. The conference is held in 5 parallel streams in different thematic areas. Presentations and project tips are the most advanced business solutions in the blockchain industry. Topics: * Blockchain-solutions for business * Security on the blockchain * Payments * Cross Country * Logistic solutions  Make a step towards technologies right now!  Location: Moscow, Bolshoy Boulevard, 42c1, Technopark Skolkovo",False
5,msg34863739,https://bitcointalk.org/index.php?topic=2441205.0,,563,Announcements (Altcoins),2018-04-16 18:17:24,RU-COIN,Member,378,11,,[ANN] [PreICO LIVE 🔴] RUCOIN - Global Loyalty System & BRC Catalog,"We remind our friends that for crediting tokens from the platform Boomstarter you need to be registered on the site https://ico.ru-coin.com/  The Rucoin tokens will be migrated to the Power platform and will be available in a new private office https://ru-coin.com/  The beta version of the wallet will be available on April 30, 2018.  Registration / authorization will be in the Beta version will be available from April 30, 2018. The authorization data will be saved from the personal account of the ICO.  With respect Rucoin Loyalty Team",False
6,msg37570776,https://bitcointalk.org/index.php?topic=2441205.0,,563,Announcements (Altcoins),2018-05-17 13:15:32,OzhogCoin,Member,322,10,,[ANN] [PreICO LIVE 🔴] RUCOIN - Global Loyalty System & BRC Catalog,"I'm glad that the coin will be in short supply, since only 40 million tokens are issued. Accordingly, and the price for it will grow.",False
7,msg37570868,https://bitcointalk.org/index.php?topic=2441205.0,msg32473510,563,Announcements (Altcoins),2018-05-17 13:16:45,OzhogCoin,Member,322,10,,[ANN] [PreICO LIVE 🔴] RUCOIN - Global Loyalty System & BRC Catalog,"  And the project itself is designed to become a kind of bridge between the digital world of virtual currencies and also bonuses, as well as real world discounts in the environment of well-known brands like clothes and food, and auto and so on.",False
8,msg30637876,https://bitcointalk.org/index.php?topic=2441205.0,msg30450070,563,Announcements (Altcoins),2018-02-19 19:35:16,RU-COIN,Member,378,11,,[ANN] [PreICO LIVE 🔴] RUCOIN - Global Loyalty System & BRC Catalog,"   Hello, can You write Your ideas in PM?",False
9,msg30638157,https://bitcointalk.org/index.php?topic=2441205.0,,563,Announcements (Altcoins),2018-02-19 19:40:42,RU-COIN,Member,378,11,,[ANN] [PreICO LIVE 🔴] RUCOIN - Global Loyalty System & BRC Catalog,"How can you use blockchain technology in various areas of government? What support measures are envisaged for the development of Russian innovation companies? All this and much more, you can find out at the forum ""Transformation 2"". The date of the forum is February 19-20. Moscow businessmen and top managers gathered at the forum. Organizers expect about 30 thousand participants in two days.  Meet the developers of Rucoin on Transformation February 20, 2018 from 12:00 to 18:00",False
10,msg30849415,https://bitcointalk.org/index.php?topic=2441205.0,,563,Announcements (Altcoins),2018-02-22 17:53:11,RU-COIN,Member,378,11,,[ANN] [PreICO LIVE 🔴] RUCOIN - Global Loyalty System & BRC Catalog,,False
