id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45250198,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-05 20:37:44,Kurrie,Newbie,168,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,Where can I see your road map?,False
2,msg45273564,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 09:53:38,globus_mipa,Newbie,154,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,Can we be confident in MAGNIFY?,False
3,msg45274040,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 10:06:29,kurko2017,Newbie,112,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,What are hardware wallets?,False
4,msg45274127,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 10:08:27,DimLeg,Newbie,126,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,I like that you started creating multi-currency wallets.,False
5,msg45274217,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 10:10:41,Btcmnr,Full Member,336,100,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,Is the private key secure?,False
6,msg45275292,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 10:39:57,jannamaile,Newbie,112,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"Tell me please, what to do when MAGNIFY WALLET is damaged?",False
7,msg45275445,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 10:44:08,olegkalinicev325,Newbie,112,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,The project is very interesting and it is clear that they came up with a reason for developing the interface.,False
8,msg45276193,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 11:02:44,alinayatsko34,Newbie,112,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"Hey. Tell me please, on which platform can I see your project?",False
9,msg45276466,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 11:09:06,dimadmitriev,Newbie,112,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,This kind of projects are particularly helpful for business.,False
10,msg45277063,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 11:24:07,Vojdel,Newbie,126,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,Can I watch a video about your project somewhere?,False
11,msg45277161,https://bitcointalk.org/index.php?topic=4980161.0,msg45274040,635,Announcements (Altcoins),2018-09-06 11:26:41,Commivan,Newbie,126,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"  Do you know what hardware wallets are? They are also leading among crypto-stores due to a combination of security and convenience, which caused a noticeable increase in interest in them.",False
12,msg45277282,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 11:29:49,Ivakimos,Newbie,126,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"Hey. You have an interesting name, tell me what it means?",False
13,msg45277620,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 11:36:50,Kurrie,Newbie,168,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"The project has good plans, I wonder how the developers deal with them?",False
14,msg45277777,https://bitcointalk.org/index.php?topic=4980161.0,msg45275292,635,Announcements (Altcoins),2018-09-06 11:40:26,magnify,Copper Member,12,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"  Loss or damage of the USB flash card can affect only Cold Storage data that are controlled by you. The USB flash card does not affect access to the Magnify Public services.  If the USB flash card is damaged or lost, the following options remain:  1.    If you have kept PRIVATE KEY as it was recommended upon installing the program on the USB flash card, you (and only you) can access your protected crypto monetary assets through the blockchain of your crypto currency. You can reinstall the application on another USB carrier and relocate your coins to the new Cold Storage via standard blockchain means. 2.    If you are using our Safe service, which is highly recommended, it will request a special phrase containing no less than 12 words that encrypts your PRIVATE KEY. Following that, it will automatically install the program on the USB flash card, generate a new PRIVATE KEY and relocate your coins from an old account to a new one. It will also encrypt a new key with your special phrase.  If you are using the Safe service, the program will fulfill the entire operation by itself.  However, keep in mind that PRIVATE KEY and the Safe key phrase are stored by you, which means that if you forget the key while switching off the Safe service or if you forget the key phrase as well, we will not be able to restore your access. We do not keep your key phrase and Cold Storage PRIVATE KEY without your permission. You are entirely responsible for the safety of this information.",False
15,msg45278442,https://bitcointalk.org/index.php?topic=4980161.0,msg45277063,635,Announcements (Altcoins),2018-09-06 11:53:49,magnify,Copper Member,12,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,  You can watch our video on our website https://magnifywallet.com and also on YouTube https://www.youtube.com/watch?v=cIhZwyhrgwQ,False
16,msg45278541,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 11:56:09,sashadoc,Sr. Member,476,250,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,The purpose of the project launch seems incredible their teams are continuously working on advanced mechanisms by understanding and analysing the competitors challenges.,False
17,msg45278599,https://bitcointalk.org/index.php?topic=4980161.0,msg45274217,635,Announcements (Altcoins),2018-09-06 11:57:23,magnify,Copper Member,12,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"   Data on a card are encrypted based on the best practices of modern information systems requirements and their encryption fully corresponds to the crypto currencies market requirements.  Additionally, the program combines all the modern methods of identification, authorization, checking, and double confirmation inherent to high assurance information systems. Some of these protection methods can be switched on and off at your discretion, some are uninterruptable. As a result, you can choose a set of data security tools and methods that is convenient for you and at the same time safe and reliable.",False
18,msg45278662,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 11:58:37,Vladrak,Newbie,168,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,I think that this is a good idea and many will want to try out a MAGNIFY WALLET. But how much will the project be competitive?,False
19,msg45278890,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-06 12:03:13,LilBoby,Newbie,168,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"the idea does not shine with the novelty, but for all that it can become something new in the market of the already existing segment",False
20,msg45278998,https://bitcointalk.org/index.php?topic=4980161.0,msg45247545,635,Announcements (Altcoins),2018-09-06 12:05:25,magnify,Copper Member,12,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"   Magnify Public is a centralized information and financial system which allows us to not charge an extra fee for the internal transfers between customers, and allows the crypto currency to reach an account instantaneously.",False
21,msg45247545,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-05 19:27:11,DimLeg,Newbie,126,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,What is Zero Fee Transaction?,False
22,msg45247723,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-05 19:31:40,!vanovi4,Jr. Member,168,1,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,I'm interested in this project because the MAGNIFY project provides an opportunity to increase the security of your funds to the highest possible level for today!,False
23,msg45247952,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-05 19:37:47,jannamaile,Newbie,112,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"You have an amazing project, because you all have modern technology.",False
24,msg45248012,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-05 19:39:21,sashadoc,Sr. Member,476,250,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,I like that on your site you can see your team and get acquainted with each of them.,False
25,msg45248609,https://bitcointalk.org/index.php?topic=4980161.0,msg45246045,635,Announcements (Altcoins),2018-09-05 19:54:39,olegkalinicev325,Newbie,112,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"  I read on the site, there is a list: Bitcoin, Bitcoin Cash, Litecoin, Etereum, Ethereun Classic, Zcash, Ripple, Tether, Dash, Monero.",False
26,msg45248719,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-05 19:57:18,alinayatsko34,Newbie,112,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,Hey. Can you please tell me if your topic is on some Russian forum? I would like to read their reviews.,False
27,msg45248874,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-05 20:01:33,dimadmitriev,Newbie,112,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"Hey. I'm interested in how this project is developing, what features are there in it?",False
28,msg45248941,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-05 20:03:10,Vojdel,Newbie,126,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"I'm delighted with your project, I think that in the near future we will see the largest exchange network.",False
29,msg45249006,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-05 20:04:48,Commivan,Newbie,126,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"I think that your project has a great future, since it interests a lot of people.",False
30,msg45249111,https://bitcointalk.org/index.php?topic=4980161.0,msg45246450,635,Announcements (Altcoins),2018-09-05 20:07:26,Ivakimos,Newbie,126,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"  This is excellent, few projects can boast of this.",False
31,msg45249202,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-05 20:09:53,alexgold,Full Member,350,100,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"Do you still have a new project, how do you plan to attract customers?",False
32,msg45249300,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-05 20:12:06,Kurrie,Newbie,168,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,"Tell me please, what is Magnify Card? Thank you in advance.",False
33,msg45249658,https://bitcointalk.org/index.php?topic=4980161.0,,635,Announcements (Altcoins),2018-09-05 20:22:09,Vladrak,Newbie,168,0,,[ANN][ICO] Magnify Wallet - Safety and Anonymity,Hey. Can you please tell where you can find your white paper?,False
